id,area,name,status,outcome,evidence,verify,next,issue
T14,Source pathways,Turn AICR input into managed configuration,partial,"One AICR bundle is generated, reviewed, published as OCI, uploaded as a base variant, and promoted to development and staging.",examples/aicr/eks-h100-training-kubeflow/recipe.yaml;data/aicr-oci-roundtrip-proof/summary.md;runs/aicr-oci-roundtrip-proof/receipt.yaml;runs/aicr-variant-promotion-proof/receipt.yaml,npm run aicr-example:verify;npm run aicr-oci-roundtrip:verify;npm run aicr-variant-promotion:verify,Deliver the promoted configuration through Argo CD and Flux and record live GPU-target evidence.,
T15,Source pathways,Turn a cub installer package into OCI,available,"A multi-preset installer package can be selected, rendered, verified, and published as a public OCI artifact.",data/installer-oci-packages/summary.md;docs/user/installer-oci-packages.md,npm run installer-oci:catalog:verify,Keep package generation and public registry references synchronized for every maintained recipe.,
T16,Source pathways,Upload literal Kubernetes YAML without rerendering,available,Existing Kubernetes YAML can become ConfigHub Units while preserving the reviewed object set.,docs/user/adopting-existing-apps.md;docs/user/app-to-live-walkthrough.md,npm run docs:verify,Add a small executable receipt that isolates literal YAML upload from the wider App walkthrough.,
T17,ConfigHub records,Claim reviewed OCI as a ConfigHub base variant,available,A reviewed OCI can become a named ConfigHub Space and base variant with exact Units and source context.,data/base-variant-records/summary.md;runs/aicr-oci-roundtrip-proof/receipt.yaml,npm run config-catalog:verify;npm run aicr-oci-roundtrip:verify,Use one upload contract for all supported source-neutral OCI inputs.,
T18,ConfigHub records,Attach render context and route intent to every base variant,partial,"Each base records source inputs, render context, produced objects, prerequisites, and lifecycle routes.",data/helm-render-intents/summary.md;data/lifecycle-routes/summary.md;docs/user/helm-render-intents.md,npm run helm-render-intents:verify;npm run lifecycle:routes:verify,Close issue 1037 by attaching route and target-fact records across the full render-intent matrix.,https://github.com/confighub/helm-expt/issues/1037
T19,ConfigHub records,Create derived variants by editing exact objects,available,"A team can clone a reviewed base, change exact Kubernetes fields without rerendering Helm, and inspect the resulting diff.",data/variant-goldens/derived-expansion-wave/README.md;runs/derived-variant-execution,npm run derived-variants:verify,Keep derived changes linked to their base and add target-bound receipts where delivery is claimed.,
T20,ConfigHub records,Keep approved object edits through source upgrades,partial,A source upgrade can rebuild the base while reapplying reviewed post-render changes and surfacing conflicts.,data/redis-upgrade-app-proof/summary.md;runs/redis-upgrade-app-proof/receipt.yaml,npm run redis-upgrade-app:verify,Repeat the upgrade proof on another chart and add a useful mutation preview for promotion dry runs.,
T21,ConfigHub records,Promote through development staging and production,partial,A reviewed revision can move through named environments in order with exact diffs and environment-specific policy.,data/byo-helm-values-promotion-proof/summary.md;runs/aicr-variant-promotion-proof/receipt.yaml,npm run byo-helm-values:promotion-verify;npm run aicr-variant-promotion:verify,"Add production delivery, rollback, and readable dry-run output to the representative promotion paths.",
T22,Policy and approval,Block unsafe configuration and require approval at high-risk boundaries,available,"Every policy-covered Space receives the seven common checks. Production releases and system configuration also require approval, while ordinary development and staging workloads do not.",config-catalog/policies/catalog-standard.yaml;data/apply-policy-profiles/live-helm-catalog.yaml;runs/config-catalog-policy-functional-proof/receipt.yaml;runs/ai-change-review-live-proof/receipt.yaml;examples/kubara/local-platform/confighub-upload-receipt.yaml;examples/sveltos/kyverno-fleet/live-receipt.yaml,npm run config-catalog:policy:verify;npm run helm-org:policy:receipt:verify;npm run ai-change-review:live:verify;npm run kubara-example:verify;npm run sveltos-example:verify,Add resource-aware field checks for more custom-resource APIs without weakening the common policy or making ordinary warnings blocking.,
T23,Policy and approval,Make policy checks source-neutral,available,"One policy profile applies shared checks to Helm, AICR, installer, Kubara, Sveltos, and literal Kubernetes data, limits ordinary workload checks to known Kubernetes kinds, and uses AICR checks for its deeper fields.",config-catalog/policies/catalog-standard.yaml;data/ai-change-review-live-proof/summary.md;runs/ai-change-review-live-proof/receipt.yaml,npm run config-catalog:policy:verify;npm run ai-change-review:live:verify,Add checks for more custom-resource versions and teach target-specific checks to read recorded target facts instead of hard-coding one cluster's limits.,
T24,OCI output,Publish reviewed ConfigHub Units as OCI,available,ConfigHub can publish the exact reviewed Units as immutable OCI for an external delivery controller.,data/catalog-oci-delivery-proof/summary.md;runs/oci-deploy-stage-rollout-proof/receipt.yaml,npm run catalog-oci:proof:verify;npm run oci-deploy-stage-rollout:verify,Keep the release and portable OCI roles clearly distinguished in every guide and command.,
T25,OCI output,Preserve digest identity and provenance through the round trip,partial,"Input digest, ConfigHub revision, output digest, delivery result, and observation can be followed as one evidence chain.",docs/user/chain-of-proof.md;data/oci-evidence-chains/summary.md;schemas/oci-evidence-chain.schema.json;runs/aicr-oci-roundtrip-proof/receipt.yaml;runs/oci-deploy-stage-rollout-proof/receipt.yaml,npm run oci-evidence:verify;npm run aicr-oci-roundtrip:verify;npm run oci-deploy-stage-rollout:verify,Deliver and observe the AICR path on a suitable GPU target; it is the one source family whose standardized chain still stops at the output OCI.,
T26,Delivery,Deliver reviewed OCI through Argo CD,available,Selected reviewed ConfigHub configurations are pulled by Argo CD and converge to the expected Kubernetes objects.,data/runtime-gitops/summary.md;runs/oci-deploy-stage-rollout-proof/receipt.yaml,npm run runtime-gitops:wave:verify;npm run oci-deploy-stage-rollout:verify,Maintain fresh controller and workload receipts for every path that claims Argo CD delivery.,
T27,Delivery,Deliver reviewed OCI through Flux,partial,Flux can consume the reviewed literal OCI without rerendering the source and produce observed workload evidence.,runs/serverless-oci-gitops-proof/receipt.yaml;docs/user/gitops-adopter-guide.md,npm run serverless-oci-gitops:proof:verify,"Add ConfigHub-output Flux receipts for representative Helm, AICR, and lifecycle-route examples.",
T28,Delivery,Deliver reviewed objects by direct apply,available,A user can inspect generated files and apply the same reviewed object set directly to Kubernetes.,docs/user/serverless-mode.md;data/live-kind-parity/summary.md,npm run kind-parity:verify,Keep direct apply as a simple option while making interruptions and lifecycle ordering explicit.,
T29,Delivery,Record live convergence and observation freshness,partial,"Delivery claims include controller status, object equality, workload health, observer identity, and observation time.",data/live-e2e/summary.md;docs/reference/observation-freshness-slo.md,npm run top20:verify-local-e2e;npm run live-parity:verify,Store more live observations in ConfigHub and refresh receipts when target state or packages change.,
T30,Delivery,Roll back or unwind a reviewed change,partial,"A team can identify the prior revision, restore reversible fields, and retain an operation record without hiding irreversible migrations.",docs/user/day2-upgrade-rollback.md;docs/reference/upgrade-rollback-receipts.md,npm run docs:verify,Execute rollback in a live representative promotion lane and record the resulting workload observation.,
T31,Fleet operations,Preview fleet blast radius before rollout,partial,"A candidate change names the variants, targets, objects, and fields expected to change before promotion.",data/blast-radius-fleet/summary.md;data/blast-radius-accuracy/summary.md,npm run blast-radius-fleet:verify;npm run blast-radius:accuracy:verify,Increase measured cases and report misses and false predictions for every supported inheritance pattern.,
T32,Fleet operations,Roll out one revision in bounded waves,partial,One reviewed OCI digest can move from a pilot target to a larger target set with per-wave checks and observations.,data/oci-deploy-stage-rollout-proof/summary.md;data/sveltos-oci-delivery-proof/summary.md,npm run oci-deploy-stage-rollout:verify;npm run sveltos-oci-delivery:verify,Prove the same bounded rollout using a mixed-source platform fleet and production approval.,
T33,Fleet operations,Manage a Sveltos fleet from reviewed OCI,partial,ConfigHub approves two OCI revisions and Sveltos expands Kyverno from a pilot cluster to a second cluster with drift recovery.,docs/demo/sveltos/kyverno-fleet.md;runs/sveltos-oci-delivery-proof/receipt.yaml,npm run sveltos-oci-delivery:verify,"Add rollback, larger selectors, and a source update that exercises ConfigHub variant propagation.",
T34,Fleet operations,Manage a Kubara platform configuration,partial,"One reviewed Kubara platform configuration is packaged, routed, delivered through Argo CD, and observed on a downstream application.",docs/demo/kubara/local-platform.md;runs/kubara-oci-delivery-proof/receipt.yaml,npm run kubara-oci-delivery:verify,Add a multi-cluster Kubara rollout and show which fleet CRD fields are intended to vary.,
T35,Fleet operations,Distinguish workloads services and system configuration,partial,"Delivery policy and ownership can differ for user workloads, shared services, and cluster system configuration.",config-catalog/program.yaml;docs/reference/config-catalog-doctrine.md,npm run config-catalog:verify,"Encode the classification in executable example metadata and apply it to target, gate, and rollout choices.",
T36,ConfigHub Apps,Complete the Upgrade App,partial,"The App previews impact, tests a candidate, preserves approved edits, promotes it, and checks the rollout.",data/redis-upgrade-app-proof/summary.md;runs/redis-upgrade-app-proof/receipt.yaml,npm run redis-upgrade-app:verify,"Add the product App interface, readable promotion preview, persistent registry, and stored live observations.",
T37,ConfigHub Apps,Complete the Hooks and CRDs App,partial,"The App checks prerequisites, runs chart-specific setup in the recorded order, and stores receipts for each delivery method.",docs/demo/hooks-crds/kube-prometheus-stack.md;data/hooks-crds-app/summary.md,npm run hooks-crds-app:verify;npm run kps:lifecycle-route:verify,Run the upgrade route and the chart-specific Argo CD and Flux implementations before marking them automatic.,
T38,ConfigHub Apps,Complete the RBAC Review App,partial,"The App finds broad permissions, proposes an exact correction, requires approval, publishes OCI, and checks the live result.",docs/demo/apps/rbac-review.md;runs/rbac-review-live-proof/receipt.yaml,npm run rbac-review:live:verify,"Query a real fleet binding graph and prove Flux delivery, rollback, and rollout of an approved correction.",
T39,ConfigHub Apps,Complete the Fleet Platform App,partial,"The App assigns Helm, AICR, Kubara, or Sveltos-derived platform configuration to cluster groups and manages rollout waves.",data/demo-program/summary.md;data/blast-radius-fleet/summary.md,npm run config-catalog:verify;npm run blast-radius-fleet:verify,Run one mixed-source fleet wave through a shared interface with target-level observations.,
T40,ConfigHub Apps,Complete the AI Change Review App,partial,"The App turns an agent proposal into exact objects, diffs, checks, approval, delivery, observation, and unwind.",docs/demo/apps/ai-change-review.md;runs/ai-change-review-live-proof/receipt.yaml,npm run ai-change-review:live:verify,"Add AICR-aware policy, Kubernetes delivery, promotion, rollback, and live workload evidence.",
T41,Catalog,Maintain public packages for the top 100 Helm charts,available,One hundred chart entries have recipe and package proof artifacts plus public OCI references.,data/top100-readiness/summary.md;data/installer-oci-packages/summary.md,npm run top100:readiness:verify;npm run installer-oci:catalog:verify,Keep all packages reproducible and remove any public reference that no longer passes its package verifier.,
T42,Catalog,Complete production-scoped support decisions for the top 20,partial,"Each top-20 chart states its supported target scope, required prerequisites, scans, lifecycle work, live evidence, and remaining limits.",data/production-support-decisions/summary.md;data/production-disposition/summary.md,npm run production:support-decisions:verify;npm run production:disposition:verify,Close the remaining support decision and keep every decision tied to fresh target and image evidence.,
T43,Catalog,Promote the next 80 from proof-grade to useful catalog configs,partial,"More charts gain reviewed starting presets, useful variants, target guidance, and selected live evidence rather than default-only proof.",data/top100-coverage/summary.md;data/useful-base-realization-wave/summary.md,npm run top100:coverage:verify;npm run top100:useful-base-realization:verify,Build the remaining useful-base proposals and review promotion candidates in evidence order.,
T44,Catalog,Expand the catalog beyond Helm,partial,"The catalog explains and proves AICR, cub installer, literal OCI, Kubara, Sveltos, and Kubernetes YAML alongside Helm.",docs/user/config-catalog-demonstrations.md;data/demo-program/summary.md,npm run config-catalog:verify,Add stable browse pages and ready-to-use artifacts for every source family rather than leaving them only in demonstrations.,
T45,Catalog,Let users browse by starting point and next job,available,"A user can enter by Helm, AICR, installer, OCI, or YAML and then choose inspect, install, upload, customize, promote, deliver, operate, or build an App.",config-catalog/program.yaml;docs/user/config-catalog-demonstrations.md;site/charts/index.html;site/testing.html,npm run config-catalog:verify;npm run site:verify,Keep both navigation tables and their linked source pages current as starting points and jobs change.,
T46,Catalog,Put one plain-English README in every live demo Space,available,"A visitor opening a helm-catalog Space can understand why it exists, what it contains, how it was made, and where to find deeper evidence.",data/helm-catalog-readmes/summary.md;data/helm-catalog-readmes/spaces,npm run helm-catalog-readmes:verify,"Keep README Units synchronized whenever a Space, preset config, route, or linked chart page changes.",
T47,Catalog,Join chart pages to packages scripts README and proof,available,"Every runnable preset card links to its public OCI, scripts, Hub README material, render record, rendered YAML, and relevant evidence.",site/charts/bitnami-redis-25-5-3.html;site/sh/bitnami-redis-25-5-3/reuse-existing-secret/try.sh,npm run site:verify;npm run site:ux:verify,Keep generated links valid and preserve plain-English summaries as the catalog gains more source formats.,
T48,Catalog,Make hooks CRDs and setup work manageable per chart,partial,"Most real chart lifecycle cases use maintained chart-specific presets and routes, with tests and receipts rather than a universal replacement claim.",docs/user/chart-hooks-what-happens.md;data/hook-route-candidates/work-orders.md;data/lifecycle-routes/summary.md,npm run hooks:route-work-orders:verify;npm run lifecycle:routes:verify,"Execute the highest-value route work orders under Argo CD, Flux, and direct apply where each route applies.",
T49,Release quality,Keep the complete repository verification gate green,available,"Focused and broad verification agree that generated data, docs, packages, receipts, and public claims are current.",tests/npm-scripts.md;docs/user/verification.md,npm run verify,"Rerun the complete gate whenever packages, receipts, generated data, docs, or public claims change.",
T50,Adoption,Measure whether new users understand and complete the journey,planned,"Outside users can find a starting point, inspect or bring configuration, produce one deployable result, and understand why they would claim it in ConfigHub.",docs/planning/outside-user-test.md;docs/planning/persona-ux-audit-2026-06-22.md,npm run docs:verify,"Run fresh outside-user tests, choose the analytics boundary in issue 1060, and turn observed failures into tracked fixes.",https://github.com/confighub/helm-expt/issues/1060
