chart,version,default_base,bakes_shared_password,password_keys,password_fix_base,password_fix_command,ships_crds,crd_count,crd_separable_base,universal_caveats
hashicorp/consul,2.0.0,default-control-plane,no,,,,yes,28,,customize;prune;ssa-conflict
hashicorp/terraform,1.1.2,default,no,,,,yes,1,,customize;prune;ssa-conflict
hashicorp/vault,0.32.0,dev-mode,no,,,,no,0,,customize;prune;ssa-conflict
ingress-nginx/ingress-nginx,4.15.1,default,no,,default,kubectl -n ingress-nginx create secret generic ingress-nginx-admission --from-literal=cert=<value> --from-literal=key=<value> --from-literal=ca=<value>,no,0,,customize;prune;ssa-conflict
istio/gateway,1.30.0,default,no,,,,no,0,,customize;prune;ssa-conflict
istio/istiod,1.30.0,default,no,,,,no,0,,customize;prune;ssa-conflict
jaegertracing/jaeger,4.8.0,default,no,,,,no,0,,customize;prune;ssa-conflict
jaegertracing/jaeger-operator,2.57.0,default,no,,,,yes,1,,customize;prune;ssa-conflict
jetstack/cert-manager,v1.20.2,default,no,,,,yes,6,,customize;prune;ssa-conflict
jetstack/cert-manager-csi-driver,v0.14.0,default,no,,,,no,0,,customize;prune;ssa-conflict
jetstack/trust-manager,v0.22.1,default,no,,default,kubectl -n default create secret generic trust-manager-tls --from-literal=tls.crt=<value> --from-literal=tls.key=<value>,yes,3,no-crds,customize;prune;ssa-conflict
kedacore/keda,2.19.0,default,no,,,,yes,6,no-crds,customize;prune;ssa-conflict
kyverno/kyverno,3.8.1,default,no,,,,yes,22,no-crds,customize;prune;ssa-conflict
kyverno/kyverno-policies,3.8.0,default,no,,,,yes,1,,customize;prune;ssa-conflict
linkerd/linkerd-crds,1.8.0,default,no,,,,yes,8,,customize;prune;ssa-conflict
longhorn/longhorn,1.11.2,default,no,,,,yes,22,,customize;prune;ssa-conflict
metrics-server/metrics-server,3.13.0,default,no,,external-tls-ca,kubectl -n kube-system create secret generic metrics-server-tls --from-literal=tls.crt=<value> --from-literal=tls.key=<value>,no,0,,customize;prune;ssa-conflict
minio-operator/operator,7.1.1,default,no,,,,yes,2,,customize;prune;ssa-conflict
minio-operator/tenant,7.1.1,default,no,,,,yes,1,,customize;prune;ssa-conflict
nats/nack,0.34.0,default,no,,,,yes,6,no-crds,customize;prune;ssa-conflict
nats/nats,2.14.0,default,no,,,,no,0,,customize;prune;ssa-conflict
nats/surveyor,0.20.9,default,no,,,,no,0,,customize;prune;ssa-conflict
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,default,no,,,,no,0,,customize;prune;ssa-conflict
open-telemetry/opentelemetry-operator,0.114.0,default,no,,default,"Run cert-manager controller to satisfy the chart-rendered Certificate, or stage a valid TLS Secret before waiting for the operator",yes,6,no-crds,customize;prune;ssa-conflict
opencost/opencost,2.5.21,default,no,,,,no,0,,customize;prune;ssa-conflict
percona/pg-operator,3.0.0,default,no,,,,yes,8,no-crds,customize;prune;ssa-conflict
percona/psmdb-operator,1.22.0,default,no,,,,yes,3,no-crds,customize;prune;ssa-conflict
percona/pxc-operator,1.19.1,default,no,,,,yes,3,no-crds,customize;prune;ssa-conflict
projectcalico/tigera-operator,v3.32.0,default,no,,,,no,0,,customize;prune;ssa-conflict
prometheus-community/alertmanager,1.37.0,default,no,,,,no,0,,customize;prune;ssa-conflict
prometheus-community/kube-prometheus-stack,86.1.0,default,no,,,,no,0,no-crds,customize;prune;ssa-conflict
prometheus-community/kube-state-metrics,7.4.0,default,no,,,,no,0,,customize;prune;ssa-conflict
prometheus-community/prometheus,29.9.0,default,no,,,,no,0,,customize;prune;ssa-conflict
prometheus-community/prometheus-adapter,5.3.0,default,no,,,,no,0,,customize;prune;ssa-conflict
prometheus-community/prometheus-blackbox-exporter,11.10.0,default,no,,,,no,0,,customize;prune;ssa-conflict
prometheus-community/prometheus-node-exporter,4.55.0,default,no,,,,no,0,,customize;prune;ssa-conflict
prometheus-community/prometheus-operator-crds,29.0.0,default,no,,,,no,0,,customize;prune;ssa-conflict
prometheus-community/prometheus-pushgateway,3.6.0,default,no,,,,no,0,,customize;prune;ssa-conflict
rook-release/rook-ceph,v1.19.5,default,no,,,,yes,25,,customize;prune;ssa-conflict
rook-release/rook-ceph-cluster,v1.19.5,default,no,,,,yes,5,,customize;prune;ssa-conflict
runix/pgadmin4,1.62.0,default,yes,password,,,no,0,,customize;prune;ssa-conflict
sealed-secrets/sealed-secrets,2.18.6,default,no,,,,yes,1,no-crds,customize;prune;ssa-conflict
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,default,no,,,,yes,2,,customize;prune;ssa-conflict
stakater/reloader,2.2.12,default,no,,,,no,0,,customize;prune;ssa-conflict
strimzi/strimzi-kafka-operator,1.0.0,default,no,,,,yes,10,no-crds,customize;prune;ssa-conflict
traefik/traefik,40.2.0,default,no,,,,yes,25,no-crds,customize;prune;ssa-conflict
velero/velero,12.0.1,default,no,,,,yes,13,,customize;prune;ssa-conflict
vm/victoria-logs-single,0.12.5,default,no,,,,no,0,,customize;prune;ssa-conflict
vm/victoria-metrics-single,0.39.0,default,no,,,,no,0,,customize;prune;ssa-conflict
