"persona","run_id","category","job","current_label","preferred_label","current_label_score","preferred_label_score","label_alone_explains_own_ai","caveat"
"developer","developer-L20","language-persona-simulation","review a fleet configuration change","Ask","Check my config","2","8","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L01","language-persona-simulation","AI wrote Helm values; check whether they are safe","Ask","Check my config","1","9","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L02","language-persona-simulation","my chart is not in the catalog","Ask","Help with a chart","1","3","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L03","language-persona-simulation","find upgrade risk between two chart versions","Ask","Investigate","1","5","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L04","language-persona-simulation","compare a candidate with an installed release","Ask","Compare","1","8","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L05","language-persona-simulation","understand hooks and CRDs","Ask","Investigate","1","8","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L06","language-persona-simulation","review a private Helm configuration","Ask","Check my config","1","6","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L07","language-persona-simulation","check an AICR configuration","Ask","Check my config","1","9","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L08","language-persona-simulation","inspect an existing OCI package","Ask","Check my config","1","3","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L09","language-persona-simulation","transform one field in OCI","Ask","Check my config","1","3","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L10","language-persona-simulation","review plain Kubernetes YAML","Ask","Check my config","1","6","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L11","language-persona-simulation","find why deployment differs from the approved config","Ask","Investigate","1","8","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L12","language-persona-simulation","find whether Helm ignored a value","Ask","Investigate","1","5","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L13","language-persona-simulation","identify prerequisites before install","Ask","Investigate","1","2","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L14","language-persona-simulation","find a risky credential","Ask","Investigate","1","5","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L15","language-persona-simulation","compare immutable digests","Ask","Compare","1","8","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L16","language-persona-simulation","check whether rollback will restore exact bytes","Ask","Compare","1","5","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L17","language-persona-simulation","investigate live drift","Ask","Investigate","1","8","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L18","language-persona-simulation","compare development and production","Ask","Compare","1","11","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L19","language-persona-simulation","check whether production approval is required","Ask","Check my config","1","6","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L20","language-persona-simulation","review a fleet configuration change","Ask","Check my config","1","6","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L01","language-persona-simulation","AI wrote Helm values; check whether they are safe","Ask","Check my config","1","10","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L02","language-persona-simulation","my chart is not in the catalog","Ask","Help with a chart","1","3","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L03","language-persona-simulation","find upgrade risk between two chart versions","Ask","Compare","1","5","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L04","language-persona-simulation","compare a candidate with an installed release","Ask","Compare","1","8","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L05","language-persona-simulation","understand hooks and CRDs","Ask","Investigate","1","6","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L06","language-persona-simulation","review a private Helm configuration","Ask","Check my config","1","7","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L07","language-persona-simulation","check an AICR configuration","Ask","Check my config","1","10","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L08","language-persona-simulation","inspect an existing OCI package","Ask","Check my config","1","4","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L09","language-persona-simulation","transform one field in OCI","Ask","Check my config","1","4","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L10","language-persona-simulation","review plain Kubernetes YAML","Ask","Check my config","1","7","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L11","language-persona-simulation","find why deployment differs from the approved config","Ask","Investigate","1","6","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L12","language-persona-simulation","find whether Helm ignored a value","Ask","Investigate","1","3","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L13","language-persona-simulation","identify prerequisites before install","Ask","Compare","1","2","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L14","language-persona-simulation","find a risky credential","Ask","Check my config","1","4","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L15","language-persona-simulation","compare immutable digests","Ask","Compare","1","8","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L16","language-persona-simulation","check whether rollback will restore exact bytes","Ask","Compare","1","5","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L17","language-persona-simulation","investigate live drift","Ask","Investigate","1","6","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L18","language-persona-simulation","compare development and production","Ask","Compare","1","11","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L19","language-persona-simulation","check whether production approval is required","Ask","Check my config","1","7","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L20","language-persona-simulation","review a fleet configuration change","Ask","Check my config","1","7","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L01","language-persona-simulation","AI wrote Helm values; check whether they are safe","Ask","Check my config","1","11","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L02","language-persona-simulation","my chart is not in the catalog","Ask","Help with a chart","1","3","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L03","language-persona-simulation","find upgrade risk between two chart versions","Ask","Investigate","1","5","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L04","language-persona-simulation","compare a candidate with an installed release","Ask","Compare","1","6","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L05","language-persona-simulation","understand hooks and CRDs","Ask","Investigate","1","8","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L06","language-persona-simulation","review a private Helm configuration","Ask","Check my config","1","8","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L07","language-persona-simulation","check an AICR configuration","Ask","Check my config","1","11","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L08","language-persona-simulation","inspect an existing OCI package","Ask","Check my config","1","5","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L09","language-persona-simulation","transform one field in OCI","Ask","Check my config","1","5","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L10","language-persona-simulation","review plain Kubernetes YAML","Ask","Check my config","1","8","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L11","language-persona-simulation","find why deployment differs from the approved config","Ask","Investigate","1","8","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L12","language-persona-simulation","find whether Helm ignored a value","Ask","Investigate","1","5","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L13","language-persona-simulation","identify prerequisites before install","Ask","Check my config","1","2","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L14","language-persona-simulation","find a risky credential","Ask","Check my config","1","5","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L15","language-persona-simulation","compare immutable digests","Ask","Compare","1","6","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L16","language-persona-simulation","check whether rollback will restore exact bytes","Ask","Check my config","1","5","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L17","language-persona-simulation","investigate live drift","Ask","Investigate","1","8","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L18","language-persona-simulation","compare development and production","Ask","Compare","1","9","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L19","language-persona-simulation","check whether production approval is required","Ask","Check my config","1","8","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L20","language-persona-simulation","review a fleet configuration change","Ask","Check my config","1","8","no","Synthetic persona preference, not observed human behavior"
