chart,version,base,lane,prerequisite_kind,prerequisite_name,action_kind,owner_class,required_inputs,evidence_required,rerun_command,automatic,source_receipt,support_artifact
elastic/metricbeat,8.5.1,default,K,secret,Secret elasticsearch-master-certs,stage-secret,user-stage,Secret elasticsearch-master-certs,the named Secret(s) present in the target namespace before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart elastic/metricbeat --version 8.5.1 --base default,false,runs/live-kind-parity/elastic-metricbeat-default/receipt.yaml,
fluent/fluentd,0.5.3,default,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/fluent/fluentd/0.5.3 --base default,false,runs/live-helm-confighub-compare/fluent-fluentd-default/receipt.yaml,recipes/fluent/fluentd/0.5.3/runtime-review.yaml
gitlab/gitlab-runner,0.89.0,default,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/gitlab/gitlab-runner/0.89.0 --base default,false,runs/live-helm-confighub-compare/gitlab-gitlab-runner-default/receipt.yaml,
gitlab/gitlab-runner,0.89.0,default,K,external-api,unknown,provide-external-service,operator-review,the upstream service/endpoint the workload connects to,the upstream service/endpoint reachable from the workload; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart gitlab/gitlab-runner --version 0.89.0 --base default,false,runs/live-kind-parity/gitlab-gitlab-runner-default/receipt.yaml,
grafana/pyroscope,2.0.2,default,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/grafana/pyroscope/2.0.2 --base default,false,runs/live-helm-confighub-compare/grafana-pyroscope-default/receipt.yaml,recipes/grafana/pyroscope/2.0.2/runtime-review.yaml
grafana/pyroscope,2.0.2,ha,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/grafana/pyroscope/2.0.2 --base ha,false,runs/live-helm-confighub-compare/grafana-pyroscope-ha/receipt.yaml,recipes/grafana/pyroscope/2.0.2/runtime-review.yaml
grafana/pyroscope,2.0.2,no-crds,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/grafana/pyroscope/2.0.2 --base no-crds,false,runs/live-helm-confighub-compare/grafana-pyroscope-no-crds/receipt.yaml,recipes/grafana/pyroscope/2.0.2/runtime-review.yaml
hashicorp/terraform,1.1.2,default,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/hashicorp/terraform/1.1.2 --base default,false,runs/live-helm-confighub-compare/hashicorp-terraform-default/receipt.yaml,recipes/hashicorp/terraform/1.1.2/target-prerequisite-plan.yaml
hashicorp/terraform,1.1.2,no-crds,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/hashicorp/terraform/1.1.2 --base no-crds,false,runs/live-helm-confighub-compare/hashicorp-terraform-no-crds/receipt.yaml,recipes/hashicorp/terraform/1.1.2/target-prerequisite-plan.yaml
hashicorp/terraform,1.1.2,no-crds,K,secret,Secret workspacesecrets; Secret terraformrc,stage-secret,user-stage,Secret workspacesecrets; Secret terraformrc,the named Secret(s) present in the target namespace before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart hashicorp/terraform --version 1.1.2 --base no-crds,false,runs/live-kind-parity/hashicorp-terraform-no-crds/receipt.yaml,recipes/hashicorp/terraform/1.1.2/target-prerequisite-plan.yaml
hashicorp/vault,0.32.0,ha-raft-ui,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/hashicorp/vault/0.32.0 --base ha-raft-ui,false,runs/live-helm-confighub-compare/hashicorp-vault-ha-raft-ui/receipt.yaml,recipes/hashicorp/vault/0.32.0/operating-policy.yaml
istio/istiod,1.30.0,default,G/P,namespace,unknown,create-namespace,user-stage,the target Namespace named by the chart,the named Namespace exists on the target before apply; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/istio/istiod/1.30.0 --base default,false,runs/live-helm-confighub-compare/istio-istiod-default/receipt.yaml,recipes/istio/istiod/1.30.0/target-prerequisite-plan.yaml
istio/istiod,1.30.0,default,K,namespace,Namespace istio-system,create-namespace,user-stage,Namespace istio-system,the named Namespace exists on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart istio/istiod --version 1.30.0 --base default,false,runs/live-kind-parity/istio-istiod-default/receipt.yaml,recipes/istio/istiod/1.30.0/target-prerequisite-plan.yaml
jaegertracing/jaeger-operator,2.57.0,default,G/P,crd,cert-manager CRDs,install-crds,operator-review,cert-manager CRDs,the required CRDs Established on the target before apply; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/jaegertracing/jaeger-operator/2.57.0 --base default,false,runs/live-helm-confighub-compare/jaegertracing-jaeger-operator-default/receipt.yaml,recipes/jaegertracing/jaeger-operator/2.57.0/target-prerequisite-plan.yaml
jaegertracing/jaeger-operator,2.57.0,default,K,crd,cert-manager CRDs,install-crds,operator-review,cert-manager CRDs,the required CRDs Established on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart jaegertracing/jaeger-operator --version 2.57.0 --base default,false,runs/live-kind-parity/jaegertracing-jaeger-operator-default/receipt.yaml,recipes/jaegertracing/jaeger-operator/2.57.0/target-prerequisite-plan.yaml
jaegertracing/jaeger-operator,2.57.0,no-crds,K,crd,cert-manager CRDs,install-crds,operator-review,cert-manager CRDs,the required CRDs Established on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart jaegertracing/jaeger-operator --version 2.57.0 --base no-crds,false,runs/live-kind-parity/jaegertracing-jaeger-operator-no-crds/receipt.yaml,recipes/jaegertracing/jaeger-operator/2.57.0/target-prerequisite-plan.yaml
nats/surveyor,0.20.9,default-reviewed,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/nats/surveyor/0.20.9 --base default-reviewed,false,runs/live-helm-confighub-compare/nats-surveyor-default-reviewed/receipt.yaml,recipes/nats/surveyor/0.20.9/runtime-review.yaml
nats/surveyor,0.20.9,default-reviewed,K,external-api,unknown,provide-external-service,operator-review,the upstream service/endpoint the workload connects to,the upstream service/endpoint reachable from the workload; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart nats/surveyor --version 0.20.9 --base default-reviewed,false,runs/live-kind-parity/nats-surveyor-default-reviewed/receipt.yaml,recipes/nats/surveyor/0.20.9/runtime-review.yaml
nats/surveyor,0.20.9,default,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/nats/surveyor/0.20.9 --base default,false,runs/live-helm-confighub-compare/nats-surveyor-default/receipt.yaml,recipes/nats/surveyor/0.20.9/runtime-review.yaml
nats/surveyor,0.20.9,default,K,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart nats/surveyor --version 0.20.9 --base default,false,runs/live-kind-parity/nats-surveyor-default/receipt.yaml,recipes/nats/surveyor/0.20.9/runtime-review.yaml
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,default,K,unknown,value nfs.server,unknown-preflight,user-stage,value nfs.server,the missing input(s) supplied and the re-render matching regular Helm; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart nfs-subdir-external-provisioner/nfs-subdir-external-provisioner --version 4.0.18 --base default,false,runs/live-kind-parity/nfs-subdir-external-provisioner-nfs-subdir-external-provisioner-default/receipt.yaml,
opencost/opencost,2.5.21,default,G/P,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/opencost/opencost/2.5.21 --base default,false,runs/live-helm-confighub-compare/opencost-opencost-default/receipt.yaml,
opencost/opencost,2.5.21,default,K,unknown,unknown,operator-review,operator-review,operator review of the runtime residue,an operator decision recorded for this base/target; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart opencost/opencost --version 2.5.21 --base default,false,runs/live-kind-parity/opencost-opencost-default/receipt.yaml,
prometheus-community/prometheus-adapter,5.3.0,cluster-metrics-readonly,K,crd,unknown,install-crds,user-stage,the chart's CRDs,the required CRDs Established on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart prometheus-community/prometheus-adapter --version 5.3.0 --base cluster-metrics-readonly,false,runs/live-kind-parity/prometheus-community-prometheus-adapter-cluster-metrics-readonly/receipt.yaml,
prometheus-community/prometheus-adapter,5.3.0,default,K,crd,unknown,install-crds,user-stage,the chart's CRDs,the required CRDs Established on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart prometheus-community/prometheus-adapter --version 5.3.0 --base default,false,runs/live-kind-parity/prometheus-community-prometheus-adapter-default/receipt.yaml,
rook-release/rook-ceph-cluster,v1.19.5,default,G/P,namespace,Namespace rook-ceph,create-namespace,user-stage,Namespace rook-ceph,the named Namespace exists on the target before apply; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/rook-release/rook-ceph-cluster/v1.19.5 --base default,false,runs/live-helm-confighub-compare/rook-release-rook-ceph-cluster-default/receipt.yaml,recipes/rook-release/rook-ceph-cluster/v1.19.5/target-prerequisite-plan.yaml
rook-release/rook-ceph-cluster,v1.19.5,default,K,namespace,Namespace rook-ceph,create-namespace,user-stage,Namespace rook-ceph,the named Namespace exists on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart rook-release/rook-ceph-cluster --version v1.19.5 --base default,false,runs/live-kind-parity/rook-release-rook-ceph-cluster-default/receipt.yaml,recipes/rook-release/rook-ceph-cluster/v1.19.5/target-prerequisite-plan.yaml
velero/velero,12.0.1,no-crds,K,crd,unknown,install-crds,user-stage,the chart's CRDs,the required CRDs Established on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart velero/velero --version 12.0.1 --base no-crds,false,runs/live-kind-parity/velero-velero-no-crds/receipt.yaml,
