source_queue,chart,version,base,lane,current_result,gap_kind,resolution_path,variant_role,recommended_variant_or_action,existing_off_ramp,first_step,evidence_needed,rerun_command,source_evidence
model-gap,hashicorp/terraform,1.1.2,default,K,blocked,crd-lifecycle,crd-ownership-base-or-target-action,CRD ownership base plus target prerequisite,"prefer no-crds with required Secrets staged, or keep default as the CRD-rendering base with lifecycle review",,separate Terraform Workspace CRD ownership from the Secret prerequisites needed by the controller,"fresh K receipt for no-crds after Secrets are staged, or a CRD lifecycle receipt for default",npm run kind-parity:run -- --chart hashicorp/terraform --version 1.1.2 --base default,runs/live-kind-parity/hashicorp-terraform-default/receipt.yaml
model-gap,nats/nack,0.34.0,default,K,blocked,crd-lifecycle,use-existing-sibling-base,CRD ownership off-ramp,prefer no-crds for K parity; keep default as the CRD-rendering base with lifecycle review,no-crds (K pass),mark no-crds as the first K-safe base and keep default scoped to CRD-owning targets,existing no-crds K pass receipt plus any future default CRD lifecycle receipt,npm run kind-parity:run -- --chart nats/nack --version 0.34.0 --base default,runs/live-kind-parity/nats-nack-default/receipt.yaml
model-gap,nats/nats,2.14.0,ha,K,blocked,object-set-shape,use-existing-sibling-or-normalize-ha,HA topology base,prefer default where HA is not required; normalize ha only if HA remains a supported user choice,default (K pass),decide whether HA is a supported public base for this chart or a target-scoped advanced base,"existing default K pass receipt, or fresh ha K receipt after normalization",npm run kind-parity:run -- --chart nats/nats --version 2.14.0 --base ha,runs/live-kind-parity/nats-nats-ha/receipt.yaml
model-gap,nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,default,G/P,blocked,unknown,new-storage-base-variant,storage target base,add storage-default-reviewed with nfs.server and nfs.path modeled as render-time inputs or target facts,,replace the implicit default with a base that names the NFS server contract before render and before delivery,"Helm equivalence, scan/gate, target-prerequisite action, and fresh G/P receipt for the storage-default-reviewed base",npm run live-parity:run -- --recipe recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18 --base default,runs/live-helm-confighub-compare/nfs-subdir-external-provisioner-nfs-subdir-external-provisioner-default/receipt.yaml
model-gap,prometheus-community/kube-prometheus-stack,86.1.0,default,K,blocked,crd-lifecycle,use-existing-sibling-base,CRD ownership off-ramp,prefer no-crds for K parity; keep default as the CRD-rendering base with CRD lifecycle review,no-crds (K pass),make no-crds the first K-safe base for 86.1.0 and leave default scoped to CRD-owning targets,existing no-crds K pass receipt plus CRD lifecycle receipts for default,npm run kind-parity:run -- --chart prometheus-community/kube-prometheus-stack --version 86.1.0 --base default,runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml
model-gap,prometheus-community/prometheus-adapter,5.3.0,cluster-metrics-readonly,G/P,blocked,semantic-normalization,use-existing-capability-base,capability-profile base,prefer apiservice-v1-capability on targets that serve apiregistration.k8s.io/v1,apiservice-v1-capability (G/P pass),route users from cluster-metrics-readonly to apiservice-v1-capability when APIService v1 is required,existing apiservice-v1-capability G/P pass receipt and a catalog note that explains the off-ramp,npm run live-parity:run -- --recipe recipes/prometheus-community/prometheus-adapter/5.3.0 --base cluster-metrics-readonly,runs/live-helm-confighub-compare/prometheus-community-prometheus-adapter-cluster-metrics-readonly/receipt.yaml
model-gap,prometheus-community/prometheus-adapter,5.3.0,default,G/P,blocked,semantic-normalization,use-existing-capability-base,capability-profile base,prefer apiservice-v1-capability on targets that serve apiregistration.k8s.io/v1,apiservice-v1-capability (G/P pass),route users from default to apiservice-v1-capability when APIService v1 is required,existing apiservice-v1-capability G/P pass receipt and a catalog note that explains the off-ramp,npm run live-parity:run -- --recipe recipes/prometheus-community/prometheus-adapter/5.3.0 --base default,runs/live-helm-confighub-compare/prometheus-community-prometheus-adapter-default/receipt.yaml
model-gap,traefik/traefik,40.2.0,default,K,blocked,crd-lifecycle,use-existing-sibling-base,CRD ownership off-ramp,prefer no-crds for K parity; add external-crds as the user-facing name if the current no-crds label is too implementation-shaped,no-crds (K pass),align the Traefik CRD ownership vocabulary with the wave-2 real variant work order,"existing no-crds K pass receipt, plus a renamed or aliased external-crds base if chosen",npm run kind-parity:run -- --chart traefik/traefik --version 40.2.0 --base default,runs/live-kind-parity/traefik-traefik-default/receipt.yaml
model-gap,velero/velero,12.0.1,default,G/P,blocked,base-design,new-provider-base-variant,provider and credential base,"add aws-s3-existing-secret, azure-blob-existing-secret, or filesystem-backup-node-agent as real rendered bases",,implement the first Velero provider base from catalog-promotion-wave2 and bind backup credentials as target facts,"Helm equivalence, scan/gate, ConfigHub proof, and fresh G/P receipt for the chosen provider base",npm run live-parity:run -- --recipe recipes/velero/velero/12.0.1 --base default,runs/live-helm-confighub-compare/velero-velero-default/receipt.yaml
model-gap,velero/velero,12.0.1,default,K,blocked,base-design,new-provider-base-variant,provider and credential base,"add aws-s3-existing-secret, azure-blob-existing-secret, or filesystem-backup-node-agent as real rendered bases",,implement the first Velero provider base from catalog-promotion-wave2 and bind backup credentials as target facts,"Helm equivalence, scan/gate, ConfigHub proof, and fresh K receipt for the chosen provider base",npm run kind-parity:run -- --chart velero/velero --version 12.0.1 --base default,runs/live-kind-parity/velero-velero-default/receipt.yaml
model-gap,velero/velero,12.0.1,no-crds,G/P,blocked,base-design,new-provider-base-variant,provider and credential base with external CRDs,add a provider-specific no-crds base only after the provider base is rendered and proved,,"start with a provider base, then split CRD ownership if the target supplies Velero CRDs","provider base proof first, then fresh no-crds G/P receipt with CRDs staged",npm run live-parity:run -- --recipe recipes/velero/velero/12.0.1 --base no-crds,runs/live-helm-confighub-compare/velero-velero-no-crds/receipt.yaml
target-prerequisite,autoscaler/cluster-autoscaler,9.57.0,default,K,watch,unknown,new-base-variant-after-input-identification,base variant if rendered objects change,"identify the missing input, then decide whether it belongs in a base variant or a target fact",,"replace the unknown prerequisite with a named chart value, Secret, namespace, CRD, or external dependency",the missing input(s) supplied and the re-render matching regular Helm; then a fresh K parity receipt for this base,,runs/live-kind-parity/autoscaler-cluster-autoscaler-default/receipt.yaml
target-prerequisite,aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,default,G/P,watch,topology,target-scoped-base,platform topology base,scope this base to targets that provide AWS/EKS metadata + node providerID,,record the platform target shape and do not treat vanilla kind as the authoritative target for this base,a bound PVC / a target with the required topology; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1 --base default,runs/live-helm-confighub-compare/aws-ebs-csi-driver-aws-ebs-csi-driver-default/receipt.yaml
target-prerequisite,dex/dex,0.24.0,default,G/P,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/dex/dex/0.24.0 --base default,runs/live-helm-confighub-compare/dex-dex-default/receipt.yaml
target-prerequisite,dex/dex,0.24.0,default,K,blocked,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart dex/dex --version 0.24.0 --base default,runs/live-kind-parity/dex-dex-default/receipt.yaml
target-prerequisite,elastic/filebeat,8.5.1,default,G/P,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/elastic/filebeat/8.5.1 --base default,runs/live-helm-confighub-compare/elastic-filebeat-default/receipt.yaml
target-prerequisite,elastic/filebeat,8.5.1,default,K,blocked,secret,derived-target-variant,target-bound derived variant,bind Secret elasticsearch-master-certs as a target fact on a derived ConfigHub variant,,"create or reference the Secret in the target, then bind it through the target-prerequisite action packet",the named Secret(s) present in the target namespace before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart elastic/filebeat --version 8.5.1 --base default,runs/live-kind-parity/elastic-filebeat-default/receipt.yaml
target-prerequisite,elastic/filebeat,8.5.1,node-or-cluster-collector,G/P,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/elastic/filebeat/8.5.1 --base node-or-cluster-collector,runs/live-helm-confighub-compare/elastic-filebeat-node-or-cluster-collector/receipt.yaml
target-prerequisite,elastic/filebeat,8.5.1,node-or-cluster-collector,K,blocked,external-api,stack-or-target-fact-variant,stack-derived variant,"bind the upstream endpoint as a target fact, or create a stack variant that includes the dependency",,"identify the upstream service or API the workload expects, then encode it as a target fact or stack dependency",the upstream service/endpoint reachable from the workload; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart elastic/filebeat --version 8.5.1 --base node-or-cluster-collector,runs/live-kind-parity/elastic-filebeat-node-or-cluster-collector/receipt.yaml
target-prerequisite,elastic/kibana,8.5.1,default,G/P,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/elastic/kibana/8.5.1 --base default,runs/live-helm-confighub-compare/elastic-kibana-default/receipt.yaml
target-prerequisite,elastic/kibana,8.5.1,default,K,blocked,external-api,stack-or-target-fact-variant,stack-derived variant,"bind the upstream endpoint as a target fact, or create a stack variant that includes the dependency",,"identify the upstream service or API the workload expects, then encode it as a target fact or stack dependency",the upstream service/endpoint reachable from the workload; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart elastic/kibana --version 8.5.1 --base default,runs/live-kind-parity/elastic-kibana-default/receipt.yaml
target-prerequisite,elastic/metricbeat,8.5.1,default,G/P,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/elastic/metricbeat/8.5.1 --base default,runs/live-helm-confighub-compare/elastic-metricbeat-default/receipt.yaml
target-prerequisite,elastic/metricbeat,8.5.1,default,K,blocked,secret,derived-target-variant,target-bound derived variant,bind Secret elasticsearch-master-certs as a target fact on a derived ConfigHub variant,,"create or reference the Secret in the target, then bind it through the target-prerequisite action packet",the named Secret(s) present in the target namespace before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart elastic/metricbeat --version 8.5.1 --base default,runs/live-kind-parity/elastic-metricbeat-default/receipt.yaml
target-prerequisite,fairwinds-stable/vpa,4.11.0,default,K,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart fairwinds-stable/vpa --version 4.11.0 --base default,runs/live-kind-parity/fairwinds-stable-vpa-default/receipt.yaml
target-prerequisite,fairwinds-stable/vpa,4.11.0,no-crds,K,watch,crd,crd-ownership-base-or-target-action,CRD ownership base plus target prerequisite,"use a CRD-rendering base, or keep no-crds as external-crds with the CRDs staged first",,choose whether this target owns CRDs through the base or through an external prerequisite,the required CRDs Established on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart fairwinds-stable/vpa --version 4.11.0 --base no-crds,runs/live-kind-parity/fairwinds-stable-vpa-no-crds/receipt.yaml
target-prerequisite,fluent/fluentd,0.5.3,default,G/P,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/fluent/fluentd/0.5.3 --base default,runs/live-helm-confighub-compare/fluent-fluentd-default/receipt.yaml
target-prerequisite,gitlab/gitlab-runner,0.89.0,default,G/P,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/gitlab/gitlab-runner/0.89.0 --base default,runs/live-helm-confighub-compare/gitlab-gitlab-runner-default/receipt.yaml
target-prerequisite,gitlab/gitlab-runner,0.89.0,default,K,watch,external-api,stack-or-target-fact-variant,stack-derived variant,"bind the upstream endpoint as a target fact, or create a stack variant that includes the dependency",,"identify the upstream service or API the workload expects, then encode it as a target fact or stack dependency",the upstream service/endpoint reachable from the workload; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart gitlab/gitlab-runner --version 0.89.0 --base default,runs/live-kind-parity/gitlab-gitlab-runner-default/receipt.yaml
target-prerequisite,grafana/pyroscope,2.0.2,default,G/P,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/grafana/pyroscope/2.0.2 --base default,runs/live-helm-confighub-compare/grafana-pyroscope-default/receipt.yaml
target-prerequisite,grafana/pyroscope,2.0.2,ha,G/P,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/grafana/pyroscope/2.0.2 --base ha,runs/live-helm-confighub-compare/grafana-pyroscope-ha/receipt.yaml
target-prerequisite,grafana/pyroscope,2.0.2,no-crds,G/P,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/grafana/pyroscope/2.0.2 --base no-crds,runs/live-helm-confighub-compare/grafana-pyroscope-no-crds/receipt.yaml
target-prerequisite,grafana/rollout-operator,0.49.0,no-crds,K,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart grafana/rollout-operator --version 0.49.0 --base no-crds,runs/live-kind-parity/grafana-rollout-operator-no-crds/receipt.yaml
target-prerequisite,hashicorp/terraform,1.1.2,default,G/P,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/hashicorp/terraform/1.1.2 --base default,runs/live-helm-confighub-compare/hashicorp-terraform-default/receipt.yaml
target-prerequisite,hashicorp/terraform,1.1.2,no-crds,G/P,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/hashicorp/terraform/1.1.2 --base no-crds,runs/live-helm-confighub-compare/hashicorp-terraform-no-crds/receipt.yaml
target-prerequisite,hashicorp/terraform,1.1.2,no-crds,K,blocked,secret,derived-target-variant,target-bound derived variant,bind Secret workspacesecrets; Secret terraformrc as a target fact on a derived ConfigHub variant,,"create or reference the Secret in the target, then bind it through the target-prerequisite action packet",the named Secret(s) present in the target namespace before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart hashicorp/terraform --version 1.1.2 --base no-crds,runs/live-kind-parity/hashicorp-terraform-no-crds/receipt.yaml
target-prerequisite,hashicorp/vault,0.32.0,ha-raft-ui,G/P,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/hashicorp/vault/0.32.0 --base ha-raft-ui,runs/live-helm-confighub-compare/hashicorp-vault-ha-raft-ui/receipt.yaml
target-prerequisite,istio/istiod,1.30.0,default,G/P,blocked,namespace,derived-target-variant,target-bound derived variant,stage the namespace prerequisite before delivery and attach the namespace choice to the target variant,,create the Namespace or make namespace creation an explicit preflight step for this target,the named Namespace exists on the target before apply; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/istio/istiod/1.30.0 --base default,runs/live-helm-confighub-compare/istio-istiod-default/receipt.yaml
target-prerequisite,istio/istiod,1.30.0,default,K,blocked,namespace,derived-target-variant,target-bound derived variant,stage Namespace istio-system before delivery and attach the namespace choice to the target variant,,create the Namespace or make namespace creation an explicit preflight step for this target,the named Namespace exists on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart istio/istiod --version 1.30.0 --base default,runs/live-kind-parity/istio-istiod-default/receipt.yaml
target-prerequisite,jaegertracing/jaeger-operator,2.57.0,default,G/P,blocked,crd,crd-ownership-base-or-target-action,CRD ownership base plus target prerequisite,"use a CRD-rendering base, or keep default as external-crds with the CRDs staged first",,choose whether this target owns CRDs through the base or through an external prerequisite,the required CRDs Established on the target before apply; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/jaegertracing/jaeger-operator/2.57.0 --base default,runs/live-helm-confighub-compare/jaegertracing-jaeger-operator-default/receipt.yaml
target-prerequisite,jaegertracing/jaeger-operator,2.57.0,default,K,blocked,crd,crd-ownership-base-or-target-action,CRD ownership base plus target prerequisite,"use a CRD-rendering base, or keep default as external-crds with the CRDs staged first",,choose whether this target owns CRDs through the base or through an external prerequisite,the required CRDs Established on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart jaegertracing/jaeger-operator --version 2.57.0 --base default,runs/live-kind-parity/jaegertracing-jaeger-operator-default/receipt.yaml
target-prerequisite,jaegertracing/jaeger-operator,2.57.0,no-crds,G/P,blocked,crd,crd-ownership-base-or-target-action,CRD ownership base plus target prerequisite,"use a CRD-rendering base, or keep no-crds as external-crds with the CRDs staged first",,choose whether this target owns CRDs through the base or through an external prerequisite,the required CRDs Established on the target before apply; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/jaegertracing/jaeger-operator/2.57.0 --base no-crds,runs/live-helm-confighub-compare/jaegertracing-jaeger-operator-no-crds/receipt.yaml
target-prerequisite,jaegertracing/jaeger-operator,2.57.0,no-crds,K,blocked,crd,crd-ownership-base-or-target-action,CRD ownership base plus target prerequisite,"use a CRD-rendering base, or keep no-crds as external-crds with the CRDs staged first",,choose whether this target owns CRDs through the base or through an external prerequisite,the required CRDs Established on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart jaegertracing/jaeger-operator --version 2.57.0 --base no-crds,runs/live-kind-parity/jaegertracing-jaeger-operator-no-crds/receipt.yaml
target-prerequisite,kedacore/keda,2.19.0,no-crds,K,watch,secret,derived-target-variant,target-bound derived variant,bind Secret kedaorg-certs as a target fact on a derived ConfigHub variant,,"create or reference the Secret in the target, then bind it through the target-prerequisite action packet",the named Secret(s) present in the target namespace before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart kedacore/keda --version 2.19.0 --base no-crds,runs/live-kind-parity/kedacore-keda-no-crds/receipt.yaml
target-prerequisite,nats/surveyor,0.20.9,default-reviewed,G/P,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/nats/surveyor/0.20.9 --base default-reviewed,runs/live-helm-confighub-compare/nats-surveyor-default-reviewed/receipt.yaml
target-prerequisite,nats/surveyor,0.20.9,default-reviewed,K,blocked,external-api,stack-or-target-fact-variant,stack-derived variant,"bind the upstream endpoint as a target fact, or create a stack variant that includes the dependency",,"identify the upstream service or API the workload expects, then encode it as a target fact or stack dependency",the upstream service/endpoint reachable from the workload; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart nats/surveyor --version 0.20.9 --base default-reviewed,runs/live-kind-parity/nats-surveyor-default-reviewed/receipt.yaml
target-prerequisite,nats/surveyor,0.20.9,default,G/P,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/nats/surveyor/0.20.9 --base default,runs/live-helm-confighub-compare/nats-surveyor-default/receipt.yaml
target-prerequisite,nats/surveyor,0.20.9,default,K,blocked,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart nats/surveyor --version 0.20.9 --base default,runs/live-kind-parity/nats-surveyor-default/receipt.yaml
