component,rank,candidate,publisher,license,shape,source,latest_version,index_status,artifact_status,caveats
postgresql,4,Crunchy PGO (Postgres Operator from Crunchy Data) - verified but not shortlisted,"Crunchy Data (official; Chart.yaml: 'Installer for PGO, the open source Postgres Operator from Crunchy Data')","Chart tgz bundles LICENSE.txt = 'Crunchy PostgreSQL for Kubernetes Terms of Use' (Crunchy Data Developer Program terms, not an OSI license); the operator SOURCE repo CrunchyData/postgres-operator is Apache-2.0",operator,oci://registry.developers.crunchydata.com/crunchydata/pgo,6.0.2 (appVersion 6.0.2; digest sha256:161c722234b0824771e36773f279f2cf228c5314b094736419a0d57e15f3d710),200,200,"Ranked last despite official-vendor status because the packaged chart and all default image pins sit on Crunchy's own developer registry under Terms-of-Use conditions rather than an OSI license, the same vendor-registry dependency profile the catalog is currently exiting; plus the full operator shape change. Facts only: anonymous access works today and releases are active."
mysql,1,Oracle MySQL Operator for Kubernetes (mysql-operator + mysql-innodbcluster),MySQL team at Oracle (official vendor; github.com/mysql/mysql-operator),"UPL-1.0 (Universal Permissive License v1.0, per repo LICENSE 'MySQL Operator for Kubernetes 26.7.0 Community'; no LICENSE file inside the chart tgz; MySQL server images are licensed separately)",operator,https://mysql.github.io/mysql-operator/,"2.3.0 (appVersion 26.7.0, index generated 2026-07-31)",200,200,"Big shape change from a plain chart: two-chart install (operator with CRDs first, then mysql-innodbcluster which creates an InnoDBCluster CR). values.yaml is largely commented-out documentation, so the effective defaults surface is thin. podSpec and router.podSpec are honored only at initial build (chart's own warning: 'carved into stone'). Chart uses Helm lookup for Secret validation; disableLookups: true exists for helm template / render-only workflows, directly relevant to render-early pipelines. Chart.yaml has no maintainers or license field."
mysql,2,Percona Operator for MySQL (ps-operator + ps-db; pxc-operator/pxc-db sibling lane also verified),"Percona (official vendor; github.com/percona/percona-helm-charts, four named Percona maintainers in Chart.yaml)",Apache-2.0 (repo LICENSE; pxc-operator tgz also embeds LICENSE.txt Apache-2.0),operator,https://percona.github.io/percona-helm-charts/,ps lane 1.2.0 (2026-07-03); pxc lane 1.20.0 (2026-06-05),200,200,"Ships Percona Server for MySQL (Percona's MySQL distribution), not Oracle-built MySQL binaries; pxc lane ships Percona XtraDB Cluster (Galera-style). Operator shape: CRDs via ps-operator first, ps-db creates a PerconaServerMySQL CR; crVersion in ps-db must match the operator version. upgradeOptions.versionServiceEndpoint points at check.percona.com but apply: disabled is the default. Default finalizer percona.com/delete-mysql-pods-in-order."
mysql,3,"mariadb-operator (mariadb-operator + mariadb-cluster) — MariaDB, not MySQL","mariadb-operator project; maintainer mmontes11 (martin.montes@mariadb.com), LICENSE copyright MariaDB plc","MIT (repo LICENSE, Copyright 2023 MariaDB plc; no LICENSE inside tgz)",operator,https://helm.mariadb.com/mariadb-operator (307-redirects to https://mariadb-operator.github.io/mariadb-operator/),"26.6.0 (both charts, 2026-06-06)",200,200,"This is an engine change, not a chart swap: it deploys MariaDB, which is protocol-compatible for many clients but is not MySQL and diverges from MySQL 8.x+ features. Double shape change versus Bitnami mysql (operator model AND different database). mariadb-cluster appVersion is 0.0.0 (it is a thin CR wrapper). The vanity index URL adds a 307 hop; pin the github.io URL if redirect-free fetching matters."
mongodb,1,Percona Operator for MongoDB (psmdb-operator + psmdb-db),Percona (Chart.yaml maintainers are @percona.com addresses; hosted on percona GitHub org),"Charts: Apache-2.0 (LICENSE.txt bundled in psmdb-operator chart and repo-root LICENSE both Apache-2.0; Chart.yaml has no license field). Database image percona/percona-server-mongodb 8.0.26-11 is Percona Server for MongoDB, licensed SSPL-1.0 like upstream — not OSI-approved; fine for internal use, restrictive if you offer MongoDB as a service.",operator,https://percona.github.io/percona-helm-charts/,"1.23.0 (both charts, released 2026-07-23)",200,200,"Major shape change from the Bitnami plain chart: two-chart install (operator first, then one psmdb-db release per cluster), CRDs (PerconaServerMongoDB), and day-2 driven by the operator (SmartUpdate strategy). The image is Percona Server for MongoDB, a drop-in fork, not upstream mongo. upgradeOptions.versionServiceEndpoint points at check.percona.com but apply=disabled by default. tgz status 200 is the final status after GitHub Releases' 302 redirect."
mongodb,2,MongoDB official helm-charts: mongodb-kubernetes (MCK) — successor to community-operator,"MongoDB (Chart.yaml maintainer: MongoDB, support@mongodb.com; mongodb GitHub org)","Chart repo mongodb/helm-charts: Apache-2.0. Operator itself is dual-licensed per LICENSE-MCK in mongodb/mongodb-kubernetes: Apache-2.0 when managing MongoDB Community clusters, MongoDB Customer Agreement for Enterprise/Ops Manager use. The legacy community-operator repo additionally puts the MongoDB Agent binary under a 'Free for Commercial Use - Oct 2020' license and says you must agree to both. Database image docker.io/mongodb/mongodb-community-server is SSPL-1.0.",operator,https://mongodb.github.io/helm-charts,1.10.0 (released 2026-07-30); community-operator stuck at 0.13.0 since 2025-04-11,200,200,"The task named the Community Operator chart; measured facts: it is live (index 200, tgz 200) but has had no release for ~16 months, while MongoDB's release activity moved to the unified mongodb-kubernetes chart (15 releases, latest 2026-07-30). Either way this is an operator, a large catalog shape change from a plain chart, and values do not describe the database — CRs do. Dual license on MCK needs reading if any Enterprise features are in scope. tgz status is post-redirect final status."
mongodb,3,groundhog2k mongodb (plain chart),groundhog2k (individual maintainer per Chart.yaml; not a vendor or CNCF project),"Chart repo: MIT (GitHub API license detection). Image is the Docker official docker.io/mongo (MongoDB Community Server), which is SSPL-1.0.",plain-chart,https://groundhog2k.github.io/helm-charts/,"0.8.0 (chart, released 2026-07-28; appVersion 8.3.7)",200,200,"Closest drop-in to the Bitnami plain-chart shape and very actively released (139 chart releases, three on 2026-07-28 alone), but published by a single individual, which misses the vendor/CNCF quality bar — bus-factor and support risk. Values layout differs from Bitnami's (auth.existingSecret equivalents are spread across settings/extraEnvSecrets), so a values translation is still needed. tgz status is post-redirect final status."
rabbitmq,1,rabbitmq (CloudPirates),CloudPirates GmbH & Co. KG (github.com/CloudPirates-io/helm-charts),Apache-2.0 (Chart.yaml annotation; GitHub repo SPDX Apache-2.0),oci-chart,oci://registry-1.docker.io/cloudpirates,0.21.13 (appVersion 4.3.4),200,200,"indexHttpStatus is the anonymous Docker Hub tags/list call (OCI repos have no index.yaml); tgzHttpStatus is the anonymous OCI manifest GET for tag 0.21.13; helm pull also succeeded (digest sha256:7355dea...). Publisher is young: repo created 2025-08, 590 stars, but very active (pushed 2026-08-07, 119 semver releases of this chart). Chart is 0.x semver. Depends on a cloudpirates/common OCI dependency. OCI transport only."
rabbitmq,2,rabbitmq (groundhog2k),"groundhog2k (individual maintainer, github.com/groundhog2k/helm-charts)","MIT (repo LICENSE, 'Copyright (c) 2020-2026 groundhog2k'; Chart.yaml itself carries no license field)",plain-chart,https://groundhog2k.github.io/helm-charts/,"2.3.7 (appVersion 4.3.4, released 2026-07-25)",200,200,"Single-person publisher, but long track record: 218 rabbitmq releases, three releases in July 2026, appVersion tracks current RabbitMQ 4.3.4. Values schema differs from Bitnami conventions (authentication.* / storage.* instead of auth.* / persistence.*), so switch-mapping is larger than candidate 1. tgz is served from GitHub Releases via redirect (curl -L measured 200)."
rabbitmq,3,rabbitmq-cluster-operator (CloudPirates wrapper of the official RabbitMQ operator),CloudPirates GmbH & Co. KG (wraps github.com/rabbitmq/cluster-operator; the operator itself is the official RabbitMQ-team component),Apache-2.0 (Chart.yaml annotation); upstream operator is MPL-2.0 per rabbitmq/cluster-operator LICENSE.txt,operator,oci://registry-1.docker.io/cloudpirates,"0.5.6 (appVersion 2.22.3 = latest upstream operator, released upstream 2026-07-17)",200,200,"Big catalog shape change: plain chart -> operator + CRDs + CR lifecycle (render-late; CRD-before-CR ordering applies). Measured fact: the RabbitMQ team publishes NO Helm chart of its own — charts.rabbitmq.com returned curl status 000 (host does not resolve), the official repo has no chart directory, and the official docs install via kubectl manifest while pointing Helm users at the Bitnami chart. indexHttpStatus is the anonymous tags/list call; tgzHttpStatus is the anonymous OCI manifest GET for 0.5.6 (helm pull digest sha256:0dd2aea...). Alternative wrapper alekc/rabbitmq-cluster-operator 2.8.1 (index and tgz both measured 200) was inspected but wraps operator 2.19.2, lagging upstream 2.22.3, single maintainer, no license field — not ranked."

exposure_component,pinned_version,tgz_url,http_status_today,runtime_lanes
redis,25.5.3,https://charts.bitnami.com/bitnami/redis-25.5.3.tgz,403,"Fetches at run time: redis:generate-proof (scripts/generate-redis-proof.mjs renders via helm template oci://registry-1.docker.io/bitnamicharts/redis:25.5.3 — Docker Hub OCI, not charts.bitnami.com; source lock merely records repositoryURL charts.bitnami.com/bitnami) and redis:compare (same OCI ref); live-parity:run -- --recipe recipes/bitnami/redis/25.5.3 (helm install --repo https://charts.bitnami.com/bitnami). Verify-only, never fetch: redis:verify-proof, redis:verify-proof:self-test, redis:verify-package, redis:verify-local-e2e, redis:verify-install:* and redis:local-e2e (cub/kubectl on committed packages), redis:generate-package. Index check: 25.5.3 still LISTED in charts.bitnami.com/bitnami/index.yaml but its urls entry points to oci://registry-1.docker.io/bitnamicharts/redis:25.5.3 (direct tgz path 403)."
nginx,24.0.2,https://charts.bitnami.com/bitnami/nginx-24.0.2.tgz,403,"Fetches at run time: nginx:generate-proof (proof-kit pullSource helm pull + renderVariant helm template bitnami/nginx --version 24.0.2, resolved through the charts.bitnami.com index unless HELM_EXPT_CHART_ARTIFACT_URL overrides) and live-parity:run -- --recipe recipes/bitnami/nginx/24.0.2 (helm install --repo https://charts.bitnami.com/bitnami). Verify-only, never fetch: nginx:verify-proof, nginx:verify-proof:self-test, nginx:verify-package, nginx:compare (alias of verify-package), nginx:generate-package, nginx:verify-confighub-proof. Index check: 24.0.2 still LISTED but urls entry is oci://registry-1.docker.io/bitnamicharts/nginx:24.0.2 (direct tgz 403)."
postgresql,18.6.7,https://charts.bitnami.com/bitnami/postgresql-18.6.7.tgz,403,"Fetches at run time: postgresql:generate-proof (proof-kit helm pull + helm template bitnami/postgresql --version 18.6.7) and live-parity:run -- --recipe recipes/bitnami/postgresql/18.6.7 (helm install --repo https://charts.bitnami.com/bitnami). Verify-only, never fetch: postgresql:verify-proof, postgresql:verify-proof:self-test, postgresql:verify-package, postgresql:compare, postgresql:generate-package, postgresql:verify-confighub-proof. Index check: 18.6.7 still LISTED but urls entry is oci://registry-1.docker.io/bitnamicharts/postgresql:18.6.7 (direct tgz 403)."
mysql,14.0.3,https://charts.bitnami.com/bitnami/mysql-14.0.3.tgz,200,"Fetches at run time: mysql:generate-proof (proof-kit helm pull + helm template bitnami/mysql --version 14.0.3) and live-parity:run -- --recipe recipes/bitnami/mysql/14.0.3 (helm install --repo https://charts.bitnami.com/bitnami). Verify-only, never fetch: mysql:verify-proof, mysql:verify-proof:self-test, mysql:verify-package, mysql:compare, mysql:generate-package. Index check: 14.0.3 still LISTED (urls entry oci://registry-1.docker.io/bitnamicharts/mysql:14.0.3) and the direct tgz path still serves 200."
mongodb,19.0.7,https://charts.bitnami.com/bitnami/mongodb-19.0.7.tgz,403,"Fetches at run time: mongodb:generate-proof (proof-kit helm pull + helm template bitnami/mongodb --version 19.0.7) and live-parity:run -- --recipe recipes/bitnami/mongodb/19.0.7 (helm install --repo https://charts.bitnami.com/bitnami). Verify-only, never fetch: mongodb:verify-proof, mongodb:verify-proof:self-test, mongodb:verify-package, mongodb:compare, mongodb:generate-package. Index check: 19.0.7 still LISTED but urls entry is oci://registry-1.docker.io/bitnamicharts/mongodb:19.0.7 (direct tgz 403)."
rabbitmq,16.0.14,https://charts.bitnami.com/bitnami/rabbitmq-16.0.14.tgz,200,"Fetches at run time: rabbitmq:generate-proof (proof-kit helm pull + helm template bitnami/rabbitmq --version 16.0.14) and live-parity:run -- --recipe recipes/bitnami/rabbitmq/16.0.14 (helm install --repo https://charts.bitnami.com/bitnami). Verify-only, never fetch: rabbitmq:verify-proof, rabbitmq:verify-proof:self-test, rabbitmq:verify-package, rabbitmq:compare, rabbitmq:generate-package. Index check: 16.0.14 still LISTED (urls entry oci://registry-1.docker.io/bitnamicharts/rabbitmq:16.0.14) and the direct tgz path still serves 200."
redis (recipes/bitnami refresh candidate),27.0.0,https://charts.bitnami.com/bitnami/redis-27.0.0.tgz,403,"Only fetched when a generate lane runs with HELM_EXPT_CHART_VERSION=27.0.0 (redis:generate-proof via oci://registry-1.docker.io/bitnamicharts/redis, plus helm show/pull for metadata) or via the top20 latest-refresh/candidate generate lanes; live-parity:run -- --recipe recipes/bitnami/redis/27.0.0 would fetch via --repo charts.bitnami.com/bitnami. All verify lanes read the committed recipes/bitnami/redis/27.0.0 receipts without fetching. Index check: 27.0.0 still LISTED, urls entry oci://registry-1.docker.io/bitnamicharts/redis:27.0.0 (direct tgz 403)."
nginx (recipes/bitnami refresh candidate),24.0.4,https://charts.bitnami.com/bitnami/nginx-24.0.4.tgz,403,"Only fetched when generate lanes run with HELM_EXPT_CHART_VERSION=24.0.4 (nginx:generate-proof) or by top20 latest-refresh/candidate generate lanes; live-parity:run on this recipe would fetch via --repo charts.bitnami.com/bitnami. Verify lanes read committed receipts only. Index check: 24.0.4 still LISTED, urls entry points to Docker Hub OCI (direct tgz 403)."
nginx (recipes/bitnami refresh candidate),25.0.0,https://charts.bitnami.com/bitnami/nginx-25.0.0.tgz,403,"Only fetched when generate lanes run with HELM_EXPT_CHART_VERSION=25.0.0 (nginx:generate-proof) or by top20 latest-refresh/candidate generate lanes; live-parity:run on this recipe would fetch via --repo charts.bitnami.com/bitnami. Verify lanes read committed receipts only. Index check: 25.0.0 still LISTED, urls entry points to Docker Hub OCI (direct tgz 403)."
postgresql (recipes/bitnami refresh candidate),18.6.10,https://charts.bitnami.com/bitnami/postgresql-18.6.10.tgz,403,"Only fetched when generate lanes run with HELM_EXPT_CHART_VERSION=18.6.10 (postgresql:generate-proof) or by top20 latest-refresh/candidate generate lanes; live-parity:run on this recipe would fetch via --repo charts.bitnami.com/bitnami. Verify lanes read committed receipts only. Index check: 18.6.10 still LISTED, urls entry points to Docker Hub OCI (direct tgz 403)."
postgresql (recipes/bitnami refresh candidate),18.7.0,https://charts.bitnami.com/bitnami/postgresql-18.7.0.tgz,403,"Only fetched when generate lanes run with HELM_EXPT_CHART_VERSION=18.7.0 (postgresql:generate-proof) or by top20 latest-refresh/candidate generate lanes; live-parity:run on this recipe would fetch via --repo charts.bitnami.com/bitnami. Verify lanes read committed receipts only. Index check: 18.7.0 still LISTED, urls entry points to Docker Hub OCI (direct tgz 403)."
mongodb (recipes/bitnami refresh candidate),19.0.9,https://charts.bitnami.com/bitnami/mongodb-19.0.9.tgz,403,"Only fetched when generate lanes run with HELM_EXPT_CHART_VERSION=19.0.9 (mongodb:generate-proof) or by top20 latest-refresh/candidate generate lanes; live-parity:run on this recipe would fetch via --repo charts.bitnami.com/bitnami. Verify lanes read committed receipts only. Index check: 19.0.9 still LISTED, urls entry points to Docker Hub OCI (direct tgz 403)."
mongodb (recipes/bitnami refresh candidate),19.1.0,https://charts.bitnami.com/bitnami/mongodb-19.1.0.tgz,403,"Only fetched when generate lanes run with HELM_EXPT_CHART_VERSION=19.1.0 (mongodb:generate-proof) or by top20 latest-refresh/candidate generate lanes; live-parity:run on this recipe would fetch via --repo charts.bitnami.com/bitnami. Verify lanes read committed receipts only. Index check: 19.1.0 still LISTED, urls entry points to Docker Hub OCI (direct tgz 403)."
