chart,version,base,lane,result,prerequisite_kind,prerequisite_name,semantic_parity_passed,owner_class,support_artifact,recommended_next_action,rerun_command,evidence_path
grafana/pyroscope,2.0.2,ha,G/P,watch,unknown,unknown,yes,operator-review,recipes/grafana/pyroscope/2.0.2/runtime-review.yaml,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run live-parity:run -- --recipe recipes/grafana/pyroscope/2.0.2 --base ha,runs/live-helm-confighub-compare/grafana-pyroscope-ha/receipt.yaml
grafana/pyroscope,2.0.2,no-crds,G/P,watch,unknown,unknown,yes,operator-review,recipes/grafana/pyroscope/2.0.2/runtime-review.yaml,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run live-parity:run -- --recipe recipes/grafana/pyroscope/2.0.2 --base no-crds,runs/live-helm-confighub-compare/grafana-pyroscope-no-crds/receipt.yaml
hashicorp/terraform,1.1.2,default,G/P,watch,unknown,unknown,yes,operator-review,recipes/hashicorp/terraform/1.1.2/target-prerequisite-plan.yaml,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run live-parity:run -- --recipe recipes/hashicorp/terraform/1.1.2 --base default,runs/live-helm-confighub-compare/hashicorp-terraform-default/receipt.yaml
hashicorp/terraform,1.1.2,no-crds,G/P,watch,unknown,unknown,yes,operator-review,recipes/hashicorp/terraform/1.1.2/target-prerequisite-plan.yaml,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run live-parity:run -- --recipe recipes/hashicorp/terraform/1.1.2 --base no-crds,runs/live-helm-confighub-compare/hashicorp-terraform-no-crds/receipt.yaml
hashicorp/terraform,1.1.2,no-crds,K,blocked,secret,Secret workspacesecrets; Secret terraformrc,yes,user-stage,recipes/hashicorp/terraform/1.1.2/target-prerequisite-plan.yaml,"Create the required Secret(s) (Secret workspacesecrets; Secret terraformrc) on the target as a target fact, then rerun.",npm run kind-parity:run -- --chart hashicorp/terraform --version 1.1.2 --base no-crds,runs/live-kind-parity/hashicorp-terraform-no-crds/receipt.yaml
hashicorp/vault,0.32.0,ha-raft-ui,G/P,watch,unknown,unknown,yes,operator-review,recipes/hashicorp/vault/0.32.0/operating-policy.yaml,"Perform the operational readiness step (e.g. init/unseal) on the target, then rerun.",npm run live-parity:run -- --recipe recipes/hashicorp/vault/0.32.0 --base ha-raft-ui,runs/live-helm-confighub-compare/hashicorp-vault-ha-raft-ui/receipt.yaml
istio/istiod,1.30.0,default,G/P,blocked,namespace,unknown,yes,user-stage,recipes/istio/istiod/1.30.0/target-prerequisite-plan.yaml,"Create the required Namespace on the target, then rerun.",npm run live-parity:run -- --recipe recipes/istio/istiod/1.30.0 --base default,runs/live-helm-confighub-compare/istio-istiod-default/receipt.yaml
istio/istiod,1.30.0,default,K,blocked,namespace,Namespace istio-system,yes,user-stage,recipes/istio/istiod/1.30.0/target-prerequisite-plan.yaml,"Create the required Namespace (Namespace istio-system) on the target, then rerun.",npm run kind-parity:run -- --chart istio/istiod --version 1.30.0 --base default,runs/live-kind-parity/istio-istiod-default/receipt.yaml
jaegertracing/jaeger-operator,2.57.0,default,G/P,blocked,crd,cert-manager CRDs,unknown,operator-review,recipes/jaegertracing/jaeger-operator/2.57.0/target-prerequisite-plan.yaml,"Stage the required CRDs (cert-manager CRDs) on the target (or use the CRD-rendering base), then rerun.",npm run live-parity:run -- --recipe recipes/jaegertracing/jaeger-operator/2.57.0 --base default,runs/live-helm-confighub-compare/jaegertracing-jaeger-operator-default/receipt.yaml
jaegertracing/jaeger-operator,2.57.0,default,K,blocked,crd,cert-manager CRDs,unknown,operator-review,recipes/jaegertracing/jaeger-operator/2.57.0/target-prerequisite-plan.yaml,"Stage the required CRDs (cert-manager CRDs) on the target (or use the CRD-rendering base), then rerun.",npm run kind-parity:run -- --chart jaegertracing/jaeger-operator --version 2.57.0 --base default,runs/live-kind-parity/jaegertracing-jaeger-operator-default/receipt.yaml
jaegertracing/jaeger-operator,2.57.0,no-crds,K,blocked,crd,cert-manager CRDs,unknown,operator-review,recipes/jaegertracing/jaeger-operator/2.57.0/target-prerequisite-plan.yaml,"Stage the required CRDs (cert-manager CRDs) on the target (or use the CRD-rendering base), then rerun.",npm run kind-parity:run -- --chart jaegertracing/jaeger-operator --version 2.57.0 --base no-crds,runs/live-kind-parity/jaegertracing-jaeger-operator-no-crds/receipt.yaml
nats/surveyor,0.20.9,default-reviewed,G/P,watch,unknown,unknown,yes,operator-review,recipes/nats/surveyor/0.20.9/runtime-review.yaml,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run live-parity:run -- --recipe recipes/nats/surveyor/0.20.9 --base default-reviewed,runs/live-helm-confighub-compare/nats-surveyor-default-reviewed/receipt.yaml
nats/surveyor,0.20.9,default-reviewed,K,blocked,external-api,unknown,yes,operator-review,recipes/nats/surveyor/0.20.9/runtime-review.yaml,"Provide the required upstream service/endpoint as a stack dependency or target fact, then rerun.",npm run kind-parity:run -- --chart nats/surveyor --version 0.20.9 --base default-reviewed,runs/live-kind-parity/nats-surveyor-default-reviewed/receipt.yaml
nats/surveyor,0.20.9,default,G/P,watch,unknown,unknown,yes,operator-review,recipes/nats/surveyor/0.20.9/runtime-review.yaml,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run live-parity:run -- --recipe recipes/nats/surveyor/0.20.9 --base default,runs/live-helm-confighub-compare/nats-surveyor-default/receipt.yaml
nats/surveyor,0.20.9,default,K,blocked,unknown,unknown,yes,operator-review,recipes/nats/surveyor/0.20.9/runtime-review.yaml,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run kind-parity:run -- --chart nats/surveyor --version 0.20.9 --base default,runs/live-kind-parity/nats-surveyor-default/receipt.yaml
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,default,K,blocked,unknown,value nfs.server,unknown,user-stage,,"Supply the required Helm input values for this base, then rerun.",npm run kind-parity:run -- --chart nfs-subdir-external-provisioner/nfs-subdir-external-provisioner --version 4.0.18 --base default,runs/live-kind-parity/nfs-subdir-external-provisioner-nfs-subdir-external-provisioner-default/receipt.yaml
opencost/opencost,2.5.21,default,G/P,watch,unknown,unknown,yes,operator-review,,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run live-parity:run -- --recipe recipes/opencost/opencost/2.5.21 --base default,runs/live-helm-confighub-compare/opencost-opencost-default/receipt.yaml
opencost/opencost,2.5.21,default,K,blocked,unknown,unknown,yes,operator-review,,"Review the runtime residue on the target (pod not ready / crash loop / ContainerCreating); stage any missing dependency, then rerun.",npm run kind-parity:run -- --chart opencost/opencost --version 2.5.21 --base default,runs/live-kind-parity/opencost-opencost-default/receipt.yaml
prometheus-community/prometheus-adapter,5.3.0,cluster-metrics-readonly,K,blocked,crd,unknown,unknown,user-stage,,"Stage the required CRDs on the target (or use the CRD-rendering base), then rerun.",npm run kind-parity:run -- --chart prometheus-community/prometheus-adapter --version 5.3.0 --base cluster-metrics-readonly,runs/live-kind-parity/prometheus-community-prometheus-adapter-cluster-metrics-readonly/receipt.yaml
prometheus-community/prometheus-adapter,5.3.0,default,K,blocked,crd,unknown,unknown,user-stage,,"Stage the required CRDs on the target (or use the CRD-rendering base), then rerun.",npm run kind-parity:run -- --chart prometheus-community/prometheus-adapter --version 5.3.0 --base default,runs/live-kind-parity/prometheus-community-prometheus-adapter-default/receipt.yaml
rook-release/rook-ceph-cluster,v1.19.5,default,G/P,blocked,namespace,Namespace rook-ceph,yes,user-stage,recipes/rook-release/rook-ceph-cluster/v1.19.5/target-prerequisite-plan.yaml,"Create the required Namespace (Namespace rook-ceph) on the target, then rerun.",npm run live-parity:run -- --recipe recipes/rook-release/rook-ceph-cluster/v1.19.5 --base default,runs/live-helm-confighub-compare/rook-release-rook-ceph-cluster-default/receipt.yaml
rook-release/rook-ceph-cluster,v1.19.5,default,K,blocked,namespace,Namespace rook-ceph,yes,user-stage,recipes/rook-release/rook-ceph-cluster/v1.19.5/target-prerequisite-plan.yaml,"Create the required Namespace (Namespace rook-ceph) on the target, then rerun.",npm run kind-parity:run -- --chart rook-release/rook-ceph-cluster --version v1.19.5 --base default,runs/live-kind-parity/rook-release-rook-ceph-cluster-default/receipt.yaml
velero/velero,12.0.1,no-crds,K,blocked,crd,unknown,unknown,user-stage,,"Stage the required CRDs on the target (or use the CRD-rendering base), then rerun.",npm run kind-parity:run -- --chart velero/velero --version 12.0.1 --base no-crds,runs/live-kind-parity/velero-velero-no-crds/receipt.yaml
