chart,version,chart_ref,order,work_type,reviewer,pattern,candidate_route,reason,done_when,evidence
k8s-dashboard/kubernetes-dashboard,7.14.0,k8s-dashboard/kubernetes-dashboard@7.14.0,5,gitops-lifecycle-mapping,operator reviewer,database-migration-pair (vendored),upgrade-action-with-receipt (if rendered),Config-only delivery must say how the lifecycle work is driven when Helm hooks are not executed by Helm.,"The route records whether Argo CD, Flux, a ConfigHub action, or an operator-run action owns the lifecycle step.",data/lifecycle-boundary/summary.md
k8s-dashboard/kubernetes-dashboard,7.14.0,k8s-dashboard/kubernetes-dashboard@7.14.0,6,runtime-observation-or-execution,operator reviewer,database-migration-pair (vendored),upgrade-action-with-receipt (if rendered),A route is not proof that the lifecycle work completed successfully.,"The selected path has an execution receipt, a fresh observation receipt, or a named reason why runtime proof is deferred.",data/hook-lifecycle/maintained-hook-queue.csv
k8s-dashboard/kubernetes-dashboard,7.14.0,k8s-dashboard/kubernetes-dashboard@7.14.0,7,maintained-queue-admission,catalog owner,database-migration-pair (vendored),upgrade-action-with-receipt (if rendered),The chart should not be counted as maintained hook coverage until it has a route receipt or explicit blocker.,The row is admitted to the maintained hook queue or remains in candidates with the missing evidence named.,data/hook-lifecycle/summary.md
gitlab/gitlab,10.0.0,gitlab/gitlab@10.0.0,1,base-rendering-review,catalog reviewer,vendored-traefik-lifecycle-hook,argocd-or-flux-lifecycle-hook,Hook source evidence does not prove the hook appears in every supported base.,"The selected recipe/base records whether the hook renders, is intentionally inert, or requires a separate supported base.",data/hook-route-candidates/gitlab-gitlab.yaml
gitlab/gitlab,10.0.0,gitlab/gitlab@10.0.0,2,dependency-closure-review,catalog reviewer,vendored-traefik-lifecycle-hook,argocd-or-flux-lifecycle-hook,"The hook is dependency-provided, so chart-level review alone can undercount it.","The dependency source, dependency lock, and affected bases are recorded before the route is admitted to the maintained queue.",data/remote-dependency-closure/top100.csv
gitlab/gitlab,10.0.0,gitlab/gitlab@10.0.0,3,target-preflight,platform reviewer,vendored-traefik-lifecycle-hook,argocd-or-flux-lifecycle-hook,"The route depends on target state, credentials, databases, object stores, or migration state.","Target facts or preflight checks exist for the selected route, or the target prerequisite is explicitly out of scope.",data/hook-route-candidates/gitlab-gitlab.yaml
gitlab/gitlab,10.0.0,gitlab/gitlab@10.0.0,4,serious-chart-base-selection,catalog owner,vendored-traefik-lifecycle-hook,argocd-or-flux-lifecycle-hook,GitLab has broader platform prerequisites than the vendored hook itself.,"A serious-chart review chooses the supported base and records which lifecycle concerns are supported, deferred, or blocked.",data/top100-coverage/work-queue.csv
gitlab/gitlab,10.0.0,gitlab/gitlab@10.0.0,5,maintained-route-receipt,catalog reviewer,vendored-traefik-lifecycle-hook,argocd-or-flux-lifecycle-hook,Candidate routes are intentionally not maintained lifecycle receipts.,A HookLifecycleRouteReceipt or explicit blocker exists in the maintained hook lifecycle area for the selected base.,data/hook-lifecycle/summary.md
gitlab/gitlab,10.0.0,gitlab/gitlab@10.0.0,6,gitops-lifecycle-mapping,operator reviewer,vendored-traefik-lifecycle-hook,argocd-or-flux-lifecycle-hook,Config-only delivery must say how the lifecycle work is driven when Helm hooks are not executed by Helm.,"The route records whether Argo CD, Flux, a ConfigHub action, or an operator-run action owns the lifecycle step.",data/lifecycle-boundary/summary.md
gitlab/gitlab,10.0.0,gitlab/gitlab@10.0.0,7,runtime-observation-or-execution,operator reviewer,vendored-traefik-lifecycle-hook,argocd-or-flux-lifecycle-hook,A route is not proof that the lifecycle work completed successfully.,"The selected path has an execution receipt, a fresh observation receipt, or a named reason why runtime proof is deferred.",data/hook-lifecycle/maintained-hook-queue.csv
gitlab/gitlab,10.0.0,gitlab/gitlab@10.0.0,8,maintained-queue-admission,catalog owner,vendored-traefik-lifecycle-hook,argocd-or-flux-lifecycle-hook,The chart should not be counted as maintained hook coverage until it has a route receipt or explicit blocker.,The row is admitted to the maintained hook queue or remains in candidates with the missing evidence named.,data/hook-lifecycle/summary.md
airflow-helm/airflow,8.9.0,airflow-helm/airflow@8.9.0,1,base-rendering-review,catalog reviewer,migration-and-sync-hooks,explicit-managed-action,Hook source evidence does not prove the hook appears in every supported base.,"The selected recipe/base records whether the hook renders, is intentionally inert, or requires a separate supported base.",data/hook-route-candidates/airflow-helm-airflow.yaml
airflow-helm/airflow,8.9.0,airflow-helm/airflow@8.9.0,2,target-preflight,platform reviewer,migration-and-sync-hooks,explicit-managed-action,"The route depends on target state, credentials, databases, object stores, or migration state.","Target facts or preflight checks exist for the selected route, or the target prerequisite is explicitly out of scope.",data/hook-route-candidates/airflow-helm-airflow.yaml
airflow-helm/airflow,8.9.0,airflow-helm/airflow@8.9.0,3,maintained-route-receipt,catalog reviewer,migration-and-sync-hooks,explicit-managed-action,Candidate routes are intentionally not maintained lifecycle receipts.,A HookLifecycleRouteReceipt or explicit blocker exists in the maintained hook lifecycle area for the selected base.,data/hook-lifecycle/summary.md
airflow-helm/airflow,8.9.0,airflow-helm/airflow@8.9.0,4,gitops-lifecycle-mapping,operator reviewer,migration-and-sync-hooks,explicit-managed-action,Config-only delivery must say how the lifecycle work is driven when Helm hooks are not executed by Helm.,"The route records whether Argo CD, Flux, a ConfigHub action, or an operator-run action owns the lifecycle step.",data/lifecycle-boundary/summary.md
airflow-helm/airflow,8.9.0,airflow-helm/airflow@8.9.0,5,runtime-observation-or-execution,operator reviewer,migration-and-sync-hooks,explicit-managed-action,A route is not proof that the lifecycle work completed successfully.,"The selected path has an execution receipt, a fresh observation receipt, or a named reason why runtime proof is deferred.",data/hook-lifecycle/maintained-hook-queue.csv
airflow-helm/airflow,8.9.0,airflow-helm/airflow@8.9.0,6,maintained-queue-admission,catalog owner,migration-and-sync-hooks,explicit-managed-action,The chart should not be counted as maintained hook coverage until it has a route receipt or explicit blocker.,The row is admitted to the maintained hook queue or remains in candidates with the missing evidence named.,data/hook-lifecycle/summary.md
bitnami/kafka,32.4.3,bitnami/kafka@32.4.3,1,base-rendering-review,catalog reviewer,provisioning-job,explicit-managed-action,Hook source evidence does not prove the hook appears in every supported base.,"The selected recipe/base records whether the hook renders, is intentionally inert, or requires a separate supported base.",data/hook-route-candidates/bitnami-kafka.yaml
bitnami/kafka,32.4.3,bitnami/kafka@32.4.3,2,provisioning-mode-split,catalog reviewer,provisioning-job,explicit-managed-action,Provisioning hooks are usually values-conditional and often should be off in the default base.,"The catalog has a provisioning-off base and, if useful, a provisioning-enabled base with target facts and a managed action receipt.",data/hook-route-candidates/bitnami-kafka.yaml
bitnami/kafka,32.4.3,bitnami/kafka@32.4.3,3,target-preflight,platform reviewer,provisioning-job,explicit-managed-action,"The route depends on target state, credentials, databases, object stores, or migration state.","Target facts or preflight checks exist for the selected route, or the target prerequisite is explicitly out of scope.",data/hook-route-candidates/bitnami-kafka.yaml
bitnami/kafka,32.4.3,bitnami/kafka@32.4.3,4,maintained-route-receipt,catalog reviewer,provisioning-job,explicit-managed-action,Candidate routes are intentionally not maintained lifecycle receipts.,A HookLifecycleRouteReceipt or explicit blocker exists in the maintained hook lifecycle area for the selected base.,data/hook-lifecycle/summary.md
bitnami/kafka,32.4.3,bitnami/kafka@32.4.3,5,gitops-lifecycle-mapping,operator reviewer,provisioning-job,explicit-managed-action,Config-only delivery must say how the lifecycle work is driven when Helm hooks are not executed by Helm.,"The route records whether Argo CD, Flux, a ConfigHub action, or an operator-run action owns the lifecycle step.",data/lifecycle-boundary/summary.md
bitnami/kafka,32.4.3,bitnami/kafka@32.4.3,6,runtime-observation-or-execution,operator reviewer,provisioning-job,explicit-managed-action,A route is not proof that the lifecycle work completed successfully.,"The selected path has an execution receipt, a fresh observation receipt, or a named reason why runtime proof is deferred.",data/hook-lifecycle/maintained-hook-queue.csv
bitnami/kafka,32.4.3,bitnami/kafka@32.4.3,7,maintained-queue-admission,catalog owner,provisioning-job,explicit-managed-action,The chart should not be counted as maintained hook coverage until it has a route receipt or explicit blocker.,The row is admitted to the maintained hook queue or remains in candidates with the missing evidence named.,data/hook-lifecycle/summary.md
bitnami/minio,17.0.21,bitnami/minio@17.0.21,1,base-rendering-review,catalog reviewer,provisioning-job,explicit-managed-action,Hook source evidence does not prove the hook appears in every supported base.,"The selected recipe/base records whether the hook renders, is intentionally inert, or requires a separate supported base.",data/hook-route-candidates/bitnami-minio.yaml
bitnami/minio,17.0.21,bitnami/minio@17.0.21,2,dependency-closure-review,catalog reviewer,provisioning-job,explicit-managed-action,"The hook is dependency-provided, so chart-level review alone can undercount it.","The dependency source, dependency lock, and affected bases are recorded before the route is admitted to the maintained queue.",data/remote-dependency-closure/top100.csv
bitnami/minio,17.0.21,bitnami/minio@17.0.21,3,provisioning-mode-split,catalog reviewer,provisioning-job,explicit-managed-action,Provisioning hooks are usually values-conditional and often should be off in the default base.,"The catalog has a provisioning-off base and, if useful, a provisioning-enabled base with target facts and a managed action receipt.",data/hook-route-candidates/bitnami-minio.yaml
bitnami/minio,17.0.21,bitnami/minio@17.0.21,4,target-preflight,platform reviewer,provisioning-job,explicit-managed-action,"The route depends on target state, credentials, databases, object stores, or migration state.","Target facts or preflight checks exist for the selected route, or the target prerequisite is explicitly out of scope.",data/hook-route-candidates/bitnami-minio.yaml
bitnami/minio,17.0.21,bitnami/minio@17.0.21,5,maintained-route-receipt,catalog reviewer,provisioning-job,explicit-managed-action,Candidate routes are intentionally not maintained lifecycle receipts.,A HookLifecycleRouteReceipt or explicit blocker exists in the maintained hook lifecycle area for the selected base.,data/hook-lifecycle/summary.md
bitnami/minio,17.0.21,bitnami/minio@17.0.21,6,gitops-lifecycle-mapping,operator reviewer,provisioning-job,explicit-managed-action,Config-only delivery must say how the lifecycle work is driven when Helm hooks are not executed by Helm.,"The route records whether Argo CD, Flux, a ConfigHub action, or an operator-run action owns the lifecycle step.",data/lifecycle-boundary/summary.md
bitnami/minio,17.0.21,bitnami/minio@17.0.21,7,runtime-observation-or-execution,operator reviewer,provisioning-job,explicit-managed-action,A route is not proof that the lifecycle work completed successfully.,"The selected path has an execution receipt, a fresh observation receipt, or a named reason why runtime proof is deferred.",data/hook-lifecycle/maintained-hook-queue.csv
bitnami/minio,17.0.21,bitnami/minio@17.0.21,8,maintained-queue-admission,catalog owner,provisioning-job,explicit-managed-action,The chart should not be counted as maintained hook coverage until it has a route receipt or explicit blocker.,The row is admitted to the maintained hook queue or remains in candidates with the missing evidence named.,data/hook-lifecycle/summary.md
datadog/datadog,3.214.0,datadog/datadog@3.214.0,1,base-rendering-review,catalog reviewer,environment-conditional-hooks,target-class-preflight-and-upgrade-action,Hook source evidence does not prove the hook appears in every supported base.,"The selected recipe/base records whether the hook renders, is intentionally inert, or requires a separate supported base.",data/hook-route-candidates/datadog-datadog.yaml
datadog/datadog,3.214.0,datadog/datadog@3.214.0,2,dependency-closure-review,catalog reviewer,environment-conditional-hooks,target-class-preflight-and-upgrade-action,"The hook is dependency-provided, so chart-level review alone can undercount it.","The dependency source, dependency lock, and affected bases are recorded before the route is admitted to the maintained queue.",data/remote-dependency-closure/top100.csv
datadog/datadog,3.214.0,datadog/datadog@3.214.0,3,target-scope-split,platform reviewer,environment-conditional-hooks,target-class-preflight-and-upgrade-action,"The hook behavior depends on target class, such as GKE Autopilot or another environment-specific condition.",Supported target classes are split into separate scopes with preflight checks or explicit unsupported-target blockers.,data/hook-route-candidates/datadog-datadog.yaml
datadog/datadog,3.214.0,datadog/datadog@3.214.0,4,target-preflight,platform reviewer,environment-conditional-hooks,target-class-preflight-and-upgrade-action,"The route depends on target state, credentials, databases, object stores, or migration state.","Target facts or preflight checks exist for the selected route, or the target prerequisite is explicitly out of scope.",data/hook-route-candidates/datadog-datadog.yaml
datadog/datadog,3.214.0,datadog/datadog@3.214.0,5,maintained-route-receipt,catalog reviewer,environment-conditional-hooks,target-class-preflight-and-upgrade-action,Candidate routes are intentionally not maintained lifecycle receipts.,A HookLifecycleRouteReceipt or explicit blocker exists in the maintained hook lifecycle area for the selected base.,data/hook-lifecycle/summary.md
datadog/datadog,3.214.0,datadog/datadog@3.214.0,6,gitops-lifecycle-mapping,operator reviewer,environment-conditional-hooks,target-class-preflight-and-upgrade-action,Config-only delivery must say how the lifecycle work is driven when Helm hooks are not executed by Helm.,"The route records whether Argo CD, Flux, a ConfigHub action, or an operator-run action owns the lifecycle step.",data/lifecycle-boundary/summary.md
datadog/datadog,3.214.0,datadog/datadog@3.214.0,7,runtime-observation-or-execution,operator reviewer,environment-conditional-hooks,target-class-preflight-and-upgrade-action,A route is not proof that the lifecycle work completed successfully.,"The selected path has an execution receipt, a fresh observation receipt, or a named reason why runtime proof is deferred.",data/hook-lifecycle/maintained-hook-queue.csv
datadog/datadog,3.214.0,datadog/datadog@3.214.0,8,maintained-queue-admission,catalog owner,environment-conditional-hooks,target-class-preflight-and-upgrade-action,The chart should not be counted as maintained hook coverage until it has a route receipt or explicit blocker.,The row is admitted to the maintained hook queue or remains in candidates with the missing evidence named.,data/hook-lifecycle/summary.md
bitnami/thanos,17.3.1,bitnami/thanos@17.3.1,1,base-rendering-review,catalog reviewer,provisioning-job (vendored),explicit-managed-action,Hook source evidence does not prove the hook appears in every supported base.,"The selected recipe/base records whether the hook renders, is intentionally inert, or requires a separate supported base.",data/hook-route-candidates/bitnami-thanos.yaml
bitnami/thanos,17.3.1,bitnami/thanos@17.3.1,2,dependency-closure-review,catalog reviewer,provisioning-job (vendored),explicit-managed-action,"The hook is dependency-provided, so chart-level review alone can undercount it.","The dependency source, dependency lock, and affected bases are recorded before the route is admitted to the maintained queue.",data/remote-dependency-closure/top100.csv
bitnami/thanos,17.3.1,bitnami/thanos@17.3.1,3,provisioning-mode-split,catalog reviewer,provisioning-job (vendored),explicit-managed-action,Provisioning hooks are usually values-conditional and often should be off in the default base.,"The catalog has a provisioning-off base and, if useful, a provisioning-enabled base with target facts and a managed action receipt.",data/hook-route-candidates/bitnami-thanos.yaml
bitnami/thanos,17.3.1,bitnami/thanos@17.3.1,4,target-preflight,platform reviewer,provisioning-job (vendored),explicit-managed-action,"The route depends on target state, credentials, databases, object stores, or migration state.","Target facts or preflight checks exist for the selected route, or the target prerequisite is explicitly out of scope.",data/hook-route-candidates/bitnami-thanos.yaml
bitnami/thanos,17.3.1,bitnami/thanos@17.3.1,5,maintained-route-receipt,catalog reviewer,provisioning-job (vendored),explicit-managed-action,Candidate routes are intentionally not maintained lifecycle receipts.,A HookLifecycleRouteReceipt or explicit blocker exists in the maintained hook lifecycle area for the selected base.,data/hook-lifecycle/summary.md
bitnami/thanos,17.3.1,bitnami/thanos@17.3.1,6,gitops-lifecycle-mapping,operator reviewer,provisioning-job (vendored),explicit-managed-action,Config-only delivery must say how the lifecycle work is driven when Helm hooks are not executed by Helm.,"The route records whether Argo CD, Flux, a ConfigHub action, or an operator-run action owns the lifecycle step.",data/lifecycle-boundary/summary.md
bitnami/thanos,17.3.1,bitnami/thanos@17.3.1,7,runtime-observation-or-execution,operator reviewer,provisioning-job (vendored),explicit-managed-action,A route is not proof that the lifecycle work completed successfully.,"The selected path has an execution receipt, a fresh observation receipt, or a named reason why runtime proof is deferred.",data/hook-lifecycle/maintained-hook-queue.csv
bitnami/thanos,17.3.1,bitnami/thanos@17.3.1,8,maintained-queue-admission,catalog owner,provisioning-job (vendored),explicit-managed-action,The chart should not be counted as maintained hook coverage until it has a route receipt or explicit blocker.,The row is admitted to the maintained hook queue or remains in candidates with the missing evidence named.,data/hook-lifecycle/summary.md
apache-airflow/airflow,1.21.0,apache-airflow/airflow@1.21.0,1,base-rendering-review,catalog reviewer,hook-like-migration-jobs,recipe-time-lifecycle-verification,Hook source evidence does not prove the hook appears in every supported base.,"The selected recipe/base records whether the hook renders, is intentionally inert, or requires a separate supported base.",data/hook-route-candidates/apache-airflow-airflow.yaml
apache-airflow/airflow,1.21.0,apache-airflow/airflow@1.21.0,2,hook-free-claim-review,catalog reviewer,hook-like-migration-jobs,recipe-time-lifecycle-verification,A zero Helm-hook annotation count is not enough when migration jobs still act like lifecycle work.,"The chart records whether lifecycle jobs are normal desired state, managed actions, or blockers for the selected base.",data/hook-route-candidates/apache-airflow-airflow.yaml
apache-airflow/airflow,1.21.0,apache-airflow/airflow@1.21.0,3,target-preflight,platform reviewer,hook-like-migration-jobs,recipe-time-lifecycle-verification,"The route depends on target state, credentials, databases, object stores, or migration state.","Target facts or preflight checks exist for the selected route, or the target prerequisite is explicitly out of scope.",data/hook-route-candidates/apache-airflow-airflow.yaml
apache-airflow/airflow,1.21.0,apache-airflow/airflow@1.21.0,4,maintained-route-receipt,catalog reviewer,hook-like-migration-jobs,recipe-time-lifecycle-verification,Candidate routes are intentionally not maintained lifecycle receipts.,A HookLifecycleRouteReceipt or explicit blocker exists in the maintained hook lifecycle area for the selected base.,data/hook-lifecycle/summary.md
apache-airflow/airflow,1.21.0,apache-airflow/airflow@1.21.0,5,gitops-lifecycle-mapping,operator reviewer,hook-like-migration-jobs,recipe-time-lifecycle-verification,Config-only delivery must say how the lifecycle work is driven when Helm hooks are not executed by Helm.,"The route records whether Argo CD, Flux, a ConfigHub action, or an operator-run action owns the lifecycle step.",data/lifecycle-boundary/summary.md
apache-airflow/airflow,1.21.0,apache-airflow/airflow@1.21.0,6,runtime-observation-or-execution,operator reviewer,hook-like-migration-jobs,recipe-time-lifecycle-verification,A route is not proof that the lifecycle work completed successfully.,"The selected path has an execution receipt, a fresh observation receipt, or a named reason why runtime proof is deferred.",data/hook-lifecycle/maintained-hook-queue.csv
apache-airflow/airflow,1.21.0,apache-airflow/airflow@1.21.0,7,maintained-queue-admission,catalog owner,hook-like-migration-jobs,recipe-time-lifecycle-verification,The chart should not be counted as maintained hook coverage until it has a route receipt or explicit blocker.,The row is admitted to the maintained hook queue or remains in candidates with the missing evidence named.,data/hook-lifecycle/summary.md
