"persona","run_id","category","job","current_label","preferred_label","current_label_score","preferred_label_score","label_alone_explains_own_ai","caveat"
"gitops","gitops-L16","language-persona-simulation","check whether rollback will restore exact bytes","Check my config","Compare","3","5","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L17","language-persona-simulation","investigate live drift","Check my config","Investigate","0","8","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L18","language-persona-simulation","compare development and production","Check my config","Compare","0","11","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L19","language-persona-simulation","check whether production approval is required","Check my config","Check my config","6","6","no","Synthetic persona preference, not observed human behavior"
"gitops","gitops-L20","language-persona-simulation","review a fleet configuration change","Check my config","Check my config","6","6","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L01","language-persona-simulation","AI wrote Helm values; check whether they are safe","Check my config","Check my config","10","10","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L02","language-persona-simulation","my chart is not in the catalog","Check my config","Help with a chart","1","3","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L03","language-persona-simulation","find upgrade risk between two chart versions","Check my config","Compare","1","5","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L04","language-persona-simulation","compare a candidate with an installed release","Check my config","Compare","1","8","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L05","language-persona-simulation","understand hooks and CRDs","Check my config","Investigate","1","6","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L06","language-persona-simulation","review a private Helm configuration","Check my config","Check my config","7","7","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L07","language-persona-simulation","check an AICR configuration","Check my config","Check my config","10","10","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L08","language-persona-simulation","inspect an existing OCI package","Check my config","Check my config","4","4","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L09","language-persona-simulation","transform one field in OCI","Check my config","Check my config","4","4","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L10","language-persona-simulation","review plain Kubernetes YAML","Check my config","Check my config","7","7","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L11","language-persona-simulation","find why deployment differs from the approved config","Check my config","Investigate","4","6","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L12","language-persona-simulation","find whether Helm ignored a value","Check my config","Investigate","1","3","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L13","language-persona-simulation","identify prerequisites before install","Check my config","Compare","1","2","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L14","language-persona-simulation","find a risky credential","Check my config","Check my config","4","4","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L15","language-persona-simulation","compare immutable digests","Check my config","Compare","1","8","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L16","language-persona-simulation","check whether rollback will restore exact bytes","Check my config","Compare","4","5","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L17","language-persona-simulation","investigate live drift","Check my config","Investigate","1","6","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L18","language-persona-simulation","compare development and production","Check my config","Compare","1","11","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L19","language-persona-simulation","check whether production approval is required","Check my config","Check my config","7","7","no","Synthetic persona preference, not observed human behavior"
"platform","platform-L20","language-persona-simulation","review a fleet configuration change","Check my config","Check my config","7","7","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L01","language-persona-simulation","AI wrote Helm values; check whether they are safe","Check my config","Check my config","11","11","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L02","language-persona-simulation","my chart is not in the catalog","Check my config","Help with a chart","2","3","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L03","language-persona-simulation","find upgrade risk between two chart versions","Check my config","Investigate","2","5","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L04","language-persona-simulation","compare a candidate with an installed release","Check my config","Compare","2","6","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L05","language-persona-simulation","understand hooks and CRDs","Check my config","Investigate","2","8","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L06","language-persona-simulation","review a private Helm configuration","Check my config","Check my config","8","8","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L07","language-persona-simulation","check an AICR configuration","Check my config","Check my config","11","11","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L08","language-persona-simulation","inspect an existing OCI package","Check my config","Check my config","5","5","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L09","language-persona-simulation","transform one field in OCI","Check my config","Check my config","5","5","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L10","language-persona-simulation","review plain Kubernetes YAML","Check my config","Check my config","8","8","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L11","language-persona-simulation","find why deployment differs from the approved config","Check my config","Investigate","5","8","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L12","language-persona-simulation","find whether Helm ignored a value","Check my config","Investigate","2","5","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L13","language-persona-simulation","identify prerequisites before install","Check my config","Check my config","2","2","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L14","language-persona-simulation","find a risky credential","Check my config","Check my config","5","5","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L15","language-persona-simulation","compare immutable digests","Check my config","Compare","2","6","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L16","language-persona-simulation","check whether rollback will restore exact bytes","Check my config","Check my config","5","5","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L17","language-persona-simulation","investigate live drift","Check my config","Investigate","2","8","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L18","language-persona-simulation","compare development and production","Check my config","Compare","2","9","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L19","language-persona-simulation","check whether production approval is required","Check my config","Check my config","8","8","no","Synthetic persona preference, not observed human behavior"
"reviewer","reviewer-L20","language-persona-simulation","review a fleet configuration change","Check my config","Check my config","8","8","no","Synthetic persona preference, not observed human behavior"
