rank,chart,base,recommended_first,user_readiness,why,next_action,support_artifact,live_rerun_readiness,live_rerun_next_step,live_rerun_command,command,target_facts,render_parity,in_confighub,local_live,gitops_oci_live,live_helm_vs_confighub_parity,two_cluster_kind_parity,two_cluster_kind_parity_reason,lifecycle_observation,lifecycle_observation_receipt,complete_core_lane_set,package_base,catalog_path
10,grafana/loki@7.0.0,single-binary-filesystem,yes,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/grafana-loki:7.0.0@sha256:5eeb2d625eb6c41397d47c9358b29a41f5b8d79e8dab76f9a8647197123fa773 --base single-binary-filesystem --work-dir <tmp> --non-interactive --namespace loki,none,pass,pass,pass,pass,pass,pass,,,,yes,packages/grafana/loki/7.0.0/bases/single-binary-filesystem,recipes/grafana/loki/7.0.0/CATALOG.md
10,grafana/loki@7.0.0,simple-scalable-minio,no,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/grafana-loki:7.0.0@sha256:5eeb2d625eb6c41397d47c9358b29a41f5b8d79e8dab76f9a8647197123fa773 --base simple-scalable-minio --work-dir <tmp> --non-interactive --namespace loki,none,pass,pass,pass,pass,pass,pass,,,,yes,packages/grafana/loki/7.0.0/bases/simple-scalable-minio,recipes/grafana/loki/7.0.0/CATALOG.md
11,grafana/tempo@1.24.4,local-persistent,yes,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/grafana-tempo:1.24.4@sha256:16f07571e893e001c11c5810e8905d7b17e26265ff4dfd972ce77cf1e42cfce1 --base local-persistent --work-dir <tmp> --non-interactive --namespace tempo,none,pass,pass,pass,pass,pass,pass,,,,yes,packages/grafana/tempo/1.24.4/bases/local-persistent,recipes/grafana/tempo/1.24.4/CATALOG.md
11,grafana/tempo@1.24.4,s3-query-observability,no,runtime-watch,"object parity passed, but a live GitOps/controller condition needs review","inspect the live parity receipt before rerunning; decide whether this is target behavior, controller timing, or a support boundary",,review-target-first,gitops-runtime-review,npm run live-parity:run -- --recipe recipes/grafana/tempo/1.24.4 --base s3-query-observability,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/grafana-tempo:1.24.4@sha256:16f07571e893e001c11c5810e8905d7b17e26265ff4dfd972ce77cf1e42cfce1 --base s3-query-observability --work-dir <tmp> --non-interactive --namespace tempo,"required Secret tempo/tempo-s3-credentials keys access_key,secret_key; required CRD servicemonitors.monitoring.coreos.com; required S3CompatibleObjectStore tempo/tempo-object-store; required Value tempo.storage.trace.s3.endpoint (pre-render); required Value tempo.storage.trace.s3.bucket (pre-render); required Value tempo.storage.trace.s3.region (pre-render)",pass,pass,blocked,watch,watch,pass,,,,no,packages/grafana/tempo/1.24.4/bases/s3-query-observability,recipes/grafana/tempo/1.24.4/CATALOG.md
12,hashicorp/consul@2.0.0,default-control-plane,yes,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/hashicorp-consul:2.0.0@sha256:3f4dab5c9f264a7f1555a8f549eff5045c631e5f359cf47b7f18259b6c1ef063 --base default-control-plane --work-dir <tmp> --non-interactive --namespace consul,none,pass,pass,pass,pass,pass,pass,,,,yes,packages/hashicorp/consul/2.0.0/bases/default-control-plane,recipes/hashicorp/consul/2.0.0/CATALOG.md
12,hashicorp/consul@2.0.0,secure-mesh-existing-secrets,no,runtime-watch,"object parity passed, but a live GitOps/controller condition needs review","inspect the live parity receipt before rerunning; decide whether this is target behavior, controller timing, or a support boundary",,review-target-first,gitops-runtime-review,npm run live-parity:run -- --recipe recipes/hashicorp/consul/2.0.0 --base secure-mesh-existing-secrets --target-profile kind-three-node,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/hashicorp-consul:2.0.0@sha256:3f4dab5c9f264a7f1555a8f549eff5045c631e5f359cf47b7f18259b6c1ef063 --base secure-mesh-existing-secrets --work-dir <tmp> --non-interactive --namespace consul,"required Secret consul/consul-ca-cert keys tls.crt; required Secret consul/consul-server-cert keys tls.crt,tls.key; required Secret consul/consul-gossip-encryption-key keys key; required Secret consul/consul-bootstrap-acl-token keys token; topology minSchedulableNodes=3",pass,pass,fail,watch,watch,pass,,,,no,packages/hashicorp/consul/2.0.0/bases/secure-mesh-existing-secrets,recipes/hashicorp/consul/2.0.0/CATALOG.md
13,hashicorp/vault@0.32.0,default,yes,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/hashicorp-vault:0.32.0@sha256:96a955c472baefbe4afc17021e861bf98976cbaeb33f10f1589bba4d730901f3 --base default --work-dir <tmp> --non-interactive --namespace vault,none,pass,pass,pass,pass,pass,pass,,,,yes,packages/hashicorp/vault/0.32.0/bases/default,recipes/hashicorp/vault/0.32.0/CATALOG.md
13,hashicorp/vault@0.32.0,dev-mode,no,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/hashicorp-vault:0.32.0@sha256:96a955c472baefbe4afc17021e861bf98976cbaeb33f10f1589bba4d730901f3 --base dev-mode --work-dir <tmp> --non-interactive --namespace vault,none,pass,pass,pass,pass,pass,pass,,,,yes,packages/hashicorp/vault/0.32.0/bases/dev-mode,recipes/hashicorp/vault/0.32.0/CATALOG.md
13,hashicorp/vault@0.32.0,ha-raft-ui,no,runtime-watch,"object parity passed, but a live GitOps/controller condition needs review","inspect the live parity receipt before rerunning; decide whether this is target behavior, controller timing, or a support boundary",,model-or-stage-first,operating-policy,npm run live-parity:run -- --recipe recipes/hashicorp/vault/0.32.0 --base ha-raft-ui,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/hashicorp-vault:0.32.0@sha256:96a955c472baefbe4afc17021e861bf98976cbaeb33f10f1589bba4d730901f3 --base ha-raft-ui --work-dir <tmp> --non-interactive --namespace vault,topology minSchedulableNodes=3,pass,pass,blocked,watch,watch,pass,,,,no,packages/hashicorp/vault/0.32.0/bases/ha-raft-ui,recipes/hashicorp/vault/0.32.0/CATALOG.md
14,ingress-nginx/ingress-nginx@4.15.1,internal-clusterip,yes,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/ingress-nginx-ingress-nginx:4.15.1@sha256:9a00fb254d29f7f90179748c50dd62fd9c1b8016ecc5f5c1deee4a4dba8bff94 --base internal-clusterip --work-dir <tmp> --non-interactive --namespace ingress-nginx,none,pass,pass,pass,pass,pass,pass,,,,yes,packages/ingress-nginx/ingress-nginx/4.15.1/bases/internal-clusterip,recipes/ingress-nginx/ingress-nginx/4.15.1/CATALOG.md
14,ingress-nginx/ingress-nginx@4.15.1,admission-disabled,no,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/ingress-nginx-ingress-nginx:4.15.1@sha256:9a00fb254d29f7f90179748c50dd62fd9c1b8016ecc5f5c1deee4a4dba8bff94 --base admission-disabled --work-dir <tmp> --non-interactive --namespace ingress-nginx,none,pass,pass,pass,pass,pass,pass,,,,yes,packages/ingress-nginx/ingress-nginx/4.15.1/bases/admission-disabled,recipes/ingress-nginx/ingress-nginx/4.15.1/CATALOG.md
14,ingress-nginx/ingress-nginx@4.15.1,default,no,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/ingress-nginx-ingress-nginx:4.15.1@sha256:9a00fb254d29f7f90179748c50dd62fd9c1b8016ecc5f5c1deee4a4dba8bff94 --base default --work-dir <tmp> --non-interactive --namespace ingress-nginx,"required Secret ingress-nginx/ingress-nginx-admission keys cert,key,ca",pass,pass,pass,pass,pass,pass,,,,yes,packages/ingress-nginx/ingress-nginx/4.15.1/bases/default,recipes/ingress-nginx/ingress-nginx/4.15.1/CATALOG.md
15,jetstack/cert-manager@v1.20.2,crds-enabled,yes,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/jetstack-cert-manager:v1.20.2@sha256:455d6b52af442da5814a54e40a1a44abc592cc3fd366f3f14b75cb4adca17d98 --base crds-enabled --work-dir <tmp> --non-interactive --namespace cert-manager,none,pass,pass,pass,pass,pass,pass,,pass,runs/lifecycle-observations/cert-manager-eso/jetstack-cert-manager-crds-enabled/receipt.yaml,yes,packages/jetstack/cert-manager/v1.20.2/bases/crds-enabled,recipes/jetstack/cert-manager/v1.20.2/CATALOG.md
15,jetstack/cert-manager@v1.20.2,default,no,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/jetstack-cert-manager:v1.20.2@sha256:455d6b52af442da5814a54e40a1a44abc592cc3fd366f3f14b75cb4adca17d98 --base default --work-dir <tmp> --non-interactive --namespace cert-manager,required CRD challenges.acme.cert-manager.io; required CRD orders.acme.cert-manager.io; required CRD certificaterequests.cert-manager.io; required CRD certificates.cert-manager.io; required CRD clusterissuers.cert-manager.io; required CRD issuers.cert-manager.io,pass,pass,pass,pass,pass,pass,,pass,runs/lifecycle-observations/cert-manager-eso/jetstack-cert-manager-default/receipt.yaml,yes,packages/jetstack/cert-manager/v1.20.2/bases/default,recipes/jetstack/cert-manager/v1.20.2/CATALOG.md
16,longhorn/longhorn@1.11.2,default,yes,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/longhorn-longhorn:1.11.2@sha256:a6fcbe3cb5728a096f61c52fc8a0a4034a9511b0bbfb8a9cfedf91313a3a4064 --base default --work-dir <tmp> --non-interactive --namespace longhorn-system,none,pass,pass,pass,pass,pass,pass,,,,yes,packages/longhorn/longhorn/1.11.2/bases/default,recipes/longhorn/longhorn/1.11.2/CATALOG.md
16,longhorn/longhorn@1.11.2,ui-ingress,no,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/longhorn-longhorn:1.11.2@sha256:a6fcbe3cb5728a096f61c52fc8a0a4034a9511b0bbfb8a9cfedf91313a3a4064 --base ui-ingress --work-dir <tmp> --non-interactive --namespace longhorn-system,none,pass,pass,pass,pass,pass,pass,,,,yes,packages/longhorn/longhorn/1.11.2/bases/ui-ingress,recipes/longhorn/longhorn/1.11.2/CATALOG.md
17,metrics-server/metrics-server@3.13.0,default,yes,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/metrics-server-metrics-server:3.13.0@sha256:ebe6356044a23425f14c440f195f89f82569962a2aa6ddb25fc8503e0978d50b --base default --work-dir <tmp> --non-interactive --namespace kube-system,none,pass,pass,pass,pass,pass,pass,,,,yes,packages/metrics-server/metrics-server/3.13.0/bases/default,recipes/metrics-server/metrics-server/3.13.0/CATALOG.md
17,metrics-server/metrics-server@3.13.0,external-tls-ca,no,start-here,all core lanes plus two-cluster parity pass for this base,use as the first catalog path; check production disposition before production use,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/metrics-server-metrics-server:3.13.0@sha256:ebe6356044a23425f14c440f195f89f82569962a2aa6ddb25fc8503e0978d50b --base external-tls-ca --work-dir <tmp> --non-interactive --namespace kube-system,"required Secret kube-system/metrics-server-tls keys tls.crt,tls.key; required Value apiService.caBundle (pre-render)",pass,pass,pass,pass,pass,pass,,,,yes,packages/metrics-server/metrics-server/3.13.0/bases/external-tls-ca,recipes/metrics-server/metrics-server/3.13.0/CATALOG.md
18,prometheus-community/kube-prometheus-stack@85.3.3,default,yes,render-only,"render parity exists, but two-cluster live parity has no committed receipt for this base",run two-cluster kind parity and then add ConfigHub/live lanes as needed,,,,,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack:85.3.3@sha256:bc8b2b5a3b92e2e5e44638dd8da9ae49b2cfb5edccbe664208c8251585148679 --base default --work-dir <tmp> --non-interactive --namespace monitoring,"required Secret monitoring/kube-prometheus-stack-admission keys ca,cert,key; required CRD alertmanagerconfigs.monitoring.coreos.com; required CRD alertmanagers.monitoring.coreos.com; required CRD podmonitors.monitoring.coreos.com; required CRD probes.monitoring.coreos.com; required CRD prometheusagents.monitoring.coreos.com; required CRD prometheuses.monitoring.coreos.com; required CRD prometheusrules.monitoring.coreos.com; required CRD scrapeconfigs.monitoring.coreos.com; required CRD servicemonitors.monitoring.coreos.com; required CRD thanosrulers.monitoring.coreos.com",pass,pass,pass,pass,pass,missing,,,,yes,packages/prometheus-community/kube-prometheus-stack/85.3.3/bases/default,recipes/prometheus-community/kube-prometheus-stack/85.3.3/CATALOG.md
