chart,version,base,promotion_state,promotion_status,server_clone_exists,promote_readiness,owner_class,blocked_by,evidence_receipt,next_action,reason
argo-cd/argocd-image-updater,1.2.2,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/argocd-image-updater-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
autoscaler/cluster-autoscaler,9.57.0,controller-default-reviewed,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cluster-autoscaler-controller-default-reviewed-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
autoscaler/cluster-autoscaler,9.57.0,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cluster-autoscaler-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
autoscaler/vertical-pod-autoscaler,0.9.0,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/vertical-pod-autoscaler-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
autoscaler/vertical-pod-autoscaler,0.9.0,no-crds,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/vertical-pod-autoscaler-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
aws-controllers-k8s/ec2-chart,1.18.4,default,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
aws-controllers-k8s/ec2-chart,1.18.4,eks-inference,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
aws-controllers-k8s/eks-chart,1.16.3,default,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
aws-controllers-k8s/eks-chart,1.16.3,eks-inference,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
aws-controllers-k8s/iam-chart,1.7.3,default,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
aws-controllers-k8s/iam-chart,1.7.3,eks-inference,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/aws-ebs-csi-driver-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/apache,11.4.29,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-apache-11-4-29-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/apache,11.4.29,legacy,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-apache-11-4-29-legacy-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/contour,21.1.4,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-contour-21-1-4-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/contour,21.1.4,legacy,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-contour-21-1-4-legacy-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/contour,21.1.4,no-crds,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-contour-21-1-4-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/elasticsearch,22.1.6,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-elasticsearch-22-1-6-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/elasticsearch,22.1.6,ha,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-elasticsearch-22-1-6-ha-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/elasticsearch,22.1.6,legacy,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-elasticsearch-22-1-6-legacy-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/memcached,8.5.5,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-memcached-8-5-5-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/mongodb,19.0.7,existing-secret-replicaset,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/mongodb-existing-secret-replicaset-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/mongodb,19.0.7,static-passwords,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/mongodb-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
bitnami/mongodb,19.0.9,existing-secret-replicaset,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/cl-mongodb-19-0-9-existing-secret-replicaset-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
bitnami/mongodb,19.0.9,static-passwords,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-mongodb-19-0-9-static-passwords-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/mongodb,19.1.0,existing-secret-replicaset,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/cl-mongodb-19-1-0-existing-secret-replicaset-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
bitnami/mongodb,19.1.0,static-passwords,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/cl-mongodb-19-1-0-static-passwords-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
bitnami/mysql,14.0.3,existing-secret,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/mysql-existing-secret-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/mysql,14.0.3,static-passwords,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/mysql-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
bitnami/nginx,24.0.2,existing-tls-ingress,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/nginx-existing-tls-ingress-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/nginx,24.0.2,http-clusterip,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/nginx-http-clusterip-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/nginx,24.0.4,existing-tls-ingress,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/cl-nginx-24-0-4-existing-tls-ingress-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
bitnami/nginx,24.0.4,http-clusterip,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/cl-nginx-24-0-4-http-clusterip-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
bitnami/nginx,25.0.0,existing-tls-ingress,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/cl-nginx-25-0-0-existing-tls-ingress-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
bitnami/nginx,25.0.0,http-clusterip,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/cl-nginx-25-0-0-http-clusterip-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
bitnami/opensearch,2.0.10,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/opensearch-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/opensearch,2.0.10,ha,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/opensearch-ha-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/opensearch,2.0.10,legacy,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/opensearch-legacy-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/phpmyadmin,20.0.0,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-phpmyadmin-20-0-0-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/phpmyadmin,20.0.0,legacy,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-phpmyadmin-20-0-0-legacy-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/postgresql,18.6.10,existing-secret,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/cl-postgresql-18-6-10-existing-secret-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
bitnami/postgresql,18.6.10,static-passwords,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-postgresql-18-6-10-static-passwords-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/postgresql,18.6.7,existing-secret,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/postgresql-existing-secret-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/postgresql,18.6.7,static-passwords,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/postgresql-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
bitnami/postgresql,18.7.0,existing-secret,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/cl-postgresql-18-7-0-existing-secret-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
bitnami/postgresql,18.7.0,static-passwords,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/cl-postgresql-18-7-0-static-passwords-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
bitnami/rabbitmq,16.0.14,existing-secret,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/rabbitmq-existing-secret-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/rabbitmq,16.0.14,static-passwords,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/rabbitmq-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
bitnami/redis,25.5.3,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/redis-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/redis,25.5.3,reuse-existing-secret,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/redis-reuse-existing-secret-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/redis,27.0.0,default,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/cl-redis-27-0-0-default-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
bitnami/redis,27.0.0,reuse-existing-secret,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/cl-redis-27-0-0-reuse-existing-secret-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
bitnami/spark,10.0.3,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-spark-10-0-3-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/spark,10.0.3,ha,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-spark-10-0-3-ha-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/spark,10.0.3,legacy,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-spark-10-0-3-legacy-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/zookeeper,13.8.7,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-zookeeper-13-8-7-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/zookeeper,13.8.7,ha,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-zookeeper-13-8-7-ha-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
bitnami/zookeeper,13.8.7,legacy,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-zookeeper-13-8-7-legacy-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
cloudnative-pg/cloudnative-pg,0.28.2,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cloudnative-pg-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
cloudnative-pg/cloudnative-pg,0.28.2,no-crds,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cloudnative-pg-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
cloudpirates/nginx,0.16.1,default,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
cloudpirates/rabbitmq,0.21.13,default,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
cloudpirates/redis,0.34.11,default,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
coredns/coredns,1.45.2,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/coredns-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
crossplane-stable/crossplane,2.3.1,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/crossplane-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
descheduler/descheduler,0.36.0,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/descheduler-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
dex/dex,0.24.0,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/dex-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
elastic/eck-operator,3.4.0,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/eck-operator-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
elastic/eck-operator,3.4.0,ha,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/eck-operator-ha-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
elastic/eck-operator,3.4.0,no-crds,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/eck-operator-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
elastic/filebeat,8.5.1,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/filebeat-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
elastic/filebeat,8.5.1,node-or-cluster-collector,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/filebeat-node-or-cluster-collector-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
elastic/kibana,8.5.1,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-kibana-8-5-1-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
elastic/logstash,8.5.1,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/logstash-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
elastic/logstash,8.5.1,ha,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/logstash-ha-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
elastic/metricbeat,8.5.1,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/cl-metricbeat-8-5-1-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
external-dns/external-dns,1.21.1,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/external-dns-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
external-dns/external-dns,1.21.1,dry-run-txt-registry,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/external-dns-dry-run-txt-registry-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
external-dns/external-dns,1.21.1,no-crds,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/external-dns-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
external-secrets/external-secrets,2.5.0,default,watch,proven-with-watch,yes,watch-grade,run-proof,,runs/external-secrets-confighub-proof/latest/variant-promotion-receipt.yaml,ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback"
external-secrets/external-secrets,2.5.0,no-crds,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/external-secrets-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
external-secrets/external-secrets,2.7.0,default,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
external-secrets/external-secrets,2.7.0,no-crds,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
external-secrets/external-secrets,2.8.0,default,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
external-secrets/external-secrets,2.8.0,no-crds,todo,missing-confighub-proof,no,blocked-needs-confighub-proof,run-proof,,,run the ConfigHub proof lane first,promotion depends on upstream and downstream ConfigHub Spaces; the ConfigHub proof lane is missing
fairwinds-stable/goldilocks,10.3.0,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/goldilocks-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
fairwinds-stable/vpa,4.11.0,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/vpa-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
fairwinds-stable/vpa,4.11.0,no-crds,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/vpa-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
falcosecurity/falco,9.0.0,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/falco-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
falcosecurity/falcosidekick,0.13.1,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/falcosidekick-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
fluent/fluent-bit,0.57.6,default,yes,proven,yes,promotion-proven,not-applicable-if-any,,runs/fluent-bit-default-confighub-proof/latest/variant-promotion-receipt.yaml,keep receipt fresh when the upstream base changes,server-side promotion receipt passed
