chart,version,variants,scanPriority,findingCount,topChecks,dispositionRoute,routeReason,suggestedAction,productionNextDisposition,productionDispositionReceipt,owner,productionState,liveE2EReceipts
external-secrets/external-secrets,2.5.0,default;no-crds,standard,12,unset-cpu-requirements:6;unset-memory-requirements:6,add-resource-policy,rendered workloads lack production resource requests or limits,add a production resource policy/base variant or explicitly keep chart defaults as local-test only,CRD lifecycle and upgrade policy,data/production-disposition/receipts/external-secrets-external-secrets/crd-lifecycle-and-upgrade-policy.yaml,catalog-review,production-blocked,1
jetstack/cert-manager,v1.20.2,crds-enabled;default,standard,12,unset-cpu-requirements:6;unset-memory-requirements:6,add-resource-policy,rendered workloads lack production resource requests or limits,add a production resource policy/base variant or explicitly keep chart defaults as local-test only,CRD lifecycle and upgrade policy,data/production-disposition/receipts/jetstack-cert-manager/crd-lifecycle-and-upgrade-policy.yaml,catalog-review,production-blocked,1
hashicorp/consul,2.0.0,default-control-plane;secure-mesh-existing-secrets,standard,11,liveness-port:2;readiness-port:2;startup-port:2;unset-cpu-requirements:2;unset-memory-requirements:2;job-ttl-seconds-after-finished:1,add-resource-policy,rendered workloads lack production resource requests or limits,add a production resource policy/base variant or explicitly keep chart defaults as local-test only,CRD lifecycle and upgrade policy,data/production-disposition/receipts/hashicorp-consul/crd-lifecycle-and-upgrade-policy.yaml,catalog-review,production-blocked,1
metrics-server/metrics-server,3.13.0,default;external-tls-ca,standard,2,unset-memory-requirements:2,add-resource-policy,rendered workloads lack production resource requests or limits,add a production resource policy/base variant or explicitly keep chart defaults as local-test only,,,catalog-review,production-review-ready,1
bitnami/redis,25.5.3,default;reuse-existing-secret,standard,4,pdb-unhealthy-pod-eviction-policy:4,accept-or-patch-pdb-policy,the remaining warning is an explicit PodDisruptionBudget policy choice,accept chart behavior for the supported scope or add a reviewed patch where the chart supports it,,,security-review,production-review-ready,2
bitnami/mongodb,19.0.7,existing-secret-replicaset;generated-passwords,standard,3,pdb-unhealthy-pod-eviction-policy:3,accept-or-patch-pdb-policy,the remaining warning is an explicit PodDisruptionBudget policy choice,accept chart behavior for the supported scope or add a reviewed patch where the chart supports it,,,security-review,production-review-ready,1
bitnami/mysql,14.0.3,existing-secret;generated-passwords,standard,2,pdb-unhealthy-pod-eviction-policy:2,accept-or-patch-pdb-policy,the remaining warning is an explicit PodDisruptionBudget policy choice,accept chart behavior for the supported scope or add a reviewed patch where the chart supports it,,,security-review,production-review-ready,1
bitnami/nginx,24.0.2,existing-tls-ingress;http-clusterip,standard,2,pdb-unhealthy-pod-eviction-policy:2,accept-or-patch-pdb-policy,the remaining warning is an explicit PodDisruptionBudget policy choice,accept chart behavior for the supported scope or add a reviewed patch where the chart supports it,,,security-review,production-review-ready,1
bitnami/postgresql,18.6.7,existing-secret;generated-passwords,standard,2,pdb-unhealthy-pod-eviction-policy:2,accept-or-patch-pdb-policy,the remaining warning is an explicit PodDisruptionBudget policy choice,accept chart behavior for the supported scope or add a reviewed patch where the chart supports it,,,security-review,production-review-ready,1
bitnami/rabbitmq,16.0.14,existing-secret;generated-passwords,standard,2,pdb-unhealthy-pod-eviction-policy:2,accept-or-patch-pdb-policy,the remaining warning is an explicit PodDisruptionBudget policy choice,accept chart behavior for the supported scope or add a reviewed patch where the chart supports it,,,security-review,production-review-ready,1
