priority,chart,version,chart_ref,variants,strict_evidence_bases,strongest_evidence,source_features,scan_high,scan_medium,gate_decisions,current_support_level,current_production_readiness,current_catalog_status,supported_variants,promotion_question,first_step,done_when,evidence,gaps,recipe_path,package_path
2,fairwinds-stable/vpa,4.11.0,fairwinds-stable/vpa@4.11.0,default;no-crds,default;no-crds,live-helm-vs-confighub-parity,lookup;tpl;capabilities;crds;cluster-rbac;webhooks,0,21,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/fairwinds-stable/vpa/4.11.0/revisions/default/r001/variant-revision.yaml;recipes/fairwinds-stable/vpa/4.11.0/helm-pain-report.yaml;recipes/fairwinds-stable/vpa/4.11.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/fairwinds-stable/vpa/4.11.0/control-points.yaml;recipes/fairwinds-stable/vpa/4.11.0/value-model.yaml;recipes/fairwinds-stable/vpa/4.11.0/helm-plan.yaml;recipes/fairwinds-stable/vpa/4.11.0/CATALOG.md;recipes/fairwinds-stable/vpa/4.11.0/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,recipes/fairwinds-stable/vpa/4.11.0,packages/fairwinds-stable/vpa/4.11.0
2,gatekeeper/gatekeeper,3.22.2,gatekeeper/gatekeeper@3.22.2,default;no-crds,default;no-crds,live-helm-vs-confighub-parity,capabilities;hooks;crds;cluster-rbac;webhooks,0,22,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/gatekeeper/gatekeeper/3.22.2/revisions/default/r001/variant-revision.yaml;recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml;recipes/gatekeeper/gatekeeper/3.22.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/gatekeeper/gatekeeper/3.22.2/control-points.yaml;recipes/gatekeeper/gatekeeper/3.22.2/value-model.yaml;recipes/gatekeeper/gatekeeper/3.22.2/helm-plan.yaml;recipes/gatekeeper/gatekeeper/3.22.2/CATALOG.md;recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,recipes/gatekeeper/gatekeeper/3.22.2,packages/gatekeeper/gatekeeper/3.22.2
2,grafana/alloy,1.8.2,grafana/alloy@1.8.2,default;no-crds,default;no-crds,live-helm-vs-confighub-parity,tpl;capabilities;crds;cluster-rbac;stateful-storage,0,3,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/grafana/alloy/1.8.2/revisions/default/r001/variant-revision.yaml;recipes/grafana/alloy/1.8.2/helm-pain-report.yaml;recipes/grafana/alloy/1.8.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/grafana/alloy/1.8.2/control-points.yaml;recipes/grafana/alloy/1.8.2/value-model.yaml;recipes/grafana/alloy/1.8.2/helm-plan.yaml;recipes/grafana/alloy/1.8.2/CATALOG.md;recipes/grafana/alloy/1.8.2/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,recipes/grafana/alloy/1.8.2,packages/grafana/alloy/1.8.2
2,grafana/rollout-operator,0.49.0,grafana/rollout-operator@0.49.0,default;no-crds,default;no-crds,live-helm-vs-confighub-parity,,0,8,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/grafana/rollout-operator/0.49.0/revisions/default/r001/variant-revision.yaml;recipes/grafana/rollout-operator/0.49.0/helm-pain-report.yaml;recipes/grafana/rollout-operator/0.49.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/grafana/rollout-operator/0.49.0/control-points.yaml;recipes/grafana/rollout-operator/0.49.0/value-model.yaml;recipes/grafana/rollout-operator/0.49.0/helm-plan.yaml;recipes/grafana/rollout-operator/0.49.0/CATALOG.md;recipes/grafana/rollout-operator/0.49.0/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,recipes/grafana/rollout-operator/0.49.0,packages/grafana/rollout-operator/0.49.0
2,jetstack/trust-manager,v0.22.1,jetstack/trust-manager@v0.22.1,default;no-crds,default;no-crds,two-cluster-kind-parity,,0,4,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/jetstack/trust-manager/v0.22.1/revisions/default/r001/variant-revision.yaml;recipes/jetstack/trust-manager/v0.22.1/helm-pain-report.yaml;recipes/jetstack/trust-manager/v0.22.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/jetstack/trust-manager/v0.22.1/control-points.yaml;recipes/jetstack/trust-manager/v0.22.1/value-model.yaml;recipes/jetstack/trust-manager/v0.22.1/helm-plan.yaml;recipes/jetstack/trust-manager/v0.22.1/CATALOG.md;recipes/jetstack/trust-manager/v0.22.1/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,recipes/jetstack/trust-manager/v0.22.1,packages/jetstack/trust-manager/v0.22.1
2,kedacore/keda,2.19.0,kedacore/keda@2.19.0,default;no-crds,default;no-crds,live-helm-vs-confighub-parity,tpl;capabilities;crds;cluster-rbac;webhooks,0,17,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/kedacore/keda/2.19.0/revisions/default/r001/variant-revision.yaml;recipes/kedacore/keda/2.19.0/helm-pain-report.yaml;recipes/kedacore/keda/2.19.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/kedacore/keda/2.19.0/control-points.yaml;recipes/kedacore/keda/2.19.0/value-model.yaml;recipes/kedacore/keda/2.19.0/helm-plan.yaml;recipes/kedacore/keda/2.19.0/CATALOG.md;recipes/kedacore/keda/2.19.0/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,recipes/kedacore/keda/2.19.0,packages/kedacore/keda/2.19.0
2,nats/nack,0.34.0,nats/nack@0.34.0,default;no-crds,default;no-crds,live-helm-vs-confighub-parity,,0,8,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/nats/nack/0.34.0/revisions/default/r001/variant-revision.yaml;recipes/nats/nack/0.34.0/helm-pain-report.yaml;recipes/nats/nack/0.34.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/nats/nack/0.34.0/control-points.yaml;recipes/nats/nack/0.34.0/value-model.yaml;recipes/nats/nack/0.34.0/helm-plan.yaml;recipes/nats/nack/0.34.0/CATALOG.md;recipes/nats/nack/0.34.0/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,recipes/nats/nack/0.34.0,packages/nats/nack/0.34.0
2,nats/nats,2.14.0,nats/nats@2.14.0,default;ha,default;ha,live-helm-vs-confighub-parity,tpl,0,1,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/nats/nats/2.14.0/revisions/default/r001/variant-revision.yaml;recipes/nats/nats/2.14.0/helm-pain-report.yaml;recipes/nats/nats/2.14.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/nats/nats/2.14.0/control-points.yaml;recipes/nats/nats/2.14.0/value-model.yaml;recipes/nats/nats/2.14.0/helm-plan.yaml;recipes/nats/nats/2.14.0/CATALOG.md;recipes/nats/nats/2.14.0/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; stateful storage and rollback policy must be catalog-readable,recipes/nats/nats/2.14.0,packages/nats/nats/2.14.0
2,open-telemetry/opentelemetry-operator,0.114.0,open-telemetry/opentelemetry-operator@0.114.0,default;no-crds,default;no-crds,live-helm-vs-confighub-parity,,0,9,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/open-telemetry/opentelemetry-operator/0.114.0/revisions/default/r001/variant-revision.yaml;recipes/open-telemetry/opentelemetry-operator/0.114.0/helm-pain-report.yaml;recipes/open-telemetry/opentelemetry-operator/0.114.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/open-telemetry/opentelemetry-operator/0.114.0/control-points.yaml;recipes/open-telemetry/opentelemetry-operator/0.114.0/value-model.yaml;recipes/open-telemetry/opentelemetry-operator/0.114.0/helm-plan.yaml;recipes/open-telemetry/opentelemetry-operator/0.114.0/CATALOG.md;recipes/open-telemetry/opentelemetry-operator/0.114.0/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,recipes/open-telemetry/opentelemetry-operator/0.114.0,packages/open-telemetry/opentelemetry-operator/0.114.0
2,percona/pg-operator,3.0.0,percona/pg-operator@3.0.0,default;no-crds,default;no-crds,live-helm-vs-confighub-parity,,0,8,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/percona/pg-operator/3.0.0/revisions/default/r001/variant-revision.yaml;recipes/percona/pg-operator/3.0.0/helm-pain-report.yaml;recipes/percona/pg-operator/3.0.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/percona/pg-operator/3.0.0/control-points.yaml;recipes/percona/pg-operator/3.0.0/value-model.yaml;recipes/percona/pg-operator/3.0.0/helm-plan.yaml;recipes/percona/pg-operator/3.0.0/CATALOG.md;recipes/percona/pg-operator/3.0.0/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,recipes/percona/pg-operator/3.0.0,packages/percona/pg-operator/3.0.0
2,percona/psmdb-operator,1.22.0,percona/psmdb-operator@1.22.0,default;no-crds,default;no-crds,live-helm-vs-confighub-parity,,0,3,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/percona/psmdb-operator/1.22.0/revisions/default/r001/variant-revision.yaml;recipes/percona/psmdb-operator/1.22.0/helm-pain-report.yaml;recipes/percona/psmdb-operator/1.22.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/percona/psmdb-operator/1.22.0/control-points.yaml;recipes/percona/psmdb-operator/1.22.0/value-model.yaml;recipes/percona/psmdb-operator/1.22.0/helm-plan.yaml;recipes/percona/psmdb-operator/1.22.0/CATALOG.md;recipes/percona/psmdb-operator/1.22.0/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,recipes/percona/psmdb-operator/1.22.0,packages/percona/psmdb-operator/1.22.0
2,percona/pxc-operator,1.19.1,percona/pxc-operator@1.19.1,default;no-crds,default;no-crds,live-helm-vs-confighub-parity,lookup;crds;cluster-rbac,0,3,allow;warn,machine-proof-only,not-reviewed-for-production,proof-grade,,"Which variant, target scope, scan/gate dispositions, and live evidence are enough to promote this chart?","review the existing variants, then write production disposition or support-decision artifacts before changing catalog status","a selected variant has explicit scan/gate disposition, production support boundary, and live evidence or routed deferral",recipes/percona/pxc-operator/1.19.1/revisions/default/r001/variant-revision.yaml;recipes/percona/pxc-operator/1.19.1/helm-pain-report.yaml;recipes/percona/pxc-operator/1.19.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/percona/pxc-operator/1.19.1/control-points.yaml;recipes/percona/pxc-operator/1.19.1/value-model.yaml;recipes/percona/pxc-operator/1.19.1/helm-plan.yaml;recipes/percona/pxc-operator/1.19.1/CATALOG.md;recipes/percona/pxc-operator/1.19.1/helm-pain-report.yaml,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,recipes/percona/pxc-operator/1.19.1,packages/percona/pxc-operator/1.19.1
