chart,version,chart_ref,order,work_type,reviewer,reason,done_when,evidence
argo-cd/argo-rollouts,2.40.9,argo-cd/argo-rollouts@2.40.9,3,selected-live-evidence,operator reviewer,Strict parity evidence exists (live-helm-vs-confighub-parity); catalog promotion needs the selected runtime evidence boundary.,"The selected base has linked live evidence, GitOps/OCI evidence, live parity evidence, or a routed deferral with rationale.",data/live-kind-parity/summary.csv;data/live-helm-confighub-compare/summary.csv
argo-cd/argo-rollouts,2.40.9,argo-cd/argo-rollouts@2.40.9,4,target-scoped-support-decision,catalog owner,Catalog support is not implied by machine proof.,"A target-scoped support decision exists with supported, deferred, superseded, or blocked outcome.",data/production-support-decisions/summary.md
argo-cd/argo-workflows,1.0.14,argo-cd/argo-workflows@1.0.14,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;controller-default-reviewed;minimal-crds and the non-selected variants have a written promote/defer reason.,recipes/argo-cd/argo-workflows/1.0.14/CATALOG.md
argo-cd/argo-workflows,1.0.14,argo-cd/argo-workflows@1.0.14,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=0, medium=22, gates=allow;warn.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
argo-cd/argo-workflows,1.0.14,argo-cd/argo-workflows@1.0.14,3,selected-live-evidence,operator reviewer,Strict parity evidence exists (live-helm-vs-confighub-parity); catalog promotion needs the selected runtime evidence boundary.,"The selected base has linked live evidence, GitOps/OCI evidence, live parity evidence, or a routed deferral with rationale.",data/live-kind-parity/summary.csv;data/live-helm-confighub-compare/summary.csv
argo-cd/argo-workflows,1.0.14,argo-cd/argo-workflows@1.0.14,4,target-scoped-support-decision,catalog owner,Catalog support is not implied by machine proof.,"A target-scoped support decision exists with supported, deferred, superseded, or blocked outcome.",data/production-support-decisions/summary.md
autoscaler/cluster-autoscaler,9.57.0,autoscaler/cluster-autoscaler@9.57.0,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;controller-default-reviewed and the non-selected variants have a written promote/defer reason.,recipes/autoscaler/cluster-autoscaler/9.57.0/CATALOG.md
autoscaler/cluster-autoscaler,9.57.0,autoscaler/cluster-autoscaler@9.57.0,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=1, medium=4, gates=warn.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
autoscaler/cluster-autoscaler,9.57.0,autoscaler/cluster-autoscaler@9.57.0,3,selected-live-evidence,operator reviewer,Strict parity evidence exists (live-helm-vs-confighub-parity); catalog promotion needs the selected runtime evidence boundary.,"The selected base has linked live evidence, GitOps/OCI evidence, live parity evidence, or a routed deferral with rationale.",data/live-kind-parity/summary.csv;data/live-helm-confighub-compare/summary.csv
autoscaler/cluster-autoscaler,9.57.0,autoscaler/cluster-autoscaler@9.57.0,4,target-scoped-support-decision,catalog owner,Catalog support is not implied by machine proof.,"A target-scoped support decision exists with supported, deferred, superseded, or blocked outcome.",data/production-support-decisions/summary.md
autoscaler/vertical-pod-autoscaler,0.9.0,autoscaler/vertical-pod-autoscaler@0.9.0,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;no-crds and the non-selected variants have a written promote/defer reason.,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/CATALOG.md
autoscaler/vertical-pod-autoscaler,0.9.0,autoscaler/vertical-pod-autoscaler@0.9.0,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=0, medium=25, gates=allow;warn.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
autoscaler/vertical-pod-autoscaler,0.9.0,autoscaler/vertical-pod-autoscaler@0.9.0,3,selected-live-evidence,operator reviewer,Strict parity evidence exists (live-helm-vs-confighub-parity); catalog promotion needs the selected runtime evidence boundary.,"The selected base has linked live evidence, GitOps/OCI evidence, live parity evidence, or a routed deferral with rationale.",data/live-kind-parity/summary.csv;data/live-helm-confighub-compare/summary.csv
autoscaler/vertical-pod-autoscaler,0.9.0,autoscaler/vertical-pod-autoscaler@0.9.0,4,target-scoped-support-decision,catalog owner,Catalog support is not implied by machine proof.,"A target-scoped support decision exists with supported, deferred, superseded, or blocked outcome.",data/production-support-decisions/summary.md
cloudnative-pg/cloudnative-pg,0.28.2,cloudnative-pg/cloudnative-pg@0.28.2,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;no-crds and the non-selected variants have a written promote/defer reason.,recipes/cloudnative-pg/cloudnative-pg/0.28.2/CATALOG.md
cloudnative-pg/cloudnative-pg,0.28.2,cloudnative-pg/cloudnative-pg@0.28.2,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=0, medium=16, gates=allow;warn.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
cloudnative-pg/cloudnative-pg,0.28.2,cloudnative-pg/cloudnative-pg@0.28.2,3,crd-lifecycle,platform reviewer,The chart includes CRDs or CRD-like lifecycle concerns.,"CRD install, upgrade, ownership, and no-CRDs behavior are recorded or explicitly deferred for the selected base.",recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-pain-report.yaml
cloudnative-pg/cloudnative-pg,0.28.2,cloudnative-pg/cloudnative-pg@0.28.2,4,webhook-readiness,platform reviewer,The chart includes webhook resources or webhook runtime dependencies.,"Webhook readiness, CA/material injection, failure policy, and observation path are recorded or explicitly deferred.",recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-pain-report.yaml
cloudnative-pg/cloudnative-pg,0.28.2,cloudnative-pg/cloudnative-pg@0.28.2,5,generated-fact-policy,catalog reviewer,The chart has generated or once-only values that can affect repeatability.,"Generated facts are persisted, replaced by target facts, or explicitly scoped out of the promoted base.",recipes/cloudnative-pg/cloudnative-pg/0.28.2/control-points.yaml
cloudnative-pg/cloudnative-pg,0.28.2,cloudnative-pg/cloudnative-pg@0.28.2,6,rbac-scope,security reviewer,The chart creates cluster-scoped RBAC or similar permissions.,Cluster permissions are accepted for the support scope or a narrower base is selected.,recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-pain-report.yaml
cloudnative-pg/cloudnative-pg,0.28.2,cloudnative-pg/cloudnative-pg@0.28.2,7,template-and-capability-boundary,catalog reviewer,The chart has template-powered inputs or Kubernetes capability branches.,"The supported values, capability profile, and extension-slot policy are catalog-readable for the selected base.",recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-plan.yaml
cloudnative-pg/cloudnative-pg,0.28.2,cloudnative-pg/cloudnative-pg@0.28.2,8,selected-live-evidence,operator reviewer,Strict parity evidence exists (live-helm-vs-confighub-parity); catalog promotion needs the selected runtime evidence boundary.,"The selected base has linked live evidence, GitOps/OCI evidence, live parity evidence, or a routed deferral with rationale.",data/live-kind-parity/summary.csv;data/live-helm-confighub-compare/summary.csv
cloudnative-pg/cloudnative-pg,0.28.2,cloudnative-pg/cloudnative-pg@0.28.2,9,target-scoped-support-decision,catalog owner,Catalog support is not implied by machine proof.,"A target-scoped support decision exists with supported, deferred, superseded, or blocked outcome.",data/production-support-decisions/summary.md
elastic/eck-operator,3.4.0,elastic/eck-operator@3.4.0,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;ha;no-crds and the non-selected variants have a written promote/defer reason.,recipes/elastic/eck-operator/3.4.0/CATALOG.md
elastic/eck-operator,3.4.0,elastic/eck-operator@3.4.0,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=0, medium=18, gates=allow;warn.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
elastic/eck-operator,3.4.0,elastic/eck-operator@3.4.0,3,webhook-readiness,platform reviewer,The chart includes webhook resources or webhook runtime dependencies.,"Webhook readiness, CA/material injection, failure policy, and observation path are recorded or explicitly deferred.",recipes/elastic/eck-operator/3.4.0/helm-pain-report.yaml
elastic/eck-operator,3.4.0,elastic/eck-operator@3.4.0,4,storage-and-rollback-policy,operator reviewer,The chart has persistent or stateful behavior.,"Storage class assumptions, PVC behavior, backup/rollback boundary, and destructive-change policy are written for the selected base.",recipes/elastic/eck-operator/3.4.0/helm-pain-report.yaml
elastic/eck-operator,3.4.0,elastic/eck-operator@3.4.0,5,rbac-scope,security reviewer,The chart creates cluster-scoped RBAC or similar permissions.,Cluster permissions are accepted for the support scope or a narrower base is selected.,recipes/elastic/eck-operator/3.4.0/helm-pain-report.yaml
elastic/eck-operator,3.4.0,elastic/eck-operator@3.4.0,6,template-and-capability-boundary,catalog reviewer,The chart has template-powered inputs or Kubernetes capability branches.,"The supported values, capability profile, and extension-slot policy are catalog-readable for the selected base.",recipes/elastic/eck-operator/3.4.0/helm-plan.yaml
elastic/eck-operator,3.4.0,elastic/eck-operator@3.4.0,7,selected-live-evidence,operator reviewer,Strict parity evidence exists (live-helm-vs-confighub-parity); catalog promotion needs the selected runtime evidence boundary.,"The selected base has linked live evidence, GitOps/OCI evidence, live parity evidence, or a routed deferral with rationale.",data/live-kind-parity/summary.csv;data/live-helm-confighub-compare/summary.csv
elastic/eck-operator,3.4.0,elastic/eck-operator@3.4.0,8,target-scoped-support-decision,catalog owner,Catalog support is not implied by machine proof.,"A target-scoped support decision exists with supported, deferred, superseded, or blocked outcome.",data/production-support-decisions/summary.md
elastic/logstash,8.5.1,elastic/logstash@8.5.1,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;ha and the non-selected variants have a written promote/defer reason.,recipes/elastic/logstash/8.5.1/CATALOG.md
elastic/logstash,8.5.1,elastic/logstash@8.5.1,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=0, medium=0, gates=allow.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
elastic/logstash,8.5.1,elastic/logstash@8.5.1,3,storage-and-rollback-policy,operator reviewer,The chart has persistent or stateful behavior.,"Storage class assumptions, PVC behavior, backup/rollback boundary, and destructive-change policy are written for the selected base.",recipes/elastic/logstash/8.5.1/helm-pain-report.yaml
elastic/logstash,8.5.1,elastic/logstash@8.5.1,4,template-and-capability-boundary,catalog reviewer,The chart has template-powered inputs or Kubernetes capability branches.,"The supported values, capability profile, and extension-slot policy are catalog-readable for the selected base.",recipes/elastic/logstash/8.5.1/helm-plan.yaml
elastic/logstash,8.5.1,elastic/logstash@8.5.1,5,selected-live-evidence,operator reviewer,Strict parity evidence exists (live-helm-vs-confighub-parity); catalog promotion needs the selected runtime evidence boundary.,"The selected base has linked live evidence, GitOps/OCI evidence, live parity evidence, or a routed deferral with rationale.",data/live-kind-parity/summary.csv;data/live-helm-confighub-compare/summary.csv
elastic/logstash,8.5.1,elastic/logstash@8.5.1,6,target-scoped-support-decision,catalog owner,Catalog support is not implied by machine proof.,"A target-scoped support decision exists with supported, deferred, superseded, or blocked outcome.",data/production-support-decisions/summary.md
external-dns/external-dns,1.21.1,external-dns/external-dns@1.21.1,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;no-crds;dry-run-txt-registry and the non-selected variants have a written promote/defer reason.,recipes/external-dns/external-dns/1.21.1/CATALOG.md
external-dns/external-dns,1.21.1,external-dns/external-dns@1.21.1,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=0, medium=3, gates=allow;warn.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
external-dns/external-dns,1.21.1,external-dns/external-dns@1.21.1,3,crd-lifecycle,platform reviewer,The chart includes CRDs or CRD-like lifecycle concerns.,"CRD install, upgrade, ownership, and no-CRDs behavior are recorded or explicitly deferred for the selected base.",recipes/external-dns/external-dns/1.21.1/helm-pain-report.yaml
external-dns/external-dns,1.21.1,external-dns/external-dns@1.21.1,4,rbac-scope,security reviewer,The chart creates cluster-scoped RBAC or similar permissions.,Cluster permissions are accepted for the support scope or a narrower base is selected.,recipes/external-dns/external-dns/1.21.1/helm-pain-report.yaml
external-dns/external-dns,1.21.1,external-dns/external-dns@1.21.1,5,template-and-capability-boundary,catalog reviewer,The chart has template-powered inputs or Kubernetes capability branches.,"The supported values, capability profile, and extension-slot policy are catalog-readable for the selected base.",recipes/external-dns/external-dns/1.21.1/helm-plan.yaml
external-dns/external-dns,1.21.1,external-dns/external-dns@1.21.1,6,selected-live-evidence,operator reviewer,Strict parity evidence exists (live-helm-vs-confighub-parity); catalog promotion needs the selected runtime evidence boundary.,"The selected base has linked live evidence, GitOps/OCI evidence, live parity evidence, or a routed deferral with rationale.",data/live-kind-parity/summary.csv;data/live-helm-confighub-compare/summary.csv
external-dns/external-dns,1.21.1,external-dns/external-dns@1.21.1,7,target-scoped-support-decision,catalog owner,Catalog support is not implied by machine proof.,"A target-scoped support decision exists with supported, deferred, superseded, or blocked outcome.",data/production-support-decisions/summary.md
fairwinds-stable/vpa,4.11.0,fairwinds-stable/vpa@4.11.0,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;no-crds and the non-selected variants have a written promote/defer reason.,recipes/fairwinds-stable/vpa/4.11.0/CATALOG.md
fairwinds-stable/vpa,4.11.0,fairwinds-stable/vpa@4.11.0,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=0, medium=21, gates=allow;warn.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
fairwinds-stable/vpa,4.11.0,fairwinds-stable/vpa@4.11.0,3,crd-lifecycle,platform reviewer,The chart includes CRDs or CRD-like lifecycle concerns.,"CRD install, upgrade, ownership, and no-CRDs behavior are recorded or explicitly deferred for the selected base.",recipes/fairwinds-stable/vpa/4.11.0/helm-pain-report.yaml
fairwinds-stable/vpa,4.11.0,fairwinds-stable/vpa@4.11.0,4,webhook-readiness,platform reviewer,The chart includes webhook resources or webhook runtime dependencies.,"Webhook readiness, CA/material injection, failure policy, and observation path are recorded or explicitly deferred.",recipes/fairwinds-stable/vpa/4.11.0/helm-pain-report.yaml
fairwinds-stable/vpa,4.11.0,fairwinds-stable/vpa@4.11.0,5,rbac-scope,security reviewer,The chart creates cluster-scoped RBAC or similar permissions.,Cluster permissions are accepted for the support scope or a narrower base is selected.,recipes/fairwinds-stable/vpa/4.11.0/helm-pain-report.yaml
fairwinds-stable/vpa,4.11.0,fairwinds-stable/vpa@4.11.0,6,template-and-capability-boundary,catalog reviewer,The chart has template-powered inputs or Kubernetes capability branches.,"The supported values, capability profile, and extension-slot policy are catalog-readable for the selected base.",recipes/fairwinds-stable/vpa/4.11.0/helm-plan.yaml
fairwinds-stable/vpa,4.11.0,fairwinds-stable/vpa@4.11.0,7,selected-live-evidence,operator reviewer,Strict parity evidence exists (live-helm-vs-confighub-parity); catalog promotion needs the selected runtime evidence boundary.,"The selected base has linked live evidence, GitOps/OCI evidence, live parity evidence, or a routed deferral with rationale.",data/live-kind-parity/summary.csv;data/live-helm-confighub-compare/summary.csv
fairwinds-stable/vpa,4.11.0,fairwinds-stable/vpa@4.11.0,8,target-scoped-support-decision,catalog owner,Catalog support is not implied by machine proof.,"A target-scoped support decision exists with supported, deferred, superseded, or blocked outcome.",data/production-support-decisions/summary.md
gatekeeper/gatekeeper,3.22.2,gatekeeper/gatekeeper@3.22.2,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;no-crds and the non-selected variants have a written promote/defer reason.,recipes/gatekeeper/gatekeeper/3.22.2/CATALOG.md
gatekeeper/gatekeeper,3.22.2,gatekeeper/gatekeeper@3.22.2,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=0, medium=22, gates=allow;warn.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
gatekeeper/gatekeeper,3.22.2,gatekeeper/gatekeeper@3.22.2,3,crd-lifecycle,platform reviewer,The chart includes CRDs or CRD-like lifecycle concerns.,"CRD install, upgrade, ownership, and no-CRDs behavior are recorded or explicitly deferred for the selected base.",recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml
gatekeeper/gatekeeper,3.22.2,gatekeeper/gatekeeper@3.22.2,4,webhook-readiness,platform reviewer,The chart includes webhook resources or webhook runtime dependencies.,"Webhook readiness, CA/material injection, failure policy, and observation path are recorded or explicitly deferred.",recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml
gatekeeper/gatekeeper,3.22.2,gatekeeper/gatekeeper@3.22.2,5,rbac-scope,security reviewer,The chart creates cluster-scoped RBAC or similar permissions.,Cluster permissions are accepted for the support scope or a narrower base is selected.,recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml
gatekeeper/gatekeeper,3.22.2,gatekeeper/gatekeeper@3.22.2,6,template-and-capability-boundary,catalog reviewer,The chart has template-powered inputs or Kubernetes capability branches.,"The supported values, capability profile, and extension-slot policy are catalog-readable for the selected base.",recipes/gatekeeper/gatekeeper/3.22.2/helm-plan.yaml
gatekeeper/gatekeeper,3.22.2,gatekeeper/gatekeeper@3.22.2,7,selected-live-evidence,operator reviewer,Strict parity evidence exists (live-helm-vs-confighub-parity); catalog promotion needs the selected runtime evidence boundary.,"The selected base has linked live evidence, GitOps/OCI evidence, live parity evidence, or a routed deferral with rationale.",data/live-kind-parity/summary.csv;data/live-helm-confighub-compare/summary.csv
gatekeeper/gatekeeper,3.22.2,gatekeeper/gatekeeper@3.22.2,8,target-scoped-support-decision,catalog owner,Catalog support is not implied by machine proof.,"A target-scoped support decision exists with supported, deferred, superseded, or blocked outcome.",data/production-support-decisions/summary.md
grafana/alloy,1.8.2,grafana/alloy@1.8.2,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;no-crds and the non-selected variants have a written promote/defer reason.,recipes/grafana/alloy/1.8.2/CATALOG.md
grafana/alloy,1.8.2,grafana/alloy@1.8.2,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=0, medium=3, gates=allow;warn.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
grafana/alloy,1.8.2,grafana/alloy@1.8.2,3,crd-lifecycle,platform reviewer,The chart includes CRDs or CRD-like lifecycle concerns.,"CRD install, upgrade, ownership, and no-CRDs behavior are recorded or explicitly deferred for the selected base.",recipes/grafana/alloy/1.8.2/helm-pain-report.yaml
grafana/alloy,1.8.2,grafana/alloy@1.8.2,4,storage-and-rollback-policy,operator reviewer,The chart has persistent or stateful behavior.,"Storage class assumptions, PVC behavior, backup/rollback boundary, and destructive-change policy are written for the selected base.",recipes/grafana/alloy/1.8.2/helm-pain-report.yaml
grafana/alloy,1.8.2,grafana/alloy@1.8.2,5,rbac-scope,security reviewer,The chart creates cluster-scoped RBAC or similar permissions.,Cluster permissions are accepted for the support scope or a narrower base is selected.,recipes/grafana/alloy/1.8.2/helm-pain-report.yaml
grafana/alloy,1.8.2,grafana/alloy@1.8.2,6,template-and-capability-boundary,catalog reviewer,The chart has template-powered inputs or Kubernetes capability branches.,"The supported values, capability profile, and extension-slot policy are catalog-readable for the selected base.",recipes/grafana/alloy/1.8.2/helm-plan.yaml
grafana/alloy,1.8.2,grafana/alloy@1.8.2,7,selected-live-evidence,operator reviewer,Strict parity evidence exists (live-helm-vs-confighub-parity); catalog promotion needs the selected runtime evidence boundary.,"The selected base has linked live evidence, GitOps/OCI evidence, live parity evidence, or a routed deferral with rationale.",data/live-kind-parity/summary.csv;data/live-helm-confighub-compare/summary.csv
grafana/alloy,1.8.2,grafana/alloy@1.8.2,8,target-scoped-support-decision,catalog owner,Catalog support is not implied by machine proof.,"A target-scoped support decision exists with supported, deferred, superseded, or blocked outcome.",data/production-support-decisions/summary.md
grafana/rollout-operator,0.49.0,grafana/rollout-operator@0.49.0,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;no-crds and the non-selected variants have a written promote/defer reason.,recipes/grafana/rollout-operator/0.49.0/CATALOG.md
grafana/rollout-operator,0.49.0,grafana/rollout-operator@0.49.0,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=0, medium=8, gates=allow;warn.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
grafana/rollout-operator,0.49.0,grafana/rollout-operator@0.49.0,3,selected-live-evidence,operator reviewer,Strict parity evidence exists (live-helm-vs-confighub-parity); catalog promotion needs the selected runtime evidence boundary.,"The selected base has linked live evidence, GitOps/OCI evidence, live parity evidence, or a routed deferral with rationale.",data/live-kind-parity/summary.csv;data/live-helm-confighub-compare/summary.csv
grafana/rollout-operator,0.49.0,grafana/rollout-operator@0.49.0,4,target-scoped-support-decision,catalog owner,Catalog support is not implied by machine proof.,"A target-scoped support decision exists with supported, deferred, superseded, or blocked outcome.",data/production-support-decisions/summary.md
jaegertracing/jaeger-operator,2.57.0,jaegertracing/jaeger-operator@2.57.0,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;no-crds and the non-selected variants have a written promote/defer reason.,recipes/jaegertracing/jaeger-operator/2.57.0/CATALOG.md
jaegertracing/jaeger-operator,2.57.0,jaegertracing/jaeger-operator@2.57.0,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=0, medium=3, gates=allow;warn.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
jaegertracing/jaeger-operator,2.57.0,jaegertracing/jaeger-operator@2.57.0,3,crd-lifecycle,platform reviewer,The chart includes CRDs or CRD-like lifecycle concerns.,"CRD install, upgrade, ownership, and no-CRDs behavior are recorded or explicitly deferred for the selected base.",recipes/jaegertracing/jaeger-operator/2.57.0/helm-pain-report.yaml
jaegertracing/jaeger-operator,2.57.0,jaegertracing/jaeger-operator@2.57.0,4,webhook-readiness,platform reviewer,The chart includes webhook resources or webhook runtime dependencies.,"Webhook readiness, CA/material injection, failure policy, and observation path are recorded or explicitly deferred.",recipes/jaegertracing/jaeger-operator/2.57.0/helm-pain-report.yaml
jaegertracing/jaeger-operator,2.57.0,jaegertracing/jaeger-operator@2.57.0,5,selected-live-evidence,operator reviewer,Strict parity evidence exists (live-helm-vs-confighub-parity); catalog promotion needs the selected runtime evidence boundary.,"The selected base has linked live evidence, GitOps/OCI evidence, live parity evidence, or a routed deferral with rationale.",data/live-kind-parity/summary.csv;data/live-helm-confighub-compare/summary.csv
jaegertracing/jaeger-operator,2.57.0,jaegertracing/jaeger-operator@2.57.0,6,target-scoped-support-decision,catalog owner,Catalog support is not implied by machine proof.,"A target-scoped support decision exists with supported, deferred, superseded, or blocked outcome.",data/production-support-decisions/summary.md
jetstack/trust-manager,v0.22.1,jetstack/trust-manager@v0.22.1,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;no-crds and the non-selected variants have a written promote/defer reason.,recipes/jetstack/trust-manager/v0.22.1/CATALOG.md
jetstack/trust-manager,v0.22.1,jetstack/trust-manager@v0.22.1,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=0, medium=4, gates=allow;warn.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
jetstack/trust-manager,v0.22.1,jetstack/trust-manager@v0.22.1,3,selected-live-evidence,operator reviewer,Strict parity evidence exists (live-helm-vs-confighub-parity); catalog promotion needs the selected runtime evidence boundary.,"The selected base has linked live evidence, GitOps/OCI evidence, live parity evidence, or a routed deferral with rationale.",data/live-kind-parity/summary.csv;data/live-helm-confighub-compare/summary.csv
jetstack/trust-manager,v0.22.1,jetstack/trust-manager@v0.22.1,4,target-scoped-support-decision,catalog owner,Catalog support is not implied by machine proof.,"A target-scoped support decision exists with supported, deferred, superseded, or blocked outcome.",data/production-support-decisions/summary.md
kedacore/keda,2.19.0,kedacore/keda@2.19.0,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;no-crds and the non-selected variants have a written promote/defer reason.,recipes/kedacore/keda/2.19.0/CATALOG.md
kedacore/keda,2.19.0,kedacore/keda@2.19.0,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=0, medium=17, gates=allow;warn.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
