rank,chart,version,user_status,chart_use_answer,first_base,catalog_path,current_proof,proof_lane_rows,proof_lane_summary,variant_revisions,recipe_paths,package_paths,coverage_status,coverage_evidence,hooks_route,hooks_evidence,quirks,quirk_route,quirk_evidence,runtime_gitops_results,runtime_gitops_receipts,gitops_health_residue,gitops_health_residue_evidence,live_compare_receipts,production_decisions,production_decision_paths,top500_route,user_must_provide,routed_or_absorbed,next_action
21,traefik/traefik,40.2.0,not-ready-yet,decision-needed-first,default,recipes/traefik/traefik/40.2.0/CATALOG.md,"proof-grade-with-named-limitation (render parity 2/2, local live 2/2, live parity 1/2)",default;no-crds,default render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=missing; no-crds render=pass confighub=pass local=pass gitops=missing live-parity=missing two-cluster=missing,recipes/traefik/traefik/40.2.0/revisions/default/r001/variant-revision.yaml;recipes/traefik/traefik/40.2.0/revisions/no-crds/r001/variant-revision.yaml,recipes/traefik/traefik/40.2.0,packages/traefik/traefik/40.2.0,partial,recipes/traefik/traefik/40.2.0/source-lock.yaml;recipes/traefik/traefik/40.2.0/CATALOG.md;recipes/traefik/traefik/40.2.0/revisions/default/r001/variant-revision.yaml;recipes/traefik/traefik/40.2.0/helm-pain-report.yaml;recipes/traefik/traefik/40.2.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/traefik/traefik/40.2.0/value-model.yaml;recipes/traefik/traefik/40.2.0/helm-plan.yaml;recipes/traefik/traefik/40.2.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;generated-secrets;existing-secret;webhooks;extension-slots;required-values;lookup;generated-facts;tpl;capabilities;rbac;storage,P0: promote version-conditional rendering into chart facts and variant-path coverage: chart facts axis plus capability/version matrix row,traefik/templates/NOTES.txt;traefik/templates/_helpers.tpl;traefik/templates/deployment.yaml,,,,,runs/live-helm-confighub-compare/traefik-traefik-default/receipt.yaml,,,rank 8: proof-grade: next80-full:2 revision(s): not-reviewed-for-production: run catalog promotion review,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time; mandatory chart inputs; a decision on the named limitation before use,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,review limitation before promotion: existing-secret (chart ships no Secret toggle)
22,external-dns/external-dns,1.21.1,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,dry-run-txt-registry,recipes/external-dns/external-dns/1.21.1/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 3/3, local live 3/3, live parity 3/3)",default;dry-run-txt-registry;no-crds,default render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=missing; dry-run-txt-registry render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass; no-crds render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=missing,recipes/external-dns/external-dns/1.21.1/revisions/default/r001/variant-revision.yaml;recipes/external-dns/external-dns/1.21.1/revisions/dry-run-txt-registry/r001/variant-revision.yaml;recipes/external-dns/external-dns/1.21.1/revisions/no-crds/r001/variant-revision.yaml,recipes/external-dns/external-dns/1.21.1,packages/external-dns/external-dns/1.21.1,partial,recipes/external-dns/external-dns/1.21.1/source-lock.yaml;recipes/external-dns/external-dns/1.21.1/CATALOG.md;recipes/external-dns/external-dns/1.21.1/revisions/default/r001/variant-revision.yaml;recipes/external-dns/external-dns/1.21.1/helm-pain-report.yaml;recipes/external-dns/external-dns/1.21.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/external-dns/external-dns/1.21.1/value-model.yaml;recipes/external-dns/external-dns/1.21.1/helm-plan.yaml;recipes/external-dns/external-dns/1.21.1/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;existing-secret;extension-slots;required-values;tpl;rbac,"P2: promote required inputs into typed prompts, placeholders, or supported base choices: input contract row",,,,,,runs/live-helm-confighub-compare/external-dns-external-dns-default/receipt.yaml;runs/live-helm-confighub-compare/external-dns-external-dns-dry-run-txt-registry/receipt.yaml;runs/live-helm-confighub-compare/external-dns-external-dns-no-crds/receipt.yaml,,,rank 18: proof-grade: next80-full:3 revision(s): not-reviewed-for-production: run catalog promotion review,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base); mandatory chart inputs,exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review
23,gitlab/gitlab-runner,0.89.0,needs-better-base-variant,not-yet-user-ready,default,recipes/gitlab/gitlab-runner/0.89.0/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,default render=pass confighub=pass local=fail gitops=missing live-parity=missing two-cluster=missing,recipes/gitlab/gitlab-runner/0.89.0/revisions/default/r001/variant-revision.yaml,recipes/gitlab/gitlab-runner/0.89.0,packages/gitlab/gitlab-runner/0.89.0,partial,recipes/gitlab/gitlab-runner/0.89.0/source-lock.yaml;recipes/gitlab/gitlab-runner/0.89.0/CATALOG.md;recipes/gitlab/gitlab-runner/0.89.0/revisions/default/r001/variant-revision.yaml;recipes/gitlab/gitlab-runner/0.89.0/helm-pain-report.yaml;recipes/gitlab/gitlab-runner/0.89.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/gitlab/gitlab-runner/0.89.0/value-model.yaml;recipes/gitlab/gitlab-runner/0.89.0/helm-plan.yaml;recipes/gitlab/gitlab-runner/0.89.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/top100-readiness/readiness.csv;site/catalog.json,,,existing-secret;extension-slots;generated-facts;tpl;capabilities,"P2: classify generated values as generated facts, target facts, or existing-secret bases: generated-facts policy plus field reachability row",gitlab-runner/templates/NOTES.txt,,,,,,,,rank 21: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,"an existing Secret for some bases (buildable — not yet run); target facts at variant time; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion
24,kyverno/kyverno,3.8.1,not-ready-yet,decision-needed-first,default,recipes/kyverno/kyverno/3.8.1/CATALOG.md,"proof-grade-with-named-limitation (render parity 2/2, local live 2/2, live parity 2/2)",default;no-crds,default render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=missing; no-crds render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=missing,recipes/kyverno/kyverno/3.8.1/revisions/default/r001/variant-revision.yaml;recipes/kyverno/kyverno/3.8.1/revisions/no-crds/r001/variant-revision.yaml,recipes/kyverno/kyverno/3.8.1,packages/kyverno/kyverno/3.8.1,partial,recipes/kyverno/kyverno/3.8.1/source-lock.yaml;recipes/kyverno/kyverno/3.8.1/CATALOG.md;recipes/kyverno/kyverno/3.8.1/revisions/default/r001/variant-revision.yaml;recipes/kyverno/kyverno/3.8.1/helm-pain-report.yaml;recipes/kyverno/kyverno/3.8.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/kyverno/kyverno/3.8.1/value-model.yaml;recipes/kyverno/kyverno/3.8.1/helm-plan.yaml;recipes/kyverno/kyverno/3.8.1/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,maintained-observed: upgrade-action-with-receipt;delete-cleanup-policy;explicit-test-check;preserve-ordering;preserve-cleanup-policy;target-facts-or-preflight,data/hook-lifecycle/maintained-hook-queue.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml,hooks;crds;generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;rbac;storage,P0: model remote dependency closure in chart facts and source/dependency lock evidence: dependency closure facts plus refresh-survival check,kyverno/charts/reports-server/templates/hooks/pre-delete-api-service-cleanup.yaml;kyverno/templates/hooks/post-upgrade-migrate-resources.yaml;kyverno/templates/hooks/pre-delete-remove-webhooks.yaml,,,,,runs/live-helm-confighub-compare/kyverno-kyverno-default/receipt.yaml;runs/live-helm-confighub-compare/kyverno-kyverno-no-crds/receipt.yaml,,,rank 38: proof-grade: next80-full:2 revision(s): not-reviewed-for-production: run catalog promotion review,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); target facts at variant time; mandatory chart inputs; a decision on the named limitation before use,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; hooks classified and routed (not silently executed); extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,review limitation before promotion: existing-secret (chart ships no Secret toggle)
25,cloudnative-pg/cloudnative-pg,0.28.2,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,default,recipes/cloudnative-pg/cloudnative-pg/0.28.2/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 1/2, live parity 1/2)",default;no-crds,default render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass; no-crds render=pass confighub=pass local=fail gitops=missing live-parity=missing two-cluster=missing,recipes/cloudnative-pg/cloudnative-pg/0.28.2/revisions/default/r001/variant-revision.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/revisions/no-crds/r001/variant-revision.yaml,recipes/cloudnative-pg/cloudnative-pg/0.28.2,packages/cloudnative-pg/cloudnative-pg/0.28.2,partial,recipes/cloudnative-pg/cloudnative-pg/0.28.2/source-lock.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/CATALOG.md;recipes/cloudnative-pg/cloudnative-pg/0.28.2/revisions/default/r001/variant-revision.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-pain-report.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/cloudnative-pg/cloudnative-pg/0.28.2/value-model.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-plan.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;existing-secret;webhooks;extension-slots;generated-facts;tpl;rbac,P0: model remote dependency closure in chart facts and source/dependency lock evidence: dependency closure facts plus refresh-survival check,cloudnative-pg/charts/cluster/templates/sidecar-configmap.yaml;cloudnative-pg/templates/NOTES.txt,,,,,runs/live-helm-confighub-compare/cloudnative-pg-cloudnative-pg-default/receipt.yaml,,,rank 41: proof-grade: next80-full:2 revision(s): not-reviewed-for-production: run catalog promotion review,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time,exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,run catalog promotion review
26,fluent/fluent-bit,0.57.6,needs-better-base-variant,not-yet-user-ready,default,recipes/fluent/fluent-bit/0.57.6/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 1/1)",default,default render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=missing,recipes/fluent/fluent-bit/0.57.6/revisions/default/r001/variant-revision.yaml,recipes/fluent/fluent-bit/0.57.6,packages/fluent/fluent-bit/0.57.6,partial,recipes/fluent/fluent-bit/0.57.6/source-lock.yaml;recipes/fluent/fluent-bit/0.57.6/CATALOG.md;recipes/fluent/fluent-bit/0.57.6/revisions/default/r001/variant-revision.yaml;recipes/fluent/fluent-bit/0.57.6/helm-pain-report.yaml;recipes/fluent/fluent-bit/0.57.6/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/fluent/fluent-bit/0.57.6/value-model.yaml;recipes/fluent/fluent-bit/0.57.6/helm-plan.yaml;recipes/fluent/fluent-bit/0.57.6/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,maintained-observed: explicit-test-check;preserve-cleanup-policy,data/hook-lifecycle/maintained-hook-queue.csv;data/hook-lifecycle/receipts/fluent-fluent-bit/default/latest.yaml,hooks;extension-slots;tpl;capabilities;rbac,P0: choose a lifecycle route and commit a route or observation receipt: hook lifecycle route receipt,fluent-bit/templates/tests/test-connection.yaml;fluent-bit/templates/_helpers.tpl;fluent-bit/templates/clusterrole.yaml;fluent-bit/templates/psp.yaml,,,,,runs/live-helm-confighub-compare/fluent-fluent-bit-default/receipt.yaml,,,rank 42: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,"your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; hooks classified and routed (not silently executed); extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion
27,runix/pgadmin4,1.62.0,needs-better-base-variant,not-yet-user-ready,default,recipes/runix/pgadmin4/1.62.0/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,default render=pass confighub=pass local=pass gitops=missing live-parity=missing two-cluster=missing,recipes/runix/pgadmin4/1.62.0/revisions/default/r001/variant-revision.yaml,recipes/runix/pgadmin4/1.62.0,packages/runix/pgadmin4/1.62.0,partial,recipes/runix/pgadmin4/1.62.0/source-lock.yaml;recipes/runix/pgadmin4/1.62.0/CATALOG.md;recipes/runix/pgadmin4/1.62.0/revisions/default/r001/variant-revision.yaml;recipes/runix/pgadmin4/1.62.0/helm-pain-report.yaml;recipes/runix/pgadmin4/1.62.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/runix/pgadmin4/1.62.0/value-model.yaml;recipes/runix/pgadmin4/1.62.0/helm-plan.yaml;recipes/runix/pgadmin4/1.62.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,existing-secret;extension-slots;required-values;tpl;capabilities;storage,P2: promote version-conditional rendering into chart facts and variant-path coverage: chart facts axis plus capability/version matrix row,pgadmin4/templates/_helpers.tpl;pgadmin4/templates/hpa.yaml,,,,,,,,rank 45: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,"an existing Secret for some bases (buildable — not yet run); a StorageClass / storage decision; mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion
28,nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,needs-better-base-variant,not-yet-user-ready,default,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,default render=pass confighub=pass local=fail gitops=missing live-parity=missing two-cluster=missing,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/revisions/default/r001/variant-revision.yaml,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18,packages/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18,partial,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/source-lock.yaml;recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/CATALOG.md;recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/revisions/default/r001/variant-revision.yaml;recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/helm-pain-report.yaml;recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/value-model.yaml;recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/helm-plan.yaml;recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/top100-readiness/readiness.csv;site/catalog.json,,,capabilities;rbac;storage,P2: promote version-conditional rendering into chart facts and variant-path coverage: chart facts axis plus capability/version matrix row,nfs-subdir-external-provisioner/templates/_helpers.tpl;nfs-subdir-external-provisioner/templates/deployment.yaml,,,,,,,,rank 51: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,"a StorageClass / storage decision; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts,add at least one user-shaped variant before catalog promotion
29,kedacore/keda,2.19.0,works-with-operator-review,not-yet-public-catalog-proof-ready,default,recipes/kedacore/keda/2.19.0/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 2/2)",default;no-crds,default render=pass confighub=pass local=pass gitops=pass/runtime-pass live-parity=pass two-cluster=pass; no-crds render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=missing,recipes/kedacore/keda/2.19.0/revisions/default/r001/variant-revision.yaml;recipes/kedacore/keda/2.19.0/revisions/no-crds/r001/variant-revision.yaml,recipes/kedacore/keda/2.19.0,packages/kedacore/keda/2.19.0,partial,recipes/kedacore/keda/2.19.0/source-lock.yaml;recipes/kedacore/keda/2.19.0/CATALOG.md;recipes/kedacore/keda/2.19.0/revisions/default/r001/variant-revision.yaml;recipes/kedacore/keda/2.19.0/helm-pain-report.yaml;recipes/kedacore/keda/2.19.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/kedacore/keda/2.19.0/value-model.yaml;recipes/kedacore/keda/2.19.0/helm-plan.yaml;recipes/kedacore/keda/2.19.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;webhooks;extension-slots;tpl;capabilities;rbac,P0: add an APIService readiness model and runtime observation route: chart facts axis plus lifecycle observation receipt,,default:Argo CD OCI:pass,data/runtime-gitops/receipts/kedacore-keda/default/latest.yaml,,,runs/live-helm-confighub-compare/kedacore-keda-default/receipt.yaml;runs/live-helm-confighub-compare/kedacore-keda-no-crds/receipt.yaml,,,rank 53: proof-grade: next80-full:2 revision(s): not-reviewed-for-production: run catalog promotion review,a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time,exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,"run APIService promotion review: choose supported base, target scope, CRD ownership path, and evidence refresh rule using the committed aggregation receipt"
30,prometheus-community/kube-state-metrics,7.4.0,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,cluster-metrics-readonly,recipes/prometheus-community/kube-state-metrics/7.4.0/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 1/2)",cluster-metrics-readonly;default,cluster-metrics-readonly render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass; default render=pass confighub=pass local=pass gitops=missing live-parity=missing two-cluster=missing,recipes/prometheus-community/kube-state-metrics/7.4.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml;recipes/prometheus-community/kube-state-metrics/7.4.0/revisions/default/r001/variant-revision.yaml,recipes/prometheus-community/kube-state-metrics/7.4.0,packages/prometheus-community/kube-state-metrics/7.4.0,partial,recipes/prometheus-community/kube-state-metrics/7.4.0/source-lock.yaml;recipes/prometheus-community/kube-state-metrics/7.4.0/CATALOG.md;recipes/prometheus-community/kube-state-metrics/7.4.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml;recipes/prometheus-community/kube-state-metrics/7.4.0/helm-pain-report.yaml;recipes/prometheus-community/kube-state-metrics/7.4.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/prometheus-community/kube-state-metrics/7.4.0/value-model.yaml;recipes/prometheus-community/kube-state-metrics/7.4.0/helm-plan.yaml;recipes/prometheus-community/kube-state-metrics/7.4.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,existing-secret;extension-slots;generated-facts;tpl;capabilities;rbac;storage,"P2: classify generated values as generated facts, target facts, or existing-secret bases: generated-facts policy plus field reachability row",kube-state-metrics/templates/NOTES.txt,,,,,runs/live-helm-confighub-compare/prometheus-community-kube-state-metrics-cluster-metrics-readonly/receipt.yaml,,,rank 58: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,an existing Secret for some bases (buildable — not yet run); a StorageClass / storage decision; target facts at variant time,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,run catalog promotion review
31,elastic/eck-operator,3.4.0,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,default,recipes/elastic/eck-operator/3.4.0/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 3/3, local live 3/3, live parity 3/3)",default;ha;no-crds,default render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass; ha render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=missing; no-crds render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=missing,recipes/elastic/eck-operator/3.4.0/revisions/default/r001/variant-revision.yaml;recipes/elastic/eck-operator/3.4.0/revisions/ha/r001/variant-revision.yaml;recipes/elastic/eck-operator/3.4.0/revisions/no-crds/r001/variant-revision.yaml,recipes/elastic/eck-operator/3.4.0,packages/elastic/eck-operator/3.4.0,partial,recipes/elastic/eck-operator/3.4.0/source-lock.yaml;recipes/elastic/eck-operator/3.4.0/CATALOG.md;recipes/elastic/eck-operator/3.4.0/revisions/default/r001/variant-revision.yaml;recipes/elastic/eck-operator/3.4.0/helm-pain-report.yaml;recipes/elastic/eck-operator/3.4.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/elastic/eck-operator/3.4.0/value-model.yaml;recipes/elastic/eck-operator/3.4.0/helm-plan.yaml;recipes/elastic/eck-operator/3.4.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;existing-secret;webhooks;extension-slots;required-values;tpl;capabilities;rbac;storage,P2: bind the render to named capability profiles and test the important alternate profile: capability profile matrix row,,,,,,runs/live-helm-confighub-compare/elastic-eck-operator-default/receipt.yaml;runs/live-helm-confighub-compare/elastic-eck-operator-ha/receipt.yaml;runs/live-helm-confighub-compare/elastic-eck-operator-no-crds/receipt.yaml,,,rank 60: proof-grade: next80-full:3 revision(s): not-reviewed-for-production: run catalog promotion review,an existing Secret for some bases (buildable — not yet run); a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; mandatory chart inputs,exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review
32,elastic/kibana,8.5.1,needs-better-base-variant,not-yet-user-ready,default,recipes/elastic/kibana/8.5.1/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,default render=pass confighub=missing local=blocked gitops=missing live-parity=missing two-cluster=missing,recipes/elastic/kibana/8.5.1/revisions/default/r001/variant-revision.yaml,recipes/elastic/kibana/8.5.1,packages/elastic/kibana/8.5.1,partial,recipes/elastic/kibana/8.5.1/source-lock.yaml;recipes/elastic/kibana/8.5.1/CATALOG.md;recipes/elastic/kibana/8.5.1/revisions/default/r001/variant-revision.yaml;recipes/elastic/kibana/8.5.1/helm-pain-report.yaml;recipes/elastic/kibana/8.5.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/elastic/kibana/8.5.1/value-model.yaml;recipes/elastic/kibana/8.5.1/helm-plan.yaml;recipes/elastic/kibana/8.5.1/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/top100-readiness/readiness.csv;site/catalog.json,,,extension-slots;tpl,,,,,,,,,,rank 62: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,"your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion
33,descheduler/descheduler,0.36.0,needs-better-base-variant,not-yet-user-ready,default,recipes/descheduler/descheduler/0.36.0/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 1/1)",default,default render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass,recipes/descheduler/descheduler/0.36.0/revisions/default/r001/variant-revision.yaml,recipes/descheduler/descheduler/0.36.0,packages/descheduler/descheduler/0.36.0,partial,recipes/descheduler/descheduler/0.36.0/source-lock.yaml;recipes/descheduler/descheduler/0.36.0/CATALOG.md;recipes/descheduler/descheduler/0.36.0/revisions/default/r001/variant-revision.yaml;recipes/descheduler/descheduler/0.36.0/helm-pain-report.yaml;recipes/descheduler/descheduler/0.36.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/descheduler/descheduler/0.36.0/value-model.yaml;recipes/descheduler/descheduler/0.36.0/helm-plan.yaml;recipes/descheduler/descheduler/0.36.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,extension-slots;required-values;tpl;rbac,"P2: promote required inputs into typed prompts, placeholders, or supported base choices: input contract row",,,,,,runs/live-helm-confighub-compare/descheduler-descheduler-default/receipt.yaml,,,rank 64: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,"mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion
