chart,version,catalog_status,selected_bases,current_runtime_evidence,gitops_oci_status,controllers,next_action
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,catalog-supported,default;sync-secret-rotation,local-kind-observed,planned,Argo CD OCI;Flux OCI,extend top20 local-kind evidence to declared GitOps/OCI controller receipt
traefik/traefik,40.2.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
external-dns/external-dns,1.21.1,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
gitlab/gitlab-runner,0.89.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
kyverno/kyverno,3.8.1,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
cloudnative-pg/cloudnative-pg,0.28.2,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
fluent/fluent-bit,0.57.6,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
runix/pgadmin4,1.62.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
kedacore/keda,2.19.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
prometheus-community/kube-state-metrics,7.4.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
elastic/eck-operator,3.4.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
elastic/kibana,8.5.1,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
descheduler/descheduler,0.36.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
prometheus-community/prometheus-blackbox-exporter,11.10.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
bitnami/elasticsearch,22.1.6,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
stakater/reloader,2.2.12,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
jaegertracing/jaeger,4.8.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
grafana/alloy,1.8.2,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
nats/nats,2.14.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
dex/dex,0.24.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
prometheus-community/alertmanager,1.37.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
falcosecurity/falco,9.0.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
prometheus-community/prometheus-node-exporter,4.55.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
bitnami/spark,10.0.3,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
elastic/logstash,8.5.1,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
prometheus-community/prometheus-adapter,5.3.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
projectcalico/tigera-operator,v3.32.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
fairwinds-stable/goldilocks,10.3.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
prometheus-community/prometheus-operator-crds,29.0.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
bitnami/zookeeper,13.8.7,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
elastic/filebeat,8.5.1,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
hashicorp/terraform,1.1.2,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
coredns/coredns,1.45.2,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
fairwinds-stable/vpa,4.11.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
bitnami/phpmyadmin,20.0.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
prometheus-community/prometheus-pushgateway,3.6.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
fluent/fluentd,0.5.3,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
jaegertracing/jaeger-operator,2.57.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
bitnami/memcached,8.5.5,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
strimzi/strimzi-kafka-operator,1.0.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
opencost/opencost,2.5.21,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
gatekeeper/gatekeeper,3.22.2,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
bitnami/contour,21.1.4,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
kyverno/kyverno-policies,3.8.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
elastic/metricbeat,8.5.1,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
minio-operator/operator,7.1.1,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
percona/pxc-operator,1.19.1,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
bitnami/apache,11.4.29,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
grafana/pyroscope,2.0.2,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
falcosecurity/falcosidekick,0.13.1,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
aqua/trivy-operator,0.32.1,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
argo-cd/argo-events,2.4.21,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
argo-cd/argo-rollouts,2.40.9,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
argo-cd/argo-workflows,1.0.14,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
argo-cd/argocd-image-updater,1.2.2,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
autoscaler/cluster-autoscaler,9.57.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
autoscaler/vertical-pod-autoscaler,0.9.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
bitnami/opensearch,2.0.10,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
crossplane-stable/crossplane,2.3.1,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
grafana/promtail,6.17.1,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
grafana/rollout-operator,0.49.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
haproxytech/kubernetes-ingress,1.52.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
istio/gateway,1.30.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
istio/istiod,1.30.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
jetstack/cert-manager-csi-driver,v0.14.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
jetstack/trust-manager,v0.22.1,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
linkerd/linkerd-crds,1.8.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
minio-operator/tenant,7.1.1,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
nats/nack,0.34.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
nats/surveyor,0.20.9,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
open-telemetry/opentelemetry-operator,0.114.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
percona/pg-operator,3.0.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
percona/psmdb-operator,1.22.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
rook-release/rook-ceph,v1.19.5,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
rook-release/rook-ceph-cluster,v1.19.5,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
sealed-secrets/sealed-secrets,2.18.6,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
velero/velero,12.0.1,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
vm/victoria-logs-single,0.12.5,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
vm/victoria-metrics-single,0.39.0,proof-grade,default,not-started,planned,Argo CD OCI;Flux OCI,"run package setup/upload/publish, GitOps sync, and runtime observation for selected bases"
