chart,version,variant,lane,lane_label,state,reason,next_action,support_artifact,owner,completion_class,command
argo-cd/argo-workflows,1.0.14,controller-default-reviewed,lifecycle,lifecycle-observed,todo,lifecycle route(s) defined (todo:1) but not yet observed live,observe the routed lifecycle action and record a receipt (see lifecycle-route-actions),data/lifecycle-routes/summary.md,catalog,needs-run,
argo-cd/argo-workflows,1.0.14,controller-default-reviewed,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/argo-workflows-controller-default-reviewed-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
argo-cd/argo-workflows,1.0.14,default,L,local-live,blocked,local-live blocked: runtime-readiness: target fact: required CRD clusterworkflowtemplates.argoproj.io missing,"Inspect pod logs/events, decide whether the issue is target policy, lifecycle, chart configuration, or a better base, then rerun.",runs/next80-local-kind/argo-cd-argo-workflows-1.0.14-default/observation-receipt.yaml,runtime-readiness,needs-target-or-prereq-fix,
argo-cd/argo-workflows,1.0.14,default,lifecycle,lifecycle-observed,todo,lifecycle route(s) defined (todo:1) but not yet observed live,observe the routed lifecycle action and record a receipt (see lifecycle-route-actions),data/lifecycle-routes/summary.md,catalog,needs-run,
argo-cd/argo-workflows,1.0.14,default,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/argo-workflows-default-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
argo-cd/argo-workflows,1.0.14,minimal-crds,lifecycle,lifecycle-observed,todo,lifecycle route(s) defined (todo:1) but not yet observed live,observe the routed lifecycle action and record a receipt (see lifecycle-route-actions),data/lifecycle-routes/summary.md,catalog,needs-run,
argo-cd/argo-workflows,1.0.14,minimal-crds,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/argo-workflows-minimal-crds-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
argo-cd/argocd-image-updater,1.2.2,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
argo-cd/argocd-image-updater,1.2.2,default,lifecycle,lifecycle-observed,todo,chart has hook/lifecycle behavior with no live observation yet,"decide and record the lifecycle route, then observe it live",,catalog,needs-run,
argo-cd/argocd-image-updater,1.2.2,default,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/argocd-image-updater-default-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
autoscaler/cluster-autoscaler,9.57.0,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
autoscaler/cluster-autoscaler,9.57.0,controller-default-reviewed,K,two-cluster-kind,blocked,no target fact value generator for autoDiscovery.clusterName,"Catalog work: add the missing target-fact value generator, then rerun.",runs/live-kind-parity/autoscaler-cluster-autoscaler-controller-default-reviewed/receipt.yaml,catalog,needs-modeling,
autoscaler/cluster-autoscaler,9.57.0,controller-default-reviewed,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cluster-autoscaler-controller-default-reviewed-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
autoscaler/cluster-autoscaler,9.57.0,default + review,promotion,variant-promotion (not-applicable-candidate),not-applicable-candidate,"candidate rows are planning rows, not server-side promotion evidence",turn this candidate into a real base or derived variant before server-side promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
autoscaler/cluster-autoscaler,9.57.0,default,K,two-cluster-kind,watch,render-input: required Helm values missing (parity passed),"Provide the required values in the base/variant, then the row can move to pass.",runs/live-kind-parity/autoscaler-cluster-autoscaler-default/receipt.yaml,user,already-decided,npm run kind-parity:run -- --recipe recipes/autoscaler/cluster-autoscaler/9.57.0 --base default
autoscaler/cluster-autoscaler,9.57.0,default,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cluster-autoscaler-default-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
autoscaler/vertical-pod-autoscaler,0.9.0,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
autoscaler/vertical-pod-autoscaler,0.9.0,default,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/vertical-pod-autoscaler-default-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
autoscaler/vertical-pod-autoscaler,0.9.0,no-crds,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/vertical-pod-autoscaler-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,default + topology,promotion,variant-promotion (not-applicable-candidate),not-applicable-candidate,"candidate rows are planning rows, not server-side promotion evidence",turn this candidate into a real base or derived variant before server-side promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,default,G,gitops-oci-live,watch,target-fit: AWS/EKS metadata or provider identity missing on vanilla kind (parity passed),"Review the target-topology support artifact, choose a target with the required platform behavior, or create a target-scoped base before rerunning.",recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/target-topology.yaml,user or catalog,already-decided,npm run live-parity:run -- --recipe recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1 --base default
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,default,K,two-cluster-kind,blocked,semantic object parity issue: missing=0 extra=1 diffs=2; extra=v1|Namespace||default; objects=apps/v1|Deployment|default|ebs-csi-controller; storage.k8s.io/v1|CSIDriver||ebs.csi.aws.com,"Catalog work: update the base, render context, target facts, or semantic contract so the installer package matches the live Helm result, then rerun.",runs/live-kind-parity/aws-ebs-csi-driver-aws-ebs-csi-driver-default/receipt.yaml,catalog,needs-modeling,
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,default,L,local-live,fail,local-live fail: cloud-or-provider-prerequisite: daemonset/ebs-csi-node: not-ready (ebs-csi-controller-8d8878fb7-24jf4[ ready=true restarts=3;Error ready=false restarts=3; ready=true restarts=3;CrashLoopBackOff ready=false restarts=4; ready=tru),Model the provider dependency as target facts or an external managed prerequisite before rerun.,runs/next80-local-kind/aws-ebs-csi-driver-aws-ebs-csi-driver-2.60.1-default/observation-receipt.yaml,cloud-or-provider-prerequisite,needs-target-or-prereq-fix,npm run live-parity:run -- --recipe recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1 --base default
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,default,P,live-helm-vs-confighub-parity,watch,target-fit: AWS/EKS metadata or provider identity missing on vanilla kind (parity passed),"Review the target-topology support artifact, choose a target with the required platform behavior, or create a target-scoped base before rerunning.",recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/target-topology.yaml,user or catalog,already-decided,npm run live-parity:run -- --recipe recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1 --base default
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,default,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/aws-ebs-csi-driver-default-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/apache,11.4.29,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
bitnami/apache,11.4.29,default,G,gitops-oci-live,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/apache/11.4.29 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/apache,11.4.29,default,K,two-cluster-kind,blocked,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun.",runs/live-kind-parity/bitnami-apache-default/receipt.yaml,catalog or image publisher,needs-modeling,
bitnami/apache,11.4.29,default,L,local-live,blocked,local-live blocked: target-prerequisite: deployment/apache: prerequisite-blocked (stuck creating: missing mount/secret/config) (apache-5fdf47cb6-f4p8z[PodInitializing ready=false restarts=0;] node-collector-66b46f8d9-qnkc6[Completed ready=false restarts=0;] scan-vulnerabilityreport-56d95),"Turn the missing target condition into a target fact, preflight, lifecycle route, or better base variant.",runs/next80-local-kind/bitnami-apache-11.4.29-default/observation-receipt.yaml,target-prerequisite,needs-target-or-prereq-fix,npm run live-parity:run -- --recipe recipes/bitnami/apache/11.4.29 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/apache,11.4.29,default,P,live-helm-vs-confighub-parity,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/apache/11.4.29 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/apache,11.4.29,default,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cl-apache-11-4-29-default-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/apache,11.4.29,legacy,G,gitops-oci-live,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,
bitnami/apache,11.4.29,legacy,K,two-cluster-kind,todo,single-cluster local live passes; this live lane is runnable but not yet recorded,run the two-cluster kind parity lane,,either,needs-run,
bitnami/apache,11.4.29,legacy,P,live-helm-vs-confighub-parity,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,
bitnami/apache,11.4.29,legacy,promotion,variant-promotion (proven),proven,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,runs/cl-apache-11-4-29-legacy-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/contour,21.1.4,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
bitnami/contour,21.1.4,default,G,gitops-oci-live,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/contour/21.1.4 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/contour,21.1.4,default,K,two-cluster-kind,blocked,helm-hook: pre-install certificate generation failed (parity passed),"Catalog work: add a lifecycle route for the hook action or provide the hook-produced object as a target prerequisite, then rerun.",runs/live-kind-parity/bitnami-contour-default/receipt.yaml,catalog,needs-modeling,
bitnami/contour,21.1.4,default,L,local-live,blocked,local-live blocked: target-prerequisite: daemonset/contour-envoy: prerequisite-blocked (stuck creating: missing mount/secret/config) (contour-contour-6f88fd5fc6-67kb6[ContainerCreating ready=false restarts=0;] contour-envoy-jtk4r[PodInitializing ready=false restarts=0;PodInitializing ready=fal),"Turn the missing target condition into a target fact, preflight, lifecycle route, or better base variant.",runs/next80-local-kind/bitnami-contour-21.1.4-default/observation-receipt.yaml,target-prerequisite,needs-target-or-prereq-fix,npm run live-parity:run -- --recipe recipes/bitnami/contour/21.1.4 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/contour,21.1.4,default,lifecycle,lifecycle-observed,todo,chart has hook/lifecycle behavior with no live observation yet,"decide and record the lifecycle route, then observe it live",,catalog,needs-run,
bitnami/contour,21.1.4,default,P,live-helm-vs-confighub-parity,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/contour/21.1.4 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/contour,21.1.4,default,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cl-contour-21-1-4-default-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/contour,21.1.4,legacy,G,gitops-oci-live,blocked,upstream: single-cluster local live is blocked (missing prerequisite (mount/secret/config)),resolve the local-live prerequisite first; the live lanes inherit it,,either,needs-target-or-prereq-fix,
bitnami/contour,21.1.4,legacy,K,two-cluster-kind,blocked,upstream: single-cluster local live is blocked (missing prerequisite (mount/secret/config)),resolve the local-live prerequisite first; the live lanes inherit it,,either,needs-target-or-prereq-fix,
bitnami/contour,21.1.4,legacy,L,local-live,blocked,local-live blocked: daemonset/contour-envoy: prerequisite-blocked (stuck creating: missing mount/secret/config) (contour-contour-9c9cb9d47-rxs4w[ContainerCreating ready=false restarts=0;] contour-envoy-9sfdn[PodInitializing ready=false restarts=0;PodInitializing ready=fals) | deployment/contour-contour: prerequisite-blocked (stuck creating: missing mount/secret/config) (contour-contour-9c9cb9d47-rxs4w[ContainerCreating ready=false restarts=0;] contour-envoy-9sfdn[PodInitializing ready=false restarts=0;PodInitializing ready=fals) | prerequisite-blocked (stuck creating: missing mount/secret/config): contour-contour-9c9cb9d47-rxs4w[ContainerCreating ready=false restarts=0;] contour-envoy-9sfdn[PodInitializing ready=false restarts=0;PodInitializing ready=false restarts=0;] | prerequisite-blocked (stuck creating: missing mount/secret/config): contour-contour-9c9cb9d47-rxs4w[ContainerCreating ready=false restarts=0;] contour-envoy-9sfdn[PodInitializing ready=false restarts=0;PodInitializing ready=false restarts=0;],resolve the local-live blocker first (local_kind_kubectl_apply;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare); the live lanes inherit it,runs/next80-local-kind/bitnami-contour-21.1.4-legacy/observation-receipt.yaml,target-prerequisite,needs-target-or-prereq-fix,
bitnami/contour,21.1.4,legacy,lifecycle,lifecycle-observed,todo,chart has hook/lifecycle behavior with no live observation yet,"decide and record the lifecycle route, then observe it live",,catalog,needs-run,
bitnami/contour,21.1.4,legacy,P,live-helm-vs-confighub-parity,blocked,upstream: single-cluster local live is blocked (missing prerequisite (mount/secret/config)),resolve the local-live prerequisite first; the live lanes inherit it,,either,needs-target-or-prereq-fix,
bitnami/contour,21.1.4,legacy,promotion,variant-promotion (proven),proven,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,runs/cl-contour-21-1-4-legacy-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/contour,21.1.4,no-crds,G,gitops-oci-live,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/contour/21.1.4 --base no-crds --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/contour,21.1.4,no-crds,K,two-cluster-kind,blocked,semantic object parity issue: missing=5 extra=1 diffs=0; missing=apiextensions.k8s.io/v1|CustomResourceDefinition||contourconfigurations.projectcontour.io; apiextensions.k8s.io/v1|CustomResourceDefinition||contourdeployments.projectcontour.io; apiextensions.k8s.io/v1|CustomResourceDefinition||extensionservices.projectcontour.io; apiextensions.k8s.io/v1|CustomResourceDefinition||httpproxies.projectcontour.io; apiextensions.k8s.io/v1|CustomResourceDefinition||tlscertificatedelegations.projectcontour.io; extra=v1|Namespace||default; runtime also fails to pull docker.io/bitnami/contour:1.32.1-debian-12-r0; lifecycle also hits pre-install certificate-generation hook failure; runtime also requires hook/target Secret(s): envoycert,"Catalog work: update the base, render context, target facts, or semantic contract so the installer package matches the live Helm result, then rerun.",runs/live-kind-parity/bitnami-contour-no-crds/receipt.yaml,catalog,needs-modeling,
bitnami/contour,21.1.4,no-crds,L,local-live,blocked,local-live blocked: runtime-readiness: daemonset/contour-envoy: prerequisite-blocked (stuck creating: missing mount/secret/config) (contour-contour-6f88fd5fc6-2bhll[ContainerCreating ready=false restarts=0;] contour-envoy-tgr65[PodInitializing ready=false restarts=0;PodInitializing ready=fal),"Inspect pod logs/events, decide whether the issue is target policy, lifecycle, chart configuration, or a better base, then rerun.",runs/next80-local-kind/bitnami-contour-21.1.4-no-crds/observation-receipt.yaml,runtime-readiness,needs-target-or-prereq-fix,npm run live-parity:run -- --recipe recipes/bitnami/contour/21.1.4 --base no-crds --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/contour,21.1.4,no-crds,lifecycle,lifecycle-observed,todo,chart has hook/lifecycle behavior with no live observation yet,"decide and record the lifecycle route, then observe it live",,catalog,needs-run,
bitnami/contour,21.1.4,no-crds,P,live-helm-vs-confighub-parity,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/contour/21.1.4 --base no-crds --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/contour,21.1.4,no-crds,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cl-contour-21-1-4-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/elasticsearch,22.1.6,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
