queue,queue_priority,proof_surface_rank,top500_rank,chart,variants,variant_count,strongest_evidence,hard_gap,proof_focus,proof_focus_status,proof_focus_receipt,source_features,next_action,first_step,catalog_path,recipe_path,package_path,helm_pain_report
promotion-review,1,43,94,prometheus-community/prometheus-node-exporter@4.55.0,default;cluster-metrics-readonly,2,two-cluster-kind-parity,-,-,-,,generated-facts;tpl;capabilities;cluster-rbac,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/prometheus-community/prometheus-node-exporter/4.55.0/CATALOG.md,recipes/prometheus-community/prometheus-node-exporter/4.55.0/recipe.yaml,packages/prometheus-community/prometheus-node-exporter/4.55.0,recipes/prometheus-community/prometheus-node-exporter/4.55.0/helm-pain-report.yaml
promotion-review,1,45,107,elastic/logstash@8.5.1,default;ha,2,two-cluster-kind-parity,-,-,-,,tpl;capabilities;stateful-storage,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/elastic/logstash/8.5.1/CATALOG.md,recipes/elastic/logstash/8.5.1/recipe.yaml,packages/elastic/logstash/8.5.1,recipes/elastic/logstash/8.5.1/helm-pain-report.yaml
promotion-review,1,51,140,elastic/filebeat@8.5.1,default;node-or-cluster-collector,2,in-confighub-proof,-,-,-,,tpl;cluster-rbac,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/elastic/filebeat/8.5.1/CATALOG.md,recipes/elastic/filebeat/8.5.1/recipe.yaml,packages/elastic/filebeat/8.5.1,recipes/elastic/filebeat/8.5.1/helm-pain-report.yaml
promotion-review,1,52,141,hashicorp/terraform@1.1.2,default;no-crds,2,in-confighub-proof,-,-,-,,crds,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/hashicorp/terraform/1.1.2/CATALOG.md,recipes/hashicorp/terraform/1.1.2/recipe.yaml,packages/hashicorp/terraform/1.1.2,recipes/hashicorp/terraform/1.1.2/helm-pain-report.yaml
promotion-review,1,54,148,fairwinds-stable/vpa@4.11.0,default;no-crds,2,local-kubernetes-live,-,api-service-render-path-recorded,"source APIService signal exists, but current maintained bases render no APIService objects",data/apiservice-coverage/render-path-notes.md,lookup;tpl;capabilities;crds;cluster-rbac;webhooks,review APIService render-path notes: current maintained bases do not render APIService objects; create a separate APIService-enabled base only if product chooses that path,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/fairwinds-stable/vpa/4.11.0/CATALOG.md,recipes/fairwinds-stable/vpa/4.11.0/recipe.yaml,packages/fairwinds-stable/vpa/4.11.0,recipes/fairwinds-stable/vpa/4.11.0/helm-pain-report.yaml
promotion-review,1,58,179,jaegertracing/jaeger-operator@2.57.0,default;no-crds,2,in-confighub-proof,-,-,-,,crds;webhooks,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/jaegertracing/jaeger-operator/2.57.0/CATALOG.md,recipes/jaegertracing/jaeger-operator/2.57.0/recipe.yaml,packages/jaegertracing/jaeger-operator/2.57.0,recipes/jaegertracing/jaeger-operator/2.57.0/helm-pain-report.yaml
promotion-review,1,60,186,strimzi/strimzi-kafka-operator@1.0.0,default;no-crds,2,local-kubernetes-live,-,-,-,,tpl;capabilities;crds;cluster-rbac,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/strimzi/strimzi-kafka-operator/1.0.0/CATALOG.md,recipes/strimzi/strimzi-kafka-operator/1.0.0/recipe.yaml,packages/strimzi/strimzi-kafka-operator/1.0.0,recipes/strimzi/strimzi-kafka-operator/1.0.0/helm-pain-report.yaml
promotion-review,1,62,203,gatekeeper/gatekeeper@3.22.2,default;no-crds,2,local-kubernetes-live,-,-,-,,capabilities;hooks;crds;cluster-rbac;webhooks,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/gatekeeper/gatekeeper/3.22.2/CATALOG.md,recipes/gatekeeper/gatekeeper/3.22.2/recipe.yaml,packages/gatekeeper/gatekeeper/3.22.2,recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml
promotion-review,1,67,338,percona/pxc-operator@1.19.1,default;no-crds,2,local-kubernetes-live,-,-,-,,lookup;crds;cluster-rbac,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/percona/pxc-operator/1.19.1/CATALOG.md,recipes/percona/pxc-operator/1.19.1/recipe.yaml,packages/percona/pxc-operator/1.19.1,recipes/percona/pxc-operator/1.19.1/helm-pain-report.yaml
promotion-review,1,72,,aqua/trivy-operator@0.32.1,default;no-crds,2,two-cluster-kind-parity,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/aqua/trivy-operator/0.32.1/CATALOG.md,recipes/aqua/trivy-operator/0.32.1/recipe.yaml,packages/aqua/trivy-operator/0.32.1,recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml
promotion-review,1,73,,argo-cd/argo-events@2.4.21,default;no-crds,2,two-cluster-kind-parity,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/argo-cd/argo-events/2.4.21/CATALOG.md,recipes/argo-cd/argo-events/2.4.21/recipe.yaml,packages/argo-cd/argo-events/2.4.21,recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml
promotion-review,1,74,,argo-cd/argo-rollouts@2.40.9,default;no-crds,2,two-cluster-kind-parity,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/argo-cd/argo-rollouts/2.40.9/CATALOG.md,recipes/argo-cd/argo-rollouts/2.40.9/recipe.yaml,packages/argo-cd/argo-rollouts/2.40.9,recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml
promotion-review,1,75,,argo-cd/argo-workflows@1.0.14,default;controller-default-reviewed,2,in-confighub-proof,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/argo-cd/argo-workflows/1.0.14/CATALOG.md,recipes/argo-cd/argo-workflows/1.0.14/recipe.yaml,packages/argo-cd/argo-workflows/1.0.14,recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml
promotion-review,1,77,,autoscaler/cluster-autoscaler@9.57.0,default;controller-default-reviewed,2,local-kubernetes-live,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/autoscaler/cluster-autoscaler/9.57.0/CATALOG.md,recipes/autoscaler/cluster-autoscaler/9.57.0/recipe.yaml,packages/autoscaler/cluster-autoscaler/9.57.0,recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml
promotion-review,1,78,,autoscaler/vertical-pod-autoscaler@0.9.0,default;no-crds,2,in-confighub-proof,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/autoscaler/vertical-pod-autoscaler/0.9.0/CATALOG.md,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/recipe.yaml,packages/autoscaler/vertical-pod-autoscaler/0.9.0,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/helm-pain-report.yaml
promotion-review,1,79,,bitnami/opensearch@2.0.10,default;ha,2,in-confighub-proof,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/bitnami/opensearch/2.0.10/CATALOG.md,recipes/bitnami/opensearch/2.0.10/recipe.yaml,packages/bitnami/opensearch/2.0.10,recipes/bitnami/opensearch/2.0.10/helm-pain-report.yaml
promotion-review,1,82,,grafana/rollout-operator@0.49.0,default;no-crds,2,local-kubernetes-live,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/grafana/rollout-operator/0.49.0/CATALOG.md,recipes/grafana/rollout-operator/0.49.0/recipe.yaml,packages/grafana/rollout-operator/0.49.0,recipes/grafana/rollout-operator/0.49.0/helm-pain-report.yaml
promotion-review,1,84,,istio/gateway@1.30.0,default;controller-default-reviewed,2,in-confighub-proof,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/istio/gateway/1.30.0/CATALOG.md,recipes/istio/gateway/1.30.0/recipe.yaml,packages/istio/gateway/1.30.0,recipes/istio/gateway/1.30.0/helm-pain-report.yaml
promotion-review,1,87,,jetstack/trust-manager@v0.22.1,default;no-crds,2,in-confighub-proof,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/jetstack/trust-manager/v0.22.1/CATALOG.md,recipes/jetstack/trust-manager/v0.22.1/recipe.yaml,packages/jetstack/trust-manager/v0.22.1,recipes/jetstack/trust-manager/v0.22.1/helm-pain-report.yaml
promotion-review,1,90,,nats/nack@0.34.0,default;no-crds,2,local-kubernetes-live,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/nats/nack/0.34.0/CATALOG.md,recipes/nats/nack/0.34.0/recipe.yaml,packages/nats/nack/0.34.0,recipes/nats/nack/0.34.0/helm-pain-report.yaml
promotion-review,1,91,,nats/surveyor@0.20.9,default;default-reviewed,2,in-confighub-proof,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/nats/surveyor/0.20.9/CATALOG.md,recipes/nats/surveyor/0.20.9/recipe.yaml,packages/nats/surveyor/0.20.9,recipes/nats/surveyor/0.20.9/helm-pain-report.yaml
promotion-review,1,92,,open-telemetry/opentelemetry-operator@0.114.0,default;no-crds,2,in-confighub-proof,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/open-telemetry/opentelemetry-operator/0.114.0/CATALOG.md,recipes/open-telemetry/opentelemetry-operator/0.114.0/recipe.yaml,packages/open-telemetry/opentelemetry-operator/0.114.0,recipes/open-telemetry/opentelemetry-operator/0.114.0/helm-pain-report.yaml
promotion-review,1,93,,percona/pg-operator@3.0.0,default;no-crds,2,local-kubernetes-live,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/percona/pg-operator/3.0.0/CATALOG.md,recipes/percona/pg-operator/3.0.0/recipe.yaml,packages/percona/pg-operator/3.0.0,recipes/percona/pg-operator/3.0.0/helm-pain-report.yaml
promotion-review,1,94,,percona/psmdb-operator@1.22.0,default;no-crds,2,local-kubernetes-live,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/percona/psmdb-operator/1.22.0/CATALOG.md,recipes/percona/psmdb-operator/1.22.0/recipe.yaml,packages/percona/psmdb-operator/1.22.0,recipes/percona/psmdb-operator/1.22.0/helm-pain-report.yaml
promotion-review,1,97,,sealed-secrets/sealed-secrets@2.18.6,default;no-crds,2,local-kubernetes-live,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/sealed-secrets/sealed-secrets/2.18.6/CATALOG.md,recipes/sealed-secrets/sealed-secrets/2.18.6/recipe.yaml,packages/sealed-secrets/sealed-secrets/2.18.6,recipes/sealed-secrets/sealed-secrets/2.18.6/helm-pain-report.yaml
promotion-review,1,98,,velero/velero@12.0.1,default;no-crds,2,in-confighub-proof,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/velero/velero/12.0.1/CATALOG.md,recipes/velero/velero/12.0.1/recipe.yaml,packages/velero/velero/12.0.1,recipes/velero/velero/12.0.1/helm-pain-report.yaml
promotion-review,1,100,,vm/victoria-metrics-single@0.39.0,default;default-reviewed,2,local-kubernetes-live,-,-,-,,,run catalog promotion review,"Run catalog promotion review, choose one supported base, then add selected live evidence.",recipes/vm/victoria-metrics-single/0.39.0/CATALOG.md,recipes/vm/victoria-metrics-single/0.39.0/recipe.yaml,packages/vm/victoria-metrics-single/0.39.0,recipes/vm/victoria-metrics-single/0.39.0/helm-pain-report.yaml
limitation-review,2,21,8,traefik/traefik@40.2.0,default;no-crds,2,local-kubernetes-live,existing-secret (chart ships no Secret toggle),-,-,,lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,review limitation before promotion: existing-secret (chart ships no Secret toggle),"Decide whether the named gap is supported, disclosed, deferred, or blocked before promotion.",recipes/traefik/traefik/40.2.0/CATALOG.md,recipes/traefik/traefik/40.2.0/recipe.yaml,packages/traefik/traefik/40.2.0,recipes/traefik/traefik/40.2.0/helm-pain-report.yaml
limitation-review,2,24,38,kyverno/kyverno@3.8.1,default;no-crds,2,local-kubernetes-live,existing-secret (chart ships no Secret toggle),-,-,,lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;stateful-storage,review limitation before promotion: existing-secret (chart ships no Secret toggle),"Decide whether the named gap is supported, disclosed, deferred, or blocked before promotion.",recipes/kyverno/kyverno/3.8.1/CATALOG.md,recipes/kyverno/kyverno/3.8.1/recipe.yaml,packages/kyverno/kyverno/3.8.1,recipes/kyverno/kyverno/3.8.1/helm-pain-report.yaml
limitation-review,2,35,66,bitnami/elasticsearch@22.1.6,default;ha,2,render-parity,existing-secret (chart ships no Secret toggle),-,-,,lookup;generated-facts;tpl;capabilities;stateful-storage,review limitation before promotion: existing-secret (chart ships no Secret toggle),"Decide whether the named gap is supported, disclosed, deferred, or blocked before promotion.",recipes/bitnami/elasticsearch/22.1.6/CATALOG.md,recipes/bitnami/elasticsearch/22.1.6/recipe.yaml,packages/bitnami/elasticsearch/22.1.6,recipes/bitnami/elasticsearch/22.1.6/helm-pain-report.yaml
limitation-review,2,44,101,bitnami/spark@10.0.3,default;ha,2,render-parity,existing-secret (chart ships no Secret toggle),-,-,,lookup;generated-facts;tpl;capabilities;stateful-storage,review limitation before promotion: existing-secret (chart ships no Secret toggle),"Decide whether the named gap is supported, disclosed, deferred, or blocked before promotion.",recipes/bitnami/spark/10.0.3/CATALOG.md,recipes/bitnami/spark/10.0.3/recipe.yaml,packages/bitnami/spark/10.0.3,recipes/bitnami/spark/10.0.3/helm-pain-report.yaml
limitation-review,2,46,118,prometheus-community/prometheus-adapter@5.3.0,default;cluster-metrics-readonly,2,in-confighub-proof,-,api-service-target-compatibility,target compatibility decision records that this chart stays proof-grade for the tested target profile,data/apiservice-coverage/target-compatibility-decisions/prometheus-community-prometheus-adapter-5.3.0.yaml,tpl;capabilities;cluster-rbac,Keep prometheus-community/prometheus-adapter@5.3.0 proof-grade for this target profile. Promote only after an upstream chart version or explicit compatibility base renders a target-supported APIService object and passes the APIService runtime contract.,"Decide whether the named gap is supported, disclosed, deferred, or blocked before promotion.",recipes/prometheus-community/prometheus-adapter/5.3.0/CATALOG.md,recipes/prometheus-community/prometheus-adapter/5.3.0/recipe.yaml,packages/prometheus-community/prometheus-adapter/5.3.0,recipes/prometheus-community/prometheus-adapter/5.3.0/helm-pain-report.yaml
limitation-review,2,50,139,bitnami/zookeeper@13.8.7,default;ha,2,render-parity,existing-secret (chart ships no Secret toggle),-,-,,lookup;generated-facts;tpl;capabilities;stateful-storage,review limitation before promotion: existing-secret (chart ships no Secret toggle),"Decide whether the named gap is supported, disclosed, deferred, or blocked before promotion.",recipes/bitnami/zookeeper/13.8.7/CATALOG.md,recipes/bitnami/zookeeper/13.8.7/recipe.yaml,packages/bitnami/zookeeper/13.8.7,recipes/bitnami/zookeeper/13.8.7/helm-pain-report.yaml
limitation-review,2,63,205,bitnami/contour@21.1.4,default;no-crds,2,render-parity,existing-secret (chart ships no Secret toggle),-,-,,lookup;generated-facts;tpl;capabilities;crds;cluster-rbac,review limitation before promotion: existing-secret (chart ships no Secret toggle),"Decide whether the named gap is supported, disclosed, deferred, or blocked before promotion.",recipes/bitnami/contour/21.1.4/CATALOG.md,recipes/bitnami/contour/21.1.4/recipe.yaml,packages/bitnami/contour/21.1.4,recipes/bitnami/contour/21.1.4/helm-pain-report.yaml
limitation-review,2,69,388,grafana/pyroscope@2.0.2,default;ha;no-crds,3,local-kubernetes-live,existing-secret (chart ships no Secret toggle),-,-,,lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;stateful-storage,review limitation before promotion: existing-secret (chart ships no Secret toggle),"Decide whether the named gap is supported, disclosed, deferred, or blocked before promotion.",recipes/grafana/pyroscope/2.0.2/CATALOG.md,recipes/grafana/pyroscope/2.0.2/recipe.yaml,packages/grafana/pyroscope/2.0.2,recipes/grafana/pyroscope/2.0.2/helm-pain-report.yaml
user-shaped-variant,3,23,21,gitlab/gitlab-runner@0.89.0,default,1,render-parity,-,-,-,,generated-facts;tpl;capabilities,add at least one user-shaped variant before catalog promotion,"Add one realistic base variant a Helm user would actually choose, then rerun proof and review.",recipes/gitlab/gitlab-runner/0.89.0/CATALOG.md,recipes/gitlab/gitlab-runner/0.89.0/recipe.yaml,packages/gitlab/gitlab-runner/0.89.0,recipes/gitlab/gitlab-runner/0.89.0/helm-pain-report.yaml
user-shaped-variant,3,26,42,fluent/fluent-bit@0.57.6,default,1,local-kubernetes-live,-,-,-,,tpl;capabilities;hooks;cluster-rbac,add at least one user-shaped variant before catalog promotion,"Add one realistic base variant a Helm user would actually choose, then rerun proof and review.",recipes/fluent/fluent-bit/0.57.6/CATALOG.md,recipes/fluent/fluent-bit/0.57.6/recipe.yaml,packages/fluent/fluent-bit/0.57.6,recipes/fluent/fluent-bit/0.57.6/helm-pain-report.yaml
user-shaped-variant,3,27,45,runix/pgadmin4@1.62.0,default,1,local-kubernetes-live,-,-,-,,tpl;capabilities;stateful-storage,add at least one user-shaped variant before catalog promotion,"Add one realistic base variant a Helm user would actually choose, then rerun proof and review.",recipes/runix/pgadmin4/1.62.0/CATALOG.md,recipes/runix/pgadmin4/1.62.0/recipe.yaml,packages/runix/pgadmin4/1.62.0,recipes/runix/pgadmin4/1.62.0/helm-pain-report.yaml
user-shaped-variant,3,28,51,nfs-subdir-external-provisioner/nfs-subdir-external-provisioner@4.0.18,default,1,render-parity,-,-,-,,capabilities;cluster-rbac;stateful-storage,add at least one user-shaped variant before catalog promotion,"Add one realistic base variant a Helm user would actually choose, then rerun proof and review.",recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/CATALOG.md,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/recipe.yaml,packages/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/helm-pain-report.yaml
user-shaped-variant,3,32,62,elastic/kibana@8.5.1,default,1,render-parity,-,-,-,,tpl,add at least one user-shaped variant before catalog promotion,"Add one realistic base variant a Helm user would actually choose, then rerun proof and review.",recipes/elastic/kibana/8.5.1/CATALOG.md,recipes/elastic/kibana/8.5.1/recipe.yaml,packages/elastic/kibana/8.5.1,recipes/elastic/kibana/8.5.1/helm-pain-report.yaml
user-shaped-variant,3,33,64,descheduler/descheduler@0.36.0,default,1,local-kubernetes-live,-,-,-,,tpl;cluster-rbac,add at least one user-shaped variant before catalog promotion,"Add one realistic base variant a Helm user would actually choose, then rerun proof and review.",recipes/descheduler/descheduler/0.36.0/CATALOG.md,recipes/descheduler/descheduler/0.36.0/recipe.yaml,packages/descheduler/descheduler/0.36.0,recipes/descheduler/descheduler/0.36.0/helm-pain-report.yaml
user-shaped-variant,3,37,70,jaegertracing/jaeger@4.8.0,default,1,local-kubernetes-live,existing-secret (chart ships no Secret toggle),-,-,,lookup;generated-facts;tpl;capabilities,add at least one user-shaped variant before catalog promotion,"Add one realistic base variant a Helm user would actually choose, then rerun proof and review.",recipes/jaegertracing/jaeger/4.8.0/CATALOG.md,recipes/jaegertracing/jaeger/4.8.0/recipe.yaml,packages/jaegertracing/jaeger/4.8.0,recipes/jaegertracing/jaeger/4.8.0/helm-pain-report.yaml
user-shaped-variant,3,40,80,dex/dex@0.24.0,default,1,render-parity,-,-,-,,tpl;capabilities;cluster-rbac,add at least one user-shaped variant before catalog promotion,"Add one realistic base variant a Helm user would actually choose, then rerun proof and review.",recipes/dex/dex/0.24.0/CATALOG.md,recipes/dex/dex/0.24.0/recipe.yaml,packages/dex/dex/0.24.0,recipes/dex/dex/0.24.0/helm-pain-report.yaml
user-shaped-variant,3,42,90,falcosecurity/falco@9.0.0,default,1,local-kubernetes-live,-,-,-,,lookup;tpl;capabilities;cluster-rbac;stateful-storage,add at least one user-shaped variant before catalog promotion,"Add one realistic base variant a Helm user would actually choose, then rerun proof and review.",recipes/falcosecurity/falco/9.0.0/CATALOG.md,recipes/falcosecurity/falco/9.0.0/recipe.yaml,packages/falcosecurity/falco/9.0.0,recipes/falcosecurity/falco/9.0.0/helm-pain-report.yaml
user-shaped-variant,3,47,126,projectcalico/tigera-operator@v3.32.0,default,1,render-parity,-,-,-,,lookup;hooks;cluster-rbac,add at least one user-shaped variant before catalog promotion,"Add one realistic base variant a Helm user would actually choose, then rerun proof and review.",recipes/projectcalico/tigera-operator/v3.32.0/CATALOG.md,recipes/projectcalico/tigera-operator/v3.32.0/recipe.yaml,packages/projectcalico/tigera-operator/v3.32.0,recipes/projectcalico/tigera-operator/v3.32.0/helm-pain-report.yaml
user-shaped-variant,3,48,130,fairwinds-stable/goldilocks@10.3.0,default,1,local-kubernetes-live,existing-secret (chart ships no Secret toggle),api-service-render-path-recorded,"source APIService signal exists, but current maintained bases render no APIService objects",data/apiservice-coverage/render-path-notes.md,lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks,add at least one user-shaped variant before catalog promotion,"Add one realistic base variant a Helm user would actually choose, then rerun proof and review.",recipes/fairwinds-stable/goldilocks/10.3.0/CATALOG.md,recipes/fairwinds-stable/goldilocks/10.3.0/recipe.yaml,packages/fairwinds-stable/goldilocks/10.3.0,recipes/fairwinds-stable/goldilocks/10.3.0/helm-pain-report.yaml
user-shaped-variant,3,49,133,prometheus-community/prometheus-operator-crds@29.0.0,default,1,local-kubernetes-live,-,-,-,,generated-facts;crds,add at least one user-shaped variant before catalog promotion,"Add one realistic base variant a Helm user would actually choose, then rerun proof and review.",recipes/prometheus-community/prometheus-operator-crds/29.0.0/CATALOG.md,recipes/prometheus-community/prometheus-operator-crds/29.0.0/recipe.yaml,packages/prometheus-community/prometheus-operator-crds/29.0.0,recipes/prometheus-community/prometheus-operator-crds/29.0.0/helm-pain-report.yaml
user-shaped-variant,3,53,143,coredns/coredns@1.45.2,default,1,local-kubernetes-live,-,-,-,,generated-facts;tpl;capabilities;cluster-rbac,add at least one user-shaped variant before catalog promotion,"Add one realistic base variant a Helm user would actually choose, then rerun proof and review.",recipes/coredns/coredns/1.45.2/CATALOG.md,recipes/coredns/coredns/1.45.2/recipe.yaml,packages/coredns/coredns/1.45.2,recipes/coredns/coredns/1.45.2/helm-pain-report.yaml
