proof_surface_rank,top500_rank,chart,catalog_tier,workability,adoption_bucket,user_status,strongest_evidence,variant_count,variants,render_parity,in_confighub,local_live,gitops_live,live_parity,two_cluster_kind_parity,hard_gap,source_features,next_action,next_action_source,next_action_receipt,recipe_path,package_path,catalog_path,helm_pain_report
11,,grafana/tempo@1.24.4,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,local-persistent;s3-query-observability,2/2,1/2,1/2,1/2,1/2,2/2,ha (tempo single-binary chart; HA is the separate tempo-distributed chart),,resolve image digests for each affected variant before production OCI support,production-disposition,,recipes/grafana/tempo/1.24.4/recipe.yaml,packages/grafana/tempo/1.24.4,recipes/grafana/tempo/1.24.4/CATALOG.md,recipes/grafana/tempo/1.24.4/helm-pain-report.yaml
12,57,hashicorp/consul@2.0.0,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,default-control-plane;secure-mesh-existing-secrets,2/2,1/2,1/2,1/2,1/2,2/2,ha (curated proof lane - bespoke teaching needed),tpl;capabilities;cluster-rbac;webhooks;stateful-storage,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,production-disposition,,recipes/hashicorp/consul/2.0.0/recipe.yaml,packages/hashicorp/consul/2.0.0,recipes/hashicorp/consul/2.0.0/CATALOG.md,recipes/hashicorp/consul/2.0.0/helm-pain-report.yaml
13,12,hashicorp/vault@0.32.0,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,3,dev-mode;default;ha-raft-ui,3/3,1/3,2/3,1/3,1/3,3/3,-,tpl;capabilities;cluster-rbac;webhooks;stateful-storage,write or fix the receipt for target fact preflight,production-disposition,data/production-disposition/receipts/hashicorp-vault/target-fact-preflight.yaml,recipes/hashicorp/vault/0.32.0/recipe.yaml,packages/hashicorp/vault/0.32.0,recipes/hashicorp/vault/0.32.0/CATALOG.md,recipes/hashicorp/vault/0.32.0/helm-pain-report.yaml
14,3,ingress-nginx/ingress-nginx@4.15.1,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,3,default;admission-disabled;internal-clusterip,3/3,1/3,2/3,1/3,1/3,3/3,-,tpl;capabilities;cluster-rbac;webhooks,"record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope",production-disposition,,recipes/ingress-nginx/ingress-nginx/4.15.1/recipe.yaml,packages/ingress-nginx/ingress-nginx/4.15.1,recipes/ingress-nginx/ingress-nginx/4.15.1/CATALOG.md,recipes/ingress-nginx/ingress-nginx/4.15.1/helm-pain-report.yaml
15,,jetstack/cert-manager@v1.20.2,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,default;crds-enabled,2/2,1/2,1/2,1/2,1/2,1/2,-,,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,production-disposition,,recipes/jetstack/cert-manager/v1.20.2/recipe.yaml,packages/jetstack/cert-manager/v1.20.2,recipes/jetstack/cert-manager/v1.20.2/CATALOG.md,recipes/jetstack/cert-manager/v1.20.2/helm-pain-report.yaml
16,19,longhorn/longhorn@1.11.2,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,default;ui-ingress,2/2,1/2,1/2,1/2,1/2,2/2,-,generated-facts;tpl;cluster-rbac,"choose the supported production base, then record explicit security acceptance or create a hardened base before claiming production support",production-disposition,,recipes/longhorn/longhorn/1.11.2/recipe.yaml,packages/longhorn/longhorn/1.11.2,recipes/longhorn/longhorn/1.11.2/CATALOG.md,recipes/longhorn/longhorn/1.11.2/helm-pain-report.yaml
17,11,metrics-server/metrics-server@3.13.0,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,default;external-tls-ca,2/2,1/2,1/2,1/2,1/2,2/2,existing-secret (chart ships no Secret toggle),lookup;generated-facts;capabilities;cluster-rbac,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,production-disposition,,recipes/metrics-server/metrics-server/3.13.0/recipe.yaml,packages/metrics-server/metrics-server/3.13.0,recipes/metrics-server/metrics-server/3.13.0/CATALOG.md,recipes/metrics-server/metrics-server/3.13.0/helm-pain-report.yaml
18,1,prometheus-community/kube-prometheus-stack@85.3.3,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,default;no-crds,2/2,1/2,1/2,1/2,1/2,2/2,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;webhooks;stateful-storage,"choose the supported production base, then record explicit security acceptance or create a hardened base before claiming production support",production-disposition,,recipes/prometheus-community/kube-prometheus-stack/85.3.3/recipe.yaml,packages/prometheus-community/kube-prometheus-stack/85.3.3,recipes/prometheus-community/kube-prometheus-stack/85.3.3/CATALOG.md,recipes/prometheus-community/kube-prometheus-stack/85.3.3/helm-pain-report.yaml
19,5,prometheus-community/prometheus@29.8.0,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,default;server-only-ephemeral,2/2,1/2,1/2,1/2,1/2,2/2,ha (curated proof lane - bespoke teaching needed),generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,"choose the supported production base, then record explicit security acceptance or create a hardened base before claiming production support",production-disposition,,recipes/prometheus-community/prometheus/29.8.0/recipe.yaml,packages/prometheus-community/prometheus/29.8.0,recipes/prometheus-community/prometheus/29.8.0/CATALOG.md,recipes/prometheus-community/prometheus/29.8.0/helm-pain-report.yaml
20,,secrets-store-csi-driver/secrets-store-csi-driver@1.6.0,top20-catalog-supported,try-now-public-catalog,try-from-public-catalog,catalog-supported-with-live-evidence,live-helm-vs-confighub-parity,2,default;sync-secret-rotation,2/2,1/2,1/2,1/2,1/2,2/2,-,,"choose the supported production base, then record explicit security acceptance or create a hardened base before claiming production support",production-disposition,,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/recipe.yaml,packages/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/CATALOG.md,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/helm-pain-report.yaml
21,8,traefik/traefik@40.2.0,next80-proof-grade,decision-needed-before-promotion,limitation-decision-first,proof-grade-with-named-limitation,render-parity,2,default;no-crds,2/2,0/2,0/2,0/2,0/2,0/2,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,review limitation before promotion: existing-secret (chart ships no Secret toggle),limitation-review,,recipes/traefik/traefik/40.2.0/recipe.yaml,packages/traefik/traefik/40.2.0,recipes/traefik/traefik/40.2.0/CATALOG.md,recipes/traefik/traefik/40.2.0/helm-pain-report.yaml
22,18,external-dns/external-dns@1.21.1,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,two-cluster-kind-parity,3,default;no-crds;dry-run-txt-registry,3/3,0/3,1/3,0/3,0/3,1/3,-,tpl;crds;cluster-rbac,run catalog promotion review,catalog-promotion-review,,recipes/external-dns/external-dns/1.21.1/recipe.yaml,packages/external-dns/external-dns/1.21.1,recipes/external-dns/external-dns/1.21.1/CATALOG.md,recipes/external-dns/external-dns/1.21.1/helm-pain-report.yaml
23,21,gitlab/gitlab-runner@0.89.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,1/1,0/1,0/1,0/1,0/1,0/1,-,generated-facts;tpl;capabilities,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/gitlab/gitlab-runner/0.89.0/recipe.yaml,packages/gitlab/gitlab-runner/0.89.0,recipes/gitlab/gitlab-runner/0.89.0/CATALOG.md,recipes/gitlab/gitlab-runner/0.89.0/helm-pain-report.yaml
24,38,kyverno/kyverno@3.8.1,next80-proof-grade,decision-needed-before-promotion,limitation-decision-first,proof-grade-with-named-limitation,local-kubernetes-live,2,default;no-crds,2/2,0/2,1/2,0/2,0/2,0/2,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;stateful-storage,review limitation before promotion: existing-secret (chart ships no Secret toggle),limitation-review,,recipes/kyverno/kyverno/3.8.1/recipe.yaml,packages/kyverno/kyverno/3.8.1,recipes/kyverno/kyverno/3.8.1/CATALOG.md,recipes/kyverno/kyverno/3.8.1/helm-pain-report.yaml
25,41,cloudnative-pg/cloudnative-pg@0.28.2,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,two-cluster-kind-parity,2,default;no-crds,2/2,0/2,1/2,0/2,0/2,1/2,-,generated-facts;tpl;crds;cluster-rbac;webhooks,run catalog promotion review,catalog-promotion-review,,recipes/cloudnative-pg/cloudnative-pg/0.28.2/recipe.yaml,packages/cloudnative-pg/cloudnative-pg/0.28.2,recipes/cloudnative-pg/cloudnative-pg/0.28.2/CATALOG.md,recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-pain-report.yaml
26,42,fluent/fluent-bit@0.57.6,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,-,tpl;capabilities;hooks;cluster-rbac,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/fluent/fluent-bit/0.57.6/recipe.yaml,packages/fluent/fluent-bit/0.57.6,recipes/fluent/fluent-bit/0.57.6/CATALOG.md,recipes/fluent/fluent-bit/0.57.6/helm-pain-report.yaml
27,45,runix/pgadmin4@1.62.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,-,tpl;capabilities;stateful-storage,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/runix/pgadmin4/1.62.0/recipe.yaml,packages/runix/pgadmin4/1.62.0,recipes/runix/pgadmin4/1.62.0/CATALOG.md,recipes/runix/pgadmin4/1.62.0/helm-pain-report.yaml
28,51,nfs-subdir-external-provisioner/nfs-subdir-external-provisioner@4.0.18,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,1/1,0/1,0/1,0/1,0/1,0/1,-,capabilities;cluster-rbac;stateful-storage,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/recipe.yaml,packages/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/CATALOG.md,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/helm-pain-report.yaml
29,53,kedacore/keda@2.19.0,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,two-cluster-kind-parity,2,default;no-crds,2/2,0/2,1/2,1/2,0/2,1/2,-,tpl;capabilities;crds;cluster-rbac;webhooks,run catalog promotion review,catalog-promotion-review,,recipes/kedacore/keda/2.19.0/recipe.yaml,packages/kedacore/keda/2.19.0,recipes/kedacore/keda/2.19.0/CATALOG.md,recipes/kedacore/keda/2.19.0/helm-pain-report.yaml
30,58,prometheus-community/kube-state-metrics@7.4.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,2/2,0/2,1/2,0/2,0/2,0/2,-,generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/prometheus-community/kube-state-metrics/7.4.0/recipe.yaml,packages/prometheus-community/kube-state-metrics/7.4.0,recipes/prometheus-community/kube-state-metrics/7.4.0/CATALOG.md,recipes/prometheus-community/kube-state-metrics/7.4.0/helm-pain-report.yaml
31,60,elastic/eck-operator@3.4.0,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,two-cluster-kind-parity,3,default;ha;no-crds,3/3,0/3,1/3,0/3,0/3,1/3,-,tpl;capabilities;cluster-rbac;webhooks;stateful-storage,run catalog promotion review,catalog-promotion-review,,recipes/elastic/eck-operator/3.4.0/recipe.yaml,packages/elastic/eck-operator/3.4.0,recipes/elastic/eck-operator/3.4.0/CATALOG.md,recipes/elastic/eck-operator/3.4.0/helm-pain-report.yaml
32,62,elastic/kibana@8.5.1,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,1/1,0/1,0/1,0/1,0/1,0/1,-,tpl,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/elastic/kibana/8.5.1/recipe.yaml,packages/elastic/kibana/8.5.1,recipes/elastic/kibana/8.5.1/CATALOG.md,recipes/elastic/kibana/8.5.1/helm-pain-report.yaml
33,64,descheduler/descheduler@0.36.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,-,tpl;cluster-rbac,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/descheduler/descheduler/0.36.0/recipe.yaml,packages/descheduler/descheduler/0.36.0,recipes/descheduler/descheduler/0.36.0/CATALOG.md,recipes/descheduler/descheduler/0.36.0/helm-pain-report.yaml
34,65,prometheus-community/prometheus-blackbox-exporter@11.10.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,2/2,0/2,1/2,0/2,0/2,0/2,-,tpl;capabilities,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/recipe.yaml,packages/prometheus-community/prometheus-blackbox-exporter/11.10.0,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/CATALOG.md,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/helm-pain-report.yaml
35,66,bitnami/elasticsearch@22.1.6,next80-proof-grade,decision-needed-before-promotion,limitation-decision-first,proof-grade-with-named-limitation,render-parity,2,default;ha,2/2,0/2,0/2,0/2,0/2,0/2,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;stateful-storage,review limitation before promotion: existing-secret (chart ships no Secret toggle),limitation-review,,recipes/bitnami/elasticsearch/22.1.6/recipe.yaml,packages/bitnami/elasticsearch/22.1.6,recipes/bitnami/elasticsearch/22.1.6/CATALOG.md,recipes/bitnami/elasticsearch/22.1.6/helm-pain-report.yaml
36,67,stakater/reloader@2.2.12,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,2/2,0/2,0/2,0/2,0/2,0/2,-,tpl;capabilities;cluster-rbac,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/stakater/reloader/2.2.12/recipe.yaml,packages/stakater/reloader/2.2.12,recipes/stakater/reloader/2.2.12/CATALOG.md,recipes/stakater/reloader/2.2.12/helm-pain-report.yaml
37,70,jaegertracing/jaeger@4.8.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/jaegertracing/jaeger/4.8.0/recipe.yaml,packages/jaegertracing/jaeger/4.8.0,recipes/jaegertracing/jaeger/4.8.0/CATALOG.md,recipes/jaegertracing/jaeger/4.8.0/helm-pain-report.yaml
38,74,grafana/alloy@1.8.2,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,two-cluster-kind-parity,2,default;no-crds,2/2,0/2,1/2,0/2,0/2,1/2,-,tpl;capabilities;crds;cluster-rbac;stateful-storage,run catalog promotion review,catalog-promotion-review,,recipes/grafana/alloy/1.8.2/recipe.yaml,packages/grafana/alloy/1.8.2,recipes/grafana/alloy/1.8.2/CATALOG.md,recipes/grafana/alloy/1.8.2/helm-pain-report.yaml
39,78,nats/nats@2.14.0,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,two-cluster-kind-parity,2,default;ha,2/2,0/2,1/2,0/2,0/2,1/2,-,tpl,run catalog promotion review,catalog-promotion-review,,recipes/nats/nats/2.14.0/recipe.yaml,packages/nats/nats/2.14.0,recipes/nats/nats/2.14.0/CATALOG.md,recipes/nats/nats/2.14.0/helm-pain-report.yaml
40,80,dex/dex@0.24.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,1/1,0/1,0/1,0/1,0/1,0/1,-,tpl;capabilities;cluster-rbac,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/dex/dex/0.24.0/recipe.yaml,packages/dex/dex/0.24.0,recipes/dex/dex/0.24.0/CATALOG.md,recipes/dex/dex/0.24.0/helm-pain-report.yaml
41,88,prometheus-community/alertmanager@1.37.0,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,two-cluster-kind-parity,2,default;ha,2/2,0/2,1/2,0/2,0/2,1/2,-,tpl;stateful-storage,run catalog promotion review,catalog-promotion-review,,recipes/prometheus-community/alertmanager/1.37.0/recipe.yaml,packages/prometheus-community/alertmanager/1.37.0,recipes/prometheus-community/alertmanager/1.37.0/CATALOG.md,recipes/prometheus-community/alertmanager/1.37.0/helm-pain-report.yaml
42,90,falcosecurity/falco@9.0.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,-,lookup;tpl;capabilities;cluster-rbac;stateful-storage,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/falcosecurity/falco/9.0.0/recipe.yaml,packages/falcosecurity/falco/9.0.0,recipes/falcosecurity/falco/9.0.0/CATALOG.md,recipes/falcosecurity/falco/9.0.0/helm-pain-report.yaml
43,94,prometheus-community/prometheus-node-exporter@4.55.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,-,generated-facts;tpl;capabilities;cluster-rbac,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/prometheus-community/prometheus-node-exporter/4.55.0/recipe.yaml,packages/prometheus-community/prometheus-node-exporter/4.55.0,recipes/prometheus-community/prometheus-node-exporter/4.55.0/CATALOG.md,recipes/prometheus-community/prometheus-node-exporter/4.55.0/helm-pain-report.yaml
44,101,bitnami/spark@10.0.3,next80-proof-grade,decision-needed-before-promotion,limitation-decision-first,proof-grade-with-named-limitation,render-parity,2,default;ha,2/2,0/2,0/2,0/2,0/2,0/2,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;stateful-storage,review limitation before promotion: existing-secret (chart ships no Secret toggle),limitation-review,,recipes/bitnami/spark/10.0.3/recipe.yaml,packages/bitnami/spark/10.0.3,recipes/bitnami/spark/10.0.3/CATALOG.md,recipes/bitnami/spark/10.0.3/helm-pain-report.yaml
45,107,elastic/logstash@8.5.1,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,two-cluster-kind-parity,2,default;ha,2/2,0/2,0/2,0/2,0/2,1/2,-,tpl;capabilities;stateful-storage,run catalog promotion review,catalog-promotion-review,,recipes/elastic/logstash/8.5.1/recipe.yaml,packages/elastic/logstash/8.5.1,recipes/elastic/logstash/8.5.1/CATALOG.md,recipes/elastic/logstash/8.5.1/helm-pain-report.yaml
46,118,prometheus-community/prometheus-adapter@5.3.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,2/2,0/2,0/2,0/2,0/2,0/2,-,tpl;capabilities;cluster-rbac,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/prometheus-community/prometheus-adapter/5.3.0/recipe.yaml,packages/prometheus-community/prometheus-adapter/5.3.0,recipes/prometheus-community/prometheus-adapter/5.3.0/CATALOG.md,recipes/prometheus-community/prometheus-adapter/5.3.0/helm-pain-report.yaml
47,126,projectcalico/tigera-operator@v3.32.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,1/1,0/1,0/1,0/1,0/1,0/1,-,lookup;hooks;cluster-rbac,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/projectcalico/tigera-operator/v3.32.0/recipe.yaml,packages/projectcalico/tigera-operator/v3.32.0,recipes/projectcalico/tigera-operator/v3.32.0/CATALOG.md,recipes/projectcalico/tigera-operator/v3.32.0/helm-pain-report.yaml
