chart,recipe_version,base,route_source_version,quirk_class,route_name,lifecycle_phase,action_kind,execution_mode,base_disposition,automatic,who_runs,operating_details,delta,reason,command,evidence,next_action,evidence_required,source_drift
gitlab/gitlab,,(chart-level),10.0.0,hook-phase,argocd-or-flux-lifecycle-hook,post-apply,gitops-sync-hook,not-yet-executable,blocked,false,Your delivery — a GitOps sync hook (receipted),GitLab serious-chart prerequisites dominate; confirm supported base before routing,kept,,,data/hook-route-candidates/candidates.csv,treat as a serious-chart review; choose a supported base; confirm whether the vendored hook renders; then write maintained route receipt or hook-inert fact; none,"resolve the named prerequisite/blocker, then capture a live receipt",
k8s-dashboard/kubernetes-dashboard,,(chart-level),7.14.0,hook-phase,upgrade-action-with-receipt,pre-apply,run-job,user-executes,routed,false,Your delivery — a GitOps PreSync/PostSync or cub action (receipted),none expected under default values; rendering under defaults unresolved; condition: if rendered,kept,,kubectl apply -f <action-job>; kubectl wait --for=condition=complete job/<name>,data/hook-disposition/evidence/k8s-dashboard-kubernetes-dashboard/evidence.yaml;data/hook-disposition/evidence/k8s-dashboard-kubernetes-dashboard/hook-resources.yaml,record hook-inert-under-default-values for the default base at recipe time; keep the route plan for postgres-mode bases; none (default base is hook-inert; no rehearsal needed for it),a live lifecycle receipt showing this route ran for the supported target scope,
kedacore/keda,2.19.0,no-crds,2.19.0,webhook-readiness,webhook-readiness-observation,observe,observe-webhook,target-owned,observed,false,"Your delivery waits for the controller-created or operator-supplied certificate, then checks webhook readiness","The operator mounts kedaorg-certs as optional, starts certificate rotation, and creates the Secret used by the webhook and metrics API pods.",kept,,"kubectl get validatingwebhookconfigurations,mutatingwebhookconfigurations",data/hook-route-candidates/selected-routes/kedacore-keda-no-crds.yaml;recipes/kedacore/keda/2.19.0/variants/no-crds/variant.yaml;recipes/kedacore/keda/2.19.0/revisions/no-crds/r001/rendered/release-objects.yaml;runs/live-kind-parity/kedacore-keda-no-crds/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
kong/kong,,(chart-level),3.2.0,hook-phase,upgrade-action-with-receipt,pre-apply,run-job,user-executes,routed,false,Your delivery — a GitOps PreSync/PostSync or cub action (receipted),reachable database when not DB-less; values-conditional rendering,kept,,kubectl apply -f <action-job>; kubectl wait --for=condition=complete job/<name>,data/hook-disposition/evidence/kong-kong/evidence.yaml;data/hook-disposition/evidence/kong-kong/hook-resources.yaml,create the recipe with DB-less and postgres bases; rehearse the migration pair against a database; none (postgres-mode rehearsal needs a database and pullable images),a live lifecycle receipt showing this route ran for the supported target scope,
kyverno/kyverno,3.8.1,default,3.8.1,hook-delete-policy,delete-cleanup-policy,observe,accept-target-policy,target-owned,observed,false,"Your cluster — at uninstall, automatically",Webhook and APIService cleanup belongs to delete or rollback policy.,kept,,,data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/kyverno/kyverno/3.8.1/helm-pain-report.yaml;runs/hook-lifecycle/kyverno-kyverno/default/latest/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
kyverno/kyverno,3.8.1,default,3.8.1,hook-phase,upgrade-action-with-receipt,pre-apply,run-job,user-executes,observed,false,Your delivery — a GitOps PreSync/PostSync or cub action (receipted),Resource migration after upgrade must be recorded as an upgrade operation.,kept,,kubectl apply -f <action-job>; kubectl wait --for=condition=complete job/<name>,data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/kyverno/kyverno/3.8.1/helm-pain-report.yaml;runs/hook-lifecycle/kyverno-kyverno/default/latest/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
kyverno/kyverno,3.8.1,default,3.8.1,hook-test,explicit-test-check,observe,run-test,user-executes,observed,false,Opt-in check — run from CI or on demand (tests are explicit by design),"Test hooks become checks, not hidden install behavior.",kept,,# run the chart's test/check (helm test equivalent),data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/kyverno/kyverno/3.8.1/helm-pain-report.yaml;runs/hook-lifecycle/kyverno-kyverno/default/latest/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
kyverno/kyverno,3.8.1,default,3.8.1,hook-weight-ordering,preserve-ordering,pre-apply,preserve-ordering,target-owned,observed,false,Your applier — must apply CRDs before dependent objects,,kept,,,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
kyverno/kyverno,3.8.1,default,3.8.1,target-facts,target-facts-or-preflight,preflight,stage-target-facts,user-executes,observed,false,"Prerequisite — supply once (Secret / CRD / storage), like values",,kept,,# create the required target facts (Secret/StorageClass/etc.) before apply,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
kyverno/kyverno,3.8.1,no-crds,3.8.1,hook-delete-policy,delete-cleanup-policy,observe,accept-target-policy,target-owned,observed,false,"Your cluster — at uninstall, automatically",,kept,,,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
kyverno/kyverno,3.8.1,no-crds,3.8.1,hook-delete-policy,preserve-cleanup-policy,observe,accept-target-policy,target-owned,observed,false,"Your cluster — at uninstall, automatically",,kept,,,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
kyverno/kyverno,3.8.1,no-crds,3.8.1,hook-phase,upgrade-action-with-receipt,pre-apply,run-job,user-executes,observed,false,Your delivery — a GitOps PreSync/PostSync or cub action (receipted),,kept,,kubectl apply -f <action-job>; kubectl wait --for=condition=complete job/<name>,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
kyverno/kyverno,3.8.1,no-crds,3.8.1,hook-test,explicit-test-check,observe,run-test,user-executes,observed,false,Opt-in check — run from CI or on demand (tests are explicit by design),,kept,,# run the chart's test/check (helm test equivalent),data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
kyverno/kyverno,3.8.1,no-crds,3.8.1,hook-weight-ordering,preserve-ordering,pre-apply,preserve-ordering,target-owned,observed,false,Your applier — must apply CRDs before dependent objects,,reduced,CRD-first ordering is not needed in a base that installs no CRDs,,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
kyverno/kyverno,3.8.1,no-crds,3.8.1,target-facts,target-facts-or-preflight,preflight,stage-target-facts,user-executes,observed,false,"Prerequisite — supply once (Secret / CRD / storage), like values",,strengthened,this base needs 22 CRDs supplied before deploy (the default base installs them for you),# create the required target facts (Secret/StorageClass/etc.) before apply,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
projectcalico/tigera-operator,v3.32.0,default,v3.32.0,hook-delete-policy,explicit-delete-cleanup-action,observe,run-job,user-executes,observed,false,Your delivery — a GitOps PreSync/PostSync or cub action (receipted),"Deleting this chart may require cleanup that depends on the cluster's current state. Run that cleanup as a separate, recorded step instead of assuming that deleting the rendered files is enough.",kept,,kubectl apply -f <action-job>; kubectl wait --for=condition=complete job/<name>,data/hook-lifecycle/receipts/projectcalico-tigera-operator/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/projectcalico/tigera-operator/v3.32.0/helm-pain-report.yaml;runs/hook-lifecycle/projectcalico-tigera-operator/default/latest/receipt.yaml;runs/live-helm-confighub-compare/projectcalico-tigera-operator-default/receipt.yaml;runs/public-preset-script/projectcalico-tigera-operator-default/latest/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
projectcalico/tigera-operator,v3.32.0,default,v3.32.0,hook-phase,preflight-or-presync,preflight,run-preflight,user-executes,observed,false,Your delivery — a preflight step before apply (receipted),"Before installing the rendered resources, the Tigera operator must create four operator.tigera.io CRDs so Kubernetes can accept the APIServer, Goldmane, Installation, and Whisker objects.",kept,,kubectl apply -f <preflight-job>; kubectl wait --for=condition=complete job/<name>,data/hook-lifecycle/receipts/projectcalico-tigera-operator/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/projectcalico/tigera-operator/v3.32.0/helm-pain-report.yaml;runs/hook-lifecycle/projectcalico-tigera-operator/default/latest/receipt.yaml;runs/live-helm-confighub-compare/projectcalico-tigera-operator-default/receipt.yaml;runs/public-preset-script/projectcalico-tigera-operator-default/latest/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
prometheus-community/kube-prometheus-stack,85.3.3,default,85.3.0,hook-delete-policy,preserve-cleanup-policy,observe,accept-target-policy,target-owned,observed,false,"Your cluster — at uninstall, automatically",,kept,,,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 85.3.3
prometheus-community/kube-prometheus-stack,85.3.3,default,85.3.3,hook-phase,postsync-check-or-observation,post-apply,run-check,user-executes,observed,false,Your delivery — a post-apply check (receipted),Webhook TLS and readiness must be observed after apply.,kept,,,data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/prometheus-community/kube-prometheus-stack/85.3.3/helm-pain-report.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/crd-lifecycle-and-upgrade-policy.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/webhook-readiness-and-failure-policy.yaml;runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default/receipt.yaml;data/production-support-decisions/prometheus-community-kube-prometheus-stack/lifecycle-decision.yaml;runs/top20-local-kind/kube-prometheus-stack-default/observation-receipt.json;runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
prometheus-community/kube-prometheus-stack,85.3.3,default,85.3.3,hook-phase,preflight-or-presync,preflight,run-preflight,user-executes,observed,false,Your delivery — a preflight step before apply (receipted),The hook creates webhook patch prerequisites before admission configuration is safe to use.,kept,,kubectl apply -f <preflight-job>; kubectl wait --for=condition=complete job/<name>,data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/prometheus-community/kube-prometheus-stack/85.3.3/helm-pain-report.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/crd-lifecycle-and-upgrade-policy.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/webhook-readiness-and-failure-policy.yaml;runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default/receipt.yaml;data/production-support-decisions/prometheus-community-kube-prometheus-stack/lifecycle-decision.yaml;runs/top20-local-kind/kube-prometheus-stack-default/observation-receipt.json;runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
prometheus-community/kube-prometheus-stack,85.3.3,default,85.3.3,hook-phase,upgrade-action-with-receipt,pre-apply,run-job,user-executes,observed,false,Your delivery — a GitOps PreSync/PostSync or cub action (receipted),Upgrade behavior must be recorded separately from initial render parity.,kept,,kubectl apply -f <action-job>; kubectl wait --for=condition=complete job/<name>,data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/prometheus-community/kube-prometheus-stack/85.3.3/helm-pain-report.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/crd-lifecycle-and-upgrade-policy.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/webhook-readiness-and-failure-policy.yaml;runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default/receipt.yaml;data/production-support-decisions/prometheus-community-kube-prometheus-stack/lifecycle-decision.yaml;runs/top20-local-kind/kube-prometheus-stack-default/observation-receipt.json;runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",
prometheus-community/kube-prometheus-stack,85.3.3,default,85.3.0,hook-weight-ordering,preserve-ordering,pre-apply,preserve-ordering,target-owned,observed,false,Your applier — must apply CRDs before dependent objects,,kept,,,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 85.3.3
prometheus-community/kube-prometheus-stack,85.3.3,default,85.3.0,target-facts,target-facts-or-preflight,preflight,stage-target-facts,user-executes,observed,false,"Prerequisite — supply once (Secret / CRD / storage), like values",,kept,,# create the required target facts (Secret/StorageClass/etc.) before apply,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 85.3.3
prometheus-community/kube-prometheus-stack,85.3.3,default,85.3.0,webhook-readiness,webhook-readiness-observation,observe,observe-webhook,target-owned,observed,false,"Your delivery waits for the controller-created or operator-supplied certificate, then checks webhook readiness",,kept,,"kubectl get validatingwebhookconfigurations,mutatingwebhookconfigurations",data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 85.3.3
prometheus-community/kube-prometheus-stack,85.3.3,no-crds,85.3.0,hook-delete-policy,preserve-cleanup-policy,observe,accept-target-policy,target-owned,observed,false,"Your cluster — at uninstall, automatically",,kept,,,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 85.3.3
prometheus-community/kube-prometheus-stack,85.3.3,no-crds,85.3.0,hook-phase,postsync-check-or-observation,post-apply,run-check,user-executes,observed,false,Your delivery — a post-apply check (receipted),,kept,,,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 85.3.3
prometheus-community/kube-prometheus-stack,85.3.3,no-crds,85.3.0,hook-phase,preflight-or-presync,preflight,run-preflight,user-executes,observed,false,Your delivery — a preflight step before apply (receipted),,kept,,kubectl apply -f <preflight-job>; kubectl wait --for=condition=complete job/<name>,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 85.3.3
prometheus-community/kube-prometheus-stack,85.3.3,no-crds,85.3.0,hook-phase,upgrade-action-with-receipt,pre-apply,run-job,user-executes,observed,false,Your delivery — a GitOps PreSync/PostSync or cub action (receipted),,kept,,kubectl apply -f <action-job>; kubectl wait --for=condition=complete job/<name>,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 85.3.3
prometheus-community/kube-prometheus-stack,85.3.3,no-crds,85.3.0,hook-weight-ordering,preserve-ordering,pre-apply,preserve-ordering,target-owned,observed,false,Your applier — must apply CRDs before dependent objects,,reduced,CRD-first ordering is not needed in a base that installs no CRDs,,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 85.3.3
prometheus-community/kube-prometheus-stack,85.3.3,no-crds,85.3.0,target-facts,target-facts-or-preflight,preflight,stage-target-facts,user-executes,observed,false,"Prerequisite — supply once (Secret / CRD / storage), like values",,strengthened,this base needs 10 CRDs supplied before deploy (the default base installs them for you),# create the required target facts (Secret/StorageClass/etc.) before apply,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 85.3.3
prometheus-community/kube-prometheus-stack,85.3.3,no-crds,85.3.0,webhook-readiness,webhook-readiness-observation,observe,observe-webhook,target-owned,observed,false,"Your delivery waits for the controller-created or operator-supplied certificate, then checks webhook readiness",,kept,,"kubectl get validatingwebhookconfigurations,mutatingwebhookconfigurations",data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 85.3.3
prometheus-community/kube-prometheus-stack,86.1.0,default,85.3.0,hook-delete-policy,preserve-cleanup-policy,observe,accept-target-policy,target-owned,observed,false,"Your cluster — at uninstall, automatically",,kept,,,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 86.1.0
