chart,version,local_test_support,supported_variants,confighub_proof,live_e2e,production_support,required_dispositions,accepted_dispositions,open_dispositions,production_disposition_receipts,source_hook_count,lifecycle_policy_basis,lifecycle_observation_receipts,next_action,recipe_path,package_path,confighub_proof_receipt,live_e2e_receipts
grafana/tempo,1.24.4,catalog-supported,local-persistent;s3-query-observability,pass,local-kind-observed,production-review-ready,extension slot provenance and scan policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,extension slot provenance and scan policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight,,data/production-disposition/receipts/grafana-tempo/extension-slot-provenance-and-scan-policy.yaml;data/production-disposition/receipts/grafana-tempo/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/grafana-tempo/storage-backup-restore-and-rollback-policy.yaml;data/production-disposition/receipts/grafana-tempo/target-fact-preflight.yaml,0,none,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/grafana/tempo/1.24.4,packages/grafana/tempo/1.24.4,runs/tempo-confighub-proof/latest/confighub-proof-receipt.yaml,runs/top20-local-kind/tempo-local-persistent/observation-receipt.json
hashicorp/consul,2.0.0,catalog-supported,default-control-plane;secure-mesh-existing-secrets,pass,local-kind-observed,production-review-ready,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight;webhook readiness and failure policy,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;hook and lifecycle phase policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight;webhook readiness and failure policy,,data/production-disposition/receipts/hashicorp-consul/crd-lifecycle-and-upgrade-policy.yaml;data/production-disposition/receipts/hashicorp-consul/cluster-rbac-review.yaml;data/production-disposition/receipts/hashicorp-consul/extension-slot-provenance-and-scan-policy.yaml;data/production-disposition/receipts/hashicorp-consul/hook-and-lifecycle-phase-policy.yaml;data/production-disposition/receipts/hashicorp-consul/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/hashicorp-consul/storage-backup-restore-and-rollback-policy.yaml;data/production-disposition/receipts/hashicorp-consul/target-fact-preflight.yaml;data/production-disposition/receipts/hashicorp-consul/webhook-readiness-and-failure-policy.yaml,0,recipe-lifecycle-policy,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/hashicorp/consul/2.0.0,packages/hashicorp/consul/2.0.0,runs/consul-confighub-proof/latest/confighub-proof-receipt.yaml,runs/top20-local-kind/consul-default-control-plane/observation-receipt.json
hashicorp/vault,0.32.0,catalog-supported,dev-mode;default;ha-raft-ui,pass,local-kind-observed,blocked,cluster RBAC review;extension slot provenance and scan policy;scan/gate warning disposition;storage backup restore and rollback policy;target fact preflight;webhook readiness and failure policy,cluster RBAC review;extension slot provenance and scan policy;scan/gate warning disposition;storage backup restore and rollback policy;webhook readiness and failure policy,target fact preflight,data/production-disposition/receipts/hashicorp-vault/cluster-rbac-review.yaml;data/production-disposition/receipts/hashicorp-vault/extension-slot-provenance-and-scan-policy.yaml;data/production-disposition/receipts/hashicorp-vault/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/hashicorp-vault/storage-backup-restore-and-rollback-policy.yaml;data/production-disposition/receipts/hashicorp-vault/webhook-readiness-and-failure-policy.yaml,0,none,,write or fix the receipt for target fact preflight,recipes/hashicorp/vault/0.32.0,packages/hashicorp/vault/0.32.0,runs/vault-confighub-proof/latest/confighub-proof-receipt.yaml,runs/top20-local-kind/vault-default/observation-receipt.json;runs/top20-local-kind/vault-dev-mode/observation-receipt.json
ingress-nginx/ingress-nginx,4.15.1,catalog-supported,default;admission-disabled;internal-clusterip,pass,local-kind-observed,production-review-ready,cluster RBAC review;hook and lifecycle phase policy;scan/gate warning disposition;target fact preflight;webhook readiness and failure policy,cluster RBAC review;hook and lifecycle phase policy;scan/gate warning disposition;target fact preflight;webhook readiness and failure policy,,data/production-disposition/receipts/ingress-nginx-ingress-nginx/cluster-rbac-review.yaml;data/production-disposition/receipts/ingress-nginx-ingress-nginx/hook-and-lifecycle-phase-policy.yaml;data/production-disposition/receipts/ingress-nginx-ingress-nginx/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/ingress-nginx-ingress-nginx/target-fact-preflight.yaml;data/production-disposition/receipts/ingress-nginx-ingress-nginx/webhook-readiness-and-failure-policy.yaml,0,recipe-hook-policy:no-hooks,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/ingress-nginx/ingress-nginx/4.15.1,packages/ingress-nginx/ingress-nginx/4.15.1,runs/ingress-nginx-confighub-proof/latest/confighub-proof-receipt.yaml,runs/top20-local-kind/ingress-nginx-admission-disabled/observation-receipt.json;runs/top20-local-kind/ingress-nginx-internal-clusterip/observation-receipt.json
jetstack/cert-manager,v1.20.2,catalog-supported,default;crds-enabled,pass,local-kind-observed,production-review-ready,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;hook and lifecycle phase policy;scan/gate warning disposition;webhook readiness and failure policy,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;hook and lifecycle phase policy;scan/gate warning disposition;webhook readiness and failure policy,,data/production-disposition/receipts/jetstack-cert-manager/crd-lifecycle-and-upgrade-policy.yaml;data/production-disposition/receipts/jetstack-cert-manager/cluster-rbac-review.yaml;data/production-disposition/receipts/jetstack-cert-manager/extension-slot-provenance-and-scan-policy.yaml;data/production-disposition/receipts/jetstack-cert-manager/hook-and-lifecycle-phase-policy.yaml;data/production-disposition/receipts/jetstack-cert-manager/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/jetstack-cert-manager/webhook-readiness-and-failure-policy.yaml,0,recipe-hook-policy:no-hooks;lifecycle-observations:2/2,runs/lifecycle-observations/cert-manager-eso/jetstack-cert-manager-default/receipt.yaml;runs/lifecycle-observations/cert-manager-eso/jetstack-cert-manager-crds-enabled/receipt.yaml,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/jetstack/cert-manager/v1.20.2,packages/jetstack/cert-manager/v1.20.2,runs/cert-manager-confighub-proof/latest/confighub-proof-receipt.yaml,runs/top20-local-kind/cert-manager-crds-enabled/observation-receipt.json
longhorn/longhorn,1.11.2,catalog-supported,default;ui-ingress,pass,local-kind-observed,production-review-ready,CRD lifecycle and upgrade policy;cluster RBAC review;hook and lifecycle phase policy;scan/gate warning disposition;webhook readiness and failure policy,CRD lifecycle and upgrade policy;cluster RBAC review;hook and lifecycle phase policy;scan/gate warning disposition;webhook readiness and failure policy,,data/production-disposition/receipts/longhorn-longhorn/crd-lifecycle-and-upgrade-policy.yaml;data/production-disposition/receipts/longhorn-longhorn/cluster-rbac-review.yaml;data/production-disposition/receipts/longhorn-longhorn/hook-and-lifecycle-phase-policy.yaml;data/production-disposition/receipts/longhorn-longhorn/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/longhorn-longhorn/webhook-readiness-and-failure-policy.yaml,0,recipe-hook-policy:no-hooks,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/longhorn/longhorn/1.11.2,packages/longhorn/longhorn/1.11.2,runs/longhorn-confighub-proof/latest/confighub-proof-receipt.yaml,runs/top20-local-kind/longhorn-default/observation-receipt.json
metrics-server/metrics-server,3.13.0,catalog-supported,default;external-tls-ca,pass,local-kind-observed,production-review-ready,cluster RBAC review;generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;target fact preflight,cluster RBAC review;generated fact ownership;hook and lifecycle phase policy;scan/gate warning disposition;target fact preflight,,data/production-disposition/receipts/metrics-server-metrics-server/cluster-rbac-review.yaml;data/production-disposition/receipts/metrics-server-metrics-server/generated-fact-ownership.yaml;data/production-disposition/receipts/metrics-server-metrics-server/hook-lifecycle-phase-policy.yaml;data/production-disposition/receipts/metrics-server-metrics-server/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/metrics-server-metrics-server/target-fact-preflight.yaml,0,recipe-hook-policy:no-hooks,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/metrics-server/metrics-server/3.13.0,packages/metrics-server/metrics-server/3.13.0,runs/metrics-server-confighub-proof/latest/confighub-proof-receipt.yaml,runs/top20-local-kind/metrics-server-default/observation-receipt.json
prometheus-community/kube-prometheus-stack,85.3.3,catalog-supported,default;no-crds,pass,local-kind-observed,production-review-ready,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;generated fact ownership;scan/gate warning disposition;target fact preflight;webhook readiness and failure policy,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;generated fact ownership;scan/gate warning disposition;target fact preflight;webhook readiness and failure policy,,data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/crd-lifecycle-and-upgrade-policy.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/cluster-rbac-review.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/extension-slot-provenance-and-scan-policy.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/generated-fact-ownership.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/scan-gate-warning-disposition.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/target-fact-preflight.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/webhook-readiness-and-failure-policy.yaml,2,source-hooks:2,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/prometheus-community/kube-prometheus-stack/85.3.3,packages/prometheus-community/kube-prometheus-stack/85.3.3,runs/latest-top20-refresh/kube-prometheus-stack-86.1.0/confighub-proof/latest/confighub-proof-receipt.yaml,runs/latest-top20-refresh/kube-prometheus-stack-86.1.0/local-kind/observation-receipt.json;runs/top20-local-kind/kube-prometheus-stack-default/observation-receipt.json
prometheus-community/prometheus,29.8.0,catalog-supported,default;server-only-ephemeral,pass,local-kind-observed,production-review-ready,cluster RBAC review;extension slot provenance and scan policy;scan/gate warning disposition,cluster RBAC review;extension slot provenance and scan policy;scan/gate warning disposition,,data/production-disposition/receipts/prometheus-community-prometheus/cluster-rbac-review.yaml;data/production-disposition/receipts/prometheus-community-prometheus/extension-slot-provenance-and-scan-policy.yaml;data/production-disposition/receipts/prometheus-community-prometheus/scan-gate-warning-disposition.yaml,0,none,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/prometheus-community/prometheus/29.8.0,packages/prometheus-community/prometheus/29.8.0,runs/prometheus-confighub-proof/latest/confighub-proof-receipt.yaml,runs/latest-top20-refresh/prometheus-29.9.0/local-kind/observation-receipt.json;runs/top20-local-kind/prometheus-server-only-ephemeral/observation-receipt.json
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,catalog-supported,default;sync-secret-rotation,pass,local-kind-observed,production-review-ready,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;scan/gate warning disposition,CRD lifecycle and upgrade policy;cluster RBAC review;extension slot provenance and scan policy;scan/gate warning disposition,,data/production-disposition/receipts/secrets-store-csi-driver-secrets-store-csi-driver/crd-lifecycle-and-upgrade-policy.yaml;data/production-disposition/receipts/secrets-store-csi-driver-secrets-store-csi-driver/cluster-rbac-review.yaml;data/production-disposition/receipts/secrets-store-csi-driver-secrets-store-csi-driver/extension-slot-provenance-and-scan-policy.yaml;data/production-disposition/receipts/secrets-store-csi-driver-secrets-store-csi-driver/scan-gate-warning-disposition.yaml,0,none,,record final target-scoped support decision and refresh live/e2e evidence for that scope,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0,packages/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0,runs/secrets-store-csi-driver-confighub-proof/latest/confighub-proof-receipt.yaml,runs/top20-local-kind/secrets-store-csi-driver-default/observation-receipt.json
