priority,priority_score,source_rank,chart,source_version,modeled_version,catalog_status,proof_surface,open_quirks,top_quirk,top_quirk_detail,candidate_route,candidate_route_artifact,first_action,next_artifact,why_it_matters,source_evidence,model_gap
P0,42,26,apache-airflow/airflow,1.21.0,,not-in-modeled-top100,,remote-dependencies;non-exact-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,2 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",airflow/charts/postgresql/charts/common/templates/_capabilities.tpl;airflow/charts/postgresql/charts/common/templates/_ingress.tpl;airflow/templates/NOTES.txt;airflow/templates/configmaps/configmap.yaml,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;files-get;lookup;stateful-storage
P0,42,29,nextcloud/nextcloud,9.1.0,,not-in-modeled-top100,,remote-dependencies;non-exact-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,7 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",nextcloud/charts/mariadb/charts/common/templates/_capabilities.tpl;nextcloud/charts/postgresql/charts/common/templates/_capabilities.tpl;nextcloud/charts/postgresql/charts/common/templates/_ingress.tpl;nextcloud/charts/collabora-online/templates/configmap_grafana_dashboards.yaml,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;files-get;lookup;stateful-storage
P0,42,39,gitea/gitea,12.6.0,,not-in-modeled-top100,,remote-dependencies;non-exact-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,8 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",gitea/charts/postgresql/charts/common/templates/_capabilities.tpl;gitea/charts/postgresql-ha/charts/common/templates/_capabilities.tpl;gitea/charts/valkey/charts/common/templates/_capabilities.tpl;gitea/templates/gitea/config.yaml,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;files-get;lookup;stateful-storage
P0,41,20,bitnami/rabbitmq,16.0.14,16.0.14,catalog-supported,top20-catalog-supported,remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,1 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",rabbitmq/charts/common/templates/_capabilities.tpl;rabbitmq/templates/svc-headless.yaml;rabbitmq/charts/common/templates/_secrets.tpl;rabbitmq/templates/ingress-tls-secrets.yaml,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;lookup;stateful-storage
P0,41,24,bitnami/mysql,14.0.3,14.0.3,catalog-supported,top20-catalog-supported,remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,1 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",mysql/charts/common/templates/_capabilities.tpl;mysql/charts/common/templates/_secrets.tpl;mysql/templates/tls-secret.yaml;mysql/templates/primary/statefulset.yaml,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;lookup;stateful-storage
P0,41,25,bitnami/external-dns,9.0.3,,not-in-modeled-top100,,remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;crds,remote-dependencies,1 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",external-dns/charts/common/templates/_capabilities.tpl;external-dns/charts/common/templates/_secrets.tpl;external-dns/templates/secret.yaml;external-dns/templates/tls-secret.yaml,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;lookup
P0,40,5,prometheus-community/prometheus,29.8.0,29.8.0,catalog-supported,top20-catalog-supported,remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;capabilities;required-or-fail;stateful-storage,remote-dependencies,4 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",prometheus/charts/prometheus-node-exporter/templates/daemonset.yaml;prometheus/templates/deploy.yaml;prometheus/charts/kube-state-metrics/templates/NOTES.txt;prometheus/charts/prometheus-node-exporter/templates/NOTES.txt,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;stateful-storage
P0,40,8,traefik/traefik,40.2.0,40.2.0,proof-grade,next80-proof-grade,semver-compare;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,semver-compare,27 semverCompare call site(s),,,promote version-conditional rendering into chart facts and variant-path coverage,chart facts axis plus capability/version matrix row,"version-conditional templates can change rendered objects under a different Kubernetes, chart, or dependency version.",traefik/templates/NOTES.txt;traefik/templates/_helpers.tpl;traefik/templates/deployment.yaml;traefik/templates/_helpers.tpl,source signal not fully modeled: semver-compare;lookup;webhooks;stateful-storage
P0,40,72,grafana/mimir-distributed,6.1.0-weekly.394,,not-in-modeled-top100,,remote-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,remote-dependencies,3 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",mimir-distributed/charts/minio/templates/_helpers.tpl;mimir-distributed/charts/minio/templates/console-ingress.yaml;mimir-distributed/charts/minio/templates/ingress.yaml;mimir-distributed/templates/metamonitoring/grafana-dashboards.yaml,source signal not fully modeled: remote-dependencies;semver-compare;files-get;lookup;webhooks;stateful-storage
P0,39,6,bitnami/redis,25.5.3,25.5.3,catalog-supported,top20-catalog-supported,remote-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,1 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",redis/charts/common/templates/_capabilities.tpl;redis/charts/common/templates/_secrets.tpl;redis/templates/tls-secret.yaml;redis/templates/scripts-configmap.yaml,source signal not fully modeled: remote-dependencies;semver-compare;lookup;stateful-storage
P0,39,7,bitnami/postgresql,18.6.7,18.6.7,catalog-supported,top20-catalog-supported,remote-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,1 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",postgresql/charts/common/templates/_capabilities.tpl;postgresql/charts/common/templates/_secrets.tpl;postgresql/templates/secrets.yaml;postgresql/templates/tls-secrets.yaml,source signal not fully modeled: remote-dependencies;semver-compare;lookup;stateful-storage
P0,35,17,external-secrets-operator/external-secrets,2.5.0,,not-in-modeled-top100,,remote-dependencies;semver-compare;files-get;capabilities;required-or-fail;webhooks;crds,remote-dependencies,1 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",external-secrets/templates/cert-controller-deployment.yaml;external-secrets/templates/deployment.yaml;external-secrets/templates/webhook-deployment.yaml;external-secrets/templates/grafana-dashboard.yaml,source signal not fully modeled: remote-dependencies;semver-compare;files-get;webhooks
P0,35,66,bitnami/elasticsearch,22.1.6,22.1.6,proof-grade,next80-proof-grade,remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,3 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",elasticsearch/charts/common/templates/_capabilities.tpl;elasticsearch/charts/kibana/charts/common/templates/_capabilities.tpl;elasticsearch/charts/common/templates/_secrets.tpl;elasticsearch/charts/kibana/charts/common/templates/_secrets.tpl,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;lookup;stateful-storage
P0,35,76,bitnami/redis-cluster,13.0.4,,not-in-modeled-top100,,remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,1 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",redis-cluster/charts/common/templates/_capabilities.tpl;redis-cluster/charts/common/templates/_secrets.tpl;redis-cluster/templates/_helpers.tpl;redis-cluster/templates/tls-secret.yaml,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;lookup;stateful-storage
P0,35,85,bitnami/postgresql-ha,16.3.2,,not-in-modeled-top100,,remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,1 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",postgresql-ha/charts/common/templates/_capabilities.tpl;postgresql-ha/charts/common/templates/_secrets.tpl;postgresql-ha/templates/_helpers.tpl;postgresql-ha/templates/tls-secrets.yaml,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;lookup;stateful-storage
P0,35,86,renovate/renovate,46.168.0,,not-in-modeled-top100,,remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,1 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",renovate/charts/common/templates/_capabilities.tpl;renovate/charts/common/templates/_secrets.tpl,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;lookup;stateful-storage
P0,35,90,falcosecurity/falco,8.0.5,9.0.0,proof-grade,next80-proof-grade,remote-dependencies;non-exact-dependencies;semver-compare;files-get;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,3 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",falco/charts/falco-talon/templates/_helpers.tpl;falco/charts/falcosidekick/templates/_helpers.tpl;falco/charts/falco-talon/templates/configmap-grafana-dashboard.yaml;falco/charts/falco-talon/templates/configmap.yaml,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;files-get;lookup;stateful-storage
P0,35,91,superset/superset,0.15.5,,not-in-modeled-top100,,remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,4 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",superset/charts/postgresql/charts/common/templates/_capabilities.tpl;superset/charts/redis/charts/common/templates/_capabilities.tpl;superset/charts/redis/charts/common/templates/_ingress.tpl;superset/charts/postgresql/charts/common/templates/_secrets.tpl,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;lookup;stateful-storage
P0,35,96,bitnami/metallb,6.4.22,,not-in-modeled-top100,,remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities;webhooks;crds,remote-dependencies,1 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",metallb/charts/common/templates/_capabilities.tpl;metallb/charts/common/templates/_secrets.tpl;metallb/templates/NOTES.txt,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;lookup;webhooks
P1,34,22,aws/aws-load-balancer-controller,3.3.0,,not-in-modeled-top100,,semver-compare;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds,semver-compare,1 semverCompare call site(s),,,promote version-conditional rendering into chart facts and variant-path coverage,chart facts axis plus capability/version matrix row,"version-conditional templates can change rendered objects under a different Kubernetes, chart, or dependency version.",aws-load-balancer-controller/templates/hpa.yaml;aws-load-balancer-controller/templates/_helpers.tpl;aws-load-balancer-controller/templates/_helpers.tpl,source signal not fully modeled: semver-compare;lookup;webhooks
P0,34,71,bitnami/metrics-server,7.4.12,,not-in-modeled-top100,,apiservice;remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities,apiservice,1 APIService object(s),,,add an APIService readiness model and runtime observation route,chart facts axis plus lifecycle observation receipt,APIService aggregation can pass render parity while failing at API aggregation or TLS/runtime readiness.,metrics-server/charts/common/templates/_capabilities.tpl,source signal not fully modeled: apiservice;remote-dependencies;non-exact-dependencies;semver-compare;lookup
P0,33,28,bitnami/mongodb,19.0.3,19.0.7,catalog-supported,top20-catalog-supported,remote-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,1 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",mongodb/charts/common/templates/_capabilities.tpl;mongodb/charts/common/templates/_secrets.tpl;mongodb/templates/secrets.yaml;mongodb/templates/mcp/ingress-tls-secret.yaml,source signal not fully modeled: remote-dependencies;semver-compare;lookup;stateful-storage
P0,33,46,oauth2-proxy/oauth2-proxy,10.6.0,,not-in-modeled-top100,,remote-dependencies;semver-compare;files-get;generated-facts;capabilities;required-or-fail;stateful-storage,remote-dependencies,1 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",oauth2-proxy/charts/redis-ha/templates/redis-ha-announce-service.yaml;oauth2-proxy/templates/_capabilities.tpl;oauth2-proxy/templates/_ingress.tpl;oauth2-proxy/charts/redis-ha/templates/redis-tls-secret.yaml,source signal not fully modeled: remote-dependencies;semver-compare;files-get;stateful-storage
P0,33,47,bitnami/wordpress,31.0.0,,not-in-modeled-top100,,remote-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,5 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",wordpress/charts/common/templates/_capabilities.tpl;wordpress/charts/mariadb/charts/common/templates/_capabilities.tpl;wordpress/charts/memcached/charts/common/templates/_capabilities.tpl;wordpress/charts/common/templates/_secrets.tpl,source signal not fully modeled: remote-dependencies;semver-compare;lookup;stateful-storage
P0,33,49,goauthentik/authentik,2026.5.0,,not-in-modeled-top100,,remote-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies,3 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",authentik/charts/postgresql/charts/common/templates/_capabilities.tpl;authentik/charts/postgresql/charts/common/templates/_secrets.tpl;authentik/charts/postgresql/templates/secrets.yaml;authentik/charts/postgresql/templates/tls-secrets.yaml,source signal not fully modeled: remote-dependencies;semver-compare;lookup;stateful-storage
P0,33,75,argo-cd-oci/argo-cd,9.5.15,,not-in-modeled-top100,,remote-dependencies;semver-compare;files-get;generated-facts;capabilities;required-or-fail;crds;stateful-storage,remote-dependencies,1 remote dependency repo(s),,,model remote dependency closure in chart facts and source/dependency lock evidence,dependency closure facts plus refresh-survival check,"remote subcharts can change provenance, hooks, CRDs, RBAC, and rendered objects outside the parent chart.",argo-cd/charts/redis-ha/templates/redis-ha-announce-service.yaml;argo-cd/charts/redis-ha/templates/redis-tls-secret.yaml;argo-cd/charts/redis-ha/templates/_configs.tpl;argo-cd/templates/argocd-configs/argocd-secret.yaml,source signal not fully modeled: remote-dependencies;semver-compare;files-get;stateful-storage
P1,32,31,cilium/cilium,1.20.0-pre.2,,not-in-modeled-top100,,semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,semver-compare,33 semverCompare call site(s),,,promote version-conditional rendering into chart facts and variant-path coverage,chart facts axis plus capability/version matrix row,"version-conditional templates can change rendered objects under a different Kubernetes, chart, or dependency version.",cilium/templates/_helpers.tpl;cilium/templates/cilium-agent/daemonset.yaml;cilium/templates/cilium-configmap.yaml;cilium/templates/cilium-agent/daemonset.yaml,source signal not fully modeled: semver-compare;files-get;lookup;stateful-storage
P1,32,50,bitnami-labs/sealed-secrets,2.18.6,,not-in-modeled-top100,,semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;crds,semver-compare,8 semverCompare call site(s),,,promote version-conditional rendering into chart facts and variant-path coverage,chart facts axis plus capability/version matrix row,"version-conditional templates can change rendered objects under a different Kubernetes, chart, or dependency version.",sealed-secrets/templates/_helpers.tpl;sealed-secrets/templates/configmap-dashboards.yaml;sealed-secrets/templates/tls-secret.yaml;sealed-secrets/templates/NOTES.txt,source signal not fully modeled: semver-compare;files-get;lookup
