chart,version,chart_ref,bucket,catalog_tier,coverage_status,coverage_percent,next_action,owner,a_pinned_version,a_evidence,b_named_base_variant,b_evidence,c_render_parity_receipt,c_evidence,d_pain_and_quirks,d_evidence,e_facts_declared,e_evidence,f_scan_and_disposition,f_evidence,g_live_witness_or_route,g_evidence,h_catalog_and_site,h_evidence
grafana/tempo,1.24.4,grafana/tempo@1.24.4,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/grafana/tempo/1.24.4/source-lock.yaml,pass,recipes/grafana/tempo/1.24.4/CATALOG.md,pass,recipes/grafana/tempo/1.24.4/revisions/local-persistent/r001/variant-revision.yaml,pass,recipes/grafana/tempo/1.24.4/helm-pain-report.yaml;recipes/grafana/tempo/1.24.4/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/grafana/tempo/1.24.4/control-points.yaml;recipes/grafana/tempo/1.24.4/value-model.yaml;recipes/grafana/tempo/1.24.4/helm-plan.yaml,pass,recipes/grafana/tempo/1.24.4/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/grafana/tempo/1.24.4/CATALOG.md;site/catalog.json
hashicorp/consul,2.0.0,hashicorp/consul@2.0.0,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/hashicorp/consul/2.0.0/source-lock.yaml,pass,recipes/hashicorp/consul/2.0.0/CATALOG.md,pass,recipes/hashicorp/consul/2.0.0/revisions/default-control-plane/r001/variant-revision.yaml,pass,recipes/hashicorp/consul/2.0.0/helm-pain-report.yaml;recipes/hashicorp/consul/2.0.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/hashicorp/consul/2.0.0/control-points.yaml;recipes/hashicorp/consul/2.0.0/value-model.yaml;recipes/hashicorp/consul/2.0.0/helm-plan.yaml,pass,recipes/hashicorp/consul/2.0.0/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/hashicorp/consul/2.0.0/CATALOG.md;site/catalog.json
hashicorp/vault,0.32.0,hashicorp/vault@0.32.0,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/hashicorp/vault/0.32.0/source-lock.yaml,pass,recipes/hashicorp/vault/0.32.0/CATALOG.md,pass,recipes/hashicorp/vault/0.32.0/revisions/default/r001/variant-revision.yaml,pass,recipes/hashicorp/vault/0.32.0/helm-pain-report.yaml;recipes/hashicorp/vault/0.32.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/hashicorp/vault/0.32.0/control-points.yaml;recipes/hashicorp/vault/0.32.0/value-model.yaml;recipes/hashicorp/vault/0.32.0/helm-plan.yaml,pass,recipes/hashicorp/vault/0.32.0/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/hashicorp/vault/0.32.0/CATALOG.md;site/catalog.json
ingress-nginx/ingress-nginx,4.15.1,ingress-nginx/ingress-nginx@4.15.1,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/ingress-nginx/ingress-nginx/4.15.1/source-lock.yaml,pass,recipes/ingress-nginx/ingress-nginx/4.15.1/CATALOG.md,pass,recipes/ingress-nginx/ingress-nginx/4.15.1/revisions/admission-disabled/r001/variant-revision.yaml,pass,recipes/ingress-nginx/ingress-nginx/4.15.1/helm-pain-report.yaml;recipes/ingress-nginx/ingress-nginx/4.15.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/ingress-nginx/ingress-nginx/4.15.1/control-points.yaml;recipes/ingress-nginx/ingress-nginx/4.15.1/value-model.yaml;recipes/ingress-nginx/ingress-nginx/4.15.1/helm-plan.yaml,pass,recipes/ingress-nginx/ingress-nginx/4.15.1/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/ingress-nginx/ingress-nginx/4.15.1/CATALOG.md;site/catalog.json
jetstack/cert-manager,v1.20.2,jetstack/cert-manager@v1.20.2,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/jetstack/cert-manager/v1.20.2/source-lock.yaml,pass,recipes/jetstack/cert-manager/v1.20.2/CATALOG.md,pass,recipes/jetstack/cert-manager/v1.20.2/revisions/crds-enabled/r001/variant-revision.yaml,pass,recipes/jetstack/cert-manager/v1.20.2/helm-pain-report.yaml;recipes/jetstack/cert-manager/v1.20.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/jetstack/cert-manager/v1.20.2/control-points.yaml;recipes/jetstack/cert-manager/v1.20.2/value-model.yaml;recipes/jetstack/cert-manager/v1.20.2/helm-plan.yaml,pass,recipes/jetstack/cert-manager/v1.20.2/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/jetstack/cert-manager/v1.20.2/CATALOG.md;site/catalog.json
longhorn/longhorn,1.11.2,longhorn/longhorn@1.11.2,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/longhorn/longhorn/1.11.2/source-lock.yaml,pass,recipes/longhorn/longhorn/1.11.2/CATALOG.md,pass,recipes/longhorn/longhorn/1.11.2/revisions/default/r001/variant-revision.yaml,pass,recipes/longhorn/longhorn/1.11.2/helm-pain-report.yaml;recipes/longhorn/longhorn/1.11.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/longhorn/longhorn/1.11.2/control-points.yaml;recipes/longhorn/longhorn/1.11.2/value-model.yaml;recipes/longhorn/longhorn/1.11.2/helm-plan.yaml,pass,recipes/longhorn/longhorn/1.11.2/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/longhorn/longhorn/1.11.2/CATALOG.md;site/catalog.json
metrics-server/metrics-server,3.13.0,metrics-server/metrics-server@3.13.0,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/metrics-server/metrics-server/3.13.0/source-lock.yaml,pass,recipes/metrics-server/metrics-server/3.13.0/CATALOG.md,pass,recipes/metrics-server/metrics-server/3.13.0/revisions/default/r001/variant-revision.yaml,pass,recipes/metrics-server/metrics-server/3.13.0/helm-pain-report.yaml;recipes/metrics-server/metrics-server/3.13.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/metrics-server/metrics-server/3.13.0/control-points.yaml;recipes/metrics-server/metrics-server/3.13.0/value-model.yaml;recipes/metrics-server/metrics-server/3.13.0/helm-plan.yaml,pass,recipes/metrics-server/metrics-server/3.13.0/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/metrics-server/metrics-server/3.13.0/CATALOG.md;site/catalog.json
prometheus-community/kube-prometheus-stack,85.3.3,prometheus-community/kube-prometheus-stack@85.3.3,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/prometheus-community/kube-prometheus-stack/85.3.3/source-lock.yaml,pass,recipes/prometheus-community/kube-prometheus-stack/85.3.3/CATALOG.md,pass,recipes/prometheus-community/kube-prometheus-stack/85.3.3/revisions/default/r001/variant-revision.yaml,pass,recipes/prometheus-community/kube-prometheus-stack/85.3.3/helm-pain-report.yaml;recipes/prometheus-community/kube-prometheus-stack/85.3.3/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/prometheus-community/kube-prometheus-stack/85.3.3/control-points.yaml;recipes/prometheus-community/kube-prometheus-stack/85.3.3/value-model.yaml;recipes/prometheus-community/kube-prometheus-stack/85.3.3/helm-plan.yaml,pass,recipes/prometheus-community/kube-prometheus-stack/85.3.3/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/prometheus-community/kube-prometheus-stack/85.3.3/CATALOG.md;site/catalog.json
prometheus-community/prometheus,29.8.0,prometheus-community/prometheus@29.8.0,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/prometheus-community/prometheus/29.8.0/source-lock.yaml,pass,recipes/prometheus-community/prometheus/29.8.0/CATALOG.md,pass,recipes/prometheus-community/prometheus/29.8.0/revisions/default/r001/variant-revision.yaml,pass,recipes/prometheus-community/prometheus/29.8.0/helm-pain-report.yaml;recipes/prometheus-community/prometheus/29.8.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/prometheus-community/prometheus/29.8.0/control-points.yaml;recipes/prometheus-community/prometheus/29.8.0/value-model.yaml;recipes/prometheus-community/prometheus/29.8.0/helm-plan.yaml,pass,recipes/prometheus-community/prometheus/29.8.0/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/prometheus-community/prometheus/29.8.0/CATALOG.md;site/catalog.json
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,secrets-store-csi-driver/secrets-store-csi-driver@1.6.0,try-from-public-catalog,top20-catalog-supported,covered,100,keep evidence fresh,,pass,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/source-lock.yaml,pass,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/CATALOG.md,pass,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/revisions/default/r001/variant-revision.yaml,pass,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/helm-pain-report.yaml;recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/control-points.yaml;recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/value-model.yaml;recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/helm-plan.yaml,pass,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/publication/installer-package-receipt.yaml;data/production-disposition/summary.md;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/CATALOG.md;site/catalog.json
traefik/traefik,40.2.0,traefik/traefik@40.2.0,promote-after-review,next80-proof-grade,partial,88,run catalog promotion review,,pass,recipes/traefik/traefik/40.2.0/source-lock.yaml,pass,recipes/traefik/traefik/40.2.0/CATALOG.md,pass,recipes/traefik/traefik/40.2.0/revisions/default/r001/variant-revision.yaml,pass,recipes/traefik/traefik/40.2.0/helm-pain-report.yaml;recipes/traefik/traefik/40.2.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/traefik/traefik/40.2.0/control-points.yaml;recipes/traefik/traefik/40.2.0/value-model.yaml;recipes/traefik/traefik/40.2.0/helm-plan.yaml,todo,recipes/traefik/traefik/40.2.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/traefik/traefik/40.2.0/CATALOG.md;site/catalog.json
external-dns/external-dns,1.21.1,external-dns/external-dns@1.21.1,promote-after-review,next80-proof-grade,partial,88,run catalog promotion review,,pass,recipes/external-dns/external-dns/1.21.1/source-lock.yaml,pass,recipes/external-dns/external-dns/1.21.1/CATALOG.md,pass,recipes/external-dns/external-dns/1.21.1/revisions/default/r001/variant-revision.yaml,pass,recipes/external-dns/external-dns/1.21.1/helm-pain-report.yaml;recipes/external-dns/external-dns/1.21.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/external-dns/external-dns/1.21.1/control-points.yaml;recipes/external-dns/external-dns/1.21.1/value-model.yaml;recipes/external-dns/external-dns/1.21.1/helm-plan.yaml,todo,recipes/external-dns/external-dns/1.21.1/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/external-dns/external-dns/1.21.1/CATALOG.md;site/catalog.json
gitlab/gitlab-runner,0.89.0,gitlab/gitlab-runner@0.89.0,needs-useful-variant,next80-proof-grade,partial,75,add at least one user-shaped variant before catalog promotion,,pass,recipes/gitlab/gitlab-runner/0.89.0/source-lock.yaml,pass,recipes/gitlab/gitlab-runner/0.89.0/CATALOG.md,pass,recipes/gitlab/gitlab-runner/0.89.0/revisions/default/r001/variant-revision.yaml,pass,recipes/gitlab/gitlab-runner/0.89.0/helm-pain-report.yaml;recipes/gitlab/gitlab-runner/0.89.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/gitlab/gitlab-runner/0.89.0/control-points.yaml;recipes/gitlab/gitlab-runner/0.89.0/value-model.yaml;recipes/gitlab/gitlab-runner/0.89.0/helm-plan.yaml,todo,recipes/gitlab/gitlab-runner/0.89.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,todo,data/top100-readiness/readiness.csv,pass,recipes/gitlab/gitlab-runner/0.89.0/CATALOG.md;site/catalog.json
kyverno/kyverno,3.8.1,kyverno/kyverno@3.8.1,promote-after-review,next80-proof-grade,partial,88,run catalog promotion review,,pass,recipes/kyverno/kyverno/3.8.1/source-lock.yaml,pass,recipes/kyverno/kyverno/3.8.1/CATALOG.md,pass,recipes/kyverno/kyverno/3.8.1/revisions/default/r001/variant-revision.yaml,pass,recipes/kyverno/kyverno/3.8.1/helm-pain-report.yaml;recipes/kyverno/kyverno/3.8.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/kyverno/kyverno/3.8.1/control-points.yaml;recipes/kyverno/kyverno/3.8.1/value-model.yaml;recipes/kyverno/kyverno/3.8.1/helm-plan.yaml,todo,recipes/kyverno/kyverno/3.8.1/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/kyverno/kyverno/3.8.1/CATALOG.md;site/catalog.json
cloudnative-pg/cloudnative-pg,0.28.2,cloudnative-pg/cloudnative-pg@0.28.2,promote-after-review,next80-proof-grade,partial,88,run catalog promotion review,,pass,recipes/cloudnative-pg/cloudnative-pg/0.28.2/source-lock.yaml,pass,recipes/cloudnative-pg/cloudnative-pg/0.28.2/CATALOG.md,pass,recipes/cloudnative-pg/cloudnative-pg/0.28.2/revisions/default/r001/variant-revision.yaml,pass,recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-pain-report.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/cloudnative-pg/cloudnative-pg/0.28.2/control-points.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/value-model.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-plan.yaml,todo,recipes/cloudnative-pg/cloudnative-pg/0.28.2/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/cloudnative-pg/cloudnative-pg/0.28.2/CATALOG.md;site/catalog.json
