queue,priority,chart,version,chart_ref,bucket,coverage_percent,strongest_evidence,variants,hard_gap,source_features,missing_items,missing_requirements,first_step,done_when,evidence,next_action,owner
promotion-review,2,argo-cd/argo-workflows,1.0.14,argo-cd/argo-workflows@1.0.14,promote-after-review,88,live-helm-vs-confighub-parity,default;controller-default-reviewed;minimal-crds,-,,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/argo-cd/argo-workflows/1.0.14/revisions/controller-default-reviewed/r001/variant-revision.yaml;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/argo-cd/argo-workflows/1.0.14/control-points.yaml;recipes/argo-cd/argo-workflows/1.0.14/value-model.yaml;recipes/argo-cd/argo-workflows/1.0.14/helm-plan.yaml;recipes/argo-cd/argo-workflows/1.0.14/CATALOG.md;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,autoscaler/cluster-autoscaler,9.57.0,autoscaler/cluster-autoscaler@9.57.0,promote-after-review,88,live-helm-vs-confighub-parity,default;controller-default-reviewed,-,,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/autoscaler/cluster-autoscaler/9.57.0/revisions/controller-default-reviewed/r001/variant-revision.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/control-points.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/value-model.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-plan.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/CATALOG.md;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,autoscaler/vertical-pod-autoscaler,0.9.0,autoscaler/vertical-pod-autoscaler@0.9.0,promote-after-review,88,two-cluster-kind-parity,default;no-crds,-,,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/revisions/default/r001/variant-revision.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/helm-pain-report.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/control-points.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/value-model.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/helm-plan.yaml;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/CATALOG.md;recipes/autoscaler/vertical-pod-autoscaler/0.9.0/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,cloudnative-pg/cloudnative-pg,0.28.2,cloudnative-pg/cloudnative-pg@0.28.2,promote-after-review,88,live-helm-vs-confighub-parity,default;no-crds,-,generated-facts;tpl;crds;cluster-rbac;webhooks,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/cloudnative-pg/cloudnative-pg/0.28.2/revisions/default/r001/variant-revision.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-pain-report.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/cloudnative-pg/cloudnative-pg/0.28.2/control-points.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/value-model.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-plan.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/CATALOG.md;recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,elastic/eck-operator,3.4.0,elastic/eck-operator@3.4.0,promote-after-review,88,live-helm-vs-confighub-parity,default;ha;no-crds,-,tpl;capabilities;cluster-rbac;webhooks;stateful-storage,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/elastic/eck-operator/3.4.0/revisions/default/r001/variant-revision.yaml;recipes/elastic/eck-operator/3.4.0/helm-pain-report.yaml;recipes/elastic/eck-operator/3.4.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/elastic/eck-operator/3.4.0/control-points.yaml;recipes/elastic/eck-operator/3.4.0/value-model.yaml;recipes/elastic/eck-operator/3.4.0/helm-plan.yaml;recipes/elastic/eck-operator/3.4.0/CATALOG.md;recipes/elastic/eck-operator/3.4.0/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,elastic/logstash,8.5.1,elastic/logstash@8.5.1,promote-after-review,88,live-helm-vs-confighub-parity,default;ha,-,tpl;capabilities;stateful-storage,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/elastic/logstash/8.5.1/revisions/default/r001/variant-revision.yaml;recipes/elastic/logstash/8.5.1/helm-pain-report.yaml;recipes/elastic/logstash/8.5.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/elastic/logstash/8.5.1/control-points.yaml;recipes/elastic/logstash/8.5.1/value-model.yaml;recipes/elastic/logstash/8.5.1/helm-plan.yaml;recipes/elastic/logstash/8.5.1/CATALOG.md;recipes/elastic/logstash/8.5.1/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,external-dns/external-dns,1.21.1,external-dns/external-dns@1.21.1,promote-after-review,88,live-helm-vs-confighub-parity,default;no-crds;dry-run-txt-registry,-,tpl;crds;cluster-rbac,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/external-dns/external-dns/1.21.1/revisions/default/r001/variant-revision.yaml;recipes/external-dns/external-dns/1.21.1/helm-pain-report.yaml;recipes/external-dns/external-dns/1.21.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/external-dns/external-dns/1.21.1/control-points.yaml;recipes/external-dns/external-dns/1.21.1/value-model.yaml;recipes/external-dns/external-dns/1.21.1/helm-plan.yaml;recipes/external-dns/external-dns/1.21.1/CATALOG.md;recipes/external-dns/external-dns/1.21.1/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,fairwinds-stable/vpa,4.11.0,fairwinds-stable/vpa@4.11.0,promote-after-review,88,live-helm-vs-confighub-parity,default;no-crds,-,lookup;tpl;capabilities;crds;cluster-rbac;webhooks,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/fairwinds-stable/vpa/4.11.0/revisions/default/r001/variant-revision.yaml;recipes/fairwinds-stable/vpa/4.11.0/helm-pain-report.yaml;recipes/fairwinds-stable/vpa/4.11.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/fairwinds-stable/vpa/4.11.0/control-points.yaml;recipes/fairwinds-stable/vpa/4.11.0/value-model.yaml;recipes/fairwinds-stable/vpa/4.11.0/helm-plan.yaml;recipes/fairwinds-stable/vpa/4.11.0/CATALOG.md;recipes/fairwinds-stable/vpa/4.11.0/helm-pain-report.yaml,review APIService render-path notes: current maintained bases do not render APIService objects; create a separate APIService-enabled base only if product chooses that path,
promotion-review,2,gatekeeper/gatekeeper,3.22.2,gatekeeper/gatekeeper@3.22.2,promote-after-review,88,live-helm-vs-confighub-parity,default;no-crds,-,capabilities;hooks;crds;cluster-rbac;webhooks,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/gatekeeper/gatekeeper/3.22.2/revisions/default/r001/variant-revision.yaml;recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml;recipes/gatekeeper/gatekeeper/3.22.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/gatekeeper/gatekeeper/3.22.2/control-points.yaml;recipes/gatekeeper/gatekeeper/3.22.2/value-model.yaml;recipes/gatekeeper/gatekeeper/3.22.2/helm-plan.yaml;recipes/gatekeeper/gatekeeper/3.22.2/CATALOG.md;recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,grafana/alloy,1.8.2,grafana/alloy@1.8.2,promote-after-review,88,live-helm-vs-confighub-parity,default;no-crds,-,tpl;capabilities;crds;cluster-rbac;stateful-storage,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/grafana/alloy/1.8.2/revisions/default/r001/variant-revision.yaml;recipes/grafana/alloy/1.8.2/helm-pain-report.yaml;recipes/grafana/alloy/1.8.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/grafana/alloy/1.8.2/control-points.yaml;recipes/grafana/alloy/1.8.2/value-model.yaml;recipes/grafana/alloy/1.8.2/helm-plan.yaml;recipes/grafana/alloy/1.8.2/CATALOG.md;recipes/grafana/alloy/1.8.2/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,kedacore/keda,2.19.0,kedacore/keda@2.19.0,promote-after-review,88,live-helm-vs-confighub-parity,default;no-crds,-,tpl;capabilities;crds;cluster-rbac;webhooks,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/kedacore/keda/2.19.0/revisions/default/r001/variant-revision.yaml;recipes/kedacore/keda/2.19.0/helm-pain-report.yaml;recipes/kedacore/keda/2.19.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/kedacore/keda/2.19.0/control-points.yaml;recipes/kedacore/keda/2.19.0/value-model.yaml;recipes/kedacore/keda/2.19.0/helm-plan.yaml;recipes/kedacore/keda/2.19.0/CATALOG.md;recipes/kedacore/keda/2.19.0/helm-pain-report.yaml,"run APIService promotion review: choose supported base, target scope, CRD ownership path, and evidence refresh rule using the committed aggregation receipt",
promotion-review,2,nats/nats,2.14.0,nats/nats@2.14.0,promote-after-review,88,live-helm-vs-confighub-parity,default;ha,-,tpl,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/nats/nats/2.14.0/revisions/default/r001/variant-revision.yaml;recipes/nats/nats/2.14.0/helm-pain-report.yaml;recipes/nats/nats/2.14.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/nats/nats/2.14.0/control-points.yaml;recipes/nats/nats/2.14.0/value-model.yaml;recipes/nats/nats/2.14.0/helm-plan.yaml;recipes/nats/nats/2.14.0/CATALOG.md;recipes/nats/nats/2.14.0/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,open-telemetry/opentelemetry-operator,0.114.0,open-telemetry/opentelemetry-operator@0.114.0,promote-after-review,88,two-cluster-kind-parity,default;no-crds,-,,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/open-telemetry/opentelemetry-operator/0.114.0/revisions/default/r001/variant-revision.yaml;recipes/open-telemetry/opentelemetry-operator/0.114.0/helm-pain-report.yaml;recipes/open-telemetry/opentelemetry-operator/0.114.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/open-telemetry/opentelemetry-operator/0.114.0/control-points.yaml;recipes/open-telemetry/opentelemetry-operator/0.114.0/value-model.yaml;recipes/open-telemetry/opentelemetry-operator/0.114.0/helm-plan.yaml;recipes/open-telemetry/opentelemetry-operator/0.114.0/CATALOG.md;recipes/open-telemetry/opentelemetry-operator/0.114.0/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,percona/pg-operator,3.0.0,percona/pg-operator@3.0.0,promote-after-review,88,live-helm-vs-confighub-parity,default;no-crds,-,,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/percona/pg-operator/3.0.0/revisions/default/r001/variant-revision.yaml;recipes/percona/pg-operator/3.0.0/helm-pain-report.yaml;recipes/percona/pg-operator/3.0.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/percona/pg-operator/3.0.0/control-points.yaml;recipes/percona/pg-operator/3.0.0/value-model.yaml;recipes/percona/pg-operator/3.0.0/helm-plan.yaml;recipes/percona/pg-operator/3.0.0/CATALOG.md;recipes/percona/pg-operator/3.0.0/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,percona/psmdb-operator,1.22.0,percona/psmdb-operator@1.22.0,promote-after-review,88,live-helm-vs-confighub-parity,default;no-crds,-,,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/percona/psmdb-operator/1.22.0/revisions/default/r001/variant-revision.yaml;recipes/percona/psmdb-operator/1.22.0/helm-pain-report.yaml;recipes/percona/psmdb-operator/1.22.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/percona/psmdb-operator/1.22.0/control-points.yaml;recipes/percona/psmdb-operator/1.22.0/value-model.yaml;recipes/percona/psmdb-operator/1.22.0/helm-plan.yaml;recipes/percona/psmdb-operator/1.22.0/CATALOG.md;recipes/percona/psmdb-operator/1.22.0/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,percona/pxc-operator,1.19.1,percona/pxc-operator@1.19.1,promote-after-review,88,live-helm-vs-confighub-parity,default;no-crds,-,lookup;crds;cluster-rbac,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/percona/pxc-operator/1.19.1/revisions/default/r001/variant-revision.yaml;recipes/percona/pxc-operator/1.19.1/helm-pain-report.yaml;recipes/percona/pxc-operator/1.19.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/percona/pxc-operator/1.19.1/control-points.yaml;recipes/percona/pxc-operator/1.19.1/value-model.yaml;recipes/percona/pxc-operator/1.19.1/helm-plan.yaml;recipes/percona/pxc-operator/1.19.1/CATALOG.md;recipes/percona/pxc-operator/1.19.1/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,prometheus-community/alertmanager,1.37.0,prometheus-community/alertmanager@1.37.0,promote-after-review,88,live-helm-vs-confighub-parity,default;ha,-,tpl;stateful-storage,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/prometheus-community/alertmanager/1.37.0/revisions/default/r001/variant-revision.yaml;recipes/prometheus-community/alertmanager/1.37.0/helm-pain-report.yaml;recipes/prometheus-community/alertmanager/1.37.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/prometheus-community/alertmanager/1.37.0/control-points.yaml;recipes/prometheus-community/alertmanager/1.37.0/value-model.yaml;recipes/prometheus-community/alertmanager/1.37.0/helm-plan.yaml;recipes/prometheus-community/alertmanager/1.37.0/CATALOG.md;recipes/prometheus-community/alertmanager/1.37.0/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,prometheus-community/kube-state-metrics,7.4.0,prometheus-community/kube-state-metrics@7.4.0,promote-after-review,88,live-helm-vs-confighub-parity,default;cluster-metrics-readonly,-,generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/prometheus-community/kube-state-metrics/7.4.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml;recipes/prometheus-community/kube-state-metrics/7.4.0/helm-pain-report.yaml;recipes/prometheus-community/kube-state-metrics/7.4.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/prometheus-community/kube-state-metrics/7.4.0/control-points.yaml;recipes/prometheus-community/kube-state-metrics/7.4.0/value-model.yaml;recipes/prometheus-community/kube-state-metrics/7.4.0/helm-plan.yaml;recipes/prometheus-community/kube-state-metrics/7.4.0/CATALOG.md;recipes/prometheus-community/kube-state-metrics/7.4.0/helm-pain-report.yaml,run catalog promotion review,
promotion-review,2,prometheus-community/prometheus-blackbox-exporter,11.10.0,prometheus-community/prometheus-blackbox-exporter@11.10.0,promote-after-review,88,live-helm-vs-confighub-parity,default;cluster-metrics-readonly,-,tpl;capabilities,f,scan and production disposition,"run catalog promotion review, choose one supported base, then add selected live evidence",scan/disposition evidence exists and at least one selected base has live witness or routed deferral,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml;recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/helm-pain-report.yaml;recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/control-points.yaml;recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/value-model.yaml;recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/helm-plan.yaml;recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/CATALOG.md;recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/helm-pain-report.yaml,run catalog promotion review,
