component,category,cluster,environment,cluster_type,selected_version,desired_version,observed_version,version_state,presence,delivery_state,argo_sync_state,health_state,readiness_result,readiness_ready,readiness_desired,workload_state,proof_status,departure_id,departure_reason,unknown_reason,declared_overrides,render_object_count,render_sha256,evidence_scope,evidence
traefik,platform-component,hx-app-staging,staging,spoke,traefik/traefik@41.0.2,41.0.2,Unknown,selected-not-observed,rendered-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,examples/kubara/current-platform/source/overrides/hx-app-staging/helm/traefik/values-kind.yaml,32,3ebec65bab14e1f48da29496d979c7463741f2e6f2697e46752a582d6d77633c,committed current effective render only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-staging/traefik.yaml;data/kubara-effective-renders/current-platform/receipt.yaml
traefik,platform-component,hx-app-prod-a,prod,spoke,traefik/traefik@41.0.2,41.0.2,Unknown,selected-not-observed,rendered-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,examples/kubara/current-platform/source/overrides/hx-app-prod-a/helm/traefik/values-kind.yaml,32,f3f494ffb978b154e083493974f39221f32ce5ec047f3e4caaced3d3310e3d81,committed current effective render only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-prod-a/traefik.yaml;data/kubara-effective-renders/current-platform/receipt.yaml
traefik,platform-component,hx-app-prod-b,prod,spoke,traefik/traefik@41.0.2,41.0.2,Unknown,selected-not-observed,rendered-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,examples/kubara/current-platform/source/overrides/hx-app-prod-b/helm/traefik/values-kind.yaml,32,9d5ce0593524ae3e9b2aaf99ec8fddf4a8c57332b9a07bff91f24456a034a4a1,committed current effective render only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-prod-b/traefik.yaml;data/kubara-effective-renders/current-platform/receipt.yaml
hx-web,application,hx-app-dev,dev,hub,nginx@sha256:6784fb0834aa7dbbe12e3d7471e69c290df3e6ba810dc38b34ae33d3c1c05f7d,digest-pinned fixture,Unknown,selected-not-observed,application-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,,5,,committed digest-pinned application fixture only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;examples/kubara/current-platform/apps/source-lock.yaml;examples/kubara/current-platform/apps/hx-web/base/deployment.yaml;examples/kubara/current-platform/apps/hx-web/base/namespace.yaml;examples/kubara/current-platform/apps/hx-web/base/service.yaml;examples/kubara/current-platform/apps/hx-web/platform/certificate.yaml;examples/kubara/current-platform/apps/hx-web/platform/ingress.yaml
hx-web,application,hx-app-staging,staging,spoke,nginx@sha256:6784fb0834aa7dbbe12e3d7471e69c290df3e6ba810dc38b34ae33d3c1c05f7d,digest-pinned fixture,Unknown,selected-not-observed,application-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,,5,,committed digest-pinned application fixture only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;examples/kubara/current-platform/apps/source-lock.yaml;examples/kubara/current-platform/apps/hx-web/base/deployment.yaml;examples/kubara/current-platform/apps/hx-web/base/namespace.yaml;examples/kubara/current-platform/apps/hx-web/base/service.yaml;examples/kubara/current-platform/apps/hx-web/platform/certificate.yaml;examples/kubara/current-platform/apps/hx-web/platform/ingress.yaml
hx-web,application,hx-app-prod-a,prod,spoke,nginx@sha256:6784fb0834aa7dbbe12e3d7471e69c290df3e6ba810dc38b34ae33d3c1c05f7d,digest-pinned fixture,Unknown,selected-not-observed,application-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,,5,,committed digest-pinned application fixture only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;examples/kubara/current-platform/apps/source-lock.yaml;examples/kubara/current-platform/apps/hx-web/base/deployment.yaml;examples/kubara/current-platform/apps/hx-web/base/namespace.yaml;examples/kubara/current-platform/apps/hx-web/base/service.yaml;examples/kubara/current-platform/apps/hx-web/platform/certificate.yaml;examples/kubara/current-platform/apps/hx-web/platform/ingress.yaml
hx-web,application,hx-app-prod-b,prod,spoke,nginx@sha256:6784fb0834aa7dbbe12e3d7471e69c290df3e6ba810dc38b34ae33d3c1c05f7d,digest-pinned fixture,Unknown,selected-not-observed,application-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,,5,,committed digest-pinned application fixture only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;examples/kubara/current-platform/apps/source-lock.yaml;examples/kubara/current-platform/apps/hx-web/base/deployment.yaml;examples/kubara/current-platform/apps/hx-web/base/namespace.yaml;examples/kubara/current-platform/apps/hx-web/base/service.yaml;examples/kubara/current-platform/apps/hx-web/platform/certificate.yaml;examples/kubara/current-platform/apps/hx-web/platform/ingress.yaml
cubbychat,application,hx-app-dev,dev,hub,commit e9e76a076924d95897c3ede7a0f21cec523c4f6f; 3 digest-pinned images,e9e76a076924d95897c3ede7a0f21cec523c4f6f,Unknown,selected-not-observed,application-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,,10,,committed digest-pinned application fixture only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;examples/kubara/current-platform/apps/source-lock.yaml;examples/kubara/current-platform/apps/cubbychat/base/backend-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/backend.yaml;examples/kubara/current-platform/apps/cubbychat/base/credentials.yaml;examples/kubara/current-platform/apps/cubbychat/base/frontend-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/frontend.yaml;examples/kubara/current-platform/apps/cubbychat/base/namespace.yaml;examples/kubara/current-platform/apps/cubbychat/base/postgres-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/postgres.yaml;examples/kubara/current-platform/apps/cubbychat/platform/certificate.yaml;examples/kubara/current-platform/apps/cubbychat/platform/ingress.yaml
cubbychat,application,hx-app-staging,staging,spoke,commit e9e76a076924d95897c3ede7a0f21cec523c4f6f; 3 digest-pinned images,e9e76a076924d95897c3ede7a0f21cec523c4f6f,Unknown,selected-not-observed,application-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,,10,,committed digest-pinned application fixture only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;examples/kubara/current-platform/apps/source-lock.yaml;examples/kubara/current-platform/apps/cubbychat/base/backend-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/backend.yaml;examples/kubara/current-platform/apps/cubbychat/base/credentials.yaml;examples/kubara/current-platform/apps/cubbychat/base/frontend-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/frontend.yaml;examples/kubara/current-platform/apps/cubbychat/base/namespace.yaml;examples/kubara/current-platform/apps/cubbychat/base/postgres-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/postgres.yaml;examples/kubara/current-platform/apps/cubbychat/platform/certificate.yaml;examples/kubara/current-platform/apps/cubbychat/platform/ingress.yaml
cubbychat,application,hx-app-prod-a,prod,spoke,commit e9e76a076924d95897c3ede7a0f21cec523c4f6f; 3 digest-pinned images,e9e76a076924d95897c3ede7a0f21cec523c4f6f,Unknown,selected-not-observed,application-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,,10,,committed digest-pinned application fixture only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;examples/kubara/current-platform/apps/source-lock.yaml;examples/kubara/current-platform/apps/cubbychat/base/backend-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/backend.yaml;examples/kubara/current-platform/apps/cubbychat/base/credentials.yaml;examples/kubara/current-platform/apps/cubbychat/base/frontend-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/frontend.yaml;examples/kubara/current-platform/apps/cubbychat/base/namespace.yaml;examples/kubara/current-platform/apps/cubbychat/base/postgres-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/postgres.yaml;examples/kubara/current-platform/apps/cubbychat/platform/certificate.yaml;examples/kubara/current-platform/apps/cubbychat/platform/ingress.yaml
cubbychat,application,hx-app-prod-b,prod,spoke,commit e9e76a076924d95897c3ede7a0f21cec523c4f6f; 3 digest-pinned images,e9e76a076924d95897c3ede7a0f21cec523c4f6f,Unknown,selected-not-observed,application-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,,10,,committed digest-pinned application fixture only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;examples/kubara/current-platform/apps/source-lock.yaml;examples/kubara/current-platform/apps/cubbychat/base/backend-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/backend.yaml;examples/kubara/current-platform/apps/cubbychat/base/credentials.yaml;examples/kubara/current-platform/apps/cubbychat/base/frontend-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/frontend.yaml;examples/kubara/current-platform/apps/cubbychat/base/namespace.yaml;examples/kubara/current-platform/apps/cubbychat/base/postgres-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/postgres.yaml;examples/kubara/current-platform/apps/cubbychat/platform/certificate.yaml;examples/kubara/current-platform/apps/cubbychat/platform/ingress.yaml
