chart,version,base_or_variant,quirk_class,hook_phases,source_disposition,disposition,route_name,default_route,alternatives,route_requirements,execution_mode,human_offramp,agent_offramp,live_status,safe_as_automatic,evidence_or_next_action
fluent/fluent-bit,0.57.6,default,hook-test,test,selected-route-receipt,observed,explicit-test-check,explicit-test-check,ci-check; skip-test,"Connectivity tests are checks against the installed target, not render-time behavior.",user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipts/fluent-fluent-bit/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/fluent/fluent-bit/0.57.6/helm-pain-report.yaml;runs/hook-lifecycle/fluent-fluent-bit/default/latest/receipt.yaml
gatekeeper/gatekeeper,3.22.2,default,hook-phase,"pre-install, pre-upgrade",selected-route-receipt,observed,preflight-or-presync,preflight-or-presync,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,CRD and admission-webhook prerequisites must be checked before apply.,user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipts/gatekeeper-gatekeeper/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml;runs/hook-lifecycle/gatekeeper-gatekeeper/default/latest/receipt.yaml
gatekeeper/gatekeeper,3.22.2,default,hook-phase,pre-upgrade,selected-route-receipt,observed,upgrade-action-with-receipt,upgrade-action-with-receipt,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,The pinned rendered CRD route must be recorded as a target-aware operation before stronger upgrade claims.,user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipts/gatekeeper-gatekeeper/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml;runs/hook-lifecycle/gatekeeper-gatekeeper/default/latest/receipt.yaml
gitlab/gitlab,10.0.0,,hook-phase,"post-install, post-upgrade",recipe-needed,todo,argocd-or-flux-lifecycle-hook,argocd-or-flux-lifecycle-hook,target-facts-or-preflight; refuse,GitLab serious-chart prerequisites dominate; confirm supported base before routing,not-yet-executable,recipe-base-or-values,routes-json,none,no,treat as a serious-chart review; choose a supported base; confirm whether the vendored hook renders; then write maintained route receipt or hook-inert fact | none | data/hook-route-candidates/candidates.csv
k8s-dashboard/kubernetes-dashboard,7.14.0,,hook-phase,"post-upgrade, pre-upgrade",routed,routed,upgrade-action-with-receipt,upgrade-action-with-receipt,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,none expected under default values; rendering under defaults unresolved; condition: if rendered,user-executes,recipe-base-or-values,routes-json,none,no,record hook-inert-under-default-values for the default base at recipe time; keep the route plan for postgres-mode bases | none (default base is hook-inert; no rehearsal needed for it) | data/hook-disposition/evidence/k8s-dashboard-kubernetes-dashboard/evidence.yaml;data/hook-disposition/evidence/k8s-dashboard-kubernetes-dashboard/hook-resources.yaml
kedacore/keda,2.19.0,no-crds,webhook-readiness,"post-install, post-upgrade",selected-route-receipt,observed,webhook-readiness-observation,webhook-readiness-observation,postsync-check-or-observation,"The operator mounts kedaorg-certs as optional, starts certificate rotation, and creates the Secret used by the webhook and metrics API pods.",target-owned,recipe-base-or-values,routes-json,observed,no,data/hook-route-candidates/selected-routes/kedacore-keda-no-crds.yaml;recipes/kedacore/keda/2.19.0/variants/no-crds/variant.yaml;recipes/kedacore/keda/2.19.0/revisions/no-crds/r001/rendered/release-objects.yaml;runs/live-kind-parity/kedacore-keda-no-crds/receipt.yaml
kong/kong,3.2.0,,hook-phase,"post-upgrade, pre-upgrade",routed,routed,upgrade-action-with-receipt,upgrade-action-with-receipt,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,reachable database when not DB-less; values-conditional rendering,user-executes,recipe-base-or-values,routes-json,none,no,create the recipe with DB-less and postgres bases; rehearse the migration pair against a database | none (postgres-mode rehearsal needs a database and pullable images) | data/hook-disposition/evidence/kong-kong/evidence.yaml;data/hook-disposition/evidence/kong-kong/hook-resources.yaml
kyverno/kyverno,3.8.1,,hook-delete-policy,"post-upgrade, pre-delete, test",observed,observed,delete-cleanup-policy,delete-cleanup-policy,delete-on-uninstall; refuse,,target-owned,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml
kyverno/kyverno,3.8.1,,hook-delete-policy,"post-upgrade, pre-delete, test",observed,observed,preserve-cleanup-policy,preserve-cleanup-policy,delete-on-uninstall; refuse,,target-owned,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml
kyverno/kyverno,3.8.1,,hook-phase,"post-upgrade, pre-delete, test",observed,observed,upgrade-action-with-receipt,upgrade-action-with-receipt,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,,user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml
kyverno/kyverno,3.8.1,,hook-test,"post-upgrade, pre-delete, test",observed,observed,explicit-test-check,explicit-test-check,ci-check; skip-test,,user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml
kyverno/kyverno,3.8.1,,hook-weight-ordering,"post-upgrade, pre-delete, test",observed,observed,preserve-ordering,preserve-ordering,argocd-sync-waves; apply-order,,target-owned,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml
kyverno/kyverno,3.8.1,,target-facts,"post-upgrade, pre-delete, test",observed,observed,target-facts-or-preflight,target-facts-or-preflight,preflight-or-presync; refuse,,user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml
kyverno/kyverno,3.8.1,default,hook-delete-policy,pre-delete,selected-route-receipt,observed,delete-cleanup-policy,delete-cleanup-policy,delete-on-uninstall; refuse,Webhook and APIService cleanup belongs to delete or rollback policy.,target-owned,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/kyverno/kyverno/3.8.1/helm-pain-report.yaml;runs/hook-lifecycle/kyverno-kyverno/default/latest/receipt.yaml
kyverno/kyverno,3.8.1,default,hook-phase,post-upgrade,selected-route-receipt,observed,upgrade-action-with-receipt,upgrade-action-with-receipt,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,Resource migration after upgrade must be recorded as an upgrade operation.,user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/kyverno/kyverno/3.8.1/helm-pain-report.yaml;runs/hook-lifecycle/kyverno-kyverno/default/latest/receipt.yaml
kyverno/kyverno,3.8.1,default,hook-test,test,selected-route-receipt,observed,explicit-test-check,explicit-test-check,ci-check; skip-test,"Test hooks become checks, not hidden install behavior.",user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/kyverno/kyverno/3.8.1/helm-pain-report.yaml;runs/hook-lifecycle/kyverno-kyverno/default/latest/receipt.yaml
projectcalico/tigera-operator,v3.32.0,default,hook-delete-policy,pre-delete,selected-route-receipt,observed,explicit-delete-cleanup-action,explicit-delete-cleanup-action,delete-on-uninstall; refuse,"Deleting this chart may require cleanup that depends on the cluster's current state. Run that cleanup as a separate, recorded step instead of assuming that deleting the rendered files is enough.",user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipts/projectcalico-tigera-operator/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/projectcalico/tigera-operator/v3.32.0/helm-pain-report.yaml;runs/hook-lifecycle/projectcalico-tigera-operator/default/latest/receipt.yaml;runs/live-helm-confighub-compare/projectcalico-tigera-operator-default/receipt.yaml;runs/public-preset-script/projectcalico-tigera-operator-default/latest/receipt.yaml
projectcalico/tigera-operator,v3.32.0,default,hook-phase,crd-bootstrap,selected-route-receipt,observed,preflight-or-presync,preflight-or-presync,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,"Before installing the rendered resources, the Tigera operator must create four operator.tigera.io CRDs so Kubernetes can accept the APIServer, Goldmane, Installation, and Whisker objects.",user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipts/projectcalico-tigera-operator/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/projectcalico/tigera-operator/v3.32.0/helm-pain-report.yaml;runs/hook-lifecycle/projectcalico-tigera-operator/default/latest/receipt.yaml;runs/live-helm-confighub-compare/projectcalico-tigera-operator-default/receipt.yaml;runs/public-preset-script/projectcalico-tigera-operator-default/latest/receipt.yaml
prometheus-community/kube-prometheus-stack,85.3.3,,hook-delete-policy,"post-install, post-upgrade, pre-install, pre-upgrade",observed,observed,preserve-cleanup-policy,preserve-cleanup-policy,delete-on-uninstall; refuse,,target-owned,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml
prometheus-community/kube-prometheus-stack,85.3.3,,hook-phase,"post-install, post-upgrade, pre-install, pre-upgrade",observed,observed,postsync-check-or-observation,postsync-check-or-observation,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,,user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml
prometheus-community/kube-prometheus-stack,85.3.3,,hook-phase,"post-install, post-upgrade, pre-install, pre-upgrade",observed,observed,preflight-or-presync,preflight-or-presync,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,,user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml
prometheus-community/kube-prometheus-stack,85.3.3,,hook-phase,"post-install, post-upgrade, pre-install, pre-upgrade",observed,observed,upgrade-action-with-receipt,upgrade-action-with-receipt,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,,user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml
prometheus-community/kube-prometheus-stack,85.3.3,,hook-weight-ordering,"post-install, post-upgrade, pre-install, pre-upgrade",observed,observed,preserve-ordering,preserve-ordering,argocd-sync-waves; apply-order,,target-owned,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml
prometheus-community/kube-prometheus-stack,85.3.3,,target-facts,"post-install, post-upgrade, pre-install, pre-upgrade",observed,observed,target-facts-or-preflight,target-facts-or-preflight,preflight-or-presync; refuse,,user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml
prometheus-community/kube-prometheus-stack,85.3.3,,webhook-readiness,"post-install, post-upgrade, pre-install, pre-upgrade",observed,observed,webhook-readiness-observation,webhook-readiness-observation,postsync-check-or-observation,,target-owned,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml
prometheus-community/kube-prometheus-stack,85.3.3,default,hook-phase,"post-install, post-upgrade",selected-route-receipt,observed,postsync-check-or-observation,postsync-check-or-observation,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,Webhook TLS and readiness must be observed after apply.,user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/prometheus-community/kube-prometheus-stack/85.3.3/helm-pain-report.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/crd-lifecycle-and-upgrade-policy.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/webhook-readiness-and-failure-policy.yaml;runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default/receipt.yaml;data/production-support-decisions/prometheus-community-kube-prometheus-stack/lifecycle-decision.yaml;runs/top20-local-kind/kube-prometheus-stack-default/observation-receipt.json;runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml
prometheus-community/kube-prometheus-stack,85.3.3,default,hook-phase,"pre-install, pre-upgrade",selected-route-receipt,observed,preflight-or-presync,preflight-or-presync,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,The hook creates webhook patch prerequisites before admission configuration is safe to use.,user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/prometheus-community/kube-prometheus-stack/85.3.3/helm-pain-report.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/crd-lifecycle-and-upgrade-policy.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/webhook-readiness-and-failure-policy.yaml;runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default/receipt.yaml;data/production-support-decisions/prometheus-community-kube-prometheus-stack/lifecycle-decision.yaml;runs/top20-local-kind/kube-prometheus-stack-default/observation-receipt.json;runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml
prometheus-community/kube-prometheus-stack,85.3.3,default,hook-phase,"pre-upgrade, post-upgrade",selected-route-receipt,observed,upgrade-action-with-receipt,upgrade-action-with-receipt,argocd-or-flux-lifecycle-hook; target-facts-or-preflight; refuse,Upgrade behavior must be recorded separately from initial render parity.,user-executes,recipe-base-or-values,routes-json,observed,no,data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/prometheus-community/kube-prometheus-stack/85.3.3/helm-pain-report.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/crd-lifecycle-and-upgrade-policy.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/webhook-readiness-and-failure-policy.yaml;runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default/receipt.yaml;data/production-support-decisions/prometheus-community-kube-prometheus-stack/lifecycle-decision.yaml;runs/top20-local-kind/kube-prometheus-stack-default/observation-receipt.json;runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml
