chart,promotion_state,inferred_promotion_state,production_readiness,support_level,supported_variants,machine_checks,proof_tier,variant_count,variants,revision_count,rendered_objects_total,gate_decisions,scan_high,scan_medium,has_crds,has_hooks,has_lookup,has_generated_facts,has_cluster_rbac,has_webhooks,fixture_uses_current_packages,default_review_required,obvious_variants_review,ux_review_required,catalog_recommendation,gaps,recipe_path,package_path
bitnami/contour@21.1.4,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;no-crds,2,35,allow;warn,0,7,true,true,true,true,true,false,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; CRD lifecycle policy must be catalog-readable,recipes/bitnami/contour/21.1.4,packages/bitnami/contour/21.1.4
bitnami/elasticsearch@22.1.6,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;ha,2,42,allow;warn,0,4,false,true,true,true,false,false,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; stateful storage and rollback policy must be catalog-readable,recipes/bitnami/elasticsearch/22.1.6,packages/bitnami/elasticsearch/22.1.6
bitnami/memcached@8.5.5,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,5,warn,1,0,false,false,true,true,false,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; high scan findings require review before catalog support; install gate warns; catalog support requires documented production disposition,recipes/bitnami/memcached/8.5.5,packages/bitnami/memcached/8.5.5
bitnami/mongodb@19.0.7,catalog-supported,catalog-candidate,blocked-by-current-scan-gate,supported-for-declared-scopes,generated-passwords;existing-secret-replicaset,pass,bespoke-top20,2,generated-passwords;existing-secret-replicaset,2,18,warn,0,16,false,true,true,true,false,false,true,yes,review-covered-variants,yes,supported for declared scopes; production remains blocked by current gate,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/bitnami/mongodb/19.0.7,packages/bitnami/mongodb/19.0.7
bitnami/mysql@14.0.3,catalog-supported,catalog-candidate,production-review-ready,supported-for-declared-scopes,generated-passwords;existing-secret,pass,bespoke-top20,2,generated-passwords;existing-secret,2,15,warn,0,9,false,true,true,true,false,false,true,yes,review-covered-variants,yes,catalog-supported with explicit status,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/bitnami/mysql/14.0.3,packages/bitnami/mysql/14.0.3
bitnami/nginx@24.0.2,catalog-supported,catalog-candidate,production-review-ready,supported-for-declared-scopes,http-clusterip;existing-tls-ingress,pass,bespoke-top20,2,http-clusterip;existing-tls-ingress,2,11,warn,0,11,false,false,true,true,false,false,true,yes,review-covered-variants,yes,catalog-supported with explicit status,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/bitnami/nginx/24.0.2,packages/bitnami/nginx/24.0.2
bitnami/opensearch@2.0.10,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;ha,2,36,allow;warn,4,4,false,true,true,true,false,false,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; high scan findings require review before catalog support; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; stateful storage and rollback policy must be catalog-readable,recipes/bitnami/opensearch/2.0.10,packages/bitnami/opensearch/2.0.10
bitnami/phpmyadmin@20.0.0,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,5,allow,0,0,false,true,true,true,false,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants,recipes/bitnami/phpmyadmin/20.0.0,packages/bitnami/phpmyadmin/20.0.0
bitnami/postgresql@18.6.7,catalog-supported,catalog-candidate,production-review-ready,supported-for-declared-scopes,generated-passwords;existing-secret,pass,bespoke-top20,2,generated-passwords;existing-secret,2,13,warn,0,9,false,true,true,true,false,false,true,yes,review-covered-variants,yes,catalog-supported with explicit status,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/bitnami/postgresql/18.6.7,packages/bitnami/postgresql/18.6.7
bitnami/rabbitmq@16.0.14,catalog-supported,catalog-candidate,production-review-ready,supported-for-declared-scopes,generated-passwords;existing-secret,pass,bespoke-top20,2,generated-passwords;existing-secret,2,19,warn,0,9,false,true,true,true,false,false,true,yes,review-covered-variants,yes,catalog-supported with explicit status,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/bitnami/rabbitmq/16.0.14,packages/bitnami/rabbitmq/16.0.14
bitnami/redis@25.5.3,catalog-supported,catalog-candidate,production-review-ready,supported-for-declared-scopes,default;reuse-existing-secret,pass,bespoke-top20,2,default;reuse-existing-secret,2,27,warn,0,4,false,true,true,true,false,false,true,yes,review-covered-variants,yes,catalog-supported with explicit status,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/bitnami/redis/25.5.3,packages/bitnami/redis/25.5.3
bitnami/spark@10.0.3,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;ha,2,20,allow;warn,0,1,false,false,true,true,false,false,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; stateful storage and rollback policy must be catalog-readable,recipes/bitnami/spark/10.0.3,packages/bitnami/spark/10.0.3
bitnami/zookeeper@13.8.7,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;ha,2,14,allow,0,0,false,false,true,true,false,false,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; stateful storage and rollback policy must be catalog-readable,recipes/bitnami/zookeeper/13.8.7,packages/bitnami/zookeeper/13.8.7
cloudnative-pg/cloudnative-pg@0.28.2,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;no-crds,2,32,allow;warn,0,16,true,false,true,true,true,true,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,recipes/cloudnative-pg/cloudnative-pg/0.28.2,packages/cloudnative-pg/cloudnative-pg/0.28.2
coredns/coredns@1.45.2,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,5,warn,1,2,false,false,false,true,true,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; high scan findings require review before catalog support; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/coredns/coredns/1.45.2,packages/coredns/coredns/1.45.2
crossplane-stable/crossplane@2.3.1,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,23,warn,0,18,false,false,false,false,true,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/crossplane-stable/crossplane/2.3.1,packages/crossplane-stable/crossplane/2.3.1
descheduler/descheduler@0.36.0,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,5,warn,0,2,false,false,false,false,true,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/descheduler/descheduler/0.36.0,packages/descheduler/descheduler/0.36.0
dex/dex@0.24.0,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,8,warn,0,3,false,true,false,false,true,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/dex/dex/0.24.0,packages/dex/dex/0.24.0
elastic/eck-operator@3.4.0,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,3,default;ha;no-crds,3,54,allow;warn,0,18,true,false,false,true,true,true,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable; stateful storage and rollback policy must be catalog-readable,recipes/elastic/eck-operator/3.4.0,packages/elastic/eck-operator/3.4.0
elastic/filebeat@8.5.1,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,7,warn,0,2,false,false,false,false,true,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/elastic/filebeat/8.5.1,packages/elastic/filebeat/8.5.1
elastic/kibana@8.5.1,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,2,allow,0,0,false,true,false,false,false,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants,recipes/elastic/kibana/8.5.1,packages/elastic/kibana/8.5.1
elastic/logstash@8.5.1,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;ha,2,6,allow,0,0,false,false,false,false,false,false,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; stateful storage and rollback policy must be catalog-readable,recipes/elastic/logstash/8.5.1,packages/elastic/logstash/8.5.1
elastic/metricbeat@8.5.1,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,14,warn,0,4,false,false,false,false,true,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/elastic/metricbeat/8.5.1,packages/elastic/metricbeat/8.5.1
external-dns/external-dns@1.21.1,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;no-crds,2,11,allow;warn,0,3,true,false,false,true,true,false,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; CRD lifecycle policy must be catalog-readable,recipes/external-dns/external-dns/1.21.1,packages/external-dns/external-dns/1.21.1
external-secrets/external-secrets@2.5.0,catalog-supported,catalog-candidate,blocked-by-current-scan-gate,supported-for-declared-scopes,default;no-crds,pass,bespoke-top20,2,default;no-crds,2,61,warn,0,45,false,false,false,false,true,false,true,yes,review-covered-variants,yes,supported for declared scopes; production remains blocked by current gate,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/external-secrets/external-secrets/2.5.0,packages/external-secrets/external-secrets/2.5.0
fairwinds-stable/goldilocks@10.3.0,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,9,warn,0,4,false,true,true,true,true,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/fairwinds-stable/goldilocks/10.3.0,packages/fairwinds-stable/goldilocks/10.3.0
fairwinds-stable/vpa@4.11.0,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;no-crds,2,54,allow;warn,0,21,true,true,true,false,true,true,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,recipes/fairwinds-stable/vpa/4.11.0,packages/fairwinds-stable/vpa/4.11.0
falcosecurity/falco@9.0.0,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,6,warn,0,2,false,true,true,true,false,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/falcosecurity/falco/9.0.0,packages/falcosecurity/falco/9.0.0
falcosecurity/falcosidekick@0.13.1,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,6,warn,0,1,false,true,false,false,false,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/falcosecurity/falcosidekick/0.13.1,packages/falcosecurity/falcosidekick/0.13.1
fluent/fluent-bit@0.57.6,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,6,warn,0,2,false,true,false,false,true,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/fluent/fluent-bit/0.57.6,packages/fluent/fluent-bit/0.57.6
fluent/fluentd@0.5.3,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,10,warn,0,2,false,true,false,false,true,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/fluent/fluentd/0.5.3,packages/fluent/fluentd/0.5.3
gatekeeper/gatekeeper@3.22.2,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;no-crds,2,43,allow;warn,0,22,true,true,false,false,true,true,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,recipes/gatekeeper/gatekeeper/3.22.2,packages/gatekeeper/gatekeeper/3.22.2
gitlab/gitlab-runner@0.89.0,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,2,allow,0,0,false,false,false,true,false,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants,recipes/gitlab/gitlab-runner/0.89.0,packages/gitlab/gitlab-runner/0.89.0
grafana/alloy@1.8.2,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;no-crds,2,13,allow;warn,0,3,true,false,false,false,true,false,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; CRD lifecycle policy must be catalog-readable,recipes/grafana/alloy/1.8.2,packages/grafana/alloy/1.8.2
grafana/grafana@10.5.15,catalog-supported,catalog-candidate,blocked-by-current-scan-gate,supported-for-declared-scopes,generated-passwords;existing-secret-ingress,pass,bespoke-top20,2,generated-passwords;existing-secret-ingress,2,18,warn,0,14,false,false,true,true,true,false,true,yes,review-covered-variants,yes,supported for declared scopes; production remains blocked by current gate,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/grafana/grafana/10.5.15,packages/grafana/grafana/10.5.15
grafana/loki@7.0.0,catalog-supported,catalog-candidate,blocked-by-current-scan-gate,supported-for-declared-scopes,single-binary-filesystem;simple-scalable-minio,pass,bespoke-top20,2,single-binary-filesystem;simple-scalable-minio,2,55,warn,0,25,false,true,false,false,true,false,true,yes,review-covered-variants,yes,supported for declared scopes; production remains blocked by current gate,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/grafana/loki/7.0.0,packages/grafana/loki/7.0.0
grafana/promtail@6.17.1,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,5,warn,0,3,false,false,false,false,true,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/grafana/promtail/6.17.1,packages/grafana/promtail/6.17.1
grafana/pyroscope@2.0.2,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,3,default;ha;no-crds,3,53,allow;warn,0,3,true,true,true,true,true,false,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; CRD lifecycle policy must be catalog-readable; stateful storage and rollback policy must be catalog-readable,recipes/grafana/pyroscope/2.0.2,packages/grafana/pyroscope/2.0.2
grafana/rollout-operator@0.49.0,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;no-crds,2,28,allow;warn,0,8,true,false,false,false,true,true,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,recipes/grafana/rollout-operator/0.49.0,packages/grafana/rollout-operator/0.49.0
grafana/tempo@1.24.4,catalog-supported,catalog-candidate,blocked-by-current-scan-gate,supported-for-declared-scopes,local-persistent;s3-query-observability,pass,bespoke-top20,2,local-persistent;s3-query-observability,2,12,warn,0,13,false,false,true,false,false,false,true,yes,review-covered-variants,yes,supported for declared scopes; production remains blocked by current gate,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/grafana/tempo/1.24.4,packages/grafana/tempo/1.24.4
haproxytech/kubernetes-ingress@1.52.0,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,7,warn,0,2,false,true,true,true,true,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/haproxytech/kubernetes-ingress/1.52.0,packages/haproxytech/kubernetes-ingress/1.52.0
hashicorp/consul@2.0.0,catalog-supported,catalog-candidate,blocked-by-current-scan-gate,supported-for-declared-scopes,default-control-plane;secure-mesh-existing-secrets,pass,bespoke-top20,2,default-control-plane;secure-mesh-existing-secrets,2,165,warn,0,120,false,true,true,false,true,false,true,yes,review-covered-variants,yes,supported for declared scopes; production remains blocked by current gate,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/hashicorp/consul/2.0.0,packages/hashicorp/consul/2.0.0
hashicorp/terraform@1.1.2,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,2,default;no-crds,2,9,allow;warn,1,1,true,true,false,false,false,false,true,yes,review-covered-variants,yes,keep as proof-grade until product variants and UX review are complete,human review needed: confirm variants are the obvious Helm-user paths; high scan findings require review before catalog support; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; CRD lifecycle policy must be catalog-readable,recipes/hashicorp/terraform/1.1.2,packages/hashicorp/terraform/1.1.2
hashicorp/vault@0.32.0,catalog-supported,catalog-candidate,blocked-by-current-scan-gate,supported-for-declared-scopes,default;ha-raft-ui,pass,bespoke-top20,2,default;ha-raft-ui,2,30,warn,2,23,false,false,false,false,true,false,true,yes,review-covered-variants,yes,supported for declared scopes; production remains blocked by current gate,human review needed: confirm variants are the obvious Helm-user paths; high scan findings require review before catalog support; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/hashicorp/vault/0.32.0,packages/hashicorp/vault/0.32.0
ingress-nginx/ingress-nginx@4.15.1,catalog-supported,catalog-candidate,blocked-by-current-scan-gate,supported-for-declared-scopes,default;admission-disabled,pass,bespoke-top20,2,default;admission-disabled,2,20,warn,0,6,false,true,false,false,true,false,true,yes,review-covered-variants,yes,supported for declared scopes; production remains blocked by current gate,human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition,recipes/ingress-nginx/ingress-nginx/4.15.1,packages/ingress-nginx/ingress-nginx/4.15.1
istio/gateway@1.30.0,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,6,warn,1,0,false,false,false,false,false,false,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; high scan findings require review before catalog support; install gate warns; catalog support requires documented production disposition,recipes/istio/gateway/1.30.0,packages/istio/gateway/1.30.0
istio/istiod@1.30.0,proof-grade,proof-grade,not-reviewed-for-production,machine-proof-only,,pass,next80-full,1,default,1,17,warn,1,8,false,false,false,true,true,true,true,yes,needs-user-shaped-variants,yes,keep as proof-grade until product variants and UX review are complete,default-only; add or explicitly defer obvious user variants; high scan findings require review before catalog support; medium scan findings require review or waiver before production support; install gate warns; catalog support requires documented production disposition; webhook readiness/observation policy must be catalog-readable,recipes/istio/istiod/1.30.0,packages/istio/istiod/1.30.0
