name,chart,version,base,area,reason,next_action,intent_path
bitnami-apache-11-4-29-legacy,bitnami/apache,11.4.29,legacy,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-apache-11-4-29-legacy.yaml
bitnami-contour-21-1-4-default,bitnami/contour,21.1.4,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-contour-21-1-4-default.yaml
bitnami-contour-21-1-4-legacy,bitnami/contour,21.1.4,legacy,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-contour-21-1-4-legacy.yaml
bitnami-contour-21-1-4-no-crds,bitnami/contour,21.1.4,no-crds,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-contour-21-1-4-no-crds.yaml
bitnami-elasticsearch-22-1-6-default,bitnami/elasticsearch,22.1.6,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-elasticsearch-22-1-6-default.yaml
bitnami-elasticsearch-22-1-6-ha,bitnami/elasticsearch,22.1.6,ha,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-elasticsearch-22-1-6-ha.yaml
bitnami-elasticsearch-22-1-6-legacy,bitnami/elasticsearch,22.1.6,legacy,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-elasticsearch-22-1-6-legacy.yaml
bitnami-memcached-8-5-5-default,bitnami/memcached,8.5.5,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-memcached-8-5-5-default.yaml
bitnami-mongodb-19-0-7-static-passwords,bitnami/mongodb,19.0.7,static-passwords,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-mongodb-19-0-7-static-passwords.yaml
bitnami-mongodb-19-0-9-static-passwords,bitnami/mongodb,19.0.9,static-passwords,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-mongodb-19-0-9-static-passwords.yaml
bitnami-mongodb-19-1-0-static-passwords,bitnami/mongodb,19.1.0,static-passwords,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-mongodb-19-1-0-static-passwords.yaml
bitnami-mysql-14-0-3-static-passwords,bitnami/mysql,14.0.3,static-passwords,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-mysql-14-0-3-static-passwords.yaml
bitnami-nginx-24-0-2-http-clusterip,bitnami/nginx,24.0.2,http-clusterip,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-nginx-24-0-2-http-clusterip.yaml
bitnami-nginx-24-0-4-http-clusterip,bitnami/nginx,24.0.4,http-clusterip,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-nginx-24-0-4-http-clusterip.yaml
bitnami-nginx-25-0-0-http-clusterip,bitnami/nginx,25.0.0,http-clusterip,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-nginx-25-0-0-http-clusterip.yaml
bitnami-opensearch-2-0-10-default,bitnami/opensearch,2.0.10,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-opensearch-2-0-10-default.yaml
bitnami-opensearch-2-0-10-ha,bitnami/opensearch,2.0.10,ha,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-opensearch-2-0-10-ha.yaml
bitnami-opensearch-2-0-10-legacy,bitnami/opensearch,2.0.10,legacy,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-opensearch-2-0-10-legacy.yaml
bitnami-phpmyadmin-20-0-0-default,bitnami/phpmyadmin,20.0.0,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-phpmyadmin-20-0-0-default.yaml
bitnami-phpmyadmin-20-0-0-legacy,bitnami/phpmyadmin,20.0.0,legacy,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-phpmyadmin-20-0-0-legacy.yaml
bitnami-postgresql-18-6-10-static-passwords,bitnami/postgresql,18.6.10,static-passwords,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-postgresql-18-6-10-static-passwords.yaml
bitnami-postgresql-18-6-7-static-passwords,bitnami/postgresql,18.6.7,static-passwords,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-postgresql-18-6-7-static-passwords.yaml
bitnami-postgresql-18-7-0-static-passwords,bitnami/postgresql,18.7.0,static-passwords,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-postgresql-18-7-0-static-passwords.yaml
bitnami-rabbitmq-16-0-14-static-passwords,bitnami/rabbitmq,16.0.14,static-passwords,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-rabbitmq-16-0-14-static-passwords.yaml
bitnami-redis-25-5-3-default,bitnami/redis,25.5.3,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-redis-25-5-3-default.yaml
bitnami-redis-27-0-0-default,bitnami/redis,27.0.0,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-redis-27-0-0-default.yaml
bitnami-spark-10-0-3-default,bitnami/spark,10.0.3,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-spark-10-0-3-default.yaml
bitnami-spark-10-0-3-ha,bitnami/spark,10.0.3,ha,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-spark-10-0-3-ha.yaml
bitnami-spark-10-0-3-legacy,bitnami/spark,10.0.3,legacy,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-spark-10-0-3-legacy.yaml
bitnami-zookeeper-13-8-7-default,bitnami/zookeeper,13.8.7,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-zookeeper-13-8-7-default.yaml
bitnami-zookeeper-13-8-7-ha,bitnami/zookeeper,13.8.7,ha,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-zookeeper-13-8-7-ha.yaml
bitnami-zookeeper-13-8-7-legacy,bitnami/zookeeper,13.8.7,legacy,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/bitnami-zookeeper-13-8-7-legacy.yaml
cloudnative-pg-cloudnative-pg-0-28-2-default,cloudnative-pg/cloudnative-pg,0.28.2,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/cloudnative-pg-cloudnative-pg-0-28-2-default.yaml
coredns-coredns-1-45-2-default,coredns/coredns,1.45.2,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/coredns-coredns-1-45-2-default.yaml
crossplane-stable-crossplane-2-3-1-default,crossplane-stable/crossplane,2.3.1,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/crossplane-stable-crossplane-2-3-1-default.yaml
descheduler-descheduler-0-36-0-default,descheduler/descheduler,0.36.0,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/descheduler-descheduler-0-36-0-default.yaml
dex-dex-0-24-0-default,dex/dex,0.24.0,default,target-prerequisite,"2 observed prerequisite action records exist, but the base does not declare the prerequisite.","Add the observed prerequisite to spec.targetFacts in the base variant, then rerun its proof.",data/helm-render-intents/intents/dex-dex-0-24-0-default.yaml
elastic-eck-operator-3-4-0-default,elastic/eck-operator,3.4.0,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/elastic-eck-operator-3-4-0-default.yaml
elastic-eck-operator-3-4-0-ha,elastic/eck-operator,3.4.0,ha,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/elastic-eck-operator-3-4-0-ha.yaml
elastic-eck-operator-3-4-0-no-crds,elastic/eck-operator,3.4.0,no-crds,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/elastic-eck-operator-3-4-0-no-crds.yaml
elastic-kibana-8-5-1-default,elastic/kibana,8.5.1,default,target-prerequisite,"2 observed prerequisite action records exist, but the base does not declare the prerequisite.","Add the observed prerequisite to spec.targetFacts in the base variant, then rerun its proof.",data/helm-render-intents/intents/elastic-kibana-8-5-1-default.yaml
elastic-logstash-8-5-1-default,elastic/logstash,8.5.1,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/elastic-logstash-8-5-1-default.yaml
external-dns-external-dns-1-21-1-default,external-dns/external-dns,1.21.1,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/external-dns-external-dns-1-21-1-default.yaml
external-dns-external-dns-1-21-1-dry-run-txt-registry,external-dns/external-dns,1.21.1,dry-run-txt-registry,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/external-dns-external-dns-1-21-1-dry-run-txt-registry.yaml
external-dns-external-dns-1-21-1-no-crds,external-dns/external-dns,1.21.1,no-crds,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/external-dns-external-dns-1-21-1-no-crds.yaml
fairwinds-stable-goldilocks-10-3-0-default,fairwinds-stable/goldilocks,10.3.0,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/fairwinds-stable-goldilocks-10-3-0-default.yaml
falcosecurity-falco-9-0-0-default,falcosecurity/falco,9.0.0,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/falcosecurity-falco-9-0-0-default.yaml
falcosecurity-falcosidekick-0-13-1-default,falcosecurity/falcosidekick,0.13.1,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/falcosecurity-falcosidekick-0-13-1-default.yaml
fluent-fluent-bit-0-57-6-default,fluent/fluent-bit,0.57.6,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/fluent-fluent-bit-0-57-6-default.yaml
fluent-fluentd-0-5-3-default,fluent/fluentd,0.5.3,default,target-prerequisite,"1 observed prerequisite action record exists, but the base does not declare the prerequisite.","Add the observed prerequisite to spec.targetFacts in the base variant, then rerun its proof.",data/helm-render-intents/intents/fluent-fluentd-0-5-3-default.yaml
gatekeeper-gatekeeper-3-22-2-default,gatekeeper/gatekeeper,3.22.2,default,lifecycle-route,"4 source hooks are recorded, but this base has no attached lifecycle route.","Choose how each source hook runs for direct apply, Argo CD, and Flux; attach the route records and version-matched receipts.",data/helm-render-intents/intents/gatekeeper-gatekeeper-3-22-2-default.yaml
gatekeeper-gatekeeper-3-22-2-default,gatekeeper/gatekeeper,3.22.2,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/gatekeeper-gatekeeper-3-22-2-default.yaml
gatekeeper-gatekeeper-3-22-2-no-crds,gatekeeper/gatekeeper,3.22.2,no-crds,lifecycle-route,"4 source hooks are recorded, but this base has no attached lifecycle route.","Choose how each source hook runs for direct apply, Argo CD, and Flux; attach the route records and version-matched receipts.",data/helm-render-intents/intents/gatekeeper-gatekeeper-3-22-2-no-crds.yaml
gitlab-gitlab-runner-0-89-0-default,gitlab/gitlab-runner,0.89.0,default,target-prerequisite,"2 observed prerequisite action records exist, but the base does not declare the prerequisite.","Add the observed prerequisite to spec.targetFacts in the base variant, then rerun its proof.",data/helm-render-intents/intents/gitlab-gitlab-runner-0-89-0-default.yaml
grafana-alloy-1-8-2-default,grafana/alloy,1.8.2,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/grafana-alloy-1-8-2-default.yaml
grafana-alloy-1-8-2-no-crds,grafana/alloy,1.8.2,no-crds,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/grafana-alloy-1-8-2-no-crds.yaml
grafana-grafana-10-5-15-static-passwords,grafana/grafana,10.5.15,static-passwords,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/grafana-grafana-10-5-15-static-passwords.yaml
grafana-loki-7-0-0-simple-scalable-minio,grafana/loki,7.0.0,simple-scalable-minio,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/grafana-loki-7-0-0-simple-scalable-minio.yaml
grafana-loki-7-0-0-single-binary-filesystem,grafana/loki,7.0.0,single-binary-filesystem,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/grafana-loki-7-0-0-single-binary-filesystem.yaml
grafana-promtail-6-17-1-default,grafana/promtail,6.17.1,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/grafana-promtail-6-17-1-default.yaml
grafana-pyroscope-2-0-2-default,grafana/pyroscope,2.0.2,default,target-prerequisite,"1 observed prerequisite action record exists, but the base does not declare the prerequisite.","Add the observed prerequisite to spec.targetFacts in the base variant, then rerun its proof.",data/helm-render-intents/intents/grafana-pyroscope-2-0-2-default.yaml
grafana-pyroscope-2-0-2-ha,grafana/pyroscope,2.0.2,ha,target-prerequisite,"1 observed prerequisite action record exists, but the base does not declare the prerequisite.","Add the observed prerequisite to spec.targetFacts in the base variant, then rerun its proof.",data/helm-render-intents/intents/grafana-pyroscope-2-0-2-ha.yaml
grafana-pyroscope-2-0-2-no-crds,grafana/pyroscope,2.0.2,no-crds,target-prerequisite,"1 observed prerequisite action record exists, but the base does not declare the prerequisite.","Add the observed prerequisite to spec.targetFacts in the base variant, then rerun its proof.",data/helm-render-intents/intents/grafana-pyroscope-2-0-2-no-crds.yaml
grafana-rollout-operator-0-49-0-default,grafana/rollout-operator,0.49.0,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/grafana-rollout-operator-0-49-0-default.yaml
grafana-tempo-1-24-4-local-persistent,grafana/tempo,1.24.4,local-persistent,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/grafana-tempo-1-24-4-local-persistent.yaml
haproxytech-kubernetes-ingress-1-52-0-default,haproxytech/kubernetes-ingress,1.52.0,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/haproxytech-kubernetes-ingress-1-52-0-default.yaml
hashicorp-consul-2-0-0-default-control-plane,hashicorp/consul,2.0.0,default-control-plane,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/hashicorp-consul-2-0-0-default-control-plane.yaml
hashicorp-vault-0-32-0-default,hashicorp/vault,0.32.0,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/hashicorp-vault-0-32-0-default.yaml
hashicorp-vault-0-32-0-dev-mode,hashicorp/vault,0.32.0,dev-mode,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/hashicorp-vault-0-32-0-dev-mode.yaml
ingress-nginx-ingress-nginx-4-15-1-admission-disabled,ingress-nginx/ingress-nginx,4.15.1,admission-disabled,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/ingress-nginx-ingress-nginx-4-15-1-admission-disabled.yaml
ingress-nginx-ingress-nginx-4-15-1-internal-clusterip,ingress-nginx/ingress-nginx,4.15.1,internal-clusterip,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/ingress-nginx-ingress-nginx-4-15-1-internal-clusterip.yaml
istio-gateway-1-30-0-controller-default-reviewed,istio/gateway,1.30.0,controller-default-reviewed,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/istio-gateway-1-30-0-controller-default-reviewed.yaml
istio-gateway-1-30-0-default,istio/gateway,1.30.0,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/istio-gateway-1-30-0-default.yaml
jaegertracing-jaeger-4-8-0-default,jaegertracing/jaeger,4.8.0,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/jaegertracing-jaeger-4-8-0-default.yaml
jetstack-cert-manager-csi-driver-v0-14-0-default,jetstack/cert-manager-csi-driver,v0.14.0,default,target-prerequisite,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites, or add an explicit empty targetFacts declaration when none are required.",data/helm-render-intents/intents/jetstack-cert-manager-csi-driver-v0-14-0-default.yaml
