priority,workstream,done_when,source_rank,chart,source_version,modeled_chart_ref,join_status,modeled_version,catalog_status,proof_surface,source_remote_repo_count,source_non_exact_constraints,source_dependency_lock_present,source_vendored_subcharts,top_quirk,dependency_range_policy,refresh_survival_status,refresh_survival_evidence,lock_status,lock_path,lock_chart_version,lock_dependency_count,lock_remote_repo_count,lock_library_dependency_count,lock_has_chart_lock_digest,dependency_names,dependency_repositories,next_action
P0,promote-closure-facts,"chart facts and status surfaces expose dependency closure, remote repositories, and refresh-survival expectation",20,bitnami/rabbitmq,16.0.14,bitnami/rabbitmq,exact-chart-ref,16.0.14,catalog-supported,top20-catalog-supported,1,1,true,true,remote-dependencies,freeze-to-chart-lock,current-proof-still-current,data/refresh-survival/refreshes.csv,source-version-lock-present,recipes/bitnami/rabbitmq/16.0.14/dependency-lock.yaml,16.0.14,1,1,0,true,common,oci://registry-1.docker.io/bitnamicharts,promote dependency closure facts into chart facts and keep refresh-survival evidence current
P0,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",23,bitnami/kafka,32.4.3,,source-only,,not-in-modeled-top100,,1,1,true,true,remote-dependencies,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,promote-closure-facts,"chart facts and status surfaces expose dependency closure, remote repositories, and refresh-survival expectation",24,bitnami/mysql,14.0.3,bitnami/mysql,exact-chart-ref,14.0.3,catalog-supported,top20-catalog-supported,1,1,true,true,remote-dependencies,freeze-to-chart-lock,current-proof-still-current,data/refresh-survival/refreshes.csv,source-version-lock-present,recipes/bitnami/mysql/14.0.3/dependency-lock.yaml,14.0.3,1,1,0,true,common,oci://registry-1.docker.io/bitnamicharts,promote dependency closure facts into chart facts and keep refresh-survival evidence current
P0,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",25,bitnami/external-dns,9.0.3,,source-only,,not-in-modeled-top100,,1,1,true,true,remote-dependencies,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",26,apache-airflow/airflow,1.21.0,,source-only,,not-in-modeled-top100,,2,1,true,true,remote-dependencies,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,chart-lock-digest,dependency lock records a Chart.lock digest or explains the source of the locked dependency list,28,bitnami/mongodb,19.0.3,bitnami/mongodb,exact-chart-ref,19.0.7,catalog-supported,top20-catalog-supported,1,0,false,true,remote-dependencies,not-needed,candidate-visible:candidate-proof-complete-root-path-present,data/refresh-survival/refreshes.csv,modeled-version-lock-present,recipes/bitnami/mongodb/19.0.7/dependency-lock.yaml,19.0.7,1,1,0,false,common,oci://registry-1.docker.io/bitnamicharts,record Chart.lock digest or explain why the dependency lock is source-derived rather than Chart.lock-derived
P0,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",29,nextcloud/nextcloud,9.1.0,,source-only,,not-in-modeled-top100,,7,3,true,true,remote-dependencies,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",32,bitnami/minio,17.0.21,,source-only,,not-in-modeled-top100,,1,1,true,true,remote-dependencies,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",34,metallb/metallb,0.16.0,,source-only,,not-in-modeled-top100,,1,0,true,true,remote-dependencies,not-needed,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,chart-lock-digest,dependency lock records a Chart.lock digest or explains the source of the locked dependency list,38,kyverno/kyverno,3.8.1,kyverno/kyverno,exact-chart-ref,3.8.1,proof-grade,next80-proof-grade,5,1,true,true,remote-dependencies,blocked-until-chart-lock-digest,not-in-refresh-survival-surface,,source-version-lock-present,recipes/kyverno/kyverno/3.8.1/dependency-lock.yaml,3.8.1,5,3,0,false,grafana;crds;kyverno-api;openreports;reports-server,https://kyverno.github.io/api;https://openreports.github.io/reports-api;https://kyverno.github.io/reports-server/,record Chart.lock digest or explain why the dependency lock is source-derived rather than Chart.lock-derived
P0,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",39,gitea/gitea,12.6.0,,source-only,,not-in-modeled-top100,,8,4,true,true,remote-dependencies,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",40,sonarqube/sonarqube,2026.3.0,,source-only,,not-in-modeled-top100,,1,0,true,true,remote-dependencies,not-needed,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,chart-lock-digest,dependency lock records a Chart.lock digest or explains the source of the locked dependency list,41,cloudnative-pg/cloudnative-pg,0.28.2,cloudnative-pg/cloudnative-pg,exact-chart-ref,0.28.2,proof-grade,next80-proof-grade,1,1,true,true,remote-dependencies,blocked-until-chart-lock-digest,not-in-refresh-survival-surface,,source-version-lock-present,recipes/cloudnative-pg/cloudnative-pg/0.28.2/dependency-lock.yaml,0.28.2,1,1,0,false,cluster,https://cloudnative-pg.github.io/grafana-dashboards,record Chart.lock digest or explain why the dependency lock is source-derived rather than Chart.lock-derived
P0,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",43,datadog/datadog,3.214.0,,source-only,,not-in-modeled-top100,,1,0,true,true,apiservice,not-needed,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",44,bitnami/thanos,17.3.1,,source-only,,not-in-modeled-top100,,3,3,true,true,remote-dependencies,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",46,oauth2-proxy/oauth2-proxy,10.6.0,,source-only,,not-in-modeled-top100,,1,0,true,true,remote-dependencies,not-needed,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",47,bitnami/wordpress,31.0.0,,source-only,,not-in-modeled-top100,,5,0,false,true,remote-dependencies,not-needed,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,chart-lock-digest,dependency lock records a Chart.lock digest or explains the source of the locked dependency list,48,bitnami/nginx,24.0.2,bitnami/nginx,exact-chart-ref,24.0.2,catalog-supported,top20-catalog-supported,1,0,false,true,remote-dependencies,not-needed,candidate-visible:candidate-proof-complete-root-path-present,data/refresh-survival/refreshes.csv,source-version-lock-present,recipes/bitnami/nginx/24.0.2/dependency-lock.yaml,24.0.2,1,1,0,false,common,oci://registry-1.docker.io/bitnamicharts,record Chart.lock digest or explain why the dependency lock is source-derived rather than Chart.lock-derived
P0,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",49,goauthentik/authentik,2026.5.0,,source-only,,not-in-modeled-top100,,3,0,true,true,remote-dependencies,not-needed,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P1,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",55,artifact-hub/artifact-hub,1.22.0,,source-only,,not-in-modeled-top100,,2,0,true,true,remote-dependencies,not-needed,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P1,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",59,bitnami/mariadb,25.1.2,,source-only,,not-in-modeled-top100,,1,0,false,true,remote-dependencies,not-needed,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P2,chart-lock-digest,dependency lock records a Chart.lock digest or explains the source of the locked dependency list,60,elastic/eck-operator,3.4.0,elastic/eck-operator,exact-chart-ref,3.4.0,proof-grade,next80-proof-grade,0,0,true,true,capabilities,not-needed,not-in-refresh-survival-surface,,source-version-lock-present,recipes/elastic/eck-operator/3.4.0/dependency-lock.yaml,3.4.0,1,0,0,false,eck-operator-crds,,record Chart.lock digest or explain why the dependency lock is source-derived rather than Chart.lock-derived
P1,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",63,community-charts/n8n,1.16.42,,source-only,,not-in-modeled-top100,,5,0,true,true,remote-dependencies,not-needed,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,chart-lock-digest,dependency lock records a Chart.lock digest or explains the source of the locked dependency list,66,bitnami/elasticsearch,22.1.6,bitnami/elasticsearch,exact-chart-ref,22.1.6,proof-grade,next80-proof-grade,3,3,true,true,remote-dependencies,blocked-until-chart-lock-digest,not-in-refresh-survival-surface,,source-version-lock-present,recipes/bitnami/elasticsearch/22.1.6/dependency-lock.yaml,22.1.6,2,1,0,false,kibana;common,oci://registry-1.docker.io/bitnamicharts,record Chart.lock digest or explain why the dependency lock is source-derived rather than Chart.lock-derived
P0,chart-lock-digest,dependency lock records a Chart.lock digest or explains the source of the locked dependency list,70,jaegertracing/jaeger,4.8.0,jaegertracing/jaeger,exact-chart-ref,4.8.0,proof-grade,next80-proof-grade,1,1,true,true,remote-dependencies,blocked-until-chart-lock-digest,not-in-refresh-survival-surface,,source-version-lock-present,recipes/jaegertracing/jaeger/4.8.0/dependency-lock.yaml,4.8.0,1,1,0,false,common,https://charts.bitnami.com/bitnami,record Chart.lock digest or explain why the dependency lock is source-derived rather than Chart.lock-derived
P1,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",71,bitnami/metrics-server,7.4.12,,source-only,,not-in-modeled-top100,,1,1,true,true,apiservice,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P1,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",72,grafana/mimir-distributed,6.1.0-weekly.394,,source-only,,not-in-modeled-top100,,3,0,true,true,remote-dependencies,not-needed,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P2,chart-lock-digest,dependency lock records a Chart.lock digest or explains the source of the locked dependency list,74,grafana/alloy,1.8.1,grafana/alloy,exact-chart-ref,1.8.2,proof-grade,next80-proof-grade,0,0,true,true,semver-compare,not-needed,not-in-refresh-survival-surface,,modeled-version-lock-present,recipes/grafana/alloy/1.8.2/dependency-lock.yaml,1.8.2,1,0,0,false,crds,,record Chart.lock digest or explain why the dependency lock is source-derived rather than Chart.lock-derived
P0,promote-closure-facts,"chart facts and status surfaces expose dependency closure, remote repositories, and refresh-survival expectation",75,argo-cd-oci/argo-cd,9.5.15,argo-cd/argo-cd,chart-name-version-alias,9.5.15,catalog-supported,top20-catalog-supported,1,0,true,true,remote-dependencies,not-needed,not-in-refresh-survival-surface,,source-version-lock-present,recipes/argo-cd/argo-cd/9.5.15/dependency-lock.yaml,9.5.15,1,1,0,true,redis-ha,https://dandydeveloper.github.io/charts/,promote dependency closure facts into chart facts and keep refresh-survival evidence current
P1,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",76,bitnami/redis-cluster,13.0.4,,source-only,,not-in-modeled-top100,,1,1,true,true,remote-dependencies,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P1,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",79,open-8gears/n8n,2.0.1,,source-only,,not-in-modeled-top100,,1,0,true,true,remote-dependencies,not-needed,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P1,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",84,airflow-helm/airflow,8.9.0,,source-only,,not-in-modeled-top100,,2,0,true,true,remote-dependencies,not-needed,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P1,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",85,bitnami/postgresql-ha,16.3.2,,source-only,,not-in-modeled-top100,,1,1,true,true,remote-dependencies,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P1,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",86,renovate/renovate,46.168.0,,source-only,,not-in-modeled-top100,,1,1,true,true,remote-dependencies,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P0,chart-lock-digest,dependency lock records a Chart.lock digest or explains the source of the locked dependency list,90,falcosecurity/falco,8.0.5,falcosecurity/falco,exact-chart-ref,9.0.0,proof-grade,next80-proof-grade,3,3,true,true,remote-dependencies,blocked-until-chart-lock-digest,not-in-refresh-survival-surface,,modeled-version-lock-present,recipes/falcosecurity/falco/9.0.0/dependency-lock.yaml,9.0.0,3,1,0,false,falcosidekick;k8s-metacollector;falco-talon,https://falcosecurity.github.io/charts,record Chart.lock digest or explain why the dependency lock is source-derived rather than Chart.lock-derived
P1,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",91,superset/superset,0.15.5,,source-only,,not-in-modeled-top100,,4,1,true,true,remote-dependencies,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P1,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",96,bitnami/metallb,6.4.22,,source-only,,not-in-modeled-top100,,1,1,true,true,remote-dependencies,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P1,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",97,kong/kong,3.2.0,,source-only,,not-in-modeled-top100,,2,1,true,true,remote-dependencies,unrecorded-no-maintained-lock,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
P1,create-recipe-import-candidate,"recipe candidate exists with source lock, dependency lock, first base variant, render parity, and an explicit catalog decision",100,rook/rook-ceph,1.20.0-beta.0,,source-only,,not-in-modeled-top100,,1,0,true,true,remote-dependencies,not-needed,not-in-refresh-survival-surface,,source-only-no-maintained-recipe,,,0,0,0,false,,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer
