rank,chart,version,bucket,current_proof,recommended_first_base,quirks,user_must_provide,confighub_absorbs,next_action,pain_report
11,grafana/tempo,1.24.4,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 1/2, live parity 1/2)",local-persistent,extension-slots,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,resolve image digests for each affected variant before production OCI support,recipes/grafana/tempo/1.24.4/helm-pain-report.yaml
12,hashicorp/consul,2.0.0,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 1/2, live parity 1/2)",default-control-plane,webhooks;extension-slots;install-vs-upgrade-divergence;required-values;tpl;capabilities;rbac;storage,a StorageClass / storage decision; webhook/cert readiness at delivery time; mandatory chart inputs,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,recipes/hashicorp/consul/2.0.0/helm-pain-report.yaml
13,hashicorp/vault,0.32.0,ready-to-try,"catalog-supported-with-live-evidence (render parity 3/3, local live 2/3, live parity 1/3)",dev-mode,webhooks;extension-slots;required-values;tpl;capabilities;rbac;storage,a StorageClass / storage decision; webhook/cert readiness at delivery time; mandatory chart inputs,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,resolve image digests for each affected variant before production OCI support,recipes/hashicorp/vault/0.32.0/helm-pain-report.yaml
14,ingress-nginx/ingress-nginx,4.15.1,ready-to-try,"catalog-supported-with-live-evidence (render parity 3/3, local live 3/3, live parity 1/3)",internal-clusterip,webhooks;required-values;tpl;capabilities;rbac,webhook/cert readiness at delivery time; mandatory chart inputs,exact rendered objects with render parity and receipts,"record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope",recipes/ingress-nginx/ingress-nginx/4.15.1/helm-pain-report.yaml
15,jetstack/cert-manager,v1.20.2,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",crds-enabled,extension-slots,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,recipes/jetstack/cert-manager/v1.20.2/helm-pain-report.yaml
16,longhorn/longhorn,1.11.2,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",default,required-values;generated-facts;tpl;rbac,target facts at variant time; mandatory chart inputs,exact rendered objects with render parity and receipts; cluster lookups lifted into declared target facts,"choose the supported production base, then record explicit security acceptance or create a hardened base before claiming production support",recipes/longhorn/longhorn/1.11.2/helm-pain-report.yaml
17,metrics-server/metrics-server,3.13.0,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",default,generated-secrets;existing-secret;lookup;generated-facts;capabilities;rbac,an existing Secret for some bases (NOT built - chart ships no Secret toggle); target facts at variant time,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; cluster lookups lifted into declared target facts,image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,recipes/metrics-server/metrics-server/3.13.0/helm-pain-report.yaml
18,prometheus-community/kube-prometheus-stack,85.3.3,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",default,hooks;crds;generated-secrets;existing-secret;webhooks;extension-slots;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;rbac;storage,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time; mandatory chart inputs,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; hooks classified and routed (not silently executed); extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,"choose the supported production base, then record explicit security acceptance or create a hardened base before claiming production support",recipes/prometheus-community/kube-prometheus-stack/85.3.3/helm-pain-report.yaml
19,prometheus-community/prometheus,29.8.0,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",server-only-ephemeral,generated-secrets;extension-slots;required-values;generated-facts;tpl;capabilities;rbac;storage,a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,"choose the supported production base, then record explicit security acceptance or create a hardened base before claiming production support",recipes/prometheus-community/prometheus/29.8.0/helm-pain-report.yaml
20,secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,ready-to-try,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",default,extension-slots,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,"choose the supported production base, then record explicit security acceptance or create a hardened base before claiming production support",recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/helm-pain-report.yaml
21,traefik/traefik,40.2.0,not-ready-yet,"proof-grade-with-named-limitation (render parity 2/2, local live 2/2, live parity 0/2)",default (unreviewed first guess),crds;generated-secrets;existing-secret;webhooks;extension-slots;required-values;lookup;generated-facts;tpl;capabilities;rbac;storage,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time; mandatory chart inputs; a decision on the named limitation before use,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,review limitation before promotion: existing-secret (chart ships no Secret toggle),recipes/traefik/traefik/40.2.0/helm-pain-report.yaml
22,external-dns/external-dns,1.21.1,works-with-target-prerequisites,"proof-grade-ready-for-promotion-review (render parity 3/3, local live 3/3, live parity 0/3)",dry-run-txt-registry (unreviewed first guess),crds;existing-secret;extension-slots;required-values;tpl;rbac,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base); mandatory chart inputs,exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review,recipes/external-dns/external-dns/1.21.1/helm-pain-report.yaml
23,gitlab/gitlab-runner,0.89.0,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default (unreviewed first guess),existing-secret;extension-slots;generated-facts;tpl;capabilities,"an existing Secret for some bases (buildable — not yet run); target facts at variant time; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion,recipes/gitlab/gitlab-runner/0.89.0/helm-pain-report.yaml
24,kyverno/kyverno,3.8.1,not-ready-yet,"proof-grade-with-named-limitation (render parity 2/2, local live 1/2, live parity 0/2)",default (unreviewed first guess),hooks;crds;generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;rbac;storage,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); target facts at variant time; mandatory chart inputs; a decision on the named limitation before use,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; hooks classified and routed (not silently executed); extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,review limitation before promotion: existing-secret (chart ships no Secret toggle),recipes/kyverno/kyverno/3.8.1/helm-pain-report.yaml
25,cloudnative-pg/cloudnative-pg,0.28.2,works-with-target-prerequisites,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 1/2, live parity 0/2)",default (unreviewed first guess),crds;existing-secret;webhooks;extension-slots;generated-facts;tpl;rbac,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time,exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,run catalog promotion review,recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-pain-report.yaml
26,fluent/fluent-bit,0.57.6,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),hooks;extension-slots;tpl;capabilities;rbac,"your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; hooks classified and routed (not silently executed); extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/fluent/fluent-bit/0.57.6/helm-pain-report.yaml
27,runix/pgadmin4,1.62.0,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),existing-secret;extension-slots;required-values;tpl;capabilities;storage,"an existing Secret for some bases (buildable — not yet run); a StorageClass / storage decision; mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/runix/pgadmin4/1.62.0/helm-pain-report.yaml
28,nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default (unreviewed first guess),capabilities;rbac;storage,"a StorageClass / storage decision; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts,add at least one user-shaped variant before catalog promotion,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/helm-pain-report.yaml
29,kedacore/keda,2.19.0,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 1/2)",default (unreviewed first guess),crds;webhooks;extension-slots;tpl;capabilities;rbac,a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time,exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,"run APIService promotion review: choose supported base, target scope, CRD ownership path, and evidence refresh rule using the committed aggregation receipt",recipes/kedacore/keda/2.19.0/helm-pain-report.yaml
30,prometheus-community/kube-state-metrics,7.4.0,works-with-target-prerequisites,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",cluster-metrics-readonly (unreviewed first guess),existing-secret;extension-slots;generated-facts;tpl;capabilities;rbac;storage,an existing Secret for some bases (buildable — not yet run); a StorageClass / storage decision; target facts at variant time,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,run catalog promotion review,recipes/prometheus-community/kube-state-metrics/7.4.0/helm-pain-report.yaml
31,elastic/eck-operator,3.4.0,works-with-target-prerequisites,"proof-grade-ready-for-promotion-review (render parity 3/3, local live 3/3, live parity 0/3)",default (unreviewed first guess),crds;existing-secret;webhooks;extension-slots;required-values;tpl;capabilities;rbac;storage,an existing Secret for some bases (buildable — not yet run); a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; mandatory chart inputs,exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review,recipes/elastic/eck-operator/3.4.0/helm-pain-report.yaml
32,elastic/kibana,8.5.1,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default (unreviewed first guess),extension-slots;tpl,"your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/elastic/kibana/8.5.1/helm-pain-report.yaml
33,descheduler/descheduler,0.36.0,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),extension-slots;required-values;tpl;rbac,"mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/descheduler/descheduler/0.36.0/helm-pain-report.yaml
34,prometheus-community/prometheus-blackbox-exporter,11.10.0,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",cluster-metrics-readonly (unreviewed first guess),extension-slots;tpl;capabilities,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,run catalog promotion review,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/helm-pain-report.yaml
35,bitnami/elasticsearch,22.1.6,not-ready-yet,"proof-grade-with-named-limitation (render parity 2/2, local live 0/2, live parity 0/2)",default (unreviewed first guess),generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; target facts at variant time; mandatory chart inputs; a decision on the named limitation before use,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,review limitation before promotion: existing-secret (chart ships no Secret toggle),recipes/bitnami/elasticsearch/22.1.6/helm-pain-report.yaml
36,stakater/reloader,2.2.12,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",controller-default-reviewed (unreviewed first guess),extension-slots;tpl;capabilities;rbac,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,run catalog promotion review,recipes/stakater/reloader/2.2.12/helm-pain-report.yaml
37,jaegertracing/jaeger,4.8.0,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities,"an existing Secret for some bases (NOT built - chart ships no Secret toggle); target facts at variant time; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion,recipes/jaegertracing/jaeger/4.8.0/helm-pain-report.yaml
38,grafana/alloy,1.8.2,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",default (unreviewed first guess),crds;extension-slots;required-values;tpl;capabilities;rbac;storage,a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); mandatory chart inputs,exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review,recipes/grafana/alloy/1.8.2/helm-pain-report.yaml
39,nats/nats,2.14.0,works-with-target-prerequisites,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",default (unreviewed first guess),existing-secret;extension-slots;required-values;tpl,an existing Secret for some bases (buildable — not yet run); mandatory chart inputs,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,run catalog promotion review,recipes/nats/nats/2.14.0/helm-pain-report.yaml
40,dex/dex,0.24.0,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default (unreviewed first guess),existing-secret;extension-slots;tpl;capabilities;rbac,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/dex/dex/0.24.0/helm-pain-report.yaml
41,prometheus-community/alertmanager,1.37.0,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",default (unreviewed first guess),extension-slots;tpl;storage,a StorageClass / storage decision,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,run catalog promotion review,recipes/prometheus-community/alertmanager/1.37.0/helm-pain-report.yaml
42,falcosecurity/falco,9.0.0,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),existing-secret;extension-slots;required-values;lookup;tpl;capabilities;rbac;storage,"an existing Secret for some bases (buildable — not yet run); a StorageClass / storage decision; target facts at variant time; mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion,recipes/falcosecurity/falco/9.0.0/helm-pain-report.yaml
43,prometheus-community/prometheus-node-exporter,4.55.0,works-with-target-prerequisites,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",cluster-metrics-readonly (unreviewed first guess),existing-secret;extension-slots;required-values;generated-facts;tpl;capabilities;rbac,an existing Secret for some bases (buildable — not yet run); target facts at variant time; mandatory chart inputs,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,run catalog promotion review,recipes/prometheus-community/prometheus-node-exporter/4.55.0/helm-pain-report.yaml
44,bitnami/spark,10.0.3,not-ready-yet,"proof-grade-with-named-limitation (render parity 2/2, local live 0/2, live parity 0/2)",default (unreviewed first guess),generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities;storage,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; target facts at variant time; a decision on the named limitation before use,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,review limitation before promotion: existing-secret (chart ships no Secret toggle),recipes/bitnami/spark/10.0.3/helm-pain-report.yaml
45,elastic/logstash,8.5.1,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 1/2, live parity 0/2)",default (unreviewed first guess),extension-slots;tpl;capabilities;storage,a StorageClass / storage decision,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,run catalog promotion review,recipes/elastic/logstash/8.5.1/helm-pain-report.yaml
46,prometheus-community/prometheus-adapter,5.3.0,not-ready-yet,"proof-grade-with-named-limitation (render parity 2/2, local live 0/2, live parity 0/2)",default (unreviewed first guess),extension-slots;tpl;capabilities;rbac,a compatible Kubernetes target profile or a compatibility base,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,Keep prometheus-community/prometheus-adapter@5.3.0 proof-grade for this target profile. Promote only after an upstream chart version or explicit compatibility base renders a target-supported APIService object and passes the APIService runtime contract.,recipes/prometheus-community/prometheus-adapter/5.3.0/helm-pain-report.yaml
47,projectcalico/tigera-operator,v3.32.0,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default (unreviewed first guess),hooks;required-values;lookup;rbac,"target facts at variant time; mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; hooks classified and routed (not silently executed); cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion,recipes/projectcalico/tigera-operator/v3.32.0/helm-pain-report.yaml
48,fairwinds-stable/goldilocks,10.3.0,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),crds;generated-secrets;existing-secret;webhooks;extension-slots;lookup;generated-facts;tpl;capabilities;rbac,"an existing Secret for some bases (NOT built - chart ships no Secret toggle); a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion,recipes/fairwinds-stable/goldilocks/10.3.0/helm-pain-report.yaml
49,prometheus-community/prometheus-operator-crds,29.0.0,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),crds;existing-secret;generated-facts,"an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base); target facts at variant time; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; CRD handling split into explicit bases; cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion,recipes/prometheus-community/prometheus-operator-crds/29.0.0/helm-pain-report.yaml
50,bitnami/zookeeper,13.8.7,not-ready-yet,"proof-grade-with-named-limitation (render parity 2/2, local live 0/2, live parity 0/2)",default (unreviewed first guess),generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities;storage,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; target facts at variant time; a decision on the named limitation before use,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,review limitation before promotion: existing-secret (chart ships no Secret toggle),recipes/bitnami/zookeeper/13.8.7/helm-pain-report.yaml
51,elastic/filebeat,8.5.1,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",node-or-cluster-collector (unreviewed first guess),extension-slots;tpl;rbac,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,run catalog promotion review,recipes/elastic/filebeat/8.5.1/helm-pain-report.yaml
52,hashicorp/terraform,1.1.2,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",no-crds (unreviewed first guess),crds;required-values,a CRD ownership choice (crds vs no-crds base); mandatory chart inputs,exact rendered objects with render parity and receipts; CRD handling split into explicit bases,run catalog promotion review,recipes/hashicorp/terraform/1.1.2/helm-pain-report.yaml
53,coredns/coredns,1.45.2,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),existing-secret;extension-slots;required-values;generated-facts;tpl;capabilities;rbac,"an existing Secret for some bases (buildable — not yet run); target facts at variant time; mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion,recipes/coredns/coredns/1.45.2/helm-pain-report.yaml
