"persona","run_id","category","format","goal_code","goal","start_url","outcome","clicks","elapsed_ms","start_complete","start_matched_groups","first_click_accurate","matched_groups","total_groups","actionable","next_action_clear","disposition","evidence_url","evidence_title","evidence_excerpt","path"
"developer","developer-011","comprehension","mixed","D-C2","understand Catalog versus my own case","https://confighub.github.io/helm-expt/site/guides.html","success","3","158","no","1","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/ask.html","Check my config · Config Workshop","hop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Check your configuration &ldquo;Here is the chart and values my AI produced. Compare them","https://confighub.github.io/helm-expt/site/guides.html -> https://confighub.github.io/helm-expt/site/charts/index.html -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html -> https://confighub.github.io/helm-expt/site/ask.html"
"developer","developer-012","comprehension","mixed","D-C2","understand Catalog versus my own case","https://confighub.github.io/helm-expt/site/ask.html","success","0","21","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/ask.html","Check my config · Config Workshop","hop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Check your configuration &ldquo;Here is the chart and values my AI produced. Compare them","https://confighub.github.io/helm-expt/site/ask.html"
"developer","developer-013","comprehension","mixed","D-C2","understand Catalog versus my own case","https://confighub.github.io/helm-expt/site/charts/index.html","success","2","157","no","1","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/ask.html","Check my config · Config Workshop","hop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Check your configuration &ldquo;Here is the chart and values my AI produced. Compare them","https://confighub.github.io/helm-expt/site/charts/index.html -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html -> https://confighub.github.io/helm-expt/site/ask.html"
"developer","developer-014","comprehension","mixed","D-C2","understand Catalog versus my own case","https://confighub.github.io/helm-expt/site/try.html","success","0","19","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/try.html","Try Redis · Config Workshop","hop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Try a simple example: Redis Runs on your laptop Render one reviewed Redis configuration a","https://confighub.github.io/helm-expt/site/try.html"
"developer","developer-015","comprehension","mixed","D-C2","understand Catalog versus my own case","https://confighub.github.io/helm-expt/site/testing.html","success","4","100","no","1","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/ask.html","Check my config · Config Workshop","hop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Check your configuration &ldquo;Here is the chart and values my AI produced. Compare them","https://confighub.github.io/helm-expt/site/testing.html -> https://confighub.github.io/helm-expt/site/d/data/helm-catalog-readmes/spaces/byo-nginx-ai-values-24-0-2-reviewed/README.html -> https://confighub.github.io/helm-expt/site/charts/index.html -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html -> https://confighub.github.io/helm-expt/site/ask.html"
"developer","developer-016","comprehension","mixed","D-C2","understand Catalog versus my own case","https://confighub.github.io/helm-expt/site/how-it-works.html","success","3","83","no","1","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/ask.html","Check my config · Config Workshop","hop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Check your configuration &ldquo;Here is the chart and values my AI produced. Compare them","https://confighub.github.io/helm-expt/site/how-it-works.html -> https://confighub.github.io/helm-expt/site/charts/index.html -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html -> https://confighub.github.io/helm-expt/site/ask.html"
"developer","developer-017","comprehension","mixed","D-C2","understand Catalog versus my own case","https://confighub.github.io/helm-expt/site/docs.html","success","3","79","no","1","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/ask.html","Check my config · Config Workshop","hop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Check your configuration &ldquo;Here is the chart and values my AI produced. Compare them","https://confighub.github.io/helm-expt/site/docs.html -> https://confighub.github.io/helm-expt/site/charts/index.html -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html -> https://confighub.github.io/helm-expt/site/ask.html"
"developer","developer-018","comprehension","mixed","D-C2","understand Catalog versus my own case","https://confighub.github.io/helm-expt/site/confighub.html","success","3","87","no","1","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/ask.html","Check my config · Config Workshop","hop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Check your configuration &ldquo;Here is the chart and values my AI produced. Compare them","https://confighub.github.io/helm-expt/site/confighub.html -> https://confighub.github.io/helm-expt/site/charts/index.html -> https://confighub.github.io/helm-expt/site/d/docs/reference/how-the-catalog-is-built.html -> https://confighub.github.io/helm-expt/site/ask.html"
"developer","developer-019","comprehension","Helm","D-C3","understand cub installer","https://confighub.github.io/helm-expt/site/index.html","success","0","20","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/index.html","Config Workshop · Understand and test your configuration","ations Try Redis catalog package → files + OCI · no cluster touched $ cub installer setup \ --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitnami-redis:25.5.3 \ --base reuse-existing-secret \ --namespace redis","https://confighub.github.io/helm-expt/site/index.html"
"developer","developer-020","comprehension","Helm","D-C3","understand cub installer","https://confighub.github.io/helm-expt/site/guides.html","success","1","42","no","1","yes","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/try.html","Try Redis · Config Workshop","H=""$HOME/.confighub/bin:$PATH"" cub plugin install confighub/installer cub installer version kustomize version The plugin release contains the program for your operating system. You do not need Go. If cub is already installed, run cub","https://confighub.github.io/helm-expt/site/guides.html -> https://confighub.github.io/helm-expt/site/try.html"
"developer","developer-021","comprehension","Helm","D-C3","understand cub installer","https://confighub.github.io/helm-expt/site/ask.html","success","2","61","no","1","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/try.html#install-cub","Try Redis · Config Workshop","H=""$HOME/.confighub/bin:$PATH"" cub plugin install confighub/installer cub installer version kustomize version The plugin release contains the program for your operating system. You do not need Go. If cub is already installed, run cub","https://confighub.github.io/helm-expt/site/ask.html -> https://confighub.github.io/helm-expt/site/ask.html#ignored-values -> https://confighub.github.io/helm-expt/site/try.html#install-cub"
"developer","developer-022","comprehension","Helm","D-C3","understand cub installer","https://confighub.github.io/helm-expt/site/charts/index.html","success","3","172","no","1","yes","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/try.html#install-cub","Try Redis · Config Workshop","H=""$HOME/.confighub/bin:$PATH"" cub plugin install confighub/installer cub installer version kustomize version The plugin release contains the program for your operating system. You do not need Go. If cub is already installed, run cub","https://confighub.github.io/helm-expt/site/charts/index.html -> https://confighub.github.io/helm-expt/site/how-it-works.html#setting-sources -> https://confighub.github.io/helm-expt/site/d/docs/user/cub-deployment-path.html -> https://confighub.github.io/helm-expt/site/try.html#install-cub"
"developer","developer-023","comprehension","Helm","D-C3","understand cub installer","https://confighub.github.io/helm-expt/site/try.html","success","0","22","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/try.html","Try Redis · Config Workshop","H=""$HOME/.confighub/bin:$PATH"" cub plugin install confighub/installer cub installer version kustomize version The plugin release contains the program for your operating system. You do not need Go. If cub is already installed, run cub","https://confighub.github.io/helm-expt/site/try.html"
"developer","developer-024","comprehension","Helm","D-C3","understand cub installer","https://confighub.github.io/helm-expt/site/testing.html","success","0","20","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/testing.html","Worked Examples · Config Workshop","change ConfigHub data require you to sign in. What this command does. cub installer is a released, open-source plugin for the cub CLI. cub installer setup pulls a catalog package and writes its Kubernetes files locally. It does not a","https://confighub.github.io/helm-expt/site/testing.html"
"developer","developer-025","comprehension","Helm","D-C3","understand cub installer","https://confighub.github.io/helm-expt/site/how-it-works.html","success","2","58","no","2","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/try.html#install-cub","Try Redis · Config Workshop","H=""$HOME/.confighub/bin:$PATH"" cub plugin install confighub/installer cub installer version kustomize version The plugin release contains the program for your operating system. You do not need Go. If cub is already installed, run cub","https://confighub.github.io/helm-expt/site/how-it-works.html -> https://confighub.github.io/helm-expt/site/d/docs/user/cub-deployment-path.html -> https://confighub.github.io/helm-expt/site/try.html#install-cub"
"developer","developer-026","comprehension","Helm","D-C3","understand cub installer","https://confighub.github.io/helm-expt/site/docs.html","success","1","35","no","1","yes","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/d/docs/user/helm-presets-and-values.html","Helm Chart Presets And Values · Config Workshop","Installer package OCI ref The public package address users pull with cub installer setup --pull oci://... . Package base The generated package users can inspect and try. Evidence lanes The checks, receipts, scans, and live observati","https://confighub.github.io/helm-expt/site/docs.html -> https://confighub.github.io/helm-expt/site/d/docs/user/helm-presets-and-values.html"
"developer","developer-027","comprehension","Helm","D-C3","understand cub installer","https://confighub.github.io/helm-expt/site/confighub.html","success","1","41","no","1","yes","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/try.html#install-cub","Try Redis · Config Workshop","H=""$HOME/.confighub/bin:$PATH"" cub plugin install confighub/installer cub installer version kustomize version The plugin release contains the program for your operating system. You do not need Go. If cub is already installed, run cub","https://confighub.github.io/helm-expt/site/confighub.html -> https://confighub.github.io/helm-expt/site/try.html#install-cub"
"developer","developer-028","comprehension","mixed","D-C4","understand what ConfigHub adds","https://confighub.github.io/helm-expt/site/index.html","success","0","17","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/index.html","Config Workshop · Understand and test your configuration","OOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Helm first · AICR, OCI and YAML also supported See What Your Configuration Will Do See the exact Kubernetes objects before you deploy. Compare them w","https://confighub.github.io/helm-expt/site/index.html"
"developer","developer-029","comprehension","mixed","D-C4","understand what ConfigHub adds","https://confighub.github.io/helm-expt/site/guides.html","success","0","18","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/guides.html","Guides · Config Workshop","OOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Learn this by doing it Three guides, shortest first. Each one runs real commands against real packages, so you finish with output you can check rathe","https://confighub.github.io/helm-expt/site/guides.html"
"developer","developer-030","comprehension","mixed","D-C4","understand what ConfigHub adds","https://confighub.github.io/helm-expt/site/ask.html","success","0","20","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/ask.html","Check my config · Config Workshop","OOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Check your configuration &ldquo;Here is the chart and values my AI produced. Compare them with the chart defaults, the Catalog, and what I run now. T","https://confighub.github.io/helm-expt/site/ask.html"
"developer","developer-031","comprehension","mixed","D-C4","understand what ConfigHub adds","https://confighub.github.io/helm-expt/site/charts/index.html","success","0","29","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/charts/index.html","Component Catalog · Config Workshop","OOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Find a Tested Configuration Runs on your laptop Choose a tested starting configuration for a Helm component or an AI infrastructure stack. Helm is th","https://confighub.github.io/helm-expt/site/charts/index.html"
"developer","developer-032","comprehension","mixed","D-C4","understand what ConfigHub adds","https://confighub.github.io/helm-expt/site/try.html","success","0","18","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/try.html","Try Redis · Config Workshop","OOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Try a simple example: Redis Runs on your laptop Render one reviewed Redis configuration and inspect the 14 Kubernetes objects it creates: 13 from the","https://confighub.github.io/helm-expt/site/try.html"
"developer","developer-033","comprehension","mixed","D-C4","understand what ConfigHub adds","https://confighub.github.io/helm-expt/site/testing.html","success","0","20","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/testing.html","Worked Examples · Config Workshop","OOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Choose a worked example Runs on your laptop Choose the kind of configuration you have, then follow one worked example to exact Kubernetes objects and","https://confighub.github.io/helm-expt/site/testing.html"
"developer","developer-034","comprehension","mixed","D-C4","understand what ConfigHub adds","https://confighub.github.io/helm-expt/site/how-it-works.html","success","0","17","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/how-it-works.html","Choose How To Deploy It · Config Workshop","OOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Choose how to deploy it Come here after you have inspected the Kubernetes objects. They may have come from Helm, an AICR recipe for AI infrastructure","https://confighub.github.io/helm-expt/site/how-it-works.html"
"developer","developer-035","comprehension","mixed","D-C4","understand what ConfigHub adds","https://confighub.github.io/helm-expt/site/docs.html","success","0","18","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/docs.html","Docs · Config Workshop","OOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigHub Find instructions for the step you are doing Choose the question closest to your current work. Each link opens the commands, example, or evidence you","https://confighub.github.io/helm-expt/site/docs.html"
"developer","developer-036","comprehension","mixed","D-C4","understand what ConfigHub adds","https://confighub.github.io/helm-expt/site/confighub.html","success","0","18","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/confighub.html","Use ConfigHub · Config Workshop","Use ConfigHub · Config Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigH","https://confighub.github.io/helm-expt/site/confighub.html"
"developer","developer-037","navigation","Helm","D-N1","find a checked Redis configuration","https://confighub.github.io/helm-expt/site/index.html","success","0","18","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/index.html","Config Workshop · Understand and test your configuration","and cluster record. Check my config Search tested configurations Try Redis catalog package → files + OCI · no cluster touched $ cub installer setup \ --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bitn","https://confighub.github.io/helm-expt/site/index.html"
"developer","developer-038","navigation","Helm","D-N1","find a checked Redis configuration","https://confighub.github.io/helm-expt/site/guides.html","success","0","17","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/guides.html","Guides · Config Workshop","es Follow one package end to end The longest guide. It takes a single Redis configuration through pulling, inspecting, verifying, changing, and upgrading, and shows what stays the same across versions. Open the detailed walkt","https://confighub.github.io/helm-expt/site/guides.html"
"developer","developer-039","navigation","Helm","D-N1","find a checked Redis configuration","https://confighub.github.io/helm-expt/site/ask.html","success","1","46","no","1","yes","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/charts/index.html","Component Catalog · Config Workshop","static-passwords , existing-secret 2 packaged configurations bitnami/redis Databases and messaging Successors recorded: cloudpirates/redis · valkey/valkey 27.0.0 receipt 25.5.3 receipt reuse-existing-secret Recommended confi","https://confighub.github.io/helm-expt/site/ask.html -> https://confighub.github.io/helm-expt/site/charts/index.html"
"developer","developer-040","navigation","Helm","D-N1","find a checked Redis configuration","https://confighub.github.io/helm-expt/site/charts/index.html","success","0","25","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/charts/index.html","Component Catalog · Config Workshop","static-passwords , existing-secret 2 packaged configurations bitnami/redis Databases and messaging Successors recorded: cloudpirates/redis · valkey/valkey 27.0.0 receipt 25.5.3 receipt reuse-existing-secret Recommended confi","https://confighub.github.io/helm-expt/site/charts/index.html"
"developer","developer-041","navigation","Helm","D-N1","find a checked Redis configuration","https://confighub.github.io/helm-expt/site/try.html","success","0","17","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/try.html","Try Redis · Config Workshop","Try Redis · Config Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Catalog Check my config Promote my config Deployment Docs ConfigH","https://confighub.github.io/helm-expt/site/try.html"
"developer","developer-042","navigation","Helm","D-N1","find a checked Redis configuration","https://confighub.github.io/helm-expt/site/testing.html","success","0","22","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/testing.html","Worked Examples · Config Workshop","ds a render alone cannot show. 1. Start with a configuration See what Redis installs, before you install it Turn the published Redis package into the exact Kubernetes files it produces. You need no account, no login, and no c","https://confighub.github.io/helm-expt/site/testing.html"
"developer","developer-043","navigation","Helm","D-N1","find a checked Redis configuration","https://confighub.github.io/helm-expt/site/how-it-works.html","success","0","21","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/how-it-works.html","Choose How To Deploy It · Config Workshop","le somewhere a controller can pull: flux push artifact oci://REGISTRY/redis-rendered:v1 --path ./redis/out/manifests --source local --revision v1 (or oras cp the local layout). kubectl kubectl apply -f ./redis/out/manifests/","https://confighub.github.io/helm-expt/site/how-it-works.html"
"developer","developer-044","navigation","Helm","D-N1","find a checked Redis configuration","https://confighub.github.io/helm-expt/site/docs.html","success","0","17","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/docs.html","Docs · Config Workshop","nfigHub. Start with a configuration Can I try one simple package? Try Redis for a short local exercise with no server, cluster, or account. Can I try one AICR configuration without a GPU? Pull and verify the seven-Application","https://confighub.github.io/helm-expt/site/docs.html"
"developer","developer-045","navigation","Helm","D-N1","find a checked Redis configuration","https://confighub.github.io/helm-expt/site/confighub.html","success","0","21","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/confighub.html","Use ConfigHub · Config Workshop","r release digest. External effects remain outside the rollback claim. Redis promotion and rollback Compare desired with live The approved desired objects and a separately dated live observation. Desired and live comparison Ro","https://confighub.github.io/helm-expt/site/confighub.html"
"developer","developer-046","navigation","Helm","D-N2","find help for AI-written Helm values","https://confighub.github.io/helm-expt/site/index.html","success","0","21","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/index.html","Config Workshop · Understand and test your configuration","ck my config Promote my config Deployment Docs ConfigHub Helm first · AICR, OCI and YAML also supported See What Your Configuration Will Do See the exact Kubernetes objects before you deploy. Compare them with a tested Cat","https://confighub.github.io/helm-expt/site/index.html"
"developer","developer-047","navigation","Helm","D-N2","find help for AI-written Helm values","https://confighub.github.io/helm-expt/site/guides.html","success","0","21","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/guides.html","Guides · Config Workshop","doing it Three guides, shortest first. Each one runs real commands against real packages, so you finish with output you can check rather than a description of what would happen. The first needs no account, no server, and","https://confighub.github.io/helm-expt/site/guides.html"
"developer","developer-048","navigation","Helm","D-N2","find help for AI-written Helm values","https://confighub.github.io/helm-expt/site/ask.html","success","0","22","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/ask.html","Check my config · Config Workshop","igHub Check your configuration &ldquo;Here is the chart and values my AI produced. Compare them with the chart defaults, the Catalog, and what I run now. Tell me what matters, then give me a reviewed result I can keep.&rdq","https://confighub.github.io/helm-expt/site/ask.html"
"developer","developer-049","navigation","Helm","D-N2","find help for AI-written Helm values","https://confighub.github.io/helm-expt/site/charts/index.html","success","0","22","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/charts/index.html","Component Catalog · Config Workshop","top Choose a tested starting configuration for a Helm component or an AI infrastructure stack. Helm is the largest section. Each chart page shows the values, rendered Kubernetes objects, required setup, checks, and known l","https://confighub.github.io/helm-expt/site/charts/index.html"
"developer","developer-050","navigation","Helm","D-N2","find help for AI-written Helm values","https://confighub.github.io/helm-expt/site/try.html","success","0","19","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/try.html","Try Redis · Config Workshop","taller cub installer version kustomize version The plugin release contains the program for your operating system. You do not need Go. If cub is already installed, run cub upgrade first. Upgrade the plugin separately with c","https://confighub.github.io/helm-expt/site/try.html"
"developer","developer-051","navigation","Helm","D-N2","find help for AI-written Helm values","https://confighub.github.io/helm-expt/site/testing.html","success","0","24","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/testing.html","Worked Examples · Config Workshop","t redis/redis-existing-secret yourself. These 14 files were checked against Helm's own output and matched. See the detailed Redis walkthrough for the recorded parity, upgrade, and rollback evidence. To keep an edit to the","https://confighub.github.io/helm-expt/site/testing.html"
"developer","developer-052","navigation","Helm","D-N2","find help for AI-written Helm values","https://confighub.github.io/helm-expt/site/how-it-works.html","success","0","19","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/how-it-works.html","Choose How To Deploy It · Config Workshop","ve inspected the Kubernetes objects. They may have come from Helm, an AICR recipe for AI infrastructure, cub installer, OCI, or plain YAML. You can stop with local files, publish them directly as OCI, or save them in Confi","https://confighub.github.io/helm-expt/site/how-it-works.html"
"developer","developer-053","navigation","Helm","D-N2","find help for AI-written Helm values","https://confighub.github.io/helm-expt/site/docs.html","success","0","19","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/docs.html","Docs · Config Workshop",", example, or evidence you need. Use these guides for commands and detailed instructions for Helm, AICR, OCI, YAML, and ConfigHub. Start with a configuration Can I try one simple package? Try Redis for a short local exerci","https://confighub.github.io/helm-expt/site/docs.html"
"developer","developer-054","navigation","Helm","D-N2","find help for AI-written Helm values","https://confighub.github.io/helm-expt/site/confighub.html","success","0","18","yes","3","no","3","3","yes","yes","continue","https://confighub.github.io/helm-expt/site/confighub.html","Use ConfigHub · Config Workshop","cluster. 2. See one exact handoff A worked NGINX example starts with AI-written Helm values. The review keeps the requested three replicas, removes six risky settings, and produces 5 Kubernetes objects. We calculate one h","https://confighub.github.io/helm-expt/site/confighub.html"
"developer","developer-055","navigation","AICR","D-N3","find the AICR starting example","https://confighub.github.io/helm-expt/site/index.html","success","0","21","yes","2","no","2","2","yes","yes","continue","https://confighub.github.io/helm-expt/site/index.html","Config Workshop · Understand and test your configuration","ck my config Promote my config Deployment Docs ConfigHub Helm first · AICR, OCI and YAML also supported See What Your Configuration Will Do See the exact Kubernetes objects before you deploy. Compare them with a tested Catal","https://confighub.github.io/helm-expt/site/index.html"
