chart,catalog_scope,built_variants,extension_slot_status,control_point_status,surfaces,current_route,evidence
bitnami/opensearch@2.0.10,top100-proof,default+ha,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/bitnami/opensearch/2.0.10/control-points.yaml;recipes/bitnami/opensearch/2.0.10/helm-pain-report.yaml
bitnami/phpmyadmin@20.0.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/bitnami/phpmyadmin/20.0.0/control-points.yaml;recipes/bitnami/phpmyadmin/20.0.0/helm-pain-report.yaml
bitnami/spark@10.0.3,top100-proof,default+ha,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/bitnami/spark/10.0.3/control-points.yaml;recipes/bitnami/spark/10.0.3/helm-pain-report.yaml
bitnami/zookeeper@13.8.7,top100-proof,default+ha,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/bitnami/zookeeper/13.8.7/control-points.yaml;recipes/bitnami/zookeeper/13.8.7/helm-pain-report.yaml
cloudnative-pg/cloudnative-pg@0.28.2,top100-proof,default+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/cloudnative-pg/cloudnative-pg/0.28.2/control-points.yaml;recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-pain-report.yaml
coredns/coredns@1.45.2,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/coredns/coredns/1.45.2/control-points.yaml;recipes/coredns/coredns/1.45.2/helm-pain-report.yaml
crossplane-stable/crossplane@2.3.1,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/crossplane-stable/crossplane/2.3.1/control-points.yaml;recipes/crossplane-stable/crossplane/2.3.1/helm-pain-report.yaml
descheduler/descheduler@0.36.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/descheduler/descheduler/0.36.0/control-points.yaml;recipes/descheduler/descheduler/0.36.0/helm-pain-report.yaml
dex/dex@0.24.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/dex/dex/0.24.0/control-points.yaml;recipes/dex/dex/0.24.0/helm-pain-report.yaml
elastic/eck-operator@3.4.0,top100-proof,default+ha+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/elastic/eck-operator/3.4.0/control-points.yaml;recipes/elastic/eck-operator/3.4.0/helm-pain-report.yaml
elastic/filebeat@8.5.1,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/elastic/filebeat/8.5.1/control-points.yaml;recipes/elastic/filebeat/8.5.1/helm-pain-report.yaml
elastic/kibana@8.5.1,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/elastic/kibana/8.5.1/control-points.yaml;recipes/elastic/kibana/8.5.1/helm-pain-report.yaml
elastic/logstash@8.5.1,top100-proof,default+ha,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/elastic/logstash/8.5.1/control-points.yaml;recipes/elastic/logstash/8.5.1/helm-pain-report.yaml
elastic/metricbeat@8.5.1,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/elastic/metricbeat/8.5.1/control-points.yaml;recipes/elastic/metricbeat/8.5.1/helm-pain-report.yaml
external-dns/external-dns@1.21.1,top100-proof,default+dry-run-txt-registry+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/external-dns/external-dns/1.21.1/control-points.yaml;recipes/external-dns/external-dns/1.21.1/helm-pain-report.yaml
fairwinds-stable/goldilocks@10.3.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/fairwinds-stable/goldilocks/10.3.0/control-points.yaml;recipes/fairwinds-stable/goldilocks/10.3.0/helm-pain-report.yaml
fairwinds-stable/vpa@4.11.0,top100-proof,default+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/fairwinds-stable/vpa/4.11.0/control-points.yaml;recipes/fairwinds-stable/vpa/4.11.0/helm-pain-report.yaml
falcosecurity/falco@9.0.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/falcosecurity/falco/9.0.0/control-points.yaml;recipes/falcosecurity/falco/9.0.0/helm-pain-report.yaml
falcosecurity/falcosidekick@0.13.1,top100-proof,default,yes — per-use review,extension-slots:source-signal-recorded,raw/extra manifests,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/falcosecurity/falcosidekick/0.13.1/control-points.yaml;recipes/falcosecurity/falcosidekick/0.13.1/helm-pain-report.yaml
fluent/fluent-bit@0.57.6,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/fluent/fluent-bit/0.57.6/control-points.yaml;recipes/fluent/fluent-bit/0.57.6/helm-pain-report.yaml
fluent/fluentd@0.5.3,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/fluent/fluentd/0.5.3/control-points.yaml;recipes/fluent/fluentd/0.5.3/helm-pain-report.yaml
gatekeeper/gatekeeper@3.22.2,top100-proof,default+no-crds,yes — per-use review,extension-slots:source-signal-recorded,raw/extra manifests,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/gatekeeper/gatekeeper/3.22.2/control-points.yaml;recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml
gitlab/gitlab-runner@0.89.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/gitlab/gitlab-runner/0.89.0/control-points.yaml;recipes/gitlab/gitlab-runner/0.89.0/helm-pain-report.yaml
grafana/alloy@1.8.2,top100-proof,default+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/grafana/alloy/1.8.2/control-points.yaml;recipes/grafana/alloy/1.8.2/helm-pain-report.yaml
grafana/promtail@6.17.1,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/grafana/promtail/6.17.1/control-points.yaml;recipes/grafana/promtail/6.17.1/helm-pain-report.yaml
grafana/pyroscope@2.0.2,top100-proof,default+ha+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/grafana/pyroscope/2.0.2/control-points.yaml;recipes/grafana/pyroscope/2.0.2/helm-pain-report.yaml
grafana/rollout-operator@0.49.0,top100-proof,default+no-crds,yes — per-use review,extension-slots:source-signal-recorded,raw/extra manifests,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/grafana/rollout-operator/0.49.0/control-points.yaml;recipes/grafana/rollout-operator/0.49.0/helm-pain-report.yaml
haproxytech/kubernetes-ingress@1.52.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/haproxytech/kubernetes-ingress/1.52.0/control-points.yaml;recipes/haproxytech/kubernetes-ingress/1.52.0/helm-pain-report.yaml
istio/istiod@1.30.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/istio/istiod/1.30.0/control-points.yaml;recipes/istio/istiod/1.30.0/helm-pain-report.yaml
jaegertracing/jaeger-operator@2.57.0,top100-proof,default+no-crds,yes — per-use review,extension-slots:source-signal-recorded,raw/extra manifests,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/jaegertracing/jaeger-operator/2.57.0/control-points.yaml;recipes/jaegertracing/jaeger-operator/2.57.0/helm-pain-report.yaml
jaegertracing/jaeger@4.8.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/jaegertracing/jaeger/4.8.0/control-points.yaml;recipes/jaegertracing/jaeger/4.8.0/helm-pain-report.yaml
jetstack/trust-manager@v0.22.1,top100-proof,default+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/jetstack/trust-manager/v0.22.1/control-points.yaml;recipes/jetstack/trust-manager/v0.22.1/helm-pain-report.yaml
kedacore/keda@2.19.0,top100-proof,default+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/kedacore/keda/2.19.0/control-points.yaml;recipes/kedacore/keda/2.19.0/helm-pain-report.yaml
kyverno/kyverno-policies@3.8.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/kyverno/kyverno-policies/3.8.0/control-points.yaml;recipes/kyverno/kyverno-policies/3.8.0/helm-pain-report.yaml
kyverno/kyverno@3.8.1,top100-proof,default+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/kyverno/kyverno/3.8.1/control-points.yaml;recipes/kyverno/kyverno/3.8.1/helm-pain-report.yaml
minio-operator/tenant@7.1.1,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/minio-operator/tenant/7.1.1/control-points.yaml;recipes/minio-operator/tenant/7.1.1/helm-pain-report.yaml
nats/nack@0.34.0,top100-proof,default+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/nats/nack/0.34.0/control-points.yaml;recipes/nats/nack/0.34.0/helm-pain-report.yaml
nats/nats@2.14.0,top100-proof,default+ha,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/nats/nats/2.14.0/control-points.yaml;recipes/nats/nats/2.14.0/helm-pain-report.yaml
nats/surveyor@0.20.9,top100-proof,default,yes — per-use review,extension-slots:source-signal-recorded,raw/extra manifests,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/nats/surveyor/0.20.9/control-points.yaml;recipes/nats/surveyor/0.20.9/helm-pain-report.yaml
open-telemetry/opentelemetry-operator@0.114.0,top100-proof,default+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/open-telemetry/opentelemetry-operator/0.114.0/control-points.yaml;recipes/open-telemetry/opentelemetry-operator/0.114.0/helm-pain-report.yaml
opencost/opencost@2.5.21,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/opencost/opencost/2.5.21/control-points.yaml;recipes/opencost/opencost/2.5.21/helm-pain-report.yaml
percona/pxc-operator@1.19.1,top100-proof,default+no-crds,yes — per-use review,extension-slots:source-signal-recorded,raw/extra manifests,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/percona/pxc-operator/1.19.1/control-points.yaml;recipes/percona/pxc-operator/1.19.1/helm-pain-report.yaml
prometheus-community/alertmanager@1.37.0,top100-proof,default+ha,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/prometheus-community/alertmanager/1.37.0/control-points.yaml;recipes/prometheus-community/alertmanager/1.37.0/helm-pain-report.yaml
prometheus-community/kube-state-metrics@7.4.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/prometheus-community/kube-state-metrics/7.4.0/control-points.yaml;recipes/prometheus-community/kube-state-metrics/7.4.0/helm-pain-report.yaml
prometheus-community/prometheus-adapter@5.3.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/prometheus-community/prometheus-adapter/5.3.0/control-points.yaml;recipes/prometheus-community/prometheus-adapter/5.3.0/helm-pain-report.yaml
prometheus-community/prometheus-blackbox-exporter@11.10.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/control-points.yaml;recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/helm-pain-report.yaml
prometheus-community/prometheus-node-exporter@4.55.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/prometheus-community/prometheus-node-exporter/4.55.0/control-points.yaml;recipes/prometheus-community/prometheus-node-exporter/4.55.0/helm-pain-report.yaml
prometheus-community/prometheus-pushgateway@3.6.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/prometheus-community/prometheus-pushgateway/3.6.0/control-points.yaml;recipes/prometheus-community/prometheus-pushgateway/3.6.0/helm-pain-report.yaml
rook-release/rook-ceph-cluster@v1.19.5,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/rook-release/rook-ceph-cluster/v1.19.5/control-points.yaml;recipes/rook-release/rook-ceph-cluster/v1.19.5/helm-pain-report.yaml
runix/pgadmin4@1.62.0,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/runix/pgadmin4/1.62.0/control-points.yaml;recipes/runix/pgadmin4/1.62.0/helm-pain-report.yaml
sealed-secrets/sealed-secrets@2.18.6,top100-proof,default+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/sealed-secrets/sealed-secrets/2.18.6/control-points.yaml;recipes/sealed-secrets/sealed-secrets/2.18.6/helm-pain-report.yaml
stakater/reloader@2.2.12,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/stakater/reloader/2.2.12/control-points.yaml;recipes/stakater/reloader/2.2.12/helm-pain-report.yaml
strimzi/strimzi-kafka-operator@1.0.0,top100-proof,default+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/strimzi/strimzi-kafka-operator/1.0.0/control-points.yaml;recipes/strimzi/strimzi-kafka-operator/1.0.0/helm-pain-report.yaml
traefik/traefik@40.2.0,top100-proof,default+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/traefik/traefik/40.2.0/control-points.yaml;recipes/traefik/traefik/40.2.0/helm-pain-report.yaml
velero/velero@12.0.1,top100-proof,default+no-crds,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/velero/velero/12.0.1/control-points.yaml;recipes/velero/velero/12.0.1/helm-pain-report.yaml
vm/victoria-logs-single@0.12.5,top100-proof,default,yes — per-use review,tpl-extension-slots:source-signal-recorded,tpl-powered values,"keep empty in supported bases, or make a reviewed installer base when populated",data/chart-facts/chart-facts.csv;recipes/vm/victoria-logs-single/0.12.5/control-points.yaml;recipes/vm/victoria-logs-single/0.12.5/helm-pain-report.yaml
