proof_surface_rank,chart,answer,plain_english,first_action,recommended_base_or_variant,command_or_file,strongest_evidence,render_parity,live_summary,first_promotion_wave,promotion_wave_first_step,promotion_wave_gaps,hard_gap,production_note,catalog_path,helm_pain_report
11,grafana/tempo@1.24.4,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",local-persistent,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/grafana-tempo:1.24.4 --base local-persistent --work-dir <tmp> --non-interactive --namespace tempo,live-helm-vs-confighub-parity,2/2,local:1/2 gitops:1/2 live-parity:1/2 two-cluster:2/2,no,-,-,ha (tempo single-binary chart; HA is the separate tempo-distributed chart),Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/grafana/tempo/1.24.4/CATALOG.md,recipes/grafana/tempo/1.24.4/helm-pain-report.yaml
12,hashicorp/consul@2.0.0,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",default-control-plane,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/hashicorp-consul:2.0.0 --base default-control-plane --work-dir <tmp> --non-interactive --namespace consul,live-helm-vs-confighub-parity,2/2,local:1/2 gitops:1/2 live-parity:1/2 two-cluster:2/2,no,-,-,ha (curated proof lane - bespoke teaching needed),Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/hashicorp/consul/2.0.0/CATALOG.md,recipes/hashicorp/consul/2.0.0/helm-pain-report.yaml
13,hashicorp/vault@0.32.0,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",default,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/hashicorp-vault:0.32.0 --base default --work-dir <tmp> --non-interactive --namespace vault,live-helm-vs-confighub-parity,3/3,local:2/3 gitops:2/3 live-parity:2/3 two-cluster:3/3,no,-,-,-,Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/hashicorp/vault/0.32.0/CATALOG.md,recipes/hashicorp/vault/0.32.0/helm-pain-report.yaml
14,ingress-nginx/ingress-nginx@4.15.1,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",internal-clusterip,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/ingress-nginx-ingress-nginx:4.15.1 --base internal-clusterip --work-dir <tmp> --non-interactive --namespace ingress-nginx,live-helm-vs-confighub-parity,3/3,local:3/3 gitops:3/3 live-parity:3/3 two-cluster:3/3,no,-,-,-,Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/ingress-nginx/ingress-nginx/4.15.1/CATALOG.md,recipes/ingress-nginx/ingress-nginx/4.15.1/helm-pain-report.yaml
15,jetstack/cert-manager@v1.20.2,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",crds-enabled,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/jetstack-cert-manager:v1.20.2 --base crds-enabled --work-dir <tmp> --non-interactive --namespace cert-manager,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,no,-,-,-,Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/jetstack/cert-manager/v1.20.2/CATALOG.md,recipes/jetstack/cert-manager/v1.20.2/helm-pain-report.yaml
16,longhorn/longhorn@1.11.2,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",default,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/longhorn-longhorn:1.11.2 --base default --work-dir <tmp> --non-interactive --namespace longhorn-system,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,no,-,-,-,Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/longhorn/longhorn/1.11.2/CATALOG.md,recipes/longhorn/longhorn/1.11.2/helm-pain-report.yaml
17,metrics-server/metrics-server@3.13.0,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",default,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/metrics-server-metrics-server:3.13.0 --base default --work-dir <tmp> --non-interactive --namespace kube-system,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,no,-,-,existing-secret (chart ships no Secret toggle),Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/metrics-server/metrics-server/3.13.0/CATALOG.md,recipes/metrics-server/metrics-server/3.13.0/helm-pain-report.yaml
18,prometheus-community/kube-prometheus-stack@85.3.3,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",default (render-only),cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack:85.3.3 --base default --work-dir <tmp> --non-interactive --namespace monitoring,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:0/2,no,-,-,-,Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/prometheus-community/kube-prometheus-stack/85.3.3/CATALOG.md,recipes/prometheus-community/kube-prometheus-stack/85.3.3/helm-pain-report.yaml
19,prometheus-community/prometheus@29.8.0,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",server-only-ephemeral (render-only),cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus:29.8.0 --base server-only-ephemeral --work-dir <tmp> --non-interactive --namespace monitoring,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:0/2,no,-,-,ha (curated proof lane - bespoke teaching needed),Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/prometheus-community/prometheus/29.8.0/CATALOG.md,recipes/prometheus-community/prometheus/29.8.0/helm-pain-report.yaml
20,secrets-store-csi-driver/secrets-store-csi-driver@1.6.0,yes-public-catalog,"Use the public catalog entry, then check the exact base and lane before making a production claim.","Open the per-chart CATALOG.md, choose the recommended base, and run the cub installer setup command.",default,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/secrets-store-csi-driver-secrets-store-csi-driver:1.6.0 --base default --work-dir <tmp> --non-interactive --namespace kube-system,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,no,-,-,-,Production support is target-scoped. Use production support decisions before claiming production readiness.,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/CATALOG.md,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/helm-pain-report.yaml
21,traefik/traefik@40.2.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/traefik/traefik/40.2.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:1/2 live-parity:1/2 two-cluster:1/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/traefik/traefik/40.2.0/CATALOG.md,recipes/traefik/traefik/40.2.0/helm-pain-report.yaml
22,external-dns/external-dns@1.21.1,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/external-dns/external-dns/1.21.1/CATALOG.md,live-helm-vs-confighub-parity,3/3,local:3/3 gitops:3/3 live-parity:3/3 two-cluster:3/3,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/external-dns/external-dns/1.21.1/CATALOG.md,recipes/external-dns/external-dns/1.21.1/helm-pain-report.yaml
23,gitlab/gitlab-runner@0.89.0,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/gitlab/gitlab-runner/0.89.0/CATALOG.md,in-confighub-proof,1/1,local:0/1 gitops:0/1 live-parity:0/1 two-cluster:0/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/gitlab/gitlab-runner/0.89.0/CATALOG.md,recipes/gitlab/gitlab-runner/0.89.0/helm-pain-report.yaml
24,kyverno/kyverno@3.8.1,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/kyverno/kyverno/3.8.1/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/kyverno/kyverno/3.8.1/CATALOG.md,recipes/kyverno/kyverno/3.8.1/helm-pain-report.yaml
25,cloudnative-pg/cloudnative-pg@0.28.2,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/cloudnative-pg/cloudnative-pg/0.28.2/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:1/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/cloudnative-pg/cloudnative-pg/0.28.2/CATALOG.md,recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-pain-report.yaml
26,fluent/fluent-bit@0.57.6,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/fluent/fluent-bit/0.57.6/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/fluent/fluent-bit/0.57.6/CATALOG.md,recipes/fluent/fluent-bit/0.57.6/helm-pain-report.yaml
27,runix/pgadmin4@1.62.0,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/runix/pgadmin4/1.62.0/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/runix/pgadmin4/1.62.0/CATALOG.md,recipes/runix/pgadmin4/1.62.0/helm-pain-report.yaml
28,nfs-subdir-external-provisioner/nfs-subdir-external-provisioner@4.0.18,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/CATALOG.md,in-confighub-proof,1/1,local:0/1 gitops:0/1 live-parity:0/1 two-cluster:0/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/CATALOG.md,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/helm-pain-report.yaml
29,kedacore/keda@2.19.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/kedacore/keda/2.19.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/kedacore/keda/2.19.0/CATALOG.md,recipes/kedacore/keda/2.19.0/helm-pain-report.yaml
30,prometheus-community/kube-state-metrics@7.4.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/prometheus-community/kube-state-metrics/7.4.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/prometheus-community/kube-state-metrics/7.4.0/CATALOG.md,recipes/prometheus-community/kube-state-metrics/7.4.0/helm-pain-report.yaml
31,elastic/eck-operator@3.4.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/elastic/eck-operator/3.4.0/CATALOG.md,live-helm-vs-confighub-parity,3/3,local:3/3 gitops:3/3 live-parity:3/3 two-cluster:3/3,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable; stateful storage and rollback policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/elastic/eck-operator/3.4.0/CATALOG.md,recipes/elastic/eck-operator/3.4.0/helm-pain-report.yaml
32,elastic/kibana@8.5.1,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/elastic/kibana/8.5.1/CATALOG.md,in-confighub-proof,1/1,local:0/1 gitops:0/1 live-parity:0/1 two-cluster:0/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/elastic/kibana/8.5.1/CATALOG.md,recipes/elastic/kibana/8.5.1/helm-pain-report.yaml
33,descheduler/descheduler@0.36.0,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/descheduler/descheduler/0.36.0/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/descheduler/descheduler/0.36.0/CATALOG.md,recipes/descheduler/descheduler/0.36.0/helm-pain-report.yaml
34,prometheus-community/prometheus-blackbox-exporter@11.10.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/CATALOG.md,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/helm-pain-report.yaml
35,bitnami/elasticsearch@22.1.6,decision-needed-first,A named capability gap affects the recommended path.,"Decide whether to support, disclose, defer, or block the hard gap before promotion.",default,recipes/bitnami/elasticsearch/22.1.6/helm-pain-report.yaml,local-kubernetes-live,3/3,local:1/3 gitops:0/3 live-parity:0/3 two-cluster:0/3,no,-,-,existing-secret (chart ships no Secret toggle),Resolve the named gap first: existing-secret (chart ships no Secret toggle).,recipes/bitnami/elasticsearch/22.1.6/CATALOG.md,recipes/bitnami/elasticsearch/22.1.6/helm-pain-report.yaml
36,stakater/reloader@2.2.12,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/stakater/reloader/2.2.12/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/stakater/reloader/2.2.12/CATALOG.md,recipes/stakater/reloader/2.2.12/helm-pain-report.yaml
37,jaegertracing/jaeger@4.8.0,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/jaegertracing/jaeger/4.8.0/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,existing-secret (chart ships no Secret toggle),"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/jaegertracing/jaeger/4.8.0/CATALOG.md,recipes/jaegertracing/jaeger/4.8.0/helm-pain-report.yaml
38,grafana/alloy@1.8.2,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/grafana/alloy/1.8.2/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/grafana/alloy/1.8.2/CATALOG.md,recipes/grafana/alloy/1.8.2/helm-pain-report.yaml
39,nats/nats@2.14.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/nats/nats/2.14.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:1/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; stateful storage and rollback policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/nats/nats/2.14.0/CATALOG.md,recipes/nats/nats/2.14.0/helm-pain-report.yaml
40,dex/dex@0.24.0,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/dex/dex/0.24.0/CATALOG.md,in-confighub-proof,1/1,local:0/1 gitops:0/1 live-parity:0/1 two-cluster:0/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/dex/dex/0.24.0/CATALOG.md,recipes/dex/dex/0.24.0/helm-pain-report.yaml
