chart,catalog_status,legacy_patch_status,current_supported_version,old_versions_selected,required_artifacts,next_action,recipe_path
bitnami/postgresql@18.6.10,catalog-candidate,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/bitnami/postgresql/18.6.10
bitnami/postgresql@18.6.7,catalog-supported,review-lane-open,18.6.7,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/bitnami/postgresql/18.6.7
bitnami/rabbitmq@16.0.14,catalog-supported,review-lane-open,16.0.14,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/bitnami/rabbitmq/16.0.14
bitnami/redis@25.5.3,catalog-supported,review-lane-open,25.5.3,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/bitnami/redis/25.5.3
bitnami/redis@27.0.0,catalog-candidate,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/bitnami/redis/27.0.0
bitnami/spark@10.0.3,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/bitnami/spark/10.0.3
bitnami/zookeeper@13.8.7,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/bitnami/zookeeper/13.8.7
cloudnative-pg/cloudnative-pg@0.28.2,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/cloudnative-pg/cloudnative-pg/0.28.2
coredns/coredns@1.45.2,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/coredns/coredns/1.45.2
crossplane-stable/crossplane@2.3.1,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/crossplane-stable/crossplane/2.3.1
descheduler/descheduler@0.36.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/descheduler/descheduler/0.36.0
dex/dex@0.24.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/dex/dex/0.24.0
elastic/eck-operator@3.4.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/elastic/eck-operator/3.4.0
elastic/filebeat@8.5.1,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/elastic/filebeat/8.5.1
elastic/kibana@8.5.1,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/elastic/kibana/8.5.1
elastic/logstash@8.5.1,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/elastic/logstash/8.5.1
elastic/metricbeat@8.5.1,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/elastic/metricbeat/8.5.1
external-dns/external-dns@1.21.1,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/external-dns/external-dns/1.21.1
external-secrets/external-secrets@2.5.0,catalog-supported,review-lane-open,2.5.0,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/external-secrets/external-secrets/2.5.0
fairwinds-stable/goldilocks@10.3.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/fairwinds-stable/goldilocks/10.3.0
fairwinds-stable/vpa@4.11.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/fairwinds-stable/vpa/4.11.0
falcosecurity/falco@9.0.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/falcosecurity/falco/9.0.0
falcosecurity/falcosidekick@0.13.1,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/falcosecurity/falcosidekick/0.13.1
fluent/fluent-bit@0.57.6,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/fluent/fluent-bit/0.57.6
fluent/fluentd@0.5.3,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/fluent/fluentd/0.5.3
gatekeeper/gatekeeper@3.22.2,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/gatekeeper/gatekeeper/3.22.2
gitlab/gitlab-runner@0.89.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/gitlab/gitlab-runner/0.89.0
grafana/alloy@1.8.2,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/grafana/alloy/1.8.2
grafana/grafana@10.5.15,catalog-supported,review-lane-open,10.5.15,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/grafana/grafana/10.5.15
grafana/loki@7.0.0,catalog-supported,review-lane-open,7.0.0,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/grafana/loki/7.0.0
grafana/promtail@6.17.1,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/grafana/promtail/6.17.1
grafana/pyroscope@2.0.2,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/grafana/pyroscope/2.0.2
grafana/rollout-operator@0.49.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/grafana/rollout-operator/0.49.0
grafana/tempo@1.24.4,catalog-supported,review-lane-open,1.24.4,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/grafana/tempo/1.24.4
haproxytech/kubernetes-ingress@1.52.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/haproxytech/kubernetes-ingress/1.52.0
hashicorp/consul@2.0.0,catalog-supported,review-lane-open,2.0.0,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/hashicorp/consul/2.0.0
hashicorp/terraform@1.1.2,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/hashicorp/terraform/1.1.2
hashicorp/vault@0.32.0,catalog-supported,review-lane-open,0.32.0,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/hashicorp/vault/0.32.0
ingress-nginx/ingress-nginx@4.15.1,catalog-supported,review-lane-open,4.15.1,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/ingress-nginx/ingress-nginx/4.15.1
istio/gateway@1.30.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/istio/gateway/1.30.0
istio/istiod@1.30.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/istio/istiod/1.30.0
jaegertracing/jaeger-operator@2.57.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/jaegertracing/jaeger-operator/2.57.0
jaegertracing/jaeger@4.8.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/jaegertracing/jaeger/4.8.0
jetstack/cert-manager-csi-driver@v0.14.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/jetstack/cert-manager-csi-driver/v0.14.0
jetstack/cert-manager@v1.20.2,catalog-supported,review-lane-open,v1.20.2,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/jetstack/cert-manager/v1.20.2
jetstack/trust-manager@v0.22.1,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/jetstack/trust-manager/v0.22.1
kedacore/keda@2.19.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/kedacore/keda/2.19.0
kyverno/kyverno-policies@3.8.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/kyverno/kyverno-policies/3.8.0
kyverno/kyverno@3.8.1,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/kyverno/kyverno/3.8.1
linkerd/linkerd-crds@1.8.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/linkerd/linkerd-crds/1.8.0
longhorn/longhorn@1.11.2,catalog-supported,review-lane-open,1.11.2,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/longhorn/longhorn/1.11.2
metrics-server/metrics-server@3.13.0,catalog-supported,review-lane-open,3.13.0,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/metrics-server/metrics-server/3.13.0
minio-operator/operator@7.1.1,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/minio-operator/operator/7.1.1
minio-operator/tenant@7.1.1,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/minio-operator/tenant/7.1.1
nats/nack@0.34.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/nats/nack/0.34.0
nats/nats@2.14.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/nats/nats/2.14.0
nats/surveyor@0.20.9,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/nats/surveyor/0.20.9
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner@4.0.18,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18
open-telemetry/opentelemetry-operator@0.114.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/open-telemetry/opentelemetry-operator/0.114.0
opencost/opencost@2.5.21,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/opencost/opencost/2.5.21
percona/pg-operator@3.0.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/percona/pg-operator/3.0.0
percona/psmdb-operator@1.22.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/percona/psmdb-operator/1.22.0
percona/pxc-operator@1.19.1,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/percona/pxc-operator/1.19.1
projectcalico/tigera-operator@v3.32.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/projectcalico/tigera-operator/v3.32.0
prometheus-community/alertmanager@1.37.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/prometheus-community/alertmanager/1.37.0
prometheus-community/kube-prometheus-stack@85.3.3,catalog-supported,review-lane-open,85.3.3,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/prometheus-community/kube-prometheus-stack/85.3.3
prometheus-community/kube-prometheus-stack@86.1.0,catalog-candidate,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/prometheus-community/kube-prometheus-stack/86.1.0
prometheus-community/kube-state-metrics@7.4.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/prometheus-community/kube-state-metrics/7.4.0
prometheus-community/prometheus-adapter@5.3.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/prometheus-community/prometheus-adapter/5.3.0
prometheus-community/prometheus-blackbox-exporter@11.10.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0
prometheus-community/prometheus-node-exporter@4.55.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/prometheus-community/prometheus-node-exporter/4.55.0
prometheus-community/prometheus-operator-crds@29.0.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/prometheus-community/prometheus-operator-crds/29.0.0
prometheus-community/prometheus-pushgateway@3.6.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/prometheus-community/prometheus-pushgateway/3.6.0
prometheus-community/prometheus@29.8.0,catalog-supported,review-lane-open,29.8.0,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/prometheus-community/prometheus/29.8.0
prometheus-community/prometheus@29.9.0,catalog-candidate,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/prometheus-community/prometheus/29.9.0
rook-release/rook-ceph-cluster@v1.19.5,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/rook-release/rook-ceph-cluster/v1.19.5
rook-release/rook-ceph@v1.19.5,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/rook-release/rook-ceph/v1.19.5
runix/pgadmin4@1.62.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/runix/pgadmin4/1.62.0
sealed-secrets/sealed-secrets@2.18.6,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/sealed-secrets/sealed-secrets/2.18.6
secrets-store-csi-driver/secrets-store-csi-driver@1.6.0,catalog-supported,review-lane-open,1.6.0,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0
stakater/reloader@2.2.12,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/stakater/reloader/2.2.12
strimzi/strimzi-kafka-operator@1.0.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/strimzi/strimzi-kafka-operator/1.0.0
traefik/traefik@40.2.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/traefik/traefik/40.2.0
velero/velero@12.0.1,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/velero/velero/12.0.1
vm/victoria-logs-single@0.12.5,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/vm/victoria-logs-single/0.12.5
vm/victoria-metrics-single@0.39.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/vm/victoria-metrics-single/0.39.0
