chart,support_status,production_readiness,model_supported_level2,model_score,variant_count,variant_rich,base_rows,complete_core_rows,render_parity_pass,in_confighub_pass,local_live_pass,gitops_live_pass,gitops_live_non_pass_receipts,live_parity_pass,live_parity_non_pass_receipts,two_cluster_kind_parity_pass,two_cluster_kind_parity_non_pass_receipts,lifecycle_observation_pass,supported_variants,hook_route_status,feature_summary,hard_gap,buildable_backlog,recipe_path
falcosecurity/falcosidekick@0.13.1,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,required-values;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/falcosecurity/falcosidekick/0.13.1
fluent/fluent-bit@0.57.6,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,1,1,1,1,1,0,1,0,0,0,0,default,observed,hooks;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/fluent/fluent-bit/0.57.6
fluent/fluentd@0.5.3,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/fluent/fluentd/0.5.3
gatekeeper/gatekeeper@3.22.2,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,1,0,0,default;no-crds,observed,hooks;crds;webhooks;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/gatekeeper/gatekeeper/3.22.2
gitlab/gitlab-runner@0.89.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,0,0,0,0,0,0,0,0,default,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/gitlab/gitlab-runner/0.89.0
grafana/alloy@1.8.2,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,1,2,2,2,1,0,1,0,1,0,0,default;no-crds,,crds;required-values;extension-slots;remote-dependencies,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/grafana/alloy/1.8.2
grafana/grafana@10.5.15,catalog-supported,production-review-ready,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,0,generated-passwords;existing-secret-ingress,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/grafana/grafana/10.5.15
grafana/loki@7.0.0,catalog-supported,production-review-ready,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,0,single-binary-filesystem;simple-scalable-minio,,generated-secrets;crds;webhooks;required-values;values-schema;extension-slots;remote-dependencies,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/grafana/loki/7.0.0
grafana/promtail@6.17.1,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/grafana/promtail/6.17.1
grafana/pyroscope@2.0.2,proof-grade,not-reviewed-for-production,yes,6/6,3,yes,3,0,3,3,2,0,0,0,0,0,0,0,default;ha;no-crds,,generated-secrets;crds;required-values;extension-slots,existing-secret (chart ships no Secret toggle),-,recipes/grafana/pyroscope/2.0.2
grafana/rollout-operator@0.49.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,2,1,0,0,0,0,0,0,0,default;no-crds,,crds;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/grafana/rollout-operator/0.49.0
grafana/tempo@1.24.4,catalog-supported,production-review-ready,yes,6/6,2,yes,2,1,2,2,1,1,0,1,0,2,0,0,local-persistent;s3-query-observability,,extension-slots,ha (tempo single-binary chart; HA is the separate tempo-distributed chart),no-crds (buildable - not yet run); ingress-tls (buildable - not yet run),recipes/grafana/tempo/1.24.4
haproxytech/kubernetes-ingress@1.52.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/haproxytech/kubernetes-ingress/1.52.0
hashicorp/consul@2.0.0,catalog-supported,production-review-ready,yes,6/6,2,yes,2,1,2,2,1,1,1,1,0,2,0,0,default-control-plane;secure-mesh-existing-secrets,,webhooks;required-values;install-vs-upgrade;extension-slots,ha (curated proof lane - bespoke teaching needed),no-crds (buildable - not yet run); ingress-tls (buildable - not yet run),recipes/hashicorp/consul/2.0.0
hashicorp/terraform@1.1.2,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,2,0,0,0,0,0,0,0,0,default;no-crds,,crds;required-values,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/hashicorp/terraform/1.1.2
hashicorp/vault@0.32.0,catalog-supported,production-review-ready,yes,6/6,3,yes,3,2,3,3,2,2,0,2,0,3,0,0,dev-mode;default;ha-raft-ui,,webhooks;required-values;values-schema;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),ingress-tls (buildable - not yet run); tls (buildable - not yet run),recipes/hashicorp/vault/0.32.0
ingress-nginx/ingress-nginx@4.15.1,catalog-supported,production-review-ready,yes,6/6,3,yes,3,3,3,3,3,3,0,3,0,3,0,1,default;admission-disabled;internal-clusterip,,webhooks;required-values,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/ingress-nginx/ingress-nginx/4.15.1
istio/gateway@1.30.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,2,0,0,0,0,0,0,0,0,controller-default-reviewed;default,,none-recorded,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/istio/gateway/1.30.0
istio/istiod@1.30.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,0,0,0,0,0,0,0,0,default,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/istio/istiod/1.30.0
jaegertracing/jaeger-operator@2.57.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,2,0,0,0,0,0,0,0,0,default;no-crds,,crds;webhooks;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/jaegertracing/jaeger-operator/2.57.0
jaegertracing/jaeger@4.8.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,generated-secrets;install-vs-upgrade;extension-slots;remote-dependencies;dependency-range-frozen,existing-secret (chart ships no Secret toggle),-,recipes/jaegertracing/jaeger/4.8.0
jetstack/cert-manager-csi-driver@v0.14.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,none-recorded,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/jetstack/cert-manager-csi-driver/v0.14.0
jetstack/cert-manager@v1.20.2,catalog-supported,production-review-ready,no,5/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,2,default;crds-enabled,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/jetstack/cert-manager/v1.20.2
jetstack/trust-manager@v0.22.1,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,2,0,0,0,0,0,0,0,0,default;no-crds,,crds;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/jetstack/trust-manager/v0.22.1
kedacore/keda@2.19.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,1,0,0,default;no-crds,,crds;webhooks;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/kedacore/keda/2.19.0
kyverno/kyverno-policies@3.8.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,required-values;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/kyverno/kyverno-policies/3.8.0
kyverno/kyverno@3.8.1,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,0,0,0,default;no-crds,observed,hooks;generated-secrets;crds;required-values;values-schema;install-vs-upgrade;extension-slots;remote-dependencies;dependency-range-frozen,existing-secret (chart ships no Secret toggle),-,recipes/kyverno/kyverno/3.8.1
linkerd/linkerd-crds@1.8.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,crds,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/linkerd/linkerd-crds/1.8.0
longhorn/longhorn@1.11.2,catalog-supported,production-review-ready,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,0,default;ui-ingress,,required-values,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),no-crds (buildable - not yet run),recipes/longhorn/longhorn/1.11.2
metrics-server/metrics-server@3.13.0,catalog-supported,production-review-ready,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,0,default;external-tls-ca,,generated-secrets,existing-secret (chart ships no Secret toggle),-,recipes/metrics-server/metrics-server/3.13.0
minio-operator/operator@7.1.1,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,crds,no-crds (template-baked CRDs; no clean chart toggle yet),-,recipes/minio-operator/operator/7.1.1
minio-operator/tenant@7.1.1,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/minio-operator/tenant/7.1.1
nats/nack@0.34.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,2,2,0,0,0,0,0,0,0,default;no-crds,,crds;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/nats/nack/0.34.0
nats/nats@2.14.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,1,2,2,2,1,0,1,0,1,0,0,default;ha,,required-values;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/nats/nats/2.14.0
nats/surveyor@0.20.9,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,2,0,0,0,0,0,0,0,0,default;default-reviewed,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/nats/surveyor/0.20.9
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner@4.0.18,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,0,0,0,0,0,0,0,0,default,,none-recorded,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18
open-telemetry/opentelemetry-operator@0.114.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,2,0,0,0,0,0,2,0,0,default;no-crds,,crds;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/open-telemetry/opentelemetry-operator/0.114.0
opencost/opencost@2.5.21,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,0,0,0,0,0,0,0,0,default,,required-values;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/opencost/opencost/2.5.21
percona/pg-operator@3.0.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,1,2,2,2,1,0,1,0,1,0,0,default;no-crds,,crds,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/percona/pg-operator/3.0.0
percona/psmdb-operator@1.22.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,2,2,0,0,0,0,1,0,0,default;no-crds,,crds,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/percona/psmdb-operator/1.22.0
percona/pxc-operator@1.19.1,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,1,2,2,1,1,0,1,0,1,0,0,default;no-crds,,crds;install-vs-upgrade;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/percona/pxc-operator/1.19.1
projectcalico/tigera-operator@v3.32.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,0,0,0,0,0,0,0,0,default,observed,hooks;required-values,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/projectcalico/tigera-operator/v3.32.0
prometheus-community/alertmanager@1.37.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,1,0,0,default;ha,,values-schema;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/prometheus-community/alertmanager/1.37.0
prometheus-community/kube-prometheus-stack@85.3.3,catalog-supported,production-review-ready,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,1,default;no-crds,observed,hooks;generated-secrets;crds;webhooks;required-values;install-vs-upgrade;extension-slots;remote-dependencies;dependency-range-frozen,existing-secret (chart ships no Secret toggle),-,recipes/prometheus-community/kube-prometheus-stack/85.3.3
prometheus-community/kube-prometheus-stack@86.1.0,catalog-candidate,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,0,2,0,0,0,0,0,0,2,default;no-crds,,none-recorded,,,recipes/prometheus-community/kube-prometheus-stack/86.1.0
prometheus-community/kube-state-metrics@7.4.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,1,2,2,2,1,0,1,0,1,0,0,cluster-metrics-readonly;default,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/prometheus-community/kube-state-metrics/7.4.0
