rank,chart,source_version,current_recipe_version,proof_match_basis,version_match,source_status,recipe_status,package_status,variant_status,proof_status,catalog_status,production_readiness,supported_variants,next_action,source_features,recipe_path,package_path,support_level,supported_scopes,candidate_variants,current_risk,source_classification,source_problem_score,source_pre_recipe_risk_count,source_lifecycle_policy_count,source_early_policy_count,source_generated_facts_count,source_install_operate_count,lookup_count,rand_count,cert_count,time_uuid_count,required_fail_count,tpl_count,capabilities_api_count,capabilities_kube_version_count,hooks_count,crd_files_count,cluster_roles_count,webhooks_count,api_services_count,stateful_sets_count,pvc_count,secrets_count,dependencies_declared,dependency_lock_present,non_exact_dependency_constraints,proof_tier,proof_variant_count,proof_revision_count,proof_rendered_object_count,proof_first_rendered_sha256,proof_semantic_matches,proof_scan_results,proof_gate_results,proof_scan_high,proof_scan_medium,proof_scan_low,proof_control_categories,proof_uses_lookup,proof_uses_generated_facts,proof_uses_capabilities,proof_uses_tpl,proof_has_extension_slots,proof_receipts,weirdness_note,source_repository_url,source_archive_sha256,old_matrix_scan_status,old_matrix_error
11,metrics-server/metrics-server,3.13.0,3.13.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,blocked-by-current-scan-gate,default;external-tls-ca,add production dispositions and live/e2e observation lane,lookup;generated-facts;capabilities;cluster-rbac,recipes/metrics-server/metrics-server/3.13.0/recipe.yaml,packages/metrics-server/metrics-server/3.13.0,supported-for-declared-scopes,local-test,,local-test-supported-production-blocked,P1 compiler policy needed,34,0,0,4,1,2,2,0,1,0,0,0,1,3,0,0,6,0,1,0,0,1,0,false,0,,2,2,18,97514966a1917b1ae3b597ec3a32216d0a650db7cb56d472f4e722c69c869b51,9/9,warn,warn,0,10,0,apiservice;capability-profile;cluster-rbac;dependency-lock;generated-facts;hook-policy;installer-support-object;lookup;source-lock;target-facts,false,false,false,false,false,helmEquivalence;installGate;render;scan,recipes/metrics-server/metrics-server/3.13.0/weirdness-and-mitigations.md,https://kubernetes-sigs.github.io/metrics-server/,fb929902e3b7565663cdd1734f31d63735c932be1541a7228b5aeef6d2348a1f,scanned,
12,hashicorp/vault,0.32.0,0.32.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,blocked-by-current-scan-gate,default;ha-raft-ui,add production dispositions and live/e2e observation lane,tpl;capabilities;cluster-rbac;webhooks;stateful-storage,recipes/hashicorp/vault/0.32.0/recipe.yaml,packages/hashicorp/vault/0.32.0,supported-for-declared-scopes,local-test,,local-test-supported-production-blocked,P2 recipe/render/install policy,20,0,0,3,0,3,0,0,0,0,1,43,3,7,0,0,5,1,0,1,2,2,0,false,0,,2,2,30,6de2d61c8de0c21faa951e89ec16658bcdff22e69d78075fdd394d895a5e6978,12/12;18/18,warn,warn,2,23,0,admission-webhook;capability-profile;cluster-rbac;dependency-lock;extension-slots;installer-support-object;operate-policy;service-exposure;source-lock;stateful-workload;tls-posture,false,false,false,false,false,helmEquivalence;installGate;render;scan,recipes/hashicorp/vault/0.32.0/weirdness-and-mitigations.md,https://helm.releases.hashicorp.com,e31ddf3f6dd031c0f5407dd6b63361ea5ff655f89c781049b39f4c2a95a6f88a,scanned,
13,gitlab/gitlab,10.0.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;webhooks;stateful-storage,,,none,,,source-risk-no-proof,P0 source/dependency risk,97,2,1,5,20,4,2,2,2,15,69,125,31,51,1,19,57,4,0,12,7,17,4,true,9,,0,0,0,,,,,,,,,,,,,,,,http://charts.gitlab.io/,6787dcd77db6cf8a68895c90a2d99138eb84a9a376e62f6306a2a82dacc2d924,scanned,
14,harbor/harbor,1.19.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;stateful-storage,,,none,,,not-yet-proved,P1 compiler policy needed,34,0,0,3,22,1,6,4,12,0,16,1,0,1,0,0,0,0,0,3,5,20,0,false,0,,0,0,0,,,,,,,,,,,,,,,,https://helm.goharbor.io,6b4afcbcb038fbf07a01110e218a61d4d7298b4e90ac46051d8e4ee4505060b3,scanned,
15,bitnami/keycloak,25.2.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;stateful-storage,,,none,,,source-risk-no-proof,P0 source/dependency risk,66,1,0,5,19,1,6,11,6,2,9,59,4,2,0,0,0,0,0,5,3,12,2,true,3,,0,0,0,,,,,,,,,,,,,,,,https://charts.bitnami.com/bitnami,572b6173dcad490f7b7d2f463eaa186e512d0afbd3a24629d150156a9438d89c,scanned,
16,jenkinsci/jenkins,5.9.22,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;stateful-storage,,,none,,,not-yet-proved,P1 compiler policy needed,40,0,0,4,5,1,1,2,0,3,40,65,1,4,0,0,0,0,0,1,1,3,0,false,0,,0,0,0,,,,,,,,,,,,,,,,https://charts.jenkins.io/,3710ee9006ac66bd4caf38fc660870d8f9ac45f1e3aef115c8494b07a57981db,scanned,
17,external-secrets-operator/external-secrets,2.5.0,2.5.0,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,blocked-by-current-scan-gate,default;no-crds,add production dispositions and live/e2e observation lane,tpl;capabilities;crds;cluster-rbac;webhooks,recipes/external-secrets/external-secrets/2.5.0/recipe.yaml,packages/external-secrets/external-secrets/2.5.0,supported-for-declared-scopes,local-test,,local-test-supported-production-blocked,P2 recipe/render/install policy,24,0,0,3,0,3,0,0,0,0,3,5,1,3,0,23,10,2,0,0,0,4,0,true,0,,2,2,61,f1c832a9af788c9d2a7a0b066d76a7d8af253d83f5b0fa39c1aa91271230d3db,42/42;19/19,warn,warn,0,45,0,admission-webhook;capability-profile;cluster-rbac;crd-policy;dependency-lock;installer-support-object;source-lock;tpl;webhook-secret,false,false,false,false,false,helmEquivalence;installGate;render;scan,recipes/external-secrets/external-secrets/2.5.0/weirdness-and-mitigations.md,https://charts.external-secrets.io/,7f8cb50cd236cc0f8476b333119cb507a3becdc896fdb7ab16329e521911018f,scanned,
18,external-dns/external-dns,1.21.1,1.21.1,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,tpl;crds;cluster-rbac,recipes/external-dns/external-dns/1.21.1/recipe.yaml,packages/external-dns/external-dns/1.21.1,machine-proof-only,,default,proof-grade-needs-variants,P2 recipe/render/install policy,7,0,0,0,0,2,0,0,0,0,2,10,0,0,0,1,2,0,0,0,0,1,0,false,0,next80-full,1,1,6,764caa006e0e36ed1ad27659090d71a9ca5ff4d671962684b49500971c57ee74,6/6,warn,warn,0,3,0,capability-profile;cluster-rbac;crds;dependency-lock;extension-slots;generated-facts;helm-equivalence;rendered-manifest-scan;source-lock;tpl-extension-slots;variant-revision,false,true,false,true,true,helmEquivalence;installGate;render;scan,,https://kubernetes-sigs.github.io/external-dns/,5dd033a4b872bf641860695705ee460031d0bc695f114bf8926fee6736814e19,scanned,
19,longhorn/longhorn,1.11.2,1.11.2,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,blocked-by-current-scan-gate,default;ui-ingress,add production dispositions and live/e2e observation lane,generated-facts;tpl;cluster-rbac,recipes/longhorn/longhorn/1.11.2/recipe.yaml,packages/longhorn/longhorn/1.11.2,supported-for-declared-scopes,local-test,,local-test-supported-production-blocked,P1 compiler policy needed,17,0,0,0,3,2,0,0,0,3,1,1,0,0,0,0,5,0,0,0,0,2,0,false,0,,2,2,83,4a2f739775a696f5d67db6adf1f99473c60a3f5adf308ceb3ccbf222435acd90,41/41;42/42,warn,warn,4,67,0,admission-webhook;capability-profile;cluster-rbac;crd-policy;dependency-lock;hook-policy;installer-support-object;privileged-storage-workload;source-lock;storageclass-policy;ui-ingress-policy,false,false,false,false,false,helmEquivalence;installGate;render;scan,recipes/longhorn/longhorn/1.11.2/weirdness-and-mitigations.md,https://charts.longhorn.io,a70272c83683923ed9cafa07fe1e4f3a6e7d5d74874111b3a8ad421e64102a77,scanned,
20,bitnami/rabbitmq,16.0.14,16.0.14,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,blocked-by-current-scan-gate,generated-passwords;existing-secret,add production dispositions and live/e2e observation lane,lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/bitnami/rabbitmq/16.0.14/recipe.yaml,packages/bitnami/rabbitmq/16.0.14,supported-for-declared-scopes,local-test,,local-test-supported-production-blocked,P0 source/dependency risk,64,1,0,5,9,1,3,5,4,0,3,16,2,1,0,0,0,0,0,1,1,7,1,true,1,,2,2,19,81187ce4367f5196ddbaa35ea55b972698f8a474d78a2cdc2908b12290c89f31,10/10;9/9,warn,warn,0,9,0,capability-profile;dependency-lock;generated-facts;hook-policy;installer-support-object;pvc-policy;source-lock;stateful-workload;target-facts;tpl,false,false,false,false,false,helmEquivalence;installGate;render;scan,recipes/bitnami/rabbitmq/16.0.14/weirdness-and-mitigations.md,https://charts.bitnami.com/bitnami,df625220cafdfe892e68c1b3f1a5500049acd227fe90b2deca04df13190a176b,scanned,
21,gitlab/gitlab-runner,0.89.0,0.89.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,generated-facts;tpl;capabilities,recipes/gitlab/gitlab-runner/0.89.0/recipe.yaml,packages/gitlab/gitlab-runner/0.89.0,machine-proof-only,,default,proof-grade-needs-variants,P0 source/dependency risk,36,1,0,1,1,0,0,0,0,1,0,12,4,0,0,0,0,0,0,0,0,1,0,false,0,next80-full,1,1,2,ad0d78b72ba8c9c6d896ee2faf620db82e9c52d2794f3dbbcbe6f3705c43d95e,2/2,pass,allow,0,0,0,capability-profile;dependency-lock;extension-slots;generated-facts;helm-equivalence;rendered-manifest-scan;source-lock;tpl-extension-slots;variant-revision,false,true,true,true,true,helmEquivalence;installGate;render;scan,,http://charts.gitlab.io/,22ac6e4757b61801ea1da86f40a5d300c45d32a27495e585b632c01364534e68,scanned,
22,aws/aws-load-balancer-controller,3.3.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks,,,none,,,not-yet-proved,P1 compiler policy needed,36,0,0,3,2,3,1,0,2,0,2,4,0,1,0,2,2,2,0,0,0,1,0,false,0,,0,0,0,,,,,,,,,,,,,,,,https://aws.github.io/eks-charts,2935448c0395eb9de249cfcdecb62d6bd1c893d31908aaa284eb8747c6aa38de,scanned,
23,bitnami/kafka,32.4.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;hooks;stateful-storage,,,none,,,source-risk-no-proof,P0 source/dependency risk,77,1,2,5,8,1,4,6,2,0,0,27,2,1,1,0,0,0,0,6,4,9,1,true,1,,0,0,0,,,,,,,,,,,,,,,,https://charts.bitnami.com/bitnami,fe39cc71f350929c35561b30c1c7f3e16019de69edab9b82d656d0aca7667a64,scanned,
24,bitnami/mysql,14.0.3,14.0.3,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,blocked-by-current-scan-gate,generated-passwords;existing-secret,add production dispositions and live/e2e observation lane,lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/bitnami/mysql/14.0.3/recipe.yaml,packages/bitnami/mysql/14.0.3,supported-for-declared-scopes,local-test,,local-test-supported-production-blocked,P0 source/dependency risk,64,1,0,5,9,1,3,5,2,2,8,13,2,1,0,0,0,0,0,2,0,7,1,true,1,,2,2,15,04e856bfa75859dc9d8e45c61d49ad566494a7f66c257da9113ad26ca1696380,8/8;7/7,warn,warn,0,9,0,capability-profile;dependency-lock;generated-facts;hook-policy;installer-support-object;pvc-policy;source-lock;stateful-workload;target-facts;tpl,false,false,false,false,false,helmEquivalence;installGate;render;scan,recipes/bitnami/mysql/14.0.3/weirdness-and-mitigations.md,https://charts.bitnami.com/bitnami,fc7c297ce7e2953190e313d4afc4f3093a9f8d47e82d15e6c933982c0d0b8ac2,scanned,
25,bitnami/external-dns,9.0.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;crds;cluster-rbac,,,none,,,source-risk-no-proof,P0 source/dependency risk,65,1,0,5,8,2,3,6,2,0,3,5,2,1,0,1,4,0,0,0,0,2,1,true,1,,0,0,0,,,,,,,,,,,,,,,,https://charts.bitnami.com/bitnami,4f701e842ab91a2a07c1b9ee6c18619b3ec38a61e9327e4b7bfebbcb544ac3d7,scanned,
26,apache-airflow/airflow,1.21.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,,,none,,,source-risk-no-proof,P0 source/dependency risk,63,1,0,4,21,2,3,11,2,8,18,225,0,2,0,0,7,0,0,3,8,22,1,true,1,,0,0,0,,,,,,,,,,,,,,,,https://airflow.apache.org/,fc3e3c64b8f93b4c5b2c611a78b50f35a456ef9494a82d514f5e2a17a067c821,scanned,
27,elastic/elasticsearch,8.5.1,22.1.6,chart-name-only,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,review source/current-version drift and refresh recipe if needed,lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/bitnami/elasticsearch/22.1.6/recipe.yaml,packages/bitnami/elasticsearch/22.1.6,machine-proof-only,,default,proof-grade-needs-variants,P1 compiler policy needed,27,0,0,2,5,1,1,3,2,0,0,4,1,0,0,0,0,0,0,1,0,2,0,false,0,next80-full,1,1,21,2dea059172595f3477271eadd1aea69c4274d15a8029a55afb176cb5ffd66217,21/21,warn,warn,0,4,0,capability-profile;dependency-lock;extension-slots;generated-facts;helm-equivalence;lifecycle-policy;rendered-manifest-scan;source-lock;stateful-storage;target-facts;tpl-extension-slots;variant-revision,true,true,true,true,true,helmEquivalence;installGate;render;scan,,https://helm.elastic.co,8a5e70ec72dc480c8a01b079bf7240722da7d017f5683178e23a745d418448ba,scanned,
