rank,chart,source_version,current_recipe_version,proof_match_basis,version_match,source_status,recipe_status,package_status,variant_status,proof_status,catalog_status,production_readiness,supported_variants,next_action,not_yet_enabled,source_features,recipe_path,package_path
20,bitnami/rabbitmq,16.0.14,16.0.14,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,generated-passwords;existing-secret,record target-scoped support decision and refresh live/e2e observation lane,ha (curated proof lane — bespoke teaching needed),lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/bitnami/rabbitmq/16.0.14/recipe.yaml,packages/bitnami/rabbitmq/16.0.14
21,gitlab/gitlab-runner,0.89.0,0.89.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),generated-facts;tpl;capabilities,recipes/gitlab/gitlab-runner/0.89.0/recipe.yaml,packages/gitlab/gitlab-runner/0.89.0
22,aws/aws-load-balancer-controller,3.3.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks,,
23,bitnami/kafka,32.4.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;stateful-storage,,
24,bitnami/mysql,14.0.3,14.0.3,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,generated-passwords;existing-secret,record target-scoped support decision and refresh live/e2e observation lane,ha (curated proof lane — bespoke teaching needed),lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/bitnami/mysql/14.0.3/recipe.yaml,packages/bitnami/mysql/14.0.3
25,bitnami/external-dns,9.0.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac,,
26,apache-airflow/airflow,1.21.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,,
27,elastic/elasticsearch,8.5.1,22.1.6,chart-name-only,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,review source/current-version drift and refresh recipe if needed,,lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/bitnami/elasticsearch/22.1.6/recipe.yaml,packages/bitnami/elasticsearch/22.1.6
28,bitnami/mongodb,19.0.3,19.0.7,exact-chart-ref,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,generated-passwords;existing-secret-replicaset,review source/current-version drift and refresh recipe if needed,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),lookup;generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,recipes/bitnami/mongodb/19.0.7/recipe.yaml,packages/bitnami/mongodb/19.0.7
29,nextcloud/nextcloud,9.1.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
30,vmware-tanzu/velero,12.0.1,12.0.1,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,,tpl;capabilities;crds;cluster-rbac,recipes/velero/velero/12.0.1/recipe.yaml,packages/velero/velero/12.0.1
31,cilium/cilium,1.20.0-pre.2,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,,
32,bitnami/minio,17.0.21,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;stateful-storage,,
33,cluster-autoscaler/cluster-autoscaler,9.57.0,9.57.0,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,,tpl;capabilities;cluster-rbac,recipes/autoscaler/cluster-autoscaler/9.57.0/recipe.yaml,packages/autoscaler/cluster-autoscaler/9.57.0
34,metallb/metallb,0.16.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;crds;cluster-rbac;webhooks,,
35,istio-official/istiod,1.30.0,1.30.0,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,,tpl;cluster-rbac;webhooks,recipes/istio/istiod/1.30.0/recipe.yaml,packages/istio/istiod/1.30.0
36,argo/argo-workflows,1.0.14,1.0.14,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,,tpl;capabilities;crds;cluster-rbac,recipes/argo-cd/argo-workflows/1.0.14/recipe.yaml,packages/argo-cd/argo-workflows/1.0.14
37,rancher-stable/rancher,2.14.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;tpl;capabilities;cluster-rbac;stateful-storage,,
38,kyverno/kyverno,3.8.1,3.8.1,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;stateful-storage,recipes/kyverno/kyverno/3.8.1/recipe.yaml,packages/kyverno/kyverno/3.8.1
39,gitea/gitea,12.6.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
40,sonarqube/sonarqube,2026.3.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities;cluster-rbac;webhooks;stateful-storage,,
41,cloudnative-pg/cloudnative-pg,0.28.2,0.28.2,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),generated-facts;tpl;crds;cluster-rbac;webhooks,recipes/cloudnative-pg/cloudnative-pg/0.28.2/recipe.yaml,packages/cloudnative-pg/cloudnative-pg/0.28.2
42,fluent/fluent-bit,0.57.6,0.57.6,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;capabilities;hooks;cluster-rbac,recipes/fluent/fluent-bit/0.57.6/recipe.yaml,packages/fluent/fluent-bit/0.57.6
43,datadog/datadog,3.214.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;cluster-rbac;stateful-storage,,
44,bitnami/thanos,17.3.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;cluster-rbac;stateful-storage,,
45,runix/pgadmin4,1.62.0,1.62.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;capabilities;stateful-storage,recipes/runix/pgadmin4/1.62.0/recipe.yaml,packages/runix/pgadmin4/1.62.0
46,oauth2-proxy/oauth2-proxy,10.6.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;tpl;capabilities;stateful-storage,,
47,bitnami/wordpress,31.0.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
48,bitnami/nginx,24.0.2,24.0.2,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,http-clusterip;existing-tls-ingress,record target-scoped support decision and refresh live/e2e observation lane,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities,recipes/bitnami/nginx/24.0.2/recipe.yaml,packages/bitnami/nginx/24.0.2
49,goauthentik/authentik,2026.5.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,,
50,bitnami-labs/sealed-secrets,2.18.6,2.18.6,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,,lookup;generated-facts;tpl;capabilities;crds;cluster-rbac,recipes/sealed-secrets/sealed-secrets/2.18.6/recipe.yaml,packages/sealed-secrets/sealed-secrets/2.18.6
51,nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,4.0.18,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),capabilities;cluster-rbac;stateful-storage,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/recipe.yaml,packages/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18
52,nginx/nginx-ingress,2.5.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),capabilities;crds;cluster-rbac;stateful-storage,,
53,kedacore/keda,2.19.0,2.19.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;capabilities;crds;cluster-rbac;webhooks,recipes/kedacore/keda/2.19.0/recipe.yaml,packages/kedacore/keda/2.19.0
54,argo/argocd-apps,2.0.5,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl,,
55,artifact-hub/artifact-hub,1.22.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
56,mojo2600/pihole,2.35.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;tpl,,
57,hashicorp/consul,2.0.0-rc2,2.0.0,exact-chart-ref,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,default-control-plane;secure-mesh-existing-secrets,review source/current-version drift and refresh recipe if needed,ha (curated proof lane — bespoke teaching needed),tpl;capabilities;cluster-rbac;webhooks;stateful-storage,recipes/hashicorp/consul/2.0.0/recipe.yaml,packages/hashicorp/consul/2.0.0
58,prometheus-community/kube-state-metrics,7.4.0,7.4.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,recipes/prometheus-community/kube-state-metrics/7.4.0/recipe.yaml,packages/prometheus-community/kube-state-metrics/7.4.0
59,bitnami/mariadb,25.1.2,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
60,elastic/eck-operator,3.4.0,3.4.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:3 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;capabilities;cluster-rbac;webhooks;stateful-storage,recipes/elastic/eck-operator/3.4.0/recipe.yaml,packages/elastic/eck-operator/3.4.0
61,istio-official/base,1.30.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),webhooks,,
62,elastic/kibana,8.5.1,8.5.1,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl,recipes/elastic/kibana/8.5.1/recipe.yaml,packages/elastic/kibana/8.5.1
63,community-charts/n8n,1.16.42,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
64,descheduler/descheduler,0.36.0,0.36.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;cluster-rbac,recipes/descheduler/descheduler/0.36.0/recipe.yaml,packages/descheduler/descheduler/0.36.0
65,prometheus-community/prometheus-blackbox-exporter,11.10.0,11.10.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;capabilities,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/recipe.yaml,packages/prometheus-community/prometheus-blackbox-exporter/11.10.0
66,bitnami/elasticsearch,22.1.6,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;stateful-storage,,
67,stakater/reloader,2.2.11,2.2.12,exact-chart-ref,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,review source/current-version drift and refresh recipe if needed,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;capabilities;cluster-rbac,recipes/stakater/reloader/2.2.12/recipe.yaml,packages/stakater/reloader/2.2.12
68,jupyterhub/jupyterhub,5.0.0-0.dev.git.7399.h8efc9def,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,,
69,argo/argo-rollouts,2.40.9,2.40.9,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,,tpl;capabilities;crds;cluster-rbac,recipes/argo-cd/argo-rollouts/2.40.9/recipe.yaml,packages/argo-cd/argo-rollouts/2.40.9
70,jaegertracing/jaeger,4.8.0,4.8.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities,recipes/jaegertracing/jaeger/4.8.0/recipe.yaml,packages/jaegertracing/jaeger/4.8.0
71,bitnami/metrics-server,7.4.12,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;cluster-rbac,,
72,grafana/mimir-distributed,6.1.0-weekly.394,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,,
73,istio-official/gateway,1.30.0,1.30.0,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,,plain-ish,recipes/istio/gateway/1.30.0/recipe.yaml,packages/istio/gateway/1.30.0
74,grafana/alloy,1.8.1,1.8.2,exact-chart-ref,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,review source/current-version drift and refresh recipe if needed,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;capabilities;crds;cluster-rbac;stateful-storage,recipes/grafana/alloy/1.8.2/recipe.yaml,packages/grafana/alloy/1.8.2
75,argo-cd-oci/argo-cd,9.5.15,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;tpl;capabilities;crds;cluster-rbac;stateful-storage,,
76,bitnami/redis-cluster,13.0.4,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
77,pmint93/metabase,2.27.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;capabilities;stateful-storage,,
