block_id,block_goal,work_type,chart,version,base,command,current_status,lane_cells,run_readiness,support_artifact,receipt,prediction_status,predicted_residue_family,predicted_target_profile,prediction_basis,confidence,serial_safety_notes,why_this_block_matters_for_99
GP-03,"G/P: run the 5 ready live-parity row(s) with predicted gitops-runtime / model-gap-render (prometheus-community/prometheus@29.8.0, prometheus-community/kube-prometheus-stack@87.15.1, prometheus-community/kube-prometheus-stack@87.19.2); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,prometheus-community/prometheus,29.8.0,prod-us-east,npm run live-parity:run -- --recipe recipes/prometheus-community/prometheus/29.8.0 --base prod-us-east,todo,G=todo;P=n/a,ready-to-run,,,derived,gitops-runtime,vanilla kind proof rig with ConfigHub OCI/Argo — expect a controller-health residue to explain,sibling receipt — prometheus-community/prometheus already classified gitops-runtime (runs/live-helm-confighub-compare/prometheus-community-prometheus-default-29-9-0/receipt.yaml),high,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=n/a] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-03,"G/P: run the 5 ready live-parity row(s) with predicted gitops-runtime / model-gap-render (prometheus-community/prometheus@29.8.0, prometheus-community/kube-prometheus-stack@87.15.1, prometheus-community/kube-prometheus-stack@87.19.2); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,prometheus-community/prometheus,29.8.0,staging-eu-west,npm run live-parity:run -- --recipe recipes/prometheus-community/prometheus/29.8.0 --base staging-eu-west,todo,G=todo;P=n/a,ready-to-run,,,derived,gitops-runtime,vanilla kind proof rig with ConfigHub OCI/Argo — expect a controller-health residue to explain,sibling receipt — prometheus-community/prometheus already classified gitops-runtime (runs/live-helm-confighub-compare/prometheus-community-prometheus-default-29-9-0/receipt.yaml),high,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=n/a] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-03,"G/P: run the 5 ready live-parity row(s) with predicted gitops-runtime / model-gap-render (prometheus-community/prometheus@29.8.0, prometheus-community/kube-prometheus-stack@87.15.1, prometheus-community/kube-prometheus-stack@87.19.2); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,prometheus-community/kube-prometheus-stack,87.15.1,default,npm run live-parity:run -- --recipe recipes/prometheus-community/kube-prometheus-stack/87.15.1 --base default,todo,G=yes;P=todo,ready-to-run,,,derived,model-gap-render,vanilla kind — a render/model gap to reconcile in the catalog,sibling receipt — prometheus-community/kube-prometheus-stack already classified model-gap-render (runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml),high,light controller — safe within a block,ready-to-run todo cell(s) [G=yes;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-03,"G/P: run the 5 ready live-parity row(s) with predicted gitops-runtime / model-gap-render (prometheus-community/prometheus@29.8.0, prometheus-community/kube-prometheus-stack@87.15.1, prometheus-community/kube-prometheus-stack@87.19.2); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,prometheus-community/kube-prometheus-stack,87.19.2,default,npm run live-parity:run -- --recipe recipes/prometheus-community/kube-prometheus-stack/87.19.2 --base default,todo,G=yes;P=todo,ready-to-run,,,derived,model-gap-render,vanilla kind — a render/model gap to reconcile in the catalog,sibling receipt — prometheus-community/kube-prometheus-stack already classified model-gap-render (runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml),high,light controller — safe within a block,ready-to-run todo cell(s) [G=yes;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-03,"G/P: run the 5 ready live-parity row(s) with predicted gitops-runtime / model-gap-render (prometheus-community/prometheus@29.8.0, prometheus-community/kube-prometheus-stack@87.15.1, prometheus-community/kube-prometheus-stack@87.19.2); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,prometheus-community/kube-prometheus-stack,87.15.1,existing-secret,npm run live-parity:run -- --recipe recipes/prometheus-community/kube-prometheus-stack/87.15.1 --base existing-secret,todo,G=todo;P=todo,ready-to-run,,,derived,model-gap-render,vanilla kind — a render/model gap to reconcile in the catalog,sibling receipt — prometheus-community/kube-prometheus-stack already classified model-gap-render (runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml),high,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-04,"G/P: run the 5 ready live-parity row(s) with predicted model-gap-render / operate-policy (prometheus-community/kube-prometheus-stack@87.19.2, prometheus-community/kube-prometheus-stack@87.15.1, hashicorp/vault@0.32.0); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,prometheus-community/kube-prometheus-stack,87.19.2,existing-secret,npm run live-parity:run -- --recipe recipes/prometheus-community/kube-prometheus-stack/87.19.2 --base existing-secret,todo,G=todo;P=todo,ready-to-run,,,derived,model-gap-render,vanilla kind — a render/model gap to reconcile in the catalog,sibling receipt — prometheus-community/kube-prometheus-stack already classified model-gap-render (runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml),high,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-04,"G/P: run the 5 ready live-parity row(s) with predicted model-gap-render / operate-policy (prometheus-community/kube-prometheus-stack@87.19.2, prometheus-community/kube-prometheus-stack@87.15.1, hashicorp/vault@0.32.0); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,prometheus-community/kube-prometheus-stack,87.15.1,no-crds,npm run live-parity:run -- --recipe recipes/prometheus-community/kube-prometheus-stack/87.15.1 --base no-crds,todo,G=yes;P=todo,ready-to-run,,,derived,model-gap-render,vanilla kind — a render/model gap to reconcile in the catalog,sibling receipt — prometheus-community/kube-prometheus-stack already classified model-gap-render (runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml),high,light controller — safe within a block,ready-to-run todo cell(s) [G=yes;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-04,"G/P: run the 5 ready live-parity row(s) with predicted model-gap-render / operate-policy (prometheus-community/kube-prometheus-stack@87.19.2, prometheus-community/kube-prometheus-stack@87.15.1, hashicorp/vault@0.32.0); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,prometheus-community/kube-prometheus-stack,87.19.2,no-crds,npm run live-parity:run -- --recipe recipes/prometheus-community/kube-prometheus-stack/87.19.2 --base no-crds,todo,G=yes;P=todo,ready-to-run,,,derived,model-gap-render,vanilla kind — a render/model gap to reconcile in the catalog,sibling receipt — prometheus-community/kube-prometheus-stack already classified model-gap-render (runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml),high,light controller — safe within a block,ready-to-run todo cell(s) [G=yes;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-04,"G/P: run the 5 ready live-parity row(s) with predicted model-gap-render / operate-policy (prometheus-community/kube-prometheus-stack@87.19.2, prometheus-community/kube-prometheus-stack@87.15.1, hashicorp/vault@0.32.0); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,hashicorp/vault,0.32.0,regulated-prod-us-east,npm run live-parity:run -- --recipe recipes/hashicorp/vault/0.32.0 --base regulated-prod-us-east,todo,G=todo;P=n/a,ready-to-run,,,derived,operate-policy,vanilla kind + an operational readiness step (e.g. init/unseal),sibling receipt — hashicorp/vault already classified operate-policy (runs/live-helm-confighub-compare/hashicorp-vault-ha-raft-ui/receipt.yaml),high,"stateful/heavy — run alone, allow a longer timeout, verify PVC/cluster cleanup",ready-to-run todo cell(s) [G=todo;P=n/a] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-04,"G/P: run the 5 ready live-parity row(s) with predicted model-gap-render / operate-policy (prometheus-community/kube-prometheus-stack@87.19.2, prometheus-community/kube-prometheus-stack@87.15.1, hashicorp/vault@0.32.0); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,hashicorp/vault,0.32.0,staging-us-east,npm run live-parity:run -- --recipe recipes/hashicorp/vault/0.32.0 --base staging-us-east,todo,G=todo;P=n/a,ready-to-run,,,derived,operate-policy,vanilla kind + an operational readiness step (e.g. init/unseal),sibling receipt — hashicorp/vault already classified operate-policy (runs/live-helm-confighub-compare/hashicorp-vault-ha-raft-ui/receipt.yaml),high,"stateful/heavy — run alone, allow a longer timeout, verify PVC/cluster cleanup",ready-to-run todo cell(s) [G=todo;P=n/a] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-05,"G/P: run the 5 ready live-parity row(s) with predicted remote-image / render-input / target-prerequisite / target-runtime (bitnami/redis@25.5.3, velero/velero@12.1.0, metrics-server/metrics-server@3.13.1, grafana/alloy@1.11.0); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,bitnami/redis,25.5.3,prod-us-east,npm run live-parity:run -- --recipe recipes/bitnami/redis/25.5.3 --base prod-us-east,todo,G=todo;P=n/a,ready-to-run,,,derived,remote-image,vanilla kind proof rig — image must be pullable on the target,family pattern — bitnami: 26/41 classified rows are remote-image,medium,"stateful/heavy — run alone, allow a longer timeout, verify PVC/cluster cleanup",ready-to-run todo cell(s) [G=todo;P=n/a] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-05,"G/P: run the 5 ready live-parity row(s) with predicted remote-image / render-input / target-prerequisite / target-runtime (bitnami/redis@25.5.3, velero/velero@12.1.0, metrics-server/metrics-server@3.13.1, grafana/alloy@1.11.0); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,velero/velero,12.1.0,default,npm run live-parity:run -- --recipe recipes/velero/velero/12.1.0 --base default,todo,G=todo;P=todo,ready-to-run,,,derived,render-input,vanilla kind — required input values must be supplied or refused first,sibling receipt — velero/velero already classified render-input (runs/live-helm-confighub-compare/velero-velero-default/receipt.yaml),high,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-05,"G/P: run the 5 ready live-parity row(s) with predicted remote-image / render-input / target-prerequisite / target-runtime (bitnami/redis@25.5.3, velero/velero@12.1.0, metrics-server/metrics-server@3.13.1, grafana/alloy@1.11.0); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,metrics-server/metrics-server,3.13.1,default,npm run live-parity:run -- --recipe recipes/metrics-server/metrics-server/3.13.1 --base default,todo,G=yes;P=todo,ready-to-run,,,derived,target-prerequisite,vanilla kind + the named prerequisite staged (CRD/Secret/Namespace),recipe artifact recipes/metrics-server/metrics-server/3.13.1/target-prerequisite-plan.yaml,medium,light controller — safe within a block,ready-to-run todo cell(s) [G=yes;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-05,"G/P: run the 5 ready live-parity row(s) with predicted remote-image / render-input / target-prerequisite / target-runtime (bitnami/redis@25.5.3, velero/velero@12.1.0, metrics-server/metrics-server@3.13.1, grafana/alloy@1.11.0); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,metrics-server/metrics-server,3.13.1,external-tls-ca,npm run live-parity:run -- --recipe recipes/metrics-server/metrics-server/3.13.1 --base external-tls-ca,todo,G=todo;P=todo,ready-to-run,,,derived,target-prerequisite,vanilla kind + the named prerequisite staged (CRD/Secret/Namespace),recipe artifact recipes/metrics-server/metrics-server/3.13.1/target-prerequisite-plan.yaml,medium,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-05,"G/P: run the 5 ready live-parity row(s) with predicted remote-image / render-input / target-prerequisite / target-runtime (bitnami/redis@25.5.3, velero/velero@12.1.0, metrics-server/metrics-server@3.13.1, grafana/alloy@1.11.0); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,grafana/alloy,1.11.0,default,npm run live-parity:run -- --recipe recipes/grafana/alloy/1.11.0 --base default,todo,G=todo;P=todo,ready-to-run,,,derived,target-runtime,vanilla kind proof rig — runtime convergence to review,family pattern — grafana: 3/5 classified rows are target-runtime,medium,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-06,"G/P: run the 5 ready live-parity row(s) with predicted target-runtime / unknown (grafana/loki@7.1.0, aws-controllers-k8s/ec2-chart@1.18.4, aws-controllers-k8s/eks-chart@1.16.3); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,grafana/loki,7.1.0,default,npm run live-parity:run -- --recipe recipes/grafana/loki/7.1.0 --base default,todo,G=todo;P=todo,ready-to-run,,,derived,target-runtime,vanilla kind proof rig — runtime convergence to review,family pattern — grafana: 3/5 classified rows are target-runtime,medium,"stateful/heavy — run alone, allow a longer timeout, verify PVC/cluster cleanup",ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-06,"G/P: run the 5 ready live-parity row(s) with predicted target-runtime / unknown (grafana/loki@7.1.0, aws-controllers-k8s/ec2-chart@1.18.4, aws-controllers-k8s/eks-chart@1.16.3); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,aws-controllers-k8s/ec2-chart,1.18.4,default,npm run live-parity:run -- --recipe recipes/aws-controllers-k8s/ec2-chart/1.18.4 --base default,todo,G=todo;P=todo,ready-to-run,,,unknown,unknown,unknown,,unknown,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-06,"G/P: run the 5 ready live-parity row(s) with predicted target-runtime / unknown (grafana/loki@7.1.0, aws-controllers-k8s/ec2-chart@1.18.4, aws-controllers-k8s/eks-chart@1.16.3); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,aws-controllers-k8s/ec2-chart,1.18.4,eks-inference,npm run live-parity:run -- --recipe recipes/aws-controllers-k8s/ec2-chart/1.18.4 --base eks-inference,todo,G=todo;P=todo,ready-to-run,,,unknown,unknown,unknown,,unknown,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-06,"G/P: run the 5 ready live-parity row(s) with predicted target-runtime / unknown (grafana/loki@7.1.0, aws-controllers-k8s/ec2-chart@1.18.4, aws-controllers-k8s/eks-chart@1.16.3); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,aws-controllers-k8s/eks-chart,1.16.3,default,npm run live-parity:run -- --recipe recipes/aws-controllers-k8s/eks-chart/1.16.3 --base default,todo,G=todo;P=todo,ready-to-run,,,unknown,unknown,unknown,,unknown,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-06,"G/P: run the 5 ready live-parity row(s) with predicted target-runtime / unknown (grafana/loki@7.1.0, aws-controllers-k8s/ec2-chart@1.18.4, aws-controllers-k8s/eks-chart@1.16.3); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,aws-controllers-k8s/eks-chart,1.16.3,eks-inference,npm run live-parity:run -- --recipe recipes/aws-controllers-k8s/eks-chart/1.16.3 --base eks-inference,todo,G=todo;P=todo,ready-to-run,,,unknown,unknown,unknown,,unknown,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-07,"G/P: run the 5 ready live-parity row(s) with no prior residue signal (first observation) (aws-controllers-k8s/iam-chart@1.7.3, cloudpirates/nginx@0.16.1, cloudpirates/rabbitmq@0.21.13, cloudpirates/redis@0.34.11); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,aws-controllers-k8s/iam-chart,1.7.3,default,npm run live-parity:run -- --recipe recipes/aws-controllers-k8s/iam-chart/1.7.3 --base default,todo,G=todo;P=todo,ready-to-run,,,unknown,unknown,unknown,,unknown,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-07,"G/P: run the 5 ready live-parity row(s) with no prior residue signal (first observation) (aws-controllers-k8s/iam-chart@1.7.3, cloudpirates/nginx@0.16.1, cloudpirates/rabbitmq@0.21.13, cloudpirates/redis@0.34.11); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,aws-controllers-k8s/iam-chart,1.7.3,eks-inference,npm run live-parity:run -- --recipe recipes/aws-controllers-k8s/iam-chart/1.7.3 --base eks-inference,todo,G=todo;P=todo,ready-to-run,,,unknown,unknown,unknown,,unknown,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-07,"G/P: run the 5 ready live-parity row(s) with no prior residue signal (first observation) (aws-controllers-k8s/iam-chart@1.7.3, cloudpirates/nginx@0.16.1, cloudpirates/rabbitmq@0.21.13, cloudpirates/redis@0.34.11); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,cloudpirates/nginx,0.16.1,default,npm run live-parity:run -- --recipe recipes/cloudpirates/nginx/0.16.1 --base default,todo,G=todo;P=todo,ready-to-run,,,unknown,unknown,unknown,,unknown,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-07,"G/P: run the 5 ready live-parity row(s) with no prior residue signal (first observation) (aws-controllers-k8s/iam-chart@1.7.3, cloudpirates/nginx@0.16.1, cloudpirates/rabbitmq@0.21.13, cloudpirates/redis@0.34.11); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,cloudpirates/rabbitmq,0.21.13,default,npm run live-parity:run -- --recipe recipes/cloudpirates/rabbitmq/0.21.13 --base default,todo,G=todo;P=todo,ready-to-run,,,unknown,unknown,unknown,,unknown,light controller — safe within a block,ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
GP-07,"G/P: run the 5 ready live-parity row(s) with no prior residue signal (first observation) (aws-controllers-k8s/iam-chart@1.7.3, cloudpirates/nginx@0.16.1, cloudpirates/rabbitmq@0.21.13, cloudpirates/redis@0.34.11); each live-parity command classifies both the G and P cells. Confirm or reclassify from each receipt.",live-parity,cloudpirates/redis,0.34.11,default,npm run live-parity:run -- --recipe recipes/cloudpirates/redis/0.34.11 --base default,todo,G=todo;P=todo,ready-to-run,,,unknown,unknown,unknown,,unknown,"stateful/heavy — run alone, allow a longer timeout, verify PVC/cluster cleanup",ready-to-run todo cell(s) [G=todo;P=todo] counted against the 99% disposition bar; running this converts todo -> pass/watch/blocked with a committed receipt
