chart,version,catalog_status,proof_surface,rendered_subjects,subjects_needing_resolution,image_refs,mutable_tag_refs,floating_latest_or_untagged_refs,resolution_receipts,support_image_policy_decisions,next_action
bitnami/postgresql,18.6.7,catalog-supported,top20-catalog-supported,2,0,2,0,0,0,1,none
bitnami/redis,25.5.3,catalog-supported,top20-catalog-supported,2,0,4,0,0,0,0,none
ingress-nginx/ingress-nginx,4.15.1,catalog-supported,top20-catalog-supported,2,0,2,0,0,0,0,none
elastic/eck-operator,3.4.0,proof-grade,next80-proof-grade,3,3,3,3,0,0,0,resolve image digests for each affected variant before production OCI support
grafana/pyroscope,2.0.2,proof-grade,next80-proof-grade,3,3,9,9,0,0,0,resolve image digests for each affected variant before production OCI support
aqua/trivy-operator,0.32.1,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
argo-cd/argo-events,2.4.21,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
argo-cd/argo-rollouts,2.40.9,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
autoscaler/vertical-pod-autoscaler,0.9.0,proof-grade,next80-proof-grade,2,2,6,6,0,0,0,resolve image digests for each affected variant before production OCI support
bitnami/contour,21.1.4,proof-grade,next80-proof-grade,2,2,8,8,0,0,0,resolve image digests for each affected variant before production OCI support
bitnami/elasticsearch,22.1.6,proof-grade,next80-proof-grade,2,2,24,24,0,0,0,resolve image digests for each affected variant before production OCI support
bitnami/opensearch,2.0.10,proof-grade,next80-proof-grade,2,2,24,24,0,0,0,resolve image digests for each affected variant before production OCI support
bitnami/spark,10.0.3,proof-grade,next80-proof-grade,2,2,4,4,0,0,0,resolve image digests for each affected variant before production OCI support
bitnami/zookeeper,13.8.7,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
cloudnative-pg/cloudnative-pg,0.28.2,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
elastic/logstash,8.5.1,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
external-dns/external-dns,1.21.1,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
fairwinds-stable/vpa,4.11.0,proof-grade,next80-proof-grade,2,2,6,6,0,0,0,resolve image digests for each affected variant before production OCI support
gatekeeper/gatekeeper,3.22.2,proof-grade,next80-proof-grade,2,2,4,4,0,0,0,resolve image digests for each affected variant before production OCI support
grafana/alloy,1.8.2,proof-grade,next80-proof-grade,2,2,4,2,0,0,0,resolve image digests for each affected variant before production OCI support
grafana/rollout-operator,0.49.0,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
hashicorp/terraform,1.1.2,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
jaegertracing/jaeger-operator,2.57.0,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
jetstack/trust-manager,v0.22.1,proof-grade,next80-proof-grade,2,2,4,4,0,0,0,resolve image digests for each affected variant before production OCI support
kedacore/keda,2.19.0,proof-grade,next80-proof-grade,2,2,6,6,0,0,0,resolve image digests for each affected variant before production OCI support
kyverno/kyverno,3.8.1,proof-grade,next80-proof-grade,2,2,10,10,0,0,0,resolve image digests for each affected variant before production OCI support
nats/nack,0.34.0,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
nats/nats,2.14.0,proof-grade,next80-proof-grade,2,2,6,6,0,0,0,resolve image digests for each affected variant before production OCI support
open-telemetry/opentelemetry-operator,0.114.0,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
percona/pg-operator,3.0.0,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
percona/psmdb-operator,1.22.0,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
percona/pxc-operator,1.19.1,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
prometheus-community/alertmanager,1.37.0,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
sealed-secrets/sealed-secrets,2.18.6,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
strimzi/strimzi-kafka-operator,1.0.0,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
traefik/traefik,40.2.0,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
velero/velero,12.0.1,proof-grade,next80-proof-grade,2,2,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
argo-cd/argo-workflows,1.0.14,proof-grade,next80-proof-grade,1,1,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
argo-cd/argocd-image-updater,1.2.2,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,proof-grade,next80-proof-grade,1,1,11,11,0,0,0,resolve image digests for each affected variant before production OCI support
bitnami/apache,11.4.29,proof-grade,next80-proof-grade,1,1,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
bitnami/memcached,8.5.5,proof-grade,next80-proof-grade,1,1,1,0,1,0,0,resolve image digests for each affected variant before production OCI support
bitnami/phpmyadmin,20.0.0,proof-grade,next80-proof-grade,1,1,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
coredns/coredns,1.45.2,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
crossplane-stable/crossplane,2.3.1,proof-grade,next80-proof-grade,1,1,4,4,0,0,0,resolve image digests for each affected variant before production OCI support
descheduler/descheduler,0.36.0,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
dex/dex,0.24.0,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
elastic/filebeat,8.5.1,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
elastic/kibana,8.5.1,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
elastic/metricbeat,8.5.1,proof-grade,next80-proof-grade,1,1,3,3,0,0,0,resolve image digests for each affected variant before production OCI support
fairwinds-stable/goldilocks,10.3.0,proof-grade,next80-proof-grade,1,1,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
falcosecurity/falco,9.0.0,proof-grade,next80-proof-grade,1,1,4,4,0,0,0,resolve image digests for each affected variant before production OCI support
falcosecurity/falcosidekick,0.13.1,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
fluent/fluent-bit,0.57.6,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
fluent/fluentd,0.5.3,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
gitlab/gitlab-runner,0.89.0,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
grafana/promtail,6.17.1,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
haproxytech/kubernetes-ingress,1.52.0,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
istio/gateway,1.30.0,proof-grade,next80-proof-grade,1,1,1,0,1,0,0,resolve image digests for each affected variant before production OCI support
istio/istiod,1.30.0,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
jaegertracing/jaeger,4.8.0,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
jetstack/cert-manager-csi-driver,v0.14.0,proof-grade,next80-proof-grade,1,1,3,3,0,0,0,resolve image digests for each affected variant before production OCI support
minio-operator/operator,7.1.1,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
minio-operator/tenant,7.1.1,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
nats/surveyor,0.20.9,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
projectcalico/tigera-operator,v3.32.0,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
prometheus-community/kube-state-metrics,7.4.0,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
prometheus-community/prometheus-adapter,5.3.0,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
prometheus-community/prometheus-blackbox-exporter,11.10.0,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
prometheus-community/prometheus-node-exporter,4.55.0,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
prometheus-community/prometheus-pushgateway,3.6.0,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
rook-release/rook-ceph,v1.19.5,proof-grade,next80-proof-grade,1,1,2,2,0,0,0,resolve image digests for each affected variant before production OCI support
rook-release/rook-ceph-cluster,v1.19.5,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
runix/pgadmin4,1.62.0,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
stakater/reloader,2.2.12,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
vm/victoria-logs-single,0.12.5,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
vm/victoria-metrics-single,0.39.0,proof-grade,next80-proof-grade,1,1,1,1,0,0,0,resolve image digests for each affected variant before production OCI support
opencost/opencost,2.5.21,proof-grade,next80-proof-grade,1,0,2,0,0,0,0,none
