chart,version,user_status,support_claim,evidence_depth,recommended_base,prerequisites,quirks_disposition,skill,cub_scout_check,next_action,try_it
grafana/tempo,1.24.4,ready-to-try,yes-public-catalog; production decision: local-persistent:superseded:not-production-supported-because-source-chart-is-deprecated,"catalog-supported-with-live-evidence (render parity 2/2, local live 1/2, live parity 1/2)",local-persistent,nothing beyond a cluster and namespace,extension-slots — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",resolve image digests for each affected variant before production OCI support,recipes/grafana/tempo/1.24.4/CATALOG.md
hashicorp/consul,2.0.0,ready-to-try,yes-public-catalog; production decision: default-control-plane:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 2/2, local live 1/2, live parity 1/2)",default-control-plane,a StorageClass / storage decision; webhook/cert readiness at delivery time; mandatory chart inputs,webhooks;extension-slots;install-vs-upgrade-divergence;required-values;tpl;capabilities;rbac;storage — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision,serious-chart-playbooks (docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,recipes/hashicorp/consul/2.0.0/CATALOG.md
hashicorp/vault,0.32.0,ready-to-try,yes-public-catalog; production decision: dev-mode:rejected:not-production-supported-because-vault-dev-mode-is-local-only,"catalog-supported-with-live-evidence (render parity 3/3, local live 2/3, live parity 2/3)",default,a StorageClass / storage decision; webhook/cert readiness at delivery time; mandatory chart inputs,webhooks;extension-slots;required-values;tpl;capabilities;rbac;storage — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",resolve image digests for each affected variant before production OCI support,recipes/hashicorp/vault/0.32.0/CATALOG.md
ingress-nginx/ingress-nginx,4.15.1,ready-to-try,yes-public-catalog; production decision: internal-clusterip:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 3/3, local live 3/3, live parity 3/3)",internal-clusterip,webhook/cert readiness at delivery time; mandatory chart inputs,webhooks;required-values;tpl;capabilities;rbac — exact rendered objects with render parity and receipts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.","record the target-scoped lifecycle support decision, then refresh live/e2e evidence for that scope",recipes/ingress-nginx/ingress-nginx/4.15.1/CATALOG.md
jetstack/cert-manager,v1.20.2,ready-to-try,yes-public-catalog; production decision: crds-enabled:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",crds-enabled,nothing beyond a cluster and namespace,extension-slots — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,serious-chart-playbooks (docs/skills/serious-chart-playbooks.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",write or fix the receipt for target fact preflight,recipes/jetstack/cert-manager/v1.20.2/CATALOG.md
longhorn/longhorn,1.11.2,ready-to-try,yes-public-catalog; production decision: default:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",default,target facts at variant time; mandatory chart inputs,required-values;generated-facts;tpl;rbac — exact rendered objects with render parity and receipts; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.","choose the supported production base, then record explicit security acceptance or create a hardened base before claiming production support",recipes/longhorn/longhorn/1.11.2/CATALOG.md
metrics-server/metrics-server,3.13.0,ready-to-try,yes-public-catalog; production decision: default:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",default,an existing Secret for some bases (NOT built - chart ships no Secret toggle); target facts at variant time,generated-secrets;existing-secret;lookup;generated-facts;capabilities;rbac — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",image policy decision recorded for a target scope; create digest-pinned bases or overrides for stricter scopes,recipes/metrics-server/metrics-server/3.13.0/CATALOG.md
prometheus-community/kube-prometheus-stack,85.3.3,ready-to-try,yes-public-catalog; production decision: default:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",default,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time; mandatory chart inputs,hooks;crds;generated-secrets;existing-secret;webhooks;extension-slots;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;rbac;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; hooks classified and routed (not silently executed); extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,serious-chart-playbooks (docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.","choose the supported production base, then record explicit security acceptance or create a hardened base before claiming production support",recipes/prometheus-community/kube-prometheus-stack/85.3.3/CATALOG.md
prometheus-community/prometheus,29.8.0,ready-to-try,yes-public-catalog; production decision: server-only-ephemeral:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",server-only-ephemeral,a StorageClass / storage decision; target facts at variant time; mandatory chart inputs,generated-secrets;extension-slots;required-values;generated-facts;tpl;capabilities;rbac;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.","choose the supported production base, then record explicit security acceptance or create a hardened base before claiming production support",recipes/prometheus-community/prometheus/29.8.0/CATALOG.md
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,ready-to-try,yes-public-catalog; production decision: default:supported:fresh-target-evidence-passed,"catalog-supported-with-live-evidence (render parity 2/2, local live 2/2, live parity 2/2)",default,nothing beyond a cluster and namespace,extension-slots — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.","choose the supported production base, then record explicit security acceptance or create a hardened base before claiming production support",recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/CATALOG.md
traefik/traefik,40.2.0,not-ready-yet,decision-needed-first,"proof-grade-with-named-limitation (render parity 2/2, local live 2/2, live parity 1/2)",default,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time; mandatory chart inputs; a decision on the named limitation before use,crds;generated-secrets;existing-secret;webhooks;extension-slots;required-values;lookup;generated-facts;tpl;capabilities;rbac;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,serious-chart-playbooks (docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",review limitation before promotion: existing-secret (chart ships no Secret toggle),recipes/traefik/traefik/40.2.0/CATALOG.md
external-dns/external-dns,1.21.1,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 3/3, local live 3/3, live parity 3/3)",dry-run-txt-registry,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base); mandatory chart inputs,crds;existing-secret;extension-slots;required-values;tpl;rbac — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,target-facts-and-lifecycle (docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/external-dns/external-dns/1.21.1/CATALOG.md
gitlab/gitlab-runner,0.89.0,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,"an existing Secret for some bases (buildable — not yet run); target facts at variant time; your wanted install shape, until a reviewed base exists",existing-secret;extension-slots;generated-facts;tpl;capabilities — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/gitlab/gitlab-runner/0.89.0/CATALOG.md
kyverno/kyverno,3.8.1,not-ready-yet,decision-needed-first,"proof-grade-with-named-limitation (render parity 2/2, local live 2/2, live parity 2/2)",default,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); target facts at variant time; mandatory chart inputs; a decision on the named limitation before use,hooks;crds;generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;rbac;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; hooks classified and routed (not silently executed); extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",review limitation before promotion: existing-secret (chart ships no Secret toggle),recipes/kyverno/kyverno/3.8.1/CATALOG.md
cloudnative-pg/cloudnative-pg,0.28.2,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 1/2, live parity 1/2)",default,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time,crds;existing-secret;webhooks;extension-slots;generated-facts;tpl;rbac — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,serious-chart-playbooks (docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/cloudnative-pg/cloudnative-pg/0.28.2/CATALOG.md
fluent/fluent-bit,0.57.6,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 1/1)",default,"your wanted install shape, until a reviewed base exists",hooks;extension-slots;tpl;capabilities;rbac — exact rendered objects with render parity and receipts; hooks classified and routed (not silently executed); extension slots routed to reviewed bases,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/fluent/fluent-bit/0.57.6/CATALOG.md
runix/pgadmin4,1.62.0,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"an existing Secret for some bases (buildable — not yet run); a StorageClass / storage decision; mandatory chart inputs; your wanted install shape, until a reviewed base exists",existing-secret;extension-slots;required-values;tpl;capabilities;storage — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,target-facts-and-lifecycle (docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/runix/pgadmin4/1.62.0/CATALOG.md
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,"a StorageClass / storage decision; your wanted install shape, until a reviewed base exists",capabilities;rbac;storage — exact rendered objects with render parity and receipts,target-facts-and-lifecycle (docs/skills/target-facts-and-lifecycle.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/CATALOG.md
kedacore/keda,2.19.0,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 2/2)",default,a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time,crds;webhooks;extension-slots;tpl;capabilities;rbac — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,serious-chart-playbooks (docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.","run APIService promotion review: choose supported base, target scope, CRD ownership path, and evidence refresh rule using the committed aggregation receipt",recipes/kedacore/keda/2.19.0/CATALOG.md
prometheus-community/kube-state-metrics,7.4.0,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 1/2)",cluster-metrics-readonly,an existing Secret for some bases (buildable — not yet run); a StorageClass / storage decision; target facts at variant time,existing-secret;extension-slots;generated-facts;tpl;capabilities;rbac;storage — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/prometheus-community/kube-state-metrics/7.4.0/CATALOG.md
elastic/eck-operator,3.4.0,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 3/3, local live 3/3, live parity 3/3)",default,an existing Secret for some bases (buildable — not yet run); a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; mandatory chart inputs,crds;existing-secret;webhooks;extension-slots;required-values;tpl;capabilities;rbac;storage — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/elastic/eck-operator/3.4.0/CATALOG.md
