proof_surface_rank,proof_surface,top20_rank,top500_rank,chart,version,latest_version,latest_status,catalog_status,production_readiness,variant_count,supported_variants,candidate_variants,start_variant,namespace,source_features,source_classification,top500_next_action,not_yet_enabled,recipe_path,package_path,catalog_path,helm_pain_report
11,top20-catalog-supported,11,,grafana/tempo,1.24.4,1.24.4,current,catalog-supported,production-review-ready,2,local-persistent;s3-query-observability,,local-persistent,tempo,,,,ha (tempo single-binary chart; HA is the separate tempo-distributed chart),recipes/grafana/tempo/1.24.4/recipe.yaml,packages/grafana/tempo/1.24.4,recipes/grafana/tempo/1.24.4/CATALOG.md,recipes/grafana/tempo/1.24.4/helm-pain-report.yaml
12,top20-catalog-supported,12,57,hashicorp/consul,2.0.0,2.0.0,current,catalog-supported,production-review-ready,2,default-control-plane;secure-mesh-existing-secrets,,default-control-plane,consul,tpl;capabilities;cluster-rbac;webhooks;stateful-storage,P2 recipe/render/install policy,review source/current-version drift and refresh recipe if needed,ha (curated proof lane — bespoke teaching needed),recipes/hashicorp/consul/2.0.0/recipe.yaml,packages/hashicorp/consul/2.0.0,recipes/hashicorp/consul/2.0.0/CATALOG.md,recipes/hashicorp/consul/2.0.0/helm-pain-report.yaml
13,top20-catalog-supported,13,12,hashicorp/vault,0.32.0,0.32.0,current,catalog-supported,production-review-ready,3,dev-mode;default;ha-raft-ui,,dev-mode,vault,tpl;capabilities;cluster-rbac;webhooks;stateful-storage,P2 recipe/render/install policy,record target-scoped support decision and refresh live/e2e observation lane,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/hashicorp/vault/0.32.0/recipe.yaml,packages/hashicorp/vault/0.32.0,recipes/hashicorp/vault/0.32.0/CATALOG.md,recipes/hashicorp/vault/0.32.0/helm-pain-report.yaml
14,top20-catalog-supported,14,3,ingress-nginx/ingress-nginx,4.15.1,4.15.1,current,catalog-supported,production-review-ready,3,default;admission-disabled;internal-clusterip,,default,ingress-nginx,tpl;capabilities;cluster-rbac;webhooks,P2 recipe/render/install policy,record target-scoped support decision and refresh live/e2e observation lane,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/ingress-nginx/ingress-nginx/4.15.1/recipe.yaml,packages/ingress-nginx/ingress-nginx/4.15.1,recipes/ingress-nginx/ingress-nginx/4.15.1/CATALOG.md,recipes/ingress-nginx/ingress-nginx/4.15.1/helm-pain-report.yaml
15,top20-catalog-supported,15,,jetstack/cert-manager,v1.20.2,v1.20.2,current,catalog-supported,production-review-ready,2,default;crds-enabled,,default,cert-manager,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/jetstack/cert-manager/v1.20.2/recipe.yaml,packages/jetstack/cert-manager/v1.20.2,recipes/jetstack/cert-manager/v1.20.2/CATALOG.md,recipes/jetstack/cert-manager/v1.20.2/helm-pain-report.yaml
16,top20-catalog-supported,16,19,longhorn/longhorn,1.11.2,1.11.2,current,catalog-supported,production-review-ready,2,default;ui-ingress,,default,longhorn-system,generated-facts;tpl;cluster-rbac,P1 compiler policy needed,record target-scoped support decision and refresh live/e2e observation lane,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/longhorn/longhorn/1.11.2/recipe.yaml,packages/longhorn/longhorn/1.11.2,recipes/longhorn/longhorn/1.11.2/CATALOG.md,recipes/longhorn/longhorn/1.11.2/helm-pain-report.yaml
17,top20-catalog-supported,17,11,metrics-server/metrics-server,3.13.0,3.13.0,current,catalog-supported,production-review-ready,2,default;external-tls-ca,,default,kube-system,lookup;generated-facts;capabilities;cluster-rbac,P1 compiler policy needed,record target-scoped support decision and refresh live/e2e observation lane,existing-secret (chart ships no Secret toggle),recipes/metrics-server/metrics-server/3.13.0/recipe.yaml,packages/metrics-server/metrics-server/3.13.0,recipes/metrics-server/metrics-server/3.13.0/CATALOG.md,recipes/metrics-server/metrics-server/3.13.0/helm-pain-report.yaml
18,top20-catalog-supported,18,1,prometheus-community/kube-prometheus-stack,85.3.3,86.1.0,update-available,catalog-supported,production-review-ready,2,default;no-crds,,default,monitoring,lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;webhooks;stateful-storage,P0 source/dependency risk,review source/current-version drift and refresh recipe if needed,existing-secret (chart ships no Secret toggle),recipes/prometheus-community/kube-prometheus-stack/85.3.3/recipe.yaml,packages/prometheus-community/kube-prometheus-stack/85.3.3,recipes/prometheus-community/kube-prometheus-stack/85.3.3/CATALOG.md,recipes/prometheus-community/kube-prometheus-stack/85.3.3/helm-pain-report.yaml
19,top20-catalog-supported,19,5,prometheus-community/prometheus,29.8.0,29.9.0,update-available,catalog-supported,production-review-ready,2,default;server-only-ephemeral,,default,monitoring,generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,P0 source/dependency risk,record target-scoped support decision and refresh live/e2e observation lane,ha (curated proof lane — bespoke teaching needed),recipes/prometheus-community/prometheus/29.8.0/recipe.yaml,packages/prometheus-community/prometheus/29.8.0,recipes/prometheus-community/prometheus/29.8.0/CATALOG.md,recipes/prometheus-community/prometheus/29.8.0/helm-pain-report.yaml
20,top20-catalog-supported,20,,secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,1.6.0,current,catalog-supported,production-review-ready,2,default;sync-secret-rotation,,default,kube-system,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/recipe.yaml,packages/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/CATALOG.md,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/helm-pain-report.yaml
21,next80-proof-grade,,8,traefik/traefik,40.2.0,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,P1 compiler policy needed,run catalog promotion review,existing-secret (chart ships no Secret toggle),recipes/traefik/traefik/40.2.0/recipe.yaml,packages/traefik/traefik/40.2.0,recipes/traefik/traefik/40.2.0/CATALOG.md,recipes/traefik/traefik/40.2.0/helm-pain-report.yaml
22,next80-proof-grade,,18,external-dns/external-dns,1.21.1,,,proof-grade,not-reviewed-for-production,3,,default;no-crds;dry-run-txt-registry,default,default,tpl;crds;cluster-rbac,P2 recipe/render/install policy,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/external-dns/external-dns/1.21.1/recipe.yaml,packages/external-dns/external-dns/1.21.1,recipes/external-dns/external-dns/1.21.1/CATALOG.md,recipes/external-dns/external-dns/1.21.1/helm-pain-report.yaml
23,next80-proof-grade,,21,gitlab/gitlab-runner,0.89.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,generated-facts;tpl;capabilities,P0 source/dependency risk,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/gitlab/gitlab-runner/0.89.0/recipe.yaml,packages/gitlab/gitlab-runner/0.89.0,recipes/gitlab/gitlab-runner/0.89.0/CATALOG.md,recipes/gitlab/gitlab-runner/0.89.0/helm-pain-report.yaml
24,next80-proof-grade,,38,kyverno/kyverno,3.8.1,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;stateful-storage,P0 source/dependency risk,run catalog promotion review,existing-secret (chart ships no Secret toggle),recipes/kyverno/kyverno/3.8.1/recipe.yaml,packages/kyverno/kyverno/3.8.1,recipes/kyverno/kyverno/3.8.1/CATALOG.md,recipes/kyverno/kyverno/3.8.1/helm-pain-report.yaml
25,next80-proof-grade,,41,cloudnative-pg/cloudnative-pg,0.28.2,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,generated-facts;tpl;crds;cluster-rbac;webhooks,P0 source/dependency risk,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/cloudnative-pg/cloudnative-pg/0.28.2/recipe.yaml,packages/cloudnative-pg/cloudnative-pg/0.28.2,recipes/cloudnative-pg/cloudnative-pg/0.28.2/CATALOG.md,recipes/cloudnative-pg/cloudnative-pg/0.28.2/helm-pain-report.yaml
26,next80-proof-grade,,42,fluent/fluent-bit,0.57.6,,,proof-grade,not-reviewed-for-production,1,,default,default,default,tpl;capabilities;hooks;cluster-rbac,P1 compiler policy needed,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/fluent/fluent-bit/0.57.6/recipe.yaml,packages/fluent/fluent-bit/0.57.6,recipes/fluent/fluent-bit/0.57.6/CATALOG.md,recipes/fluent/fluent-bit/0.57.6/helm-pain-report.yaml
27,next80-proof-grade,,45,runix/pgadmin4,1.62.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,tpl;capabilities;stateful-storage,P2 recipe/render/install policy,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/runix/pgadmin4/1.62.0/recipe.yaml,packages/runix/pgadmin4/1.62.0,recipes/runix/pgadmin4/1.62.0/CATALOG.md,recipes/runix/pgadmin4/1.62.0/helm-pain-report.yaml
28,next80-proof-grade,,51,nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,,,proof-grade,not-reviewed-for-production,1,,default,default,default,capabilities;cluster-rbac;stateful-storage,P2 recipe/render/install policy,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/recipe.yaml,packages/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/CATALOG.md,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/helm-pain-report.yaml
29,next80-proof-grade,,53,kedacore/keda,2.19.0,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,tpl;capabilities;crds;cluster-rbac;webhooks,P2 recipe/render/install policy,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/kedacore/keda/2.19.0/recipe.yaml,packages/kedacore/keda/2.19.0,recipes/kedacore/keda/2.19.0/CATALOG.md,recipes/kedacore/keda/2.19.0/helm-pain-report.yaml
30,next80-proof-grade,,58,prometheus-community/kube-state-metrics,7.4.0,,,proof-grade,not-reviewed-for-production,2,,default;cluster-metrics-readonly,default,default,generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,P1 compiler policy needed,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/prometheus-community/kube-state-metrics/7.4.0/recipe.yaml,packages/prometheus-community/kube-state-metrics/7.4.0,recipes/prometheus-community/kube-state-metrics/7.4.0/CATALOG.md,recipes/prometheus-community/kube-state-metrics/7.4.0/helm-pain-report.yaml
31,next80-proof-grade,,60,elastic/eck-operator,3.4.0,,,proof-grade,not-reviewed-for-production,3,,default;ha;no-crds,default,default,tpl;capabilities;cluster-rbac;webhooks;stateful-storage,P2 recipe/render/install policy,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/elastic/eck-operator/3.4.0/recipe.yaml,packages/elastic/eck-operator/3.4.0,recipes/elastic/eck-operator/3.4.0/CATALOG.md,recipes/elastic/eck-operator/3.4.0/helm-pain-report.yaml
32,next80-proof-grade,,62,elastic/kibana,8.5.1,,,proof-grade,not-reviewed-for-production,1,,default,default,default,tpl,P2 recipe/render/install policy,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/elastic/kibana/8.5.1/recipe.yaml,packages/elastic/kibana/8.5.1,recipes/elastic/kibana/8.5.1/CATALOG.md,recipes/elastic/kibana/8.5.1/helm-pain-report.yaml
33,next80-proof-grade,,64,descheduler/descheduler,0.36.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,tpl;cluster-rbac,P2 recipe/render/install policy,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/descheduler/descheduler/0.36.0/recipe.yaml,packages/descheduler/descheduler/0.36.0,recipes/descheduler/descheduler/0.36.0/CATALOG.md,recipes/descheduler/descheduler/0.36.0/helm-pain-report.yaml
34,next80-proof-grade,,65,prometheus-community/prometheus-blackbox-exporter,11.10.0,,,proof-grade,not-reviewed-for-production,2,,default;cluster-metrics-readonly,default,default,tpl;capabilities,P2 recipe/render/install policy,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/recipe.yaml,packages/prometheus-community/prometheus-blackbox-exporter/11.10.0,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/CATALOG.md,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/helm-pain-report.yaml
35,next80-proof-grade,,66,bitnami/elasticsearch,22.1.6,,,proof-grade,not-reviewed-for-production,2,,default;ha,default,default,lookup;generated-facts;tpl;capabilities;stateful-storage,P0 source/dependency risk,"create recipe, package, variants, rendered digest, scans, and receipts",existing-secret (chart ships no Secret toggle),recipes/bitnami/elasticsearch/22.1.6/recipe.yaml,packages/bitnami/elasticsearch/22.1.6,recipes/bitnami/elasticsearch/22.1.6/CATALOG.md,recipes/bitnami/elasticsearch/22.1.6/helm-pain-report.yaml
36,next80-proof-grade,,67,stakater/reloader,2.2.12,,,proof-grade,not-reviewed-for-production,2,,default;controller-default-reviewed,default,default,tpl;capabilities;cluster-rbac,P2 recipe/render/install policy,review source/current-version drift and refresh recipe if needed,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/stakater/reloader/2.2.12/recipe.yaml,packages/stakater/reloader/2.2.12,recipes/stakater/reloader/2.2.12/CATALOG.md,recipes/stakater/reloader/2.2.12/helm-pain-report.yaml
37,next80-proof-grade,,70,jaegertracing/jaeger,4.8.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,lookup;generated-facts;tpl;capabilities,P0 source/dependency risk,add user-shaped variants before catalog promotion,existing-secret (chart ships no Secret toggle),recipes/jaegertracing/jaeger/4.8.0/recipe.yaml,packages/jaegertracing/jaeger/4.8.0,recipes/jaegertracing/jaeger/4.8.0/CATALOG.md,recipes/jaegertracing/jaeger/4.8.0/helm-pain-report.yaml
38,next80-proof-grade,,74,grafana/alloy,1.8.2,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,tpl;capabilities;crds;cluster-rbac;stateful-storage,P2 recipe/render/install policy,review source/current-version drift and refresh recipe if needed,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/grafana/alloy/1.8.2/recipe.yaml,packages/grafana/alloy/1.8.2,recipes/grafana/alloy/1.8.2/CATALOG.md,recipes/grafana/alloy/1.8.2/helm-pain-report.yaml
39,next80-proof-grade,,78,nats/nats,2.14.0,,,proof-grade,not-reviewed-for-production,2,,default;ha,default,default,tpl,P2 recipe/render/install policy,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/nats/nats/2.14.0/recipe.yaml,packages/nats/nats/2.14.0,recipes/nats/nats/2.14.0/CATALOG.md,recipes/nats/nats/2.14.0/helm-pain-report.yaml
40,next80-proof-grade,,80,dex/dex,0.24.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,tpl;capabilities;cluster-rbac,P2 recipe/render/install policy,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/dex/dex/0.24.0/recipe.yaml,packages/dex/dex/0.24.0,recipes/dex/dex/0.24.0/CATALOG.md,recipes/dex/dex/0.24.0/helm-pain-report.yaml
41,next80-proof-grade,,88,prometheus-community/alertmanager,1.37.0,,,proof-grade,not-reviewed-for-production,2,,default;ha,default,default,tpl;stateful-storage,P2 recipe/render/install policy,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/prometheus-community/alertmanager/1.37.0/recipe.yaml,packages/prometheus-community/alertmanager/1.37.0,recipes/prometheus-community/alertmanager/1.37.0/CATALOG.md,recipes/prometheus-community/alertmanager/1.37.0/helm-pain-report.yaml
42,next80-proof-grade,,90,falcosecurity/falco,9.0.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,lookup;tpl;capabilities;cluster-rbac;stateful-storage,P0 source/dependency risk,review source/current-version drift and refresh recipe if needed,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/falcosecurity/falco/9.0.0/recipe.yaml,packages/falcosecurity/falco/9.0.0,recipes/falcosecurity/falco/9.0.0/CATALOG.md,recipes/falcosecurity/falco/9.0.0/helm-pain-report.yaml
43,next80-proof-grade,,94,prometheus-community/prometheus-node-exporter,4.55.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,generated-facts;tpl;capabilities;cluster-rbac,P1 compiler policy needed,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/prometheus-community/prometheus-node-exporter/4.55.0/recipe.yaml,packages/prometheus-community/prometheus-node-exporter/4.55.0,recipes/prometheus-community/prometheus-node-exporter/4.55.0/CATALOG.md,recipes/prometheus-community/prometheus-node-exporter/4.55.0/helm-pain-report.yaml
44,next80-proof-grade,,101,bitnami/spark,10.0.3,,,proof-grade,not-reviewed-for-production,2,,default;ha,default,default,lookup;generated-facts;tpl;capabilities;stateful-storage,P0 source/dependency risk,run catalog promotion review,existing-secret (chart ships no Secret toggle),recipes/bitnami/spark/10.0.3/recipe.yaml,packages/bitnami/spark/10.0.3,recipes/bitnami/spark/10.0.3/CATALOG.md,recipes/bitnami/spark/10.0.3/helm-pain-report.yaml
45,next80-proof-grade,,107,elastic/logstash,8.5.1,,,proof-grade,not-reviewed-for-production,2,,default;ha,default,default,tpl;capabilities;stateful-storage,P2 recipe/render/install policy,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/elastic/logstash/8.5.1/recipe.yaml,packages/elastic/logstash/8.5.1,recipes/elastic/logstash/8.5.1/CATALOG.md,recipes/elastic/logstash/8.5.1/helm-pain-report.yaml
46,next80-proof-grade,,118,prometheus-community/prometheus-adapter,5.3.0,,,proof-grade,not-reviewed-for-production,2,,default;cluster-metrics-readonly,default,default,tpl;capabilities;cluster-rbac,P2 recipe/render/install policy,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/prometheus-community/prometheus-adapter/5.3.0/recipe.yaml,packages/prometheus-community/prometheus-adapter/5.3.0,recipes/prometheus-community/prometheus-adapter/5.3.0/CATALOG.md,recipes/prometheus-community/prometheus-adapter/5.3.0/helm-pain-report.yaml
47,next80-proof-grade,,126,projectcalico/tigera-operator,v3.32.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,lookup;hooks;cluster-rbac,P1 compiler policy needed,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/projectcalico/tigera-operator/v3.32.0/recipe.yaml,packages/projectcalico/tigera-operator/v3.32.0,recipes/projectcalico/tigera-operator/v3.32.0/CATALOG.md,recipes/projectcalico/tigera-operator/v3.32.0/helm-pain-report.yaml
48,next80-proof-grade,,130,fairwinds-stable/goldilocks,10.3.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks,P0 source/dependency risk,add user-shaped variants before catalog promotion,existing-secret (chart ships no Secret toggle),recipes/fairwinds-stable/goldilocks/10.3.0/recipe.yaml,packages/fairwinds-stable/goldilocks/10.3.0,recipes/fairwinds-stable/goldilocks/10.3.0/CATALOG.md,recipes/fairwinds-stable/goldilocks/10.3.0/helm-pain-report.yaml
49,next80-proof-grade,,133,prometheus-community/prometheus-operator-crds,29.0.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,generated-facts;crds,P1 compiler policy needed,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/prometheus-community/prometheus-operator-crds/29.0.0/recipe.yaml,packages/prometheus-community/prometheus-operator-crds/29.0.0,recipes/prometheus-community/prometheus-operator-crds/29.0.0/CATALOG.md,recipes/prometheus-community/prometheus-operator-crds/29.0.0/helm-pain-report.yaml
50,next80-proof-grade,,139,bitnami/zookeeper,13.8.7,,,proof-grade,not-reviewed-for-production,2,,default;ha,default,default,lookup;generated-facts;tpl;capabilities;stateful-storage,P0 source/dependency risk,run catalog promotion review,existing-secret (chart ships no Secret toggle),recipes/bitnami/zookeeper/13.8.7/recipe.yaml,packages/bitnami/zookeeper/13.8.7,recipes/bitnami/zookeeper/13.8.7/CATALOG.md,recipes/bitnami/zookeeper/13.8.7/helm-pain-report.yaml
51,next80-proof-grade,,140,elastic/filebeat,8.5.1,,,proof-grade,not-reviewed-for-production,2,,default;node-or-cluster-collector,default,default,tpl;cluster-rbac,P2 recipe/render/install policy,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/elastic/filebeat/8.5.1/recipe.yaml,packages/elastic/filebeat/8.5.1,recipes/elastic/filebeat/8.5.1/CATALOG.md,recipes/elastic/filebeat/8.5.1/helm-pain-report.yaml
52,next80-proof-grade,,141,hashicorp/terraform,1.1.2,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,crds,P2 recipe/render/install policy,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/hashicorp/terraform/1.1.2/recipe.yaml,packages/hashicorp/terraform/1.1.2,recipes/hashicorp/terraform/1.1.2/CATALOG.md,recipes/hashicorp/terraform/1.1.2/helm-pain-report.yaml
53,next80-proof-grade,,143,coredns/coredns,1.45.2,,,proof-grade,not-reviewed-for-production,1,,default,default,default,generated-facts;tpl;capabilities;cluster-rbac,P1 compiler policy needed,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/coredns/coredns/1.45.2/recipe.yaml,packages/coredns/coredns/1.45.2,recipes/coredns/coredns/1.45.2/CATALOG.md,recipes/coredns/coredns/1.45.2/helm-pain-report.yaml
