shortlist_rank,score,source_rank,chart,version,chart_ref,catalog_status,proof_surface,top100_queue,primary_gap,open_quirks,unresolved_quirks,remote_dependency_workstream,hook_route_candidate,first_action,required_artifact,why_it_matters,model_gap,source_evidence,not_a_claim
11,62,38,kyverno/kyverno,3.8.1,kyverno/kyverno@3.8.1,proof-grade,next80-proof-grade,promotion-review,dependency-range-policy,remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;hook-weight-ordering;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;crds;stateful-storage,remote-dependencies;non-exact-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;crds;stateful-storage,dependency-range-policy,,record dependency range policy and refresh-survival check for non-exact dependency constraints,data/remote-dependency-closure/top100.csv,non-exact dependency ranges can silently change the rendered dependency closure during refresh.,source signal not fully modeled: remote-dependencies;non-exact-dependencies;hooks;hook-delete-policy;hook-weight-ordering;semver-compare;files-get;lookup;stateful-storage,kyverno/charts/reports-server/templates/hooks/pre-delete-api-service-cleanup.yaml;kyverno/templates/hooks/post-upgrade-migrate-resources.yaml;kyverno/templates/hooks/pre-delete-remove-webhooks.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
12,57,15,bitnami/keycloak,25.2.0,bitnami/keycloak@25.2.0,not-in-modeled-top100,,,create-recipe-import-candidate,remote-dependencies;non-exact-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies;non-exact-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,create-recipe-import-candidate,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer,data/remote-dependency-closure/top100.csv,"source-only charts have no maintained recipe path, so catalog claims would be disconnected from proof artifacts.",source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;files-get;lookup;stateful-storage,keycloak/charts/common/templates/_capabilities.tpl;keycloak/charts/postgresql/charts/common/templates/_capabilities.tpl;keycloak/templates/keycloak-config-cli-configmap.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
13,57,25,bitnami/external-dns,9.0.3,bitnami/external-dns@9.0.3,not-in-modeled-top100,,,create-recipe-import-candidate,remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;crds,remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;crds,create-recipe-import-candidate,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer,data/remote-dependency-closure/top100.csv,"source-only charts have no maintained recipe path, so catalog claims would be disconnected from proof artifacts.",source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;lookup,external-dns/charts/common/templates/_capabilities.tpl;external-dns/charts/common/templates/_secrets.tpl;external-dns/templates/secret.yaml;external-dns/templates/tls-secret.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
14,57,84,airflow-helm/airflow,8.9.0,airflow-helm/airflow@8.9.0,not-in-modeled-top100,,,create-recipe-import-candidate,remote-dependencies;hooks;hook-delete-policy;hook-weight-ordering;semver-compare;files-get;generated-facts;capabilities;required-or-fail;stateful-storage,remote-dependencies;hooks;hook-delete-policy;hook-weight-ordering;semver-compare;files-get;generated-facts;capabilities;required-or-fail;stateful-storage,create-recipe-import-candidate,explicit-managed-action,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer,data/remote-dependency-closure/top100.csv,"source-only charts have no maintained recipe path, so catalog claims would be disconnected from proof artifacts.",source signal not fully modeled: remote-dependencies;hooks;hook-delete-policy;hook-weight-ordering;semver-compare;files-get;stateful-storage,airflow/templates/db-migrations/db-migrations-job.yaml;airflow/templates/sync/sync-connections-job.yaml;airflow/templates/sync/sync-pools-job.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
15,54,29,nextcloud/nextcloud,9.1.0,nextcloud/nextcloud@9.1.0,not-in-modeled-top100,,,create-recipe-import-candidate,remote-dependencies;non-exact-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies;non-exact-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,create-recipe-import-candidate,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer,data/remote-dependency-closure/top100.csv,"source-only charts have no maintained recipe path, so catalog claims would be disconnected from proof artifacts.",source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;files-get;lookup;stateful-storage,nextcloud/charts/mariadb/charts/common/templates/_capabilities.tpl;nextcloud/charts/postgresql/charts/common/templates/_capabilities.tpl;nextcloud/charts/postgresql/charts/common/templates/_ingress.tpl;nextcloud/charts/collabora-online/templates/configmap_grafana_dashboards.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
16,54,39,gitea/gitea,12.6.0,gitea/gitea@12.6.0,not-in-modeled-top100,,,create-recipe-import-candidate,remote-dependencies;non-exact-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies;non-exact-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,create-recipe-import-candidate,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer,data/remote-dependency-closure/top100.csv,"source-only charts have no maintained recipe path, so catalog claims would be disconnected from proof artifacts.",source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;files-get;lookup;stateful-storage,gitea/charts/postgresql/charts/common/templates/_capabilities.tpl;gitea/charts/postgresql-ha/charts/common/templates/_capabilities.tpl;gitea/charts/valkey/charts/common/templates/_capabilities.tpl;gitea/templates/gitea/config.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
17,53,72,grafana/mimir-distributed,6.1.0-weekly.394,grafana/mimir-distributed@6.1.0-weekly.394,not-in-modeled-top100,,,create-recipe-import-candidate,remote-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,remote-dependencies;semver-compare;files-get;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,create-recipe-import-candidate,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer,data/remote-dependency-closure/top100.csv,"source-only charts have no maintained recipe path, so catalog claims would be disconnected from proof artifacts.",source signal not fully modeled: remote-dependencies;semver-compare;files-get;lookup;webhooks;stateful-storage,mimir-distributed/charts/minio/templates/_helpers.tpl;mimir-distributed/charts/minio/templates/console-ingress.yaml;mimir-distributed/charts/minio/templates/ingress.yaml;mimir-distributed/templates/metamonitoring/grafana-dashboards.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
18,51,8,traefik/traefik,40.2.0,traefik/traefik@40.2.0,proof-grade,next80-proof-grade,promotion-review,semver-compare,semver-compare;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,semver-compare;generated-facts;lookup;capabilities;required-or-fail;webhooks;crds;stateful-storage,,,promote version-conditional rendering into chart facts and variant-path coverage,chart facts axis plus capability/version matrix row,"version-conditional templates can change rendered objects under a different Kubernetes, chart, or dependency version.",source signal not fully modeled: semver-compare;lookup;webhooks;stateful-storage,traefik/templates/NOTES.txt;traefik/templates/_helpers.tpl;traefik/templates/deployment.yaml;traefik/templates/_helpers.tpl,shortlist row only; not a support decision or proof that the chart is unsupported
19,51,41,cloudnative-pg/cloudnative-pg,0.28.2,cloudnative-pg/cloudnative-pg@0.28.2,proof-grade,next80-proof-grade,promotion-review,dependency-range-policy,remote-dependencies;non-exact-dependencies;files-get;generated-facts;webhooks;crds,remote-dependencies;non-exact-dependencies;files-get;generated-facts;webhooks;crds,dependency-range-policy,,record dependency range policy and refresh-survival check for non-exact dependency constraints,data/remote-dependency-closure/top100.csv,non-exact dependency ranges can silently change the rendered dependency closure during refresh.,source signal not fully modeled: remote-dependencies;non-exact-dependencies;files-get;webhooks,cloudnative-pg/charts/cluster/templates/sidecar-configmap.yaml;cloudnative-pg/templates/NOTES.txt,shortlist row only; not a support decision or proof that the chart is unsupported
20,48,96,bitnami/metallb,6.4.22,bitnami/metallb@6.4.22,not-in-modeled-top100,,,create-recipe-import-candidate,remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities;webhooks;crds,remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities;webhooks;crds,create-recipe-import-candidate,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer,data/remote-dependency-closure/top100.csv,"source-only charts have no maintained recipe path, so catalog claims would be disconnected from proof artifacts.",source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;lookup;webhooks,metallb/charts/common/templates/_capabilities.tpl;metallb/charts/common/templates/_secrets.tpl;metallb/templates/NOTES.txt,shortlist row only; not a support decision or proof that the chart is unsupported
21,47,11,metrics-server/metrics-server,3.13.0,metrics-server/metrics-server@3.13.0,catalog-supported,top20-catalog-supported,,apiservice,apiservice;semver-compare;generated-facts;lookup;capabilities,apiservice;semver-compare;generated-facts;lookup;capabilities,,,add an APIService readiness model and runtime observation route,chart facts axis plus lifecycle observation receipt,APIService aggregation can pass render parity while failing at API aggregation or TLS/runtime readiness.,source signal not fully modeled: apiservice;semver-compare;lookup,metrics-server/templates/_helpers.tpl;metrics-server/templates/pdb.yaml;metrics-server/templates/psp.yaml;metrics-server/templates/apiservice.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
22,47,90,falcosecurity/falco,8.0.5,falcosecurity/falco@8.0.5,proof-grade,next80-proof-grade,,dependency-range-policy,remote-dependencies;non-exact-dependencies;semver-compare;files-get;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies;non-exact-dependencies;semver-compare;files-get;lookup;capabilities;required-or-fail;stateful-storage,dependency-range-policy,,record dependency range policy and refresh-survival check for non-exact dependency constraints,data/remote-dependency-closure/top100.csv,non-exact dependency ranges can silently change the rendered dependency closure during refresh.,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;files-get;lookup;stateful-storage,falco/charts/falco-talon/templates/_helpers.tpl;falco/charts/falcosidekick/templates/_helpers.tpl;falco/charts/falco-talon/templates/configmap-grafana-dashboard.yaml;falco/charts/falco-talon/templates/configmap.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
23,46,66,bitnami/elasticsearch,22.1.6,bitnami/elasticsearch@22.1.6,proof-grade,next80-proof-grade,limitation-decision,dependency-range-policy,remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities;required-or-fail;stateful-storage,dependency-range-policy,,record dependency range policy and refresh-survival check for non-exact dependency constraints,data/remote-dependency-closure/top100.csv,non-exact dependency ranges can silently change the rendered dependency closure during refresh.,source signal not fully modeled: remote-dependencies;non-exact-dependencies;semver-compare;lookup;stateful-storage,elasticsearch/charts/common/templates/_capabilities.tpl;elasticsearch/charts/kibana/charts/common/templates/_capabilities.tpl;elasticsearch/charts/common/templates/_secrets.tpl;elasticsearch/charts/kibana/charts/common/templates/_secrets.tpl,shortlist row only; not a support decision or proof that the chart is unsupported
24,45,71,bitnami/metrics-server,7.4.12,bitnami/metrics-server@7.4.12,not-in-modeled-top100,,,apiservice,apiservice;remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities,apiservice;remote-dependencies;non-exact-dependencies;semver-compare;generated-facts;lookup;capabilities,create-recipe-import-candidate,,create recipe/import candidate and write dependency-lock.yaml before treating the chart as a catalog offer,data/remote-dependency-closure/top100.csv,APIService aggregation can pass render parity while failing at API aggregation or TLS/runtime readiness.,source signal not fully modeled: apiservice;remote-dependencies;non-exact-dependencies;semver-compare;lookup,metrics-server/charts/common/templates/_capabilities.tpl,shortlist row only; not a support decision or proof that the chart is unsupported
25,44,4,argo/argo-cd,9.5.15,argo/argo-cd@9.5.15,not-in-modeled-top100,,,semver-compare,remote-dependencies;semver-compare;files-get;generated-facts;capabilities;required-or-fail;crds;stateful-storage,semver-compare;files-get;generated-facts;capabilities;required-or-fail;crds;stateful-storage,,,promote version-conditional rendering into chart facts and variant-path coverage,chart facts axis plus capability/version matrix row,"version-conditional templates can change rendered objects under a different Kubernetes, chart, or dependency version.",source signal not fully modeled: remote-dependencies;semver-compare;files-get;stateful-storage,argo-cd/charts/redis-ha/templates/redis-ha-announce-service.yaml;argo-cd/charts/redis-ha/templates/redis-tls-secret.yaml;argo-cd/charts/redis-ha/templates/_configs.tpl;argo-cd/templates/argocd-configs/argocd-secret.yaml,shortlist row only; not a support decision or proof that the chart is unsupported
