chart,version,variant,result,residue_category,blocker_owner,usable_today,user_decision,next_action,reason,support_artifact,receipt
istio/gateway,1.30.0,controller-default-reviewed,watch,remote-image,catalog or image publisher,watch — image reference must be resolved,"The rendered objects matched regular Helm, but at least one image reference was not pullable on the target. This is image retention, registry access, or image override work, not a ConfigHub object-model defect.","Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",remote-image: image pull failed or pinned image is unavailable (parity passed),data/image-digest-workdown/summary.md,runs/live-helm-confighub-compare/istio-gateway-controller-default-reviewed/receipt.yaml
istio/gateway,1.30.0,default,watch,remote-image,catalog or image publisher,watch — image reference must be resolved,"The rendered objects matched regular Helm, but at least one image reference was not pullable on the target. This is image retention, registry access, or image override work, not a ConfigHub object-model defect.","Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",remote-image: image pull failed or pinned image is unavailable (parity passed),data/image-digest-workdown/summary.md,runs/live-helm-confighub-compare/istio-gateway-default/receipt.yaml
jaegertracing/jaeger-operator,2.57.0,default,blocked,target-prerequisite,user,"yes, after staging the prerequisite","Usable once you stage the named prerequisite (for example a namespace, Secret, or CRD) on the target; the rendered objects matched regular Helm (semantic parity passed). The prerequisite is missing, not the configuration.","Stage the named prerequisite as a target fact (see the target-prerequisite-plan), then the row can move to pass.",target-prerequisite: cert-manager CRDs missing,recipes/jaegertracing/jaeger-operator/2.57.0/target-prerequisite-plan.yaml,runs/live-helm-confighub-compare/jaegertracing-jaeger-operator-default/receipt.yaml
jaegertracing/jaeger-operator,2.57.0,no-crds,blocked,target-prerequisite,user,"yes, after staging the prerequisite","Usable once you stage the named prerequisite (for example a namespace, Secret, or CRD) on the target; the rendered objects matched regular Helm (semantic parity passed). The prerequisite is missing, not the configuration.","Stage the named prerequisite as a target fact (see the target-prerequisite-plan), then the row can move to pass.",target-prerequisite: cert-manager CRDs missing,recipes/jaegertracing/jaeger-operator/2.57.0/target-prerequisite-plan.yaml,runs/live-helm-confighub-compare/jaegertracing-jaeger-operator-no-crds/receipt.yaml
jetstack/trust-manager,v0.22.1,default,watch,gitops-runtime,needs GitOps controller-health review,watch — synced and converged; aggregate health needs explanation,"Desired state synced through ConfigHub OCI/Argo and the workloads converged, and semantic Helm-vs-ConfigHub parity passed — but Argo's aggregate health is Progressing, or a resource reads OutOfSync while Healthy. Known GitOps controller-health residue, not a parity defect.","Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",gitops-runtime: Argo health Progressing (parity passed),recipes/jetstack/trust-manager/v0.22.1/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/jetstack-trust-manager-default/receipt.yaml
jetstack/trust-manager,v0.22.1,no-crds,watch,gitops-runtime,needs GitOps controller-health review,watch — synced and converged; aggregate health needs explanation,"Desired state synced through ConfigHub OCI/Argo and the workloads converged, and semantic Helm-vs-ConfigHub parity passed — but Argo's aggregate health is Progressing, or a resource reads OutOfSync while Healthy. Known GitOps controller-health residue, not a parity defect.","Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",gitops-runtime: Argo health Progressing (parity passed),recipes/jetstack/trust-manager/v0.22.1/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/jetstack-trust-manager-no-crds/receipt.yaml
kyverno/kyverno-policies,3.8.0,default,watch,gitops-runtime,needs GitOps controller-health review,watch — synced and converged; aggregate health needs explanation,"Desired state synced through ConfigHub OCI/Argo and the workloads converged, and semantic Helm-vs-ConfigHub parity passed — but Argo's aggregate health is Progressing, or a resource reads OutOfSync while Healthy. Known GitOps controller-health residue, not a parity defect.","Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",gitops-runtime: ClusterPolicy OutOfSync health Healthy (parity passed),recipes/kyverno/kyverno-policies/3.8.0/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/kyverno-kyverno-policies-default/receipt.yaml
linkerd/linkerd-crds,1.8.0,default,watch,gitops-runtime,needs GitOps controller-health review,watch — synced and converged; aggregate health needs explanation,"Desired state synced through ConfigHub OCI/Argo and the workloads converged, and semantic Helm-vs-ConfigHub parity passed — but Argo's aggregate health is Progressing, or a resource reads OutOfSync while Healthy. Known GitOps controller-health residue, not a parity defect.","Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",gitops-runtime: CustomResourceDefinition OutOfSync health Healthy (parity passed),recipes/linkerd/linkerd-crds/1.8.0/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/linkerd-linkerd-crds-default/receipt.yaml
minio-operator/tenant,7.1.1,default,watch,gitops-runtime,needs GitOps controller-health review,watch — synced and converged; aggregate health needs explanation,"Desired state synced through ConfigHub OCI/Argo and the workloads converged, and semantic Helm-vs-ConfigHub parity passed — but Argo's aggregate health is Progressing, or a resource reads OutOfSync while Healthy. Known GitOps controller-health residue, not a parity defect.","Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",gitops-runtime: Argo health Progressing (parity passed),recipes/minio-operator/tenant/7.1.1/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/minio-operator-tenant-default/receipt.yaml
nats/surveyor,0.20.9,default,watch,target-runtime,needs runtime review,"watch — config correct, runtime unconfirmed","The rendered config matched regular Helm (semantic parity passed) but the workload did not reach the expected runtime state on the target. Runtime residue to review, not a parity defect.",Review the runtime residue (pod errors / not ready) on the target and record a runtime-review support artifact.,target-runtime: pod config/runtime errors (parity passed),recipes/nats/surveyor/0.20.9/runtime-review.yaml,runs/live-helm-confighub-compare/nats-surveyor-default/receipt.yaml
nats/surveyor,0.20.9,default-reviewed,watch,target-runtime,needs runtime review,"watch — config correct, runtime unconfirmed","The rendered config matched regular Helm (semantic parity passed) but the workload did not reach the expected runtime state on the target. Runtime residue to review, not a parity defect.",Review the runtime residue (pod errors / not ready) on the target and record a runtime-review support artifact.,target-runtime: pod config/runtime errors (parity passed),recipes/nats/surveyor/0.20.9/runtime-review.yaml,runs/live-helm-confighub-compare/nats-surveyor-default-reviewed/receipt.yaml
open-telemetry/opentelemetry-operator,0.114.0,default,watch,gitops-runtime,needs GitOps controller-health review,watch — synced and converged; aggregate health needs explanation,"Desired state synced through ConfigHub OCI/Argo and the workloads converged, and semantic Helm-vs-ConfigHub parity passed — but Argo's aggregate health is Progressing, or a resource reads OutOfSync while Healthy. Known GitOps controller-health residue, not a parity defect.","Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",gitops-runtime: Argo health Progressing (parity passed),recipes/open-telemetry/opentelemetry-operator/0.114.0/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/open-telemetry-opentelemetry-operator-default/receipt.yaml
open-telemetry/opentelemetry-operator,0.114.0,no-crds,watch,gitops-runtime,needs GitOps controller-health review,watch — synced and converged; aggregate health needs explanation,"Desired state synced through ConfigHub OCI/Argo and the workloads converged, and semantic Helm-vs-ConfigHub parity passed — but Argo's aggregate health is Progressing, or a resource reads OutOfSync while Healthy. Known GitOps controller-health residue, not a parity defect.","Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",gitops-runtime: Argo health Progressing (parity passed),recipes/open-telemetry/opentelemetry-operator/0.114.0/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/open-telemetry-opentelemetry-operator-no-crds/receipt.yaml
prometheus-community/prometheus-adapter,5.3.0,cluster-metrics-readonly,blocked,capability-profile,catalog,"yes, use the capability-profile base","The selected base rendered a Kubernetes API version that the target no longer serves. This is a render-profile/base selection issue, not a runtime prerequisite and not a semantic ConfigHub-vs-Helm diff.","Use or promote the base rendered for the target API set, then rerun live parity. For prometheus-adapter on modern Kubernetes, use the apiservice-v1-capability base.",capability-profile: rendered APIService version is not served by target Kubernetes,recipes/prometheus-community/prometheus-adapter/5.3.0/CATALOG.md,runs/live-helm-confighub-compare/prometheus-community-prometheus-adapter-cluster-metrics-readonly/receipt.yaml
prometheus-community/prometheus-adapter,5.3.0,default,blocked,capability-profile,catalog,"yes, use the capability-profile base","The selected base rendered a Kubernetes API version that the target no longer serves. This is a render-profile/base selection issue, not a runtime prerequisite and not a semantic ConfigHub-vs-Helm diff.","Use or promote the base rendered for the target API set, then rerun live parity. For prometheus-adapter on modern Kubernetes, use the apiservice-v1-capability base.",capability-profile: rendered APIService version is not served by target Kubernetes,recipes/prometheus-community/prometheus-adapter/5.3.0/CATALOG.md,runs/live-helm-confighub-compare/prometheus-community-prometheus-adapter-default/receipt.yaml
prometheus-community/prometheus,29.9.0,default,watch,gitops-runtime,needs GitOps controller-health review,watch — synced and converged; aggregate health needs explanation,"Desired state synced through ConfigHub OCI/Argo and the workloads converged, and semantic Helm-vs-ConfigHub parity passed — but Argo's aggregate health is Progressing, or a resource reads OutOfSync while Healthy. Known GitOps controller-health residue, not a parity defect.","Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",gitops-runtime: StatefulSet OutOfSync health Healthy (parity passed),recipes/prometheus-community/prometheus/29.9.0/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/prometheus-community-prometheus-default-29-9-0/receipt.yaml
rook-release/rook-ceph-cluster,v1.19.5,default,blocked,target-prerequisite,user,"yes, after staging the prerequisite","Usable once you stage the named prerequisite (for example a namespace, Secret, or CRD) on the target; the rendered objects matched regular Helm (semantic parity passed). The prerequisite is missing, not the configuration.","Stage the named prerequisite as a target fact (see the target-prerequisite-plan), then the row can move to pass.",target-prerequisite: namespace missing (parity passed),recipes/rook-release/rook-ceph-cluster/v1.19.5/target-prerequisite-plan.yaml,runs/live-helm-confighub-compare/rook-release-rook-ceph-cluster-default/receipt.yaml
traefik/traefik,40.2.0,no-crds,watch,gitops-runtime,needs GitOps controller-health review,watch — synced and converged; aggregate health needs explanation,"Desired state synced through ConfigHub OCI/Argo and the workloads converged, and semantic Helm-vs-ConfigHub parity passed — but Argo's aggregate health is Progressing, or a resource reads OutOfSync while Healthy. Known GitOps controller-health residue, not a parity defect.","Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",gitops-runtime: Argo health Progressing (parity passed),recipes/traefik/traefik/40.2.0/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/traefik-traefik-no-crds/receipt.yaml
velero/velero,12.0.1,default,blocked,render-input,catalog,no — needs a better base,The selected base renders incomplete or invalid chart configuration because required Helm inputs are not modeled. This is not a user target prerequisite; the catalog needs a useful base that asks for or supplies the required inputs.,"Create a non-alias base with the required Helm values, value schema, target facts, and receipts, then rerun the live lane.",render-input: required Velero provider values missing,recipes/velero/velero/12.0.1/value-model.yaml,runs/live-helm-confighub-compare/velero-velero-default/receipt.yaml
velero/velero,12.0.1,no-crds,blocked,render-input,catalog,no — needs a better base,The selected base renders incomplete or invalid chart configuration because required Helm inputs are not modeled. This is not a user target prerequisite; the catalog needs a useful base that asks for or supplies the required inputs.,"Create a non-alias base with the required Helm values, value schema, target facts, and receipts, then rerun the live lane.",render-input: required Velero provider values missing,recipes/velero/velero/12.0.1/value-model.yaml,runs/live-helm-confighub-compare/velero-velero-no-crds/receipt.yaml
